date,CH4_mean,NMHC_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,194.292,12.667,0.917,21.625,206.958
2011-01-02,190.875,8.875,0.75,14.708,199.75
2011-01-03,187.625,6.0,0.125,3.75,193.625
2011-01-04,188.292,12.667,1.042,8.958,200.958
2011-01-05,190.0,7.435,0.625,6.875,197.435
2011-01-06,191.958,10.333,1.083,8.958,202.292
2011-01-07,193.125,10.667,0.792,7.833,203.792
2011-01-08,193.875,9.083,0.417,7.333,202.958
2011-01-09,194.083,11.917,0.958,10.875,206.0
2011-01-10,192.208,11.583,1.13,13.375,203.792
2011-01-11,191.667,8.095,1.167,9.5,199.762
2011-01-12,192.417,9.25,0.833,5.125,201.667
2011-01-13,192.0,10.708,1.25,14.583,202.708
2011-01-14,191.792,6.375,0.875,7.042,198.167
2011-01-15,192.542,6.833,0.917,9.625,199.375
2011-01-16,192.292,7.708,0.833,9.625,200.0
2011-01-17,193.304,15.391,1.292,14.083,208.696
2011-01-18,193.375,14.792,1.542,19.917,208.167
2011-01-19,192.292,13.125,1.5,22.833,205.417
2011-01-20,191.792,9.083,1.208,12.583,200.875
2011-01-21,190.917,10.5,0.958,12.375,201.417
2011-01-22,190.625,11.958,0.833,9.917,202.583
2011-01-23,189.333,7.417,0.875,9.917,196.75
2011-01-24,189.708,9.125,0.87,11.083,198.833
2011-01-25,191.375,10.375,1.375,14.125,201.75
2011-01-26,193.25,11.542,1.167,12.708,204.792
2011-01-27,193.583,10.958,1.375,12.75,204.542
2011-01-28,193.708,7.542,1.0,10.917,201.25
2011-01-29,192.5,5.958,0.958,6.708,198.458
2011-01-30,192.458,10.625,1.458,11.792,203.083
2011-01-31,193.042,13.042,1.042,10.958,206.083
2011-02-01,190.958,13.625,1.375,13.333,204.583
2011-02-02,189.417,10.5,1.333,7.042,199.917
2011-02-03,191.882,11.353,1.471,11.529,203.235
2011-02-06,193.286,19.786,3.4,,213.071
2011-02-07,190.833,15.458,1.522,,206.292
2011-02-08,189.0,5.444,1.167,11.083,194.444
2011-02-09,198.333,8.583,1.167,8.667,206.917
2011-02-10,196.333,13.619,1.417,14.333,209.952
2011-02-11,192.292,9.542,1.167,11.25,201.833
2011-02-12,192.042,6.583,0.833,8.958,198.625
2011-02-13,187.826,10.739,1.125,11.167,198.565
2011-02-14,190.333,19.042,1.875,23.792,209.375
2011-02-15,188.917,10.625,1.75,22.0,199.542
2011-02-16,186.625,5.875,1.0,9.25,192.5
2011-02-17,188.042,10.042,1.625,15.792,198.083
2011-02-18,187.25,7.417,1.042,9.292,194.667
2011-02-19,189.208,9.125,1.292,15.708,198.333
2011-02-20,189.667,15.375,1.542,15.083,205.042
2011-02-21,189.0,10.75,2.783,20.083,199.75
2011-02-22,189.083,12.083,1.542,16.917,201.167
2011-02-23,186.957,12.696,1.5,23.042,199.652
2011-02-24,188.375,11.042,2.25,22.833,199.417
2011-02-25,188.083,9.667,1.042,15.5,197.75
2011-02-26,187.667,7.792,1.083,14.583,195.458
2011-02-27,190.609,7.348,1.083,12.958,197.957
2011-02-28,192.458,14.5,1.167,13.667,206.958
2011-03-01,190.833,15.958,1.708,22.875,206.792
2011-03-02,191.042,16.75,1.75,23.583,207.792
2011-03-03,190.5,6.833,1.125,16.958,197.333
2011-03-04,191.542,7.792,1.125,12.417,199.333
2011-03-05,190.792,12.458,1.042,15.917,203.25
2011-03-06,186.708,10.458,1.0,7.083,197.167
2011-03-07,187.364,8.364,1.0,9.045,195.727
2011-03-08,189.667,13.417,1.625,18.417,203.083
2011-03-09,190.5,9.583,1.667,22.958,200.083
2011-03-10,188.708,8.083,1.0,12.875,196.792
2011-03-11,187.417,5.625,1.0,11.25,193.042
2011-03-12,186.958,7.333,0.917,8.667,194.292
2011-03-13,188.375,9.875,1.083,7.75,198.25
2011-03-14,189.542,9.125,1.333,10.667,198.667
2011-03-15,189.708,8.667,1.667,21.792,198.375
2011-03-16,190.042,7.375,1.417,16.667,197.417
2011-03-17,188.167,9.958,1.417,28.5,198.125
2011-03-18,187.25,8.625,1.792,32.292,195.875
2011-03-19,186.25,6.5,1.0,7.542,192.75
2011-03-20,186.5,6.917,1.0,9.0,193.417
2011-03-21,187.042,7.5,1.0,13.917,194.542
2011-03-22,187.167,9.0,1.458,28.083,196.167
2011-03-23,187.292,9.25,1.417,24.333,196.542
2011-03-24,184.875,7.708,1.0,4.667,192.583
2011-03-25,185.583,7.5,1.0,5.75,193.083
2011-03-26,187.833,10.333,1.125,12.875,198.167
2011-03-27,189.833,9.583,1.125,12.917,199.417
2011-03-28,189.208,10.542,1.375,22.542,199.75
2011-03-29,190.261,10.913,1.565,19.0,201.174
2011-03-30,187.417,13.625,1.958,27.333,201.042
2011-03-31,184.458,11.375,1.542,22.542,195.833
2011-04-01,184.75,8.75,0.708,15.458,193.5
