date,CO_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,9.875,27.167,49.625,22.458
2011-01-02,9.667,26.625,51.042,24.417
2011-01-03,8.875,31.375,60.292,28.917
2011-01-04,6.875,23.125,39.708,16.583
2011-01-05,9.583,32.5,74.708,42.208
2011-01-06,12.13,37.19,84.043,54.429
2011-01-07,9.917,34.458,75.0,40.542
2011-01-08,12.375,27.458,56.458,29.0
2011-01-09,11.25,34.542,73.542,39.0
2011-01-10,11.125,33.375,73.458,40.083
2011-01-11,10.292,30.333,57.042,26.708
2011-01-12,9.792,33.458,75.25,41.792
2011-01-13,11.75,37.833,84.917,47.083
2011-01-14,6.917,20.292,37.875,17.583
2011-01-15,5.208,10.917,19.958,9.042
2011-01-16,10.087,29.125,60.542,31.417
2011-01-17,9.333,30.333,64.833,34.5
2011-01-18,6.417,20.792,39.417,18.625
2011-01-19,5.917,18.458,32.667,14.208
2011-01-20,9.792,32.958,56.792,23.833
2011-01-21,11.417,34.5,60.917,26.417
2011-01-22,9.75,24.292,41.75,17.458
2011-01-23,8.417,29.625,57.625,28.0
2011-01-24,12.125,33.045,70.136,37.091
2011-01-25,8.583,27.083,47.875,20.792
2011-01-26,10.217,34.833,78.167,43.333
2011-01-27,4.333,14.167,23.625,9.458
2011-01-28,10.292,32.0,60.417,28.417
2011-01-29,12.375,26.75,50.958,24.208
2011-01-30,10.5,33.917,71.125,37.208
2011-01-31,9.833,36.292,76.0,39.708
2011-02-01,11.042,38.208,74.625,36.417
2011-02-02,9.5,33.667,65.458,31.792
2011-02-03,10.375,36.833,91.875,55.042
2011-02-04,7.625,27.375,53.0,25.625
2011-02-05,3.478,5.208,7.5,2.292
2011-02-06,3.333,6.348,9.043,2.696
2011-02-07,6.458,21.0,36.25,15.25
2011-02-08,6.917,28.417,51.083,22.667
2011-02-09,10.333,35.208,75.125,39.917
2011-02-10,7.917,23.792,44.708,20.917
2011-02-11,11.125,32.042,67.583,35.542
2011-02-12,5.417,11.833,21.208,9.375
2011-02-13,3.917,8.167,10.208,2.042
2011-02-14,4.5,10.583,14.125,3.542
2011-02-15,9.565,24.0,43.958,19.958
2011-02-16,9.75,32.292,62.333,30.042
2011-02-17,10.292,33.708,65.458,31.75
2011-02-18,9.0,33.25,60.875,27.625
2011-02-19,9.75,28.292,51.333,23.042
2011-02-20,7.708,25.375,48.458,23.083
2011-02-21,4.5,11.125,17.208,6.083
2011-02-22,3.375,9.833,14.0,4.167
2011-02-23,10.167,31.348,65.783,34.435
2011-02-24,8.958,30.25,51.708,21.458
2011-02-25,13.304,43.292,83.542,40.25
2011-02-26,10.625,32.208,58.542,26.333
2011-02-27,10.208,36.75,78.917,42.167
2011-02-28,5.125,12.458,17.083,4.625
2011-03-01,6.542,17.375,24.792,7.417
2011-03-02,7.208,15.542,27.583,12.042
2011-03-03,9.458,26.25,44.042,17.792
