date,PM25_mean,SO2_mean,SPM_mean
2011-01-01,15.25,3.7916666666666665,
2011-01-02,19.208333333333332,7.666666666666667,
2011-01-03,20.791666666666668,6.666666666666667,
2011-01-04,38.458333333333336,12.0,
2011-01-05,15.916666666666666,5.083333333333333,
2011-01-06,17.25,6.166666666666667,
2011-01-07,6.625,2.125,
2011-01-08,8.416666666666666,1.125,
2011-01-09,20.166666666666668,3.4583333333333335,
2011-01-10,32.583333333333336,3.4583333333333335,
2011-01-11,25.875,9.0,
2011-01-12,8.375,2.0,
2011-01-13,25.59090909090909,11.458333333333334,
2011-01-14,46.666666666666664,12.916666666666666,
2011-01-15,15.5,2.2916666666666665,
2011-01-16,12.291666666666666,1.875,
2011-01-17,11.583333333333334,1.4583333333333333,
2011-01-18,16.666666666666668,2.130434782608696,
2011-01-19,14.208333333333334,1.75,
2011-01-20,6.416666666666667,1.3333333333333333,
2011-01-21,9.25,1.4583333333333333,
2011-01-22,7.875,1.4583333333333333,
2011-01-23,14.666666666666666,7.625,
2011-01-24,17.25,11.291666666666666,
2011-01-25,23.291666666666668,8.521739130434783,
2011-01-26,14.875,9.083333333333334,
2011-01-27,35.5,13.875,
2011-01-28,30.041666666666668,3.6666666666666665,
2011-01-29,8.708333333333334,1.9583333333333333,
2011-01-30,11.041666666666666,6.583333333333333,
2011-01-31,12.75,3.9166666666666665,
2011-02-01,28.166666666666668,7.739130434782608,
2011-02-02,16.708333333333332,10.0,
2011-02-03,18.0,8.818181818181818,
2011-02-04,25.125,9.0,
2011-02-05,35.333333333333336,4.916666666666667,
2011-02-06,30.916666666666668,1.6666666666666667,
2011-02-07,18.916666666666668,3.9583333333333335,
2011-02-08,21.666666666666668,14.26086956521739,
2011-02-09,19.5,8.0,
2011-02-10,15.083333333333334,4.791666666666667,
2011-02-11,12.125,4.5,
2011-02-12,12.625,2.5416666666666665,
2011-02-13,22.61904761904762,1.4166666666666667,
2011-02-14,19.291666666666668,1.2083333333333333,
2011-02-15,19.083333333333332,1.608695652173913,
2011-02-16,12.208333333333334,2.6666666666666665,
2011-02-17,20.363636363636363,9.541666666666666,
2011-02-18,10.583333333333334,3.125,
2011-02-19,11.041666666666666,1.6666666666666667,
2011-02-20,11.875,1.625,
2011-02-21,18.083333333333332,3.5,
2011-02-22,30.125,2.652173913043478,
2011-02-23,19.083333333333332,2.875,
2011-02-24,33.458333333333336,3.875,
2011-02-25,34.0,2.7916666666666665,
2011-02-26,10.583333333333334,1.875,
2011-02-27,13.125,1.6666666666666667,
2011-02-28,13.791666666666666,1.625,
2011-03-01,20.75,6.25,
2011-03-02,16.25,3.4166666666666665,
2011-03-03,16.75,2.5,
2011-03-04,23.666666666666668,1.625,
2011-03-05,10.541666666666666,1.6666666666666667,
2011-03-06,17.041666666666668,7.125,
2011-03-07,32.666666666666664,4.043478260869565,
2011-03-08,35.208333333333336,3.75,
2011-03-09,20.333333333333332,1.4166666666666667,
2011-03-10,11.125,1.6666666666666667,
2011-03-11,19.916666666666668,7.166666666666667,
2011-03-12,16.875,6.375,
2011-03-13,13.041666666666666,1.8333333333333333,
2011-03-14,13.375,3.3043478260869565,
2011-03-15,15.75,3.125,
2011-03-16,18.708333333333332,5.625,
2011-03-17,15.541666666666666,4.416666666666667,
2011-03-18,23.333333333333332,3.8333333333333335,
2011-03-19,6.458333333333333,2.5,
2011-03-20,13.416666666666666,2.9583333333333335,
2011-03-21,14.041666666666666,3.608695652173913,
2011-03-22,20.0,6.958333333333333,
2011-03-23,15.608695652173912,3.0,
2011-03-24,31.041666666666668,14.291666666666666,
2011-03-25,23.791666666666668,10.916666666666666,
2011-03-26,17.25,8.166666666666666,
2011-03-27,18.458333333333332,4.458333333333333,
2011-03-28,28.833333333333332,7.391304347826087,
2011-03-29,19.333333333333332,6.291666666666667,
2011-03-30,11.0,4.291666666666667,
2011-03-31,10.625,4.375,
2011-04-01,33.416666666666664,5.833333333333333,
2011-04-02,29.625,6.416666666666667,
2011-04-03,7.208333333333333,1.7916666666666667,
2011-04-04,8.875,1.4583333333333333,
2011-04-05,18.25,5.458333333333333,
2011-04-06,20.916666666666668,4.695652173913044,
2011-04-07,10.583333333333334,5.25,
2011-04-08,9.777777777777779,5.458333333333333,
2011-04-09,,2.9166666666666665,
2011-04-10,,3.25,
2011-04-11,26.083333333333332,5.916666666666667,
2011-04-12,20.875,2.7083333333333335,
2011-04-13,27.333333333333332,6.782608695652174,
2011-04-14,31.958333333333332,10.521739130434783,
2011-04-15,24.916666666666668,5.5,
2011-04-16,29.208333333333332,4.25,
2011-04-17,15.708333333333334,5.125,
2011-04-18,21.625,4.416666666666667,
2011-04-19,18.541666666666668,10.083333333333334,
2011-04-20,9.208333333333334,6.6521739130434785,
2011-04-21,15.5,5.5,
2011-04-22,11.727272727272727,2.25,
2011-04-23,6.375,2.5416666666666665,
2011-04-24,17.833333333333332,3.25,
2011-04-25,26.5,6.666666666666667,
2011-04-26,25.59090909090909,7.833333333333333,
2011-04-27,19.25,7.6521739130434785,
2011-04-28,23.125,10.916666666666666,
2011-04-29,14.333333333333334,4.833333333333333,
2011-04-30,16.583333333333332,5.208333333333333,
2011-05-01,20.416666666666668,10.541666666666666,
2011-05-02,,4.791666666666667,
2011-05-03,,6.416666666666667,
2011-05-04,36.666666666666664,6.521739130434782,
2011-05-05,22.75,6.208333333333333,
2011-05-06,25.666666666666668,4.541666666666667,
2011-05-07,17.708333333333332,8.625,
2011-05-08,24.083333333333332,8.375,
2011-05-09,38.375,5.541666666666667,
