date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,195.542,3.542,13.625,11.75,18.542,6.792,10.292,209.167
2011-01-02,188.75,2.696,6.625,4.958,6.208,1.25,9.792,195.375
2011-01-03,186.208,2.25,4.875,4.13,5.174,1.043,4.333,191.083
2011-01-04,189.0,3.583,6.667,6.208,7.208,1.0,19.667,195.667
2011-01-05,190.304,2.208,6.391,7.042,8.292,1.25,5.292,196.696
2011-01-06,190.625,2.417,9.208,14.625,17.5,2.875,6.333,199.833
2011-01-07,190.083,2.208,7.917,9.625,11.792,2.167,4.083,198.0
2011-01-08,191.958,2.833,9.75,13.0,17.0,4.0,5.542,201.708
2011-01-09,192.0,3.174,9.042,10.75,15.75,5.0,10.25,201.042
2011-01-10,191.0,4.125,14.125,19.435,29.913,10.478,12.292,205.125
2011-01-11,188.333,3.417,9.375,11.625,13.792,2.167,13.75,197.708
2011-01-12,189.565,3.125,9.261,13.583,17.0,3.417,4.75,198.826
2011-01-13,188.208,3.208,9.792,15.583,19.083,3.5,9.958,198.0
2011-01-14,190.625,3.875,8.958,12.083,13.625,1.542,12.208,199.583
2011-01-15,188.875,2.917,6.25,7.75,9.5,1.75,7.667,195.125
2011-01-16,192.083,4.0,11.792,20.609,37.652,17.043,11.333,203.875
2011-01-17,190.917,4.167,14.25,18.583,49.083,30.5,13.917,205.167
2011-01-18,192.75,4.542,17.292,20.292,70.875,50.583,17.833,210.042
2011-01-19,190.696,3.417,12.087,16.083,46.292,30.208,11.125,202.783
2011-01-20,186.833,3.542,10.792,19.375,29.458,10.083,5.625,197.625
2011-01-21,188.333,3.417,10.917,16.583,27.708,11.125,7.208,199.25
2011-01-22,188.833,3.25,10.542,12.625,19.667,7.042,6.25,199.375
2011-01-23,188.583,3.435,10.583,11.042,17.917,6.875,8.0,199.167
2011-01-24,188.167,3.167,9.0,13.833,17.0,3.167,4.083,197.167
2011-01-25,188.458,3.042,7.542,9.125,11.208,2.083,8.167,196.0
2011-01-26,190.696,3.125,7.783,12.042,14.583,2.542,6.583,198.478
2011-01-27,191.875,3.875,10.417,17.917,24.333,6.417,12.917,202.292
2011-01-28,191.875,3.542,8.667,13.0,16.083,3.083,15.917,200.542
2011-01-29,190.417,2.458,5.417,5.292,6.417,1.125,6.958,195.833
2011-01-30,191.542,2.435,8.0,14.167,17.333,3.167,6.875,199.542
2011-01-31,191.833,2.75,10.042,17.125,26.583,9.458,6.542,201.875
2011-02-01,191.167,3.458,10.667,14.0,30.292,16.292,12.417,201.833
2011-02-02,190.609,2.667,8.261,11.917,13.958,2.042,6.917,198.87
2011-02-03,191.261,2.333,9.261,8.667,10.875,2.208,7.0,200.522
2011-02-04,189.292,2.833,8.167,8.042,10.125,2.083,16.542,197.458
2011-02-05,190.167,3.458,10.167,12.333,14.542,2.208,20.958,200.333
2011-02-06,190.25,4.522,12.917,23.542,39.125,15.583,19.792,203.167
2011-02-07,187.125,3.333,11.188,14.391,23.435,9.043,15.958,198.312
2011-02-08,186.917,2.167,6.292,4.0,5.087,1.087,7.5,193.208
2011-02-09,187.958,2.292,7.417,6.875,8.833,1.958,7.458,195.375
2011-02-10,187.542,2.25,8.083,9.375,11.083,1.708,9.583,195.625
2011-02-11,187.417,2.208,6.583,4.583,5.833,1.25,8.292,194.0
2011-02-12,188.25,2.5,7.0,8.292,10.542,2.25,9.417,195.25
2011-02-13,190.833,3.565,13.25,19.083,32.5,13.417,15.0,204.083
2011-02-14,189.522,4.25,16.348,29.25,56.125,26.875,14.75,205.87
2011-02-15,191.5,4.208,17.833,19.087,35.348,16.261,14.083,209.333
2011-02-16,189.958,3.625,13.583,19.0,26.625,7.625,17.75,203.542
2011-02-17,187.292,2.292,7.583,7.125,8.417,1.292,8.292,194.875
2011-02-18,189.375,2.583,9.417,4.417,5.75,1.333,13.042,198.792
