date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,187.792,94.0,83.375,62.0,9.542,5.375,5.7,-0.971,-5.0,197.333
2011-01-02,185.5,95.0,74.958,51.0,9.75,6.042,5.7,0.546,-3.7,195.25
2011-01-03,184.042,77.0,49.917,31.0,6.958,1.25,4.8,1.229,-3.6,191.0
2011-01-04,186.727,83.0,61.625,39.0,8.409,4.25,5.6,-0.242,-4.6,195.136
2011-01-05,189.208,75.0,54.875,32.0,6.458,2.208,2.3,-0.371,-2.1,195.667
2011-01-06,190.583,82.0,64.292,33.0,6.875,3.625,6.1,0.35,-4.4,197.458
2011-01-07,191.042,82.0,58.375,37.0,4.458,1.667,2.7,-0.092,-1.8,195.5
2011-01-08,191.583,80.0,61.083,37.0,4.042,1.458,4.2,-0.446,-3.9,195.625
2011-01-09,191.042,89.0,73.375,46.0,8.083,5.667,5.5,-0.725,-5.7,199.125
2011-01-10,189.833,92.0,68.167,37.0,7.75,6.5,5.8,0.567,-3.1,197.583
2011-01-11,188.8,85.0,68.375,40.0,7.9,6.043,2.4,-1.312,-3.3,196.7
2011-01-12,189.083,82.0,58.25,36.0,2.25,3.042,1.4,-3.004,-6.1,191.333
2011-01-13,186.792,78.0,59.375,28.0,6.875,3.75,8.1,0.179,-6.0,193.667
2011-01-14,189.958,69.0,52.5,32.0,4.917,6.083,1.7,-1.079,-4.0,194.875
2011-01-15,189.292,70.0,56.583,34.0,4.625,6.708,4.2,-0.408,-3.3,193.917
2011-01-16,188.375,68.0,53.75,37.0,4.0,5.167,2.1,-0.354,-2.1,192.375
2011-01-17,188.0,75.0,59.583,39.0,3.458,5.208,3.5,-0.446,-4.3,191.458
2011-01-18,187.818,87.0,63.458,25.0,7.227,3.5,7.4,-0.917,-7.3,195.045
2011-01-19,188.083,85.0,65.208,32.0,7.875,9.708,7.9,1.583,-3.8,195.958
2011-01-20,187.458,92.0,89.5,75.0,9.333,9.208,0.2,-0.4,-0.7,196.792
2011-01-21,187.042,94.0,92.625,89.0,11.25,4.0,0.2,-0.412,-1.3,198.292
2011-01-22,185.125,95.0,92.5,90.0,9.708,2.333,2.1,0.646,-1.4,194.833
2011-01-23,186.0,96.0,81.625,62.0,10.87,2.5,2.9,-0.008,-3.3,196.87
2011-01-24,185.667,87.0,60.25,41.0,7.583,3.625,0.5,-2.688,-6.3,193.25
2011-01-25,188.636,92.0,74.125,39.0,12.409,4.458,3.5,-3.492,-8.7,201.045
2011-01-26,189.917,90.0,72.333,47.0,8.542,5.375,-1.1,-4.921,-9.7,198.458
2011-01-27,191.083,89.0,74.25,47.0,9.542,7.167,0.6,-5.133,-10.3,200.625
2011-01-28,190.333,89.0,67.417,42.0,6.0,6.708,-1.2,-3.883,-6.3,196.333
2011-01-29,189.542,72.0,52.042,37.0,4.083,0.958,-0.1,-2.983,-4.9,193.625
2011-01-30,189.375,86.0,59.792,31.0,5.375,3.833,0.3,-4.362,-9.1,194.75
2011-01-31,190.125,89.0,71.375,32.0,8.25,2.792,2.9,-4.475,-11.1,198.375
2011-02-01,187.5,90.0,64.5,33.0,9.1,4.391,5.0,-2.525,-9.9,196.6
2011-02-02,186.917,85.0,53.0,23.0,5.958,3.875,0.7,-3.217,-8.6,192.875
2011-02-03,190.25,89.0,73.917,47.0,8.75,5.583,-0.1,-5.2,-10.4,199.0
2011-02-04,189.333,91.0,63.125,30.0,9.208,6.958,4.8,-1.804,-10.6,198.542
2011-02-05,190.917,88.0,70.875,46.0,5.042,6.083,3.6,-0.617,-4.6,195.958
2011-02-06,190.0,95.0,84.208,54.0,10.5,7.917,7.2,0.383,-6.3,200.5
2011-02-07,186.583,95.0,88.5,69.0,12.75,6.875,6.1,3.096,-0.5,199.333
2011-02-08,190.636,95.0,63.667,36.0,7.091,5.417,2.5,-0.762,-5.1,197.727
2011-02-09,192.125,92.0,76.917,60.0,7.458,4.208,-0.1,-3.25,-5.5,199.583
2011-02-10,191.458,89.0,70.5,44.0,6.708,2.792,3.6,-1.688,-6.0,198.167
2011-02-11,191.667,86.0,62.083,33.0,3.958,2.833,1.6,-2.267,-5.6,195.625
2011-02-12,192.458,88.0,63.042,34.0,2.958,4.333,0.9,-2.792,-6.9,195.417
2011-02-13,193.048,80.0,62.917,39.0,10.905,2.545,6.2,0.125,-6.0,203.952
2011-02-14,191.667,94.0,76.5,62.0,21.917,9.333,5.1,1.896,-0.1,213.583
2011-02-15,188.545,95.0,71.917,49.0,10.455,12.25,5.7,1.238,-1.3,199.0
2011-02-16,188.042,70.0,50.5,35.0,3.417,3.958,2.3,-1.158,-3.6,191.458
2011-02-17,187.833,92.0,65.083,30.0,3.792,4.667,3.3,-1.754,-4.0,191.625
2011-02-18,189.292,82.0,55.708,38.0,1.458,4.083,-0.1,-3.8,-7.9,190.75
2011-02-19,190.542,86.0,62.333,29.0,5.042,0.875,2.6,-3.554,-10.3,195.583
2011-02-20,190.75,88.0,65.458,30.0,8.0,3.208,6.5,-1.175,-8.1,198.75
2011-02-21,189.958,90.0,65.458,35.0,6.875,3.958,8.4,1.054,-6.0,196.833
2011-02-22,189.682,77.0,51.083,18.0,8.545,17.792,9.5,2.588,-0.9,198.227
2011-02-23,186.75,94.0,84.667,56.0,12.667,9.792,7.6,3.342,0.3,199.417
2011-02-24,189.0,81.0,59.125,37.0,8.333,14.708,8.1,3.962,-0.8,197.333
2011-02-25,187.792,93.0,88.833,80.0,11.167,5.792,0.6,-0.138,-1.1,198.958
2011-02-26,187.125,92.0,76.708,62.0,8.125,2.958,2.0,-0.746,-2.6,195.25
2011-02-27,189.083,91.0,67.417,44.0,4.75,5.958,0.7,-2.938,-6.7,193.833
2011-02-28,190.125,85.0,63.375,43.0,7.75,4.375,2.0,-1.85,-6.2,197.875
2011-03-01,187.125,95.0,85.667,58.0,12.708,8.542,8.6,2.133,-1.5,199.833
2011-03-02,187.667,95.0,92.792,81.0,14.458,6.875,2.3,-0.167,-2.1,202.125
2011-03-03,188.833,93.0,73.167,50.0,6.875,3.625,4.5,0.917,-1.5,195.708
2011-03-04,189.667,92.0,68.708,44.0,7.667,5.292,5.6,0.454,-4.3,197.333
2011-03-05,187.95,95.0,93.458,92.0,11.5,6.042,3.5,1.088,-0.9,199.45
2011-03-06,188.227,95.0,86.875,57.0,11.091,1.958,14.1,5.867,1.1,199.318
2011-03-07,190.792,93.0,66.25,43.0,8.625,4.542,9.5,6.154,3.1,199.417
2011-03-08,191.958,86.0,69.917,46.0,8.458,9.875,9.6,5.462,2.7,200.417
2011-03-09,192.292,94.0,89.875,79.0,8.917,7.542,3.5,1.712,0.2,201.208
2011-03-10,190.125,94.0,90.667,86.0,7.208,2.833,1.8,0.4,-0.4,197.333
2011-03-11,189.333,94.0,81.75,62.0,6.083,4.125,5.6,1.962,-0.3,195.417
2011-03-12,189.174,91.0,79.875,44.0,5.087,4.542,4.4,0.108,-3.5,194.261
2011-03-13,189.045,82.0,58.333,26.0,3.091,2.042,5.5,1.088,-1.9,192.136
2011-03-14,190.417,90.0,66.458,25.0,3.75,3.375,7.7,0.892,-3.9,194.167
2011-03-15,189.792,93.0,62.5,26.0,4.0,6.208,6.0,0.988,-3.3,193.792
2011-03-16,191.333,79.0,49.958,24.0,2.792,9.458,9.7,3.15,-1.7,194.125
2011-03-17,189.458,95.0,88.042,73.0,9.792,4.292,8.7,5.6,1.1,199.25
2011-03-18,185.667,95.0,90.333,77.0,11.417,2.375,11.4,7.75,5.3,197.083
2011-03-19,186.773,88.0,52.958,30.0,4.455,1.826,5.4,1.883,-1.7,191.227
2011-03-20,187.455,86.0,53.375,21.0,6.955,2.875,10.6,2.625,-4.9,194.409
2011-03-21,188.667,76.0,51.292,30.0,5.375,4.958,5.9,1.5,-2.4,194.042
2011-03-22,188.583,87.0,56.292,13.0,8.625,8.0,14.2,4.725,-5.0,197.208
2011-03-23,189.375,94.0,73.625,42.0,9.833,24.667,10.4,5.758,1.2,199.208
2011-03-24,184.792,92.0,72.0,34.0,6.25,1.625,11.7,3.933,-1.2,191.042
2011-03-25,186.667,91.0,59.542,22.0,6.875,2.0,8.7,2.825,-2.3,193.542
2011-03-26,189.739,90.0,57.75,27.0,6.609,4.167,5.9,0.833,-3.8,196.348
2011-03-27,189.682,86.0,52.292,18.0,6.227,3.208,11.1,3.888,-1.9,195.909
2011-03-28,189.0,89.0,66.542,30.0,8.667,7.708,12.5,4.025,-2.2,197.667
2011-03-29,191.292,73.0,45.833,18.0,6.167,11.958,15.8,7.754,-0.4,197.458
2011-03-30,189.5,84.0,55.208,19.0,11.542,13.208,18.5,10.471,3.0,201.042
2011-03-31,184.125,88.0,70.292,51.0,9.792,8.583,16.8,8.642,0.9,193.917
2011-04-01,188.091,96.0,63.0,20.0,8.318,8.625,14.2,6.267,-2.4,196.409
2011-04-02,186.875,95.0,61.75,40.0,8.458,17.75,14.1,6.496,0.6,195.333
2011-04-03,186.958,70.0,43.792,26.0,3.208,5.958,8.3,3.683,0.5,190.167
2011-04-04,187.625,82.0,46.958,26.0,2.458,3.833,7.5,2.525,-2.2,190.083
2011-04-05,187.773,83.0,51.375,24.0,6.818,7.292,14.3,5.162,-4.0,194.591
2011-04-06,187.167,86.0,46.792,11.0,9.417,13.458,19.1,8.862,-2.1,196.583
2011-04-07,189.0,89.0,60.083,24.0,14.75,17.167,18.8,9.571,0.8,203.75
2011-04-08,184.958,88.0,63.292,31.0,12.958,11.917,18.6,12.558,5.1,197.917
2011-04-09,185.0,96.0,90.167,81.0,13.417,6.5,9.4,8.171,6.6,198.417
2011-04-10,184.75,92.0,71.458,41.0,10.958,12.708,15.6,9.425,3.0,195.708
2011-04-11,184.292,97.0,73.667,40.0,11.75,16.875,16.0,7.896,2.1,196.042
2011-04-12,188.682,75.0,41.333,20.0,3.864,11.708,9.4,5.092,-0.4,192.545
2011-04-13,188.783,90.0,47.375,11.0,8.174,13.958,18.8,8.962,-2.4,196.957
2011-04-14,188.083,87.0,48.25,13.0,10.333,25.125,21.9,11.754,1.0,198.417
2011-04-15,187.333,88.0,58.292,19.0,13.625,25.583,22.6,13.858,4.6,200.958
2011-04-16,186.25,95.0,61.333,31.0,10.667,18.583,22.1,11.917,5.7,196.917
2011-04-17,187.083,82.0,45.542,21.0,6.333,7.333,16.9,9.275,3.5,193.417
2011-04-18,186.25,91.0,72.542,52.0,9.25,10.875,14.3,8.979,2.9,195.5
2011-04-19,186.091,94.0,90.417,85.0,4.909,6.125,8.2,4.55,1.2,191.0
2011-04-20,188.292,93.0,78.542,56.0,3.208,1.833,9.3,4.354,1.1,191.5
2011-04-21,190.318,94.0,78.125,51.0,10.727,7.565,14.1,7.392,1.6,201.045
2011-04-22,189.875,96.0,82.5,52.0,22.833,17.417,16.8,10.771,6.0,212.708
2011-04-23,185.792,96.0,92.5,87.0,19.75,10.875,14.5,12.65,7.7,205.542
2011-04-24,186.708,95.0,68.292,23.0,16.583,10.333,17.1,9.729,3.8,203.292
2011-04-25,187.917,97.0,69.833,37.0,15.75,10.458,14.7,7.5,1.8,203.667
2011-04-26,186.409,93.0,68.917,26.0,8.727,12.125,17.1,9.288,0.2,195.136
2011-04-27,185.042,94.0,67.792,40.0,11.667,29.458,24.2,16.712,8.6,196.708
2011-04-28,182.958,94.0,66.5,36.0,6.833,8.542,19.2,12.854,6.2,189.792
2011-04-29,185.958,96.0,66.375,33.0,6.917,10.458,15.5,9.108,3.6,192.875
2011-04-30,188.417,97.0,78.208,56.0,10.458,14.958,16.8,10.904,2.7,198.875
2011-05-01,185.208,95.0,71.417,46.0,11.042,17.583,19.7,14.996,9.6,196.25
2011-05-02,185.958,81.0,47.292,31.0,6.542,53.625,17.4,13.604,6.8,192.5
2011-05-03,186.0,96.0,73.958,37.0,8.409,30.083,19.1,11.246,4.1,194.409
2011-05-04,185.0,96.0,62.208,20.0,7.208,16.417,19.8,13.333,7.5,192.208
2011-05-05,187.708,93.0,73.667,57.0,6.333,13.958,14.1,9.438,5.1,194.042
2011-05-06,187.625,95.0,76.5,49.0,6.75,12.542,16.8,11.692,4.6,194.375
2011-05-07,184.042,96.0,88.417,74.0,9.042,11.25,16.4,14.133,12.6,193.083
2011-05-08,184.458,97.0,51.375,19.0,7.583,18.0,23.4,16.946,10.8,192.042
2011-05-09,187.792,82.0,55.208,21.0,9.167,12.083,23.0,15.808,7.8,196.958
2011-05-10,186.273,93.0,72.583,42.0,8.318,17.25,22.1,16.904,12.5,194.591
2011-05-11,187.208,96.0,93.583,86.0,5.75,11.25,13.2,12.558,11.8,192.958
2011-05-12,184.875,97.0,91.458,76.0,5.583,4.75,18.3,14.438,11.5,190.458
2011-05-13,183.625,96.0,64.833,29.0,2.375,37.792,20.4,15.625,9.0,186.0
2011-05-14,186.583,86.0,47.583,23.0,3.333,31.417,21.6,14.958,6.6,189.917
2011-05-15,188.583,80.0,40.042,17.0,3.042,12.958,24.0,16.962,8.0,191.625
2011-05-16,189.042,88.0,59.833,25.0,5.667,20.458,22.4,15.967,8.0,194.708
2011-05-17,187.158,97.0,74.458,37.0,7.947,29.957,20.7,15.15,10.1,195.105
2011-05-18,188.0,97.0,64.542,27.0,3.5,16.375,21.8,14.808,7.7,191.5
2011-05-19,189.417,94.0,59.125,20.0,7.083,19.958,26.9,17.458,7.9,196.5
2011-05-20,188.708,92.0,56.917,25.0,8.583,29.125,27.9,19.933,10.3,197.292
2011-05-21,186.333,91.0,64.958,33.0,10.542,38.083,29.6,20.804,12.6,196.875
2011-05-22,185.583,94.0,86.292,60.0,8.917,22.458,24.3,15.812,11.7,194.5
2011-05-23,187.333,95.0,77.333,50.0,7.333,8.125,17.2,12.867,9.1,194.667
2011-05-24,185.045,95.0,77.958,40.0,5.955,5.625,18.9,12.954,9.7,191.0
2011-05-25,186.591,96.0,65.708,30.0,7.591,9.913,23.4,15.529,7.9,194.182
2011-05-26,186.667,90.0,77.708,58.0,9.542,17.417,18.7,14.646,9.6,196.208
2011-05-27,185.042,95.0,79.583,51.0,6.458,10.5,19.9,16.021,14.1,191.5
2011-05-28,183.25,96.0,89.042,73.0,7.833,7.167,21.0,17.262,14.3,191.083
2011-05-29,181.958,97.0,93.792,90.0,9.833,7.708,17.7,16.592,14.8,191.792
2011-05-30,179.583,95.0,90.25,83.0,6.333,1.083,14.5,12.767,10.4,185.917
2011-05-31,186.045,90.0,72.375,50.0,3.773,11.833,15.0,10.725,7.1,189.818
2011-06-01,186.792,93.0,79.0,61.0,4.25,19.625,15.3,10.429,6.8,191.042
2011-06-02,187.208,96.0,93.792,90.0,7.625,11.417,14.5,12.688,9.4,194.833
2011-06-03,187.208,97.0,76.333,40.0,10.125,12.875,25.5,18.333,13.3,197.333
2011-06-04,189.333,97.0,74.333,29.0,11.542,22.292,26.9,18.908,11.4,200.875
2011-06-05,187.292,96.0,82.042,52.0,11.375,38.042,25.1,18.117,13.8,198.667
2011-06-06,186.125,97.0,68.5,30.0,9.292,23.792,25.8,19.333,13.8,195.417
2011-06-07,188.682,95.0,72.333,31.0,9.636,29.25,26.4,18.746,12.9,198.318
2011-06-08,185.25,94.0,76.333,49.0,7.875,14.208,23.1,17.238,12.3,193.125
2011-06-09,185.625,96.0,72.917,45.0,7.917,16.0,25.3,18.875,11.6,193.542
2011-06-10,188.583,95.0,79.083,60.0,11.5,34.0,24.6,20.333,15.6,200.083
2011-06-11,185.958,96.0,85.917,60.0,11.708,34.792,23.1,19.638,15.4,197.667
2011-06-12,189.458,97.0,76.958,51.0,9.375,15.542,25.2,19.833,14.1,198.833
2011-06-13,187.292,96.0,76.625,51.0,9.333,16.167,24.2,19.621,15.9,196.625
2011-06-14,187.714,95.0,72.333,38.0,6.905,11.0,23.3,18.646,15.2,194.619
2011-06-15,189.125,92.0,71.875,47.0,5.5,8.875,22.5,17.171,11.3,194.625
2011-06-16,190.0,96.0,83.167,61.0,5.833,9.083,22.1,17.138,11.7,195.833
2011-06-17,185.792,96.0,89.875,79.0,6.208,9.458,19.1,17.371,16.4,192.0
2011-06-18,187.0,96.0,92.792,85.0,6.875,5.0,18.4,16.7,14.3,193.875
2011-06-19,191.542,96.0,79.083,50.0,8.125,16.083,25.5,19.625,14.9,199.667
2011-06-20,193.958,96.0,77.75,49.0,12.333,29.458,27.7,22.5,17.3,206.292
2011-06-21,191.318,96.0,87.417,62.0,9.455,29.542,28.2,22.079,19.2,200.773
2011-06-22,188.375,97.0,74.333,38.0,7.333,26.792,31.5,24.129,17.7,195.708
2011-06-23,191.5,96.0,86.5,55.0,11.333,37.75,30.1,23.825,20.7,202.833
2011-06-24,181.917,92.0,68.917,41.0,8.917,21.167,33.2,26.633,22.3,190.833
2011-06-25,187.792,96.0,89.917,80.0,5.333,4.625,22.3,20.062,17.5,193.125
2011-06-26,188.333,96.0,94.0,87.0,4.125,8.25,20.2,18.346,16.8,192.458
2011-06-27,192.773,97.0,91.583,77.0,13.273,7.348,23.5,20.333,17.7,206.045
2011-06-28,189.409,97.0,89.0,68.0,10.364,16.667,27.9,23.738,20.1,199.773
2011-06-29,185.625,96.0,76.5,51.0,6.042,10.042,31.2,25.508,21.7,191.667
2011-06-30,193.25,96.0,84.958,61.0,8.875,24.125,29.5,23.883,20.2,202.125
2011-07-01,186.333,96.0,78.0,47.0,6.0,22.125,30.6,25.058,20.7,192.333
2011-07-02,184.125,96.0,79.0,57.0,4.667,22.208,29.4,24.488,21.3,188.792
2011-07-03,186.542,96.0,80.375,61.0,5.208,14.708,28.4,24.788,20.3,191.75
2011-07-04,182.542,94.0,75.875,50.0,9.417,37.875,32.2,26.279,21.8,191.958
2011-07-05,190.048,96.0,77.667,45.0,6.571,5.25,28.7,23.25,18.5,196.619
2011-07-06,194.542,95.0,68.292,35.0,5.25,13.25,30.3,23.404,16.5,199.792
2011-07-07,195.583,91.0,78.458,59.0,8.542,25.792,27.6,23.517,19.0,204.125
2011-07-08,192.917,96.0,88.5,74.0,10.708,17.542,27.7,24.617,22.4,203.625
2011-07-09,190.583,96.0,77.875,46.0,9.083,19.333,33.8,26.775,22.4,199.667
2011-07-10,191.542,94.0,74.333,42.0,7.708,15.5,33.9,26.562,20.7,199.25
2011-07-11,190.167,95.0,71.292,44.0,10.0,21.917,33.3,27.112,20.4,200.167
