date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,85.0,72.292,53.0,15.417,29.625,14.208,0.458,6.7,0.508,-3.3
2011-01-02,93.0,75.292,57.0,8.167,22.208,14.042,0.458,5.1,0.354,-3.9
2011-01-03,67.0,55.208,42.0,1.792,2.833,1.042,0.0,3.6,1.508,-0.7
2011-01-04,76.0,63.583,48.0,9.13,11.652,2.522,0.696,3.9,0.4,-2.5
2011-01-05,65.0,56.583,48.0,1.542,2.583,1.042,0.0,1.8,0.283,-0.7
2011-01-06,67.0,58.375,47.0,6.125,8.333,2.208,0.208,4.3,1.925,0.4
2011-01-07,64.0,54.833,41.0,2.333,3.667,1.333,0.375,3.4,0.762,-0.8
2011-01-08,61.0,51.917,35.0,4.792,6.292,1.5,0.0,3.6,1.108,-0.4
2011-01-09,86.0,66.167,41.0,13.458,18.917,5.458,0.625,5.2,1.154,-3.6
2011-01-10,74.0,60.5,47.0,10.667,16.167,5.5,0.333,4.0,1.867,-1.3
2011-01-11,85.0,72.375,43.0,11.542,17.667,6.125,0.167,1.8,-1.042,-3.2
2011-01-12,71.0,56.167,42.0,8.458,11.458,3.0,0.0,0.7,-1.946,-4.4
2011-01-13,86.0,67.667,48.0,18.0,27.708,9.708,0.667,5.1,-0.012,-4.8
2011-01-14,75.0,62.0,46.0,4.333,5.875,1.542,0.292,1.1,-0.696,-2.5
2011-01-15,77.0,63.375,51.0,3.75,5.042,1.292,0.625,1.3,-0.421,-2.5
2011-01-16,66.0,57.333,49.0,5.091,6.5,1.409,0.136,1.6,0.062,-1.3
2011-01-17,72.0,59.875,44.0,11.667,17.458,5.792,0.292,3.9,0.146,-3.3
2011-01-18,73.0,48.625,18.0,24.375,40.792,16.417,0.875,9.6,2.129,-4.4
2011-01-19,80.0,62.0,34.0,18.292,30.0,11.708,0.917,7.9,2.092,-2.3
2011-01-20,91.0,84.333,69.0,8.875,11.583,2.708,0.125,1.4,0.521,-0.1
2011-01-21,96.0,92.5,89.0,8.042,10.792,2.75,0.0,1.0,0.15,-0.9
2011-01-22,96.0,94.708,92.0,11.875,18.583,6.708,0.0,3.3,1.179,-1.4
2011-01-23,95.0,73.792,58.0,9.583,13.417,3.833,0.0,3.6,1.533,-1.8
2011-01-24,66.0,53.875,34.0,10.5,15.875,5.375,0.083,2.3,-1.142,-3.0
2011-01-25,79.0,64.958,48.0,20.0,34.783,14.783,0.652,2.3,-2.196,-5.8
2011-01-26,82.0,62.583,39.0,13.208,19.167,5.958,0.333,0.1,-3.112,-7.6
2011-01-27,86.0,71.75,58.0,21.0,35.75,14.75,1.25,-0.1,-2.983,-5.7
2011-01-28,87.0,73.375,51.0,8.833,10.667,1.833,0.458,-0.2,-2.796,-4.7
2011-01-29,67.0,53.833,38.0,1.917,2.958,1.042,0.125,-0.4,-2.442,-4.1
2011-01-30,72.0,54.25,35.0,7.917,11.333,3.417,0.083,0.9,-2.004,-5.4
2011-01-31,85.0,64.292,50.0,8.833,12.0,3.167,0.125,0.8,-2.112,-5.4
