date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,95.0,81.958,61.0,6.625,7.792,1.167,0.25,8.1,1.283,-3.7
2011-01-02,96.0,72.25,46.0,3.458,4.625,1.167,0.0,9.2,2.942,-1.9
2011-01-03,59.0,49.375,40.0,1.042,1.833,0.792,0.167,7.2,3.646,1.4
2011-01-04,75.0,62.958,54.0,1.87,2.435,0.565,1.125,6.9,2.6,0.2
2011-01-05,63.0,52.333,43.0,0.591,0.909,0.318,0.0,5.3,1.975,-0.1
2011-01-06,64.0,56.0,41.0,1.875,2.25,0.375,0.261,9.0,3.579,-0.1
2011-01-07,64.0,52.958,38.0,1.042,1.583,0.542,0.083,5.9,1.942,-1.2
2011-01-08,77.0,55.75,39.0,1.083,1.5,0.417,0.042,6.0,1.429,-2.8
2011-01-09,98.0,76.583,51.0,4.75,5.833,1.083,0.375,7.2,1.538,-2.7
2011-01-10,96.0,60.375,39.0,3.542,4.417,0.875,0.167,8.7,3.692,-0.1
2011-01-11,84.0,71.167,52.0,2.87,3.13,0.261,0.917,3.4,1.242,-1.8
2011-01-12,76.0,59.042,43.0,3.125,3.542,0.417,0.042,2.7,-1.408,-4.7
2011-01-13,87.0,67.125,35.0,7.25,9.667,2.417,1.087,9.5,1.2,-6.4
2011-01-14,66.0,53.708,38.0,1.333,1.458,0.125,0.958,4.3,0.954,-2.5
2011-01-15,77.0,59.583,40.0,1.667,1.792,0.125,0.917,5.9,0.921,-3.7
2011-01-16,67.0,56.5,45.0,2.348,2.435,0.087,0.391,5.2,1.55,-1.4
2011-01-17,80.0,61.917,48.0,3.958,4.5,0.542,0.583,5.4,0.988,-2.7
2011-01-18,85.0,62.5,36.0,6.739,7.826,1.087,0.792,8.3,2.404,-1.8
2011-01-19,81.0,68.083,61.0,2.792,3.0,0.208,2.0,6.6,3.979,-1.2
2011-01-20,90.0,75.958,70.0,0.0,0.0,0.0,0.294,4.8,3.921,2.9
2011-01-21,97.0,93.042,80.0,1.625,1.708,0.083,0.391,3.5,2.533,1.7
2011-01-22,98.0,94.583,86.0,0.833,0.875,0.042,0.0,6.4,3.85,-0.1
2011-01-23,78.0,68.333,58.0,1.458,1.583,0.125,0.4,7.4,3.796,0.3
2011-01-24,77.0,57.167,40.0,1.958,2.125,0.167,0.0,3.7,0.012,-3.1
2011-01-25,82.0,70.958,60.0,5.565,7.087,1.522,1.304,2.0,-0.925,-4.0
2011-01-26,84.0,59.417,42.0,2.958,4.0,1.042,0.261,2.1,-1.571,-5.1
