date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,91.0,78.125,64.0,0.875,3.583,81.0,23.708,-27.0
2011-01-02,91.0,68.542,49.0,0.75,1.958,86.0,37.125,-4.0
2011-01-03,67.0,48.292,33.0,0.625,0.625,77.0,39.917,11.0
2011-01-04,71.0,56.958,45.0,1.708,1.792,80.0,32.458,-2.0
2011-01-05,66.0,49.083,27.0,0.75,0.917,71.0,20.875,-7.0
2011-01-06,84.0,59.958,39.0,0.957,1.522,86.0,27.958,-42.0
2011-01-07,74.0,49.625,31.0,1.0,1.5,66.0,24.625,-24.0
2011-01-08,85.0,63.083,37.0,0.75,1.417,60.0,4.583,-44.0
2011-01-09,91.0,73.375,49.0,1.917,2.333,73.0,19.208,-17.0
2011-01-10,89.0,59.167,34.0,1.042,2.167,93.0,44.875,12.0
2011-01-11,83.0,66.5,45.0,1.0,3.417,49.0,20.208,-15.0
2011-01-12,75.0,51.833,40.0,1.083,0.375,34.0,-2.125,-37.0
2011-01-13,81.0,56.417,33.0,1.5,2.792,100.0,27.75,-46.0
2011-01-14,69.0,45.542,29.0,1.0,2.833,49.0,14.042,-33.0
2011-01-15,63.0,49.917,30.0,1.083,3.417,78.0,21.625,-12.0
2011-01-16,71.0,49.75,24.0,1.0,4.917,48.0,21.625,2.0
2011-01-17,76.0,56.958,35.0,1.0,3.292,62.0,15.708,-18.0
2011-01-18,76.0,59.667,40.0,1.045,7.273,84.0,23.833,-34.0
2011-01-19,82.0,64.958,50.0,1.792,10.083,73.0,37.833,-21.0
2011-01-20,91.0,82.417,67.0,0.75,4.0,46.0,30.042,17.0
2011-01-21,94.0,89.167,84.0,1.083,1.625,39.0,27.125,17.0
2011-01-22,96.0,90.042,75.0,0.958,0.25,59.0,44.917,29.0
2011-01-23,80.0,70.75,61.0,0.958,2.583,70.0,44.583,11.0
2011-01-24,74.0,54.917,38.0,1.0,2.042,37.0,5.833,-18.0
2011-01-25,92.0,77.542,56.0,1.667,4.667,47.0,-4.083,-33.0
2011-01-26,91.0,64.167,45.0,1.0,2.083,23.0,-13.292,-37.0
2011-01-27,76.0,58.667,38.0,1.583,4.792,41.0,-7.875,-49.0
2011-01-28,72.0,54.917,36.0,1.25,4.792,28.0,-6.375,-33.0
2011-01-29,71.0,47.833,29.0,1.0,1.792,35.0,-7.333,-42.0
2011-01-30,72.0,50.583,27.0,1.0,2.208,46.0,-6.625,-50.0
2011-01-31,67.0,52.542,28.0,1.0,1.667,69.0,8.0,-29.0
2011-02-01,84.0,55.667,24.0,1.25,4.25,101.0,18.958,-35.0
2011-02-02,68.0,43.333,20.0,1.0,1.417,44.0,3.458,-28.0
2011-02-03,78.0,58.542,31.0,0.913,2.13,45.0,-11.042,-59.0
2011-02-04,71.0,48.833,22.0,1.042,4.625,102.0,24.375,-43.0
2011-02-05,78.0,62.083,36.0,1.75,4.792,75.0,28.0,-22.0
2011-02-06,96.0,83.75,67.0,1.25,10.208,87.0,43.583,-8.0
2011-02-07,97.0,91.375,72.0,0.958,4.208,80.0,63.542,51.0
2011-02-08,86.0,54.792,35.0,1.0,2.417,60.0,30.0,-13.0
2011-02-09,67.0,55.625,40.0,1.0,0.542,35.0,4.708,-18.0
2011-02-10,88.0,65.125,38.0,1.833,3.0,72.0,14.833,-25.0
2011-02-11,90.0,59.833,33.0,1.0,1.417,50.0,6.0,-27.0
2011-02-12,78.0,52.292,31.0,1.0,2.042,50.0,9.292,-28.0
2011-02-13,78.0,57.542,40.0,1.042,4.708,69.0,36.0,4.0
2011-02-14,95.0,78.708,67.0,1.083,7.833,62.0,42.792,25.0
2011-02-15,95.0,68.375,45.0,1.375,9.417,96.0,46.167,8.0
2011-02-16,67.0,46.042,27.0,0.864,1.864,39.0,14.792,-10.0
2011-02-17,93.0,75.625,56.0,1.125,4.583,38.0,2.583,-14.0
