date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,96.0,80.583,59.0,8.5,10.167,1.667,0.435,13.625,6.2,0.662,-3.7
2011-01-02,97.0,72.792,47.0,3.5,3.833,0.333,0.25,10.833,10.7,2.892,-3.0
2011-01-03,68.0,50.042,37.0,2.0,2.0,0.0,0.125,5.208,8.1,3.604,0.1
2011-01-04,90.0,70.0,58.0,4.958,5.292,0.333,1.125,12.417,5.3,1.442,-1.3
2011-01-05,74.0,58.042,41.0,1.542,1.708,0.167,0.292,9.0,5.3,1.929,0.2
2011-01-06,67.0,55.458,43.0,3.083,3.667,0.583,0.458,9.0,8.2,3.733,1.2
2011-01-07,72.0,56.958,37.0,3.125,3.5,0.375,0.087,10.208,7.6,2.179,-1.7
2011-01-08,73.0,55.792,34.0,3.083,3.375,0.292,0.125,8.375,7.5,2.054,-1.8
2011-01-09,81.0,66.167,43.0,10.625,13.583,2.958,0.667,10.583,5.9,1.029,-3.7
2011-01-10,84.0,59.5,38.0,8.136,9.5,1.364,0.727,12.0,8.7,2.854,-1.2
2011-01-11,100.0,80.833,58.0,4.375,4.875,0.5,0.833,11.25,2.5,-0.554,-3.5
2011-01-12,87.0,66.583,43.0,8.875,11.417,2.542,0.25,7.917,4.3,-2.162,-7.8
2011-01-13,100.0,78.667,61.0,10.792,13.875,3.083,1.0,11.625,4.4,0.15,-5.4
2011-01-14,73.0,57.292,39.0,2.667,3.292,0.625,1.0,11.542,4.8,0.692,-1.5
2011-01-15,80.0,55.958,38.0,2.083,2.083,0.0,1.042,16.125,6.1,1.408,-3.0
2011-01-16,80.0,56.333,41.0,6.208,6.75,0.542,0.542,13.5,5.2,1.15,-2.3
2011-01-17,85.0,66.708,47.0,8.958,12.5,3.542,0.5,10.75,4.9,0.075,-4.4
2011-01-18,85.0,66.125,36.0,12.583,15.667,3.083,1.0,14.25,8.6,1.812,-4.2
2011-01-19,87.0,70.0,52.0,8.478,10.087,1.609,1.273,17.913,7.3,2.675,-2.8
2011-01-20,96.0,76.083,62.0,4.792,5.417,0.625,0.5,10.0,4.0,2.9,1.5
2011-01-21,100.0,99.208,96.0,8.375,9.625,1.25,0.292,9.5,2.4,0.812,-0.2
2011-01-22,100.0,99.75,97.0,7.208,7.958,0.75,0.0,4.5,3.8,1.512,-0.3
2011-01-23,91.0,68.583,55.0,5.583,6.292,0.708,0.542,9.625,6.0,2.771,-0.7
2011-01-24,65.0,53.0,38.0,4.042,4.667,0.625,0.125,10.167,5.2,0.688,-1.6
2011-01-25,88.0,69.958,55.0,7.083,7.792,0.708,1.043,16.083,1.8,-1.138,-3.7
2011-01-26,77.0,59.167,39.0,4.917,5.792,0.875,0.5,10.417,3.9,-0.912,-4.3
2011-01-27,89.0,77.875,67.0,6.458,7.0,0.542,1.083,16.708,1.2,-1.454,-3.0
2011-01-28,96.0,77.958,54.0,3.333,3.625,0.292,0.708,13.583,2.4,-2.371,-5.7
2011-01-29,87.0,64.875,48.0,3.583,3.917,0.333,0.167,10.75,3.2,-2.417,-8.1
2011-01-30,78.0,56.958,36.0,5.167,5.917,0.75,0.458,9.375,4.0,-0.671,-3.9
2011-01-31,81.0,61.375,43.0,3.542,4.167,0.625,0.565,12.0,5.0,-0.221,-3.5
2011-02-01,79.0,57.333,40.0,6.708,8.5,1.792,0.917,10.625,7.0,0.358,-5.5
2011-02-02,87.0,54.458,29.0,3.458,4.167,0.708,1.0,10.833,3.6,-0.288,-3.7
2011-02-03,83.0,60.417,37.0,5.542,6.583,1.042,0.167,10.542,5.2,-0.658,-5.2
2011-02-04,93.0,65.583,42.0,5.25,6.167,0.917,1.0,11.667,9.0,2.083,-4.9
2011-02-05,88.0,59.5,38.0,6.042,6.792,0.75,0.875,16.958,7.2,2.042,-2.4
2011-02-06,100.0,87.25,64.0,9.708,12.25,2.542,0.913,18.958,7.7,2.417,-4.9
2011-02-07,100.0,93.083,70.0,8.875,10.208,1.333,0.875,13.875,8.8,4.904,2.8
2011-02-08,87.0,56.958,37.0,3.5,4.292,0.792,0.917,14.458,5.6,1.412,-2.5
2011-02-09,80.0,62.75,37.0,5.591,6.591,1.0,0.591,10.625,5.2,-0.642,-4.6
2011-02-10,90.0,67.875,43.0,6.125,7.792,1.667,0.783,12.667,5.2,-0.504,-4.8
2011-02-11,86.0,58.458,38.0,4.042,4.458,0.417,0.333,12.75,5.1,-0.675,-4.9
2011-02-12,95.0,62.417,40.0,2.0,2.208,0.208,0.542,13.083,4.8,-0.238,-5.8
2011-02-13,79.0,59.875,43.0,7.667,9.0,1.333,0.625,16.708,5.9,1.829,-2.3
2011-02-14,95.0,79.708,64.0,10.792,12.667,1.875,0.833,20.167,6.1,2.829,-1.2
2011-02-15,95.0,61.792,29.0,6.833,11.375,4.542,1.167,21.5,9.0,2.296,-1.9
2011-02-16,63.0,48.5,32.0,4.75,5.292,0.542,0.217,12.625,5.0,0.617,-2.2
2011-02-17,96.0,68.208,50.0,5.167,5.542,0.375,0.875,15.75,2.9,-1.388,-6.0
2011-02-18,82.0,55.292,31.0,4.542,5.042,0.5,0.375,12.083,3.6,-1.221,-6.3
2011-02-19,79.0,56.75,37.0,4.458,4.583,0.125,0.75,13.667,5.3,-0.129,-6.2
2011-02-20,87.0,69.667,35.0,11.391,14.13,2.739,0.609,15.217,8.6,0.438,-5.6
2011-02-21,88.0,59.167,38.0,6.75,7.833,1.083,2.417,26.292,10.6,3.179,-3.9
2011-02-22,81.0,65.083,52.0,8.625,9.75,1.125,1.304,18.75,4.7,1.579,-2.5
2011-02-23,100.0,90.5,57.0,8.0,8.833,0.833,0.625,14.625,8.4,3.671,1.2
2011-02-24,76.0,53.542,34.0,5.708,6.75,1.042,2.25,29.583,11.8,6.05,0.6
2011-02-25,100.0,95.875,72.0,5.583,6.208,0.625,0.208,12.75,2.1,0.9,0.0
2011-02-26,100.0,80.083,61.0,3.792,4.333,0.542,0.208,11.667,3.8,0.479,-3.7
2011-02-27,79.0,60.75,43.0,4.125,5.667,1.542,0.167,10.458,4.3,-0.242,-5.4
2011-02-28,88.0,71.75,53.0,10.542,12.333,1.792,0.826,12.958,2.6,-1.717,-7.4
2011-03-01,100.0,87.333,61.0,11.417,14.208,2.792,1.25,18.292,9.5,3.9,-0.7
2011-03-02,100.0,95.417,57.0,11.125,11.958,0.833,1.375,13.083,5.4,1.05,-0.5
2011-03-03,100.0,90.292,74.0,5.565,6.043,0.478,1.0,16.917,4.9,1.342,-2.0
2011-03-04,94.0,70.542,49.0,5.083,5.375,0.292,1.0,16.375,3.5,0.358,-4.6
2011-03-05,100.0,98.792,78.0,8.542,9.833,1.292,0.348,12.583,7.3,1.75,-0.3
2011-03-06,100.0,98.083,89.0,11.0,14.083,3.083,0.792,13.583,9.2,6.838,5.1
2011-03-07,100.0,64.583,41.0,5.083,5.417,0.333,0.625,20.75,12.2,7.783,2.4
2011-03-08,98.0,87.042,67.0,6.333,6.625,0.292,0.708,18.5,5.9,3.829,1.4
2011-03-09,100.0,92.708,79.0,7.292,7.542,0.25,0.708,21.083,5.3,3.458,0.5
2011-03-10,100.0,100.0,100.0,5.917,6.208,0.292,0.333,11.917,2.6,1.579,0.4
2011-03-11,100.0,90.333,76.0,3.875,4.167,0.292,0.478,13.75,4.3,2.862,1.1
2011-03-12,94.0,64.958,38.0,3.13,3.348,0.217,0.696,11.958,9.8,4.412,-1.3
2011-03-13,97.0,62.125,36.0,3.125,3.292,0.167,0.455,8.5,11.0,4.096,-0.4
2011-03-14,88.0,67.167,49.0,6.792,7.667,0.875,1.0,13.875,6.2,2.267,-3.0
2011-03-15,84.0,55.875,31.0,3.792,4.125,0.333,1.083,19.417,10.6,4.521,-1.1
2011-03-16,88.0,60.125,39.0,6.292,6.792,0.5,1.0,21.542,7.2,3.442,-0.9
2011-03-17,100.0,93.75,75.0,13.917,15.042,1.125,1.125,25.875,5.6,3.325,-1.4
2011-03-18,100.0,92.625,72.0,11.583,12.375,0.792,1.083,29.333,9.0,6.517,4.8
