date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,193.208,5.0,91.0,77.75,56.0,19.458,18.458,31.25,12.792,,1.5,7.9,1.029,-3.0,212.667
2011-01-02,191.917,3.5,97.0,79.625,61.0,14.833,10.417,23.917,13.5,,1.042,5.4,0.862,-3.6,206.75
2011-01-03,188.217,1.833,61.0,55.0,47.0,4.783,3.208,6.917,3.708,,0.167,3.3,1.979,0.9,193.0
2011-01-04,189.455,3.261,81.0,65.833,48.0,13.0,9.783,15.913,6.13,,0.167,4.3,0.679,-2.5,202.455
2011-01-05,190.708,1.958,75.0,59.875,52.0,8.417,3.042,7.708,4.667,,0.375,1.7,0.508,-0.5,199.125
2011-01-06,191.375,2.75,71.0,60.875,51.0,9.0,9.542,20.875,11.333,,0.25,4.1,2.154,0.8,200.375
2011-01-07,191.417,2.292,65.0,55.083,41.0,8.042,5.625,13.333,7.708,,0.25,3.5,1.212,-0.1,199.458
2011-01-08,192.167,2.125,60.0,52.125,39.0,7.583,4.208,8.958,4.75,,0.167,3.1,1.362,0.2,199.75
2011-01-09,192.417,3.208,92.0,71.125,47.0,14.208,13.75,22.042,8.292,,0.292,4.3,1.179,-3.2,206.625
2011-01-10,190.136,3.625,79.0,62.167,44.0,13.136,16.292,31.125,14.833,,0.375,5.1,2.2,-0.9,203.273
2011-01-11,190.583,3.292,91.0,76.917,56.0,15.25,17.333,37.292,19.958,,3.333,2.1,-0.75,-2.7,205.833
2011-01-12,189.125,2.542,75.0,58.083,47.0,10.167,11.833,23.083,11.25,,0.167,0.6,-1.588,-4.2,199.292
2011-01-13,188.545,4.158,94.0,73.583,51.0,15.864,21.652,39.87,18.217,,0.391,5.1,-0.212,-5.4,204.409
2011-01-14,187.5,2.667,80.0,64.583,49.0,8.375,5.042,12.083,7.042,,0.417,1.0,-0.533,-2.1,195.875
2011-01-15,187.042,2.667,74.0,63.5,50.0,8.667,5.458,9.833,4.375,,0.083,1.9,0.033,-2.0,195.708
2011-01-16,190.0,2.917,68.0,57.833,48.0,10.0,10.792,23.375,12.583,,0.5,1.8,0.317,-1.3,200.0
2011-01-17,189.833,3.25,70.0,59.0,47.0,13.5,15.75,27.958,12.208,,0.375,3.4,0.575,-2.4,203.333
2011-01-18,190.458,3.833,74.0,50.292,22.0,16.083,24.167,42.333,18.167,,4.75,9.0,1.967,-4.3,206.542
2011-01-19,192.208,4.375,81.0,63.542,38.0,22.25,23.833,51.208,27.375,,9.542,8.0,2.475,-1.2,214.458
2011-01-20,188.833,2.125,94.0,87.833,69.0,11.625,12.833,16.333,3.5,,1.333,1.8,0.896,0.2,200.458
2011-01-21,188.875,2.917,98.0,94.917,92.0,13.042,17.708,27.75,10.042,,0.458,1.3,0.379,-0.7,201.917
2011-01-22,187.391,3.875,98.0,92.958,82.0,16.739,21.708,43.042,21.333,,0.375,3.8,2.062,0.7,204.13
2011-01-23,187.538,3.458,92.0,76.125,63.0,12.385,15.042,27.958,12.917,,0.208,4.2,2.212,-1.4,199.923
2011-01-24,191.708,3.125,73.0,56.583,37.0,12.625,15.042,27.708,12.667,,0.458,1.4,-1.088,-3.7,204.333
2011-01-25,194.5,4.25,86.0,68.167,48.0,21.583,26.75,51.0,24.25,,2.25,3.2,-2.071,-6.7,216.083
2011-01-26,194.292,3.75,90.0,65.083,45.0,15.875,19.792,35.708,15.917,,1.917,0.3,-2.783,-5.9,210.167
2011-01-27,195.333,4.3,92.0,76.875,56.0,17.417,23.87,41.043,17.174,,3.917,0.4,-3.062,-6.9,212.75
2011-01-28,,2.042,94.0,76.25,50.0,,10.917,19.333,8.417,,3.542,-0.3,-2.504,-4.3,
2011-01-29,,1.375,67.0,52.417,37.0,,2.833,6.542,3.708,,0.25,0.3,-1.971,-3.5,
2011-01-30,,2.458,70.0,53.0,37.0,,11.542,23.625,12.083,,0.667,1.0,-1.55,-4.0,
2011-01-31,,2.208,89.0,67.75,49.0,,11.0,21.458,10.458,,0.292,1.6,-1.604,-3.4,
2011-02-01,,2.957,89.0,73.083,41.0,,20.0,37.522,17.522,,1.0,2.9,-2.192,-7.7,
2011-02-02,,2.042,88.0,60.792,33.0,,9.958,17.958,8.0,,0.625,0.8,-2.108,-4.0,
2011-02-03,,3.917,86.0,66.667,46.0,,21.375,43.708,22.333,,0.167,0.6,-2.25,-5.5,
2011-02-04,,3.5,93.0,74.917,48.0,,19.25,34.958,15.708,,1.792,4.4,-1.104,-7.3,
2011-02-05,,3.208,85.0,61.125,45.0,,13.875,24.25,10.375,,0.958,4.1,1.396,-2.0,
2011-02-06,,4.75,97.0,82.208,48.0,,29.5,58.792,29.292,,14.333,8.2,1.475,-5.2,
