date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,90.0,75.167,51.0,12.5,20.625,8.125,0.292,8.0,0.55,-4.1
2011-01-02,93.0,75.667,56.0,7.75,15.167,7.417,0.083,5.7,0.558,-3.7
2011-01-03,69.0,56.917,47.0,2.333,3.292,0.958,0.125,3.1,1.304,-0.9
2011-01-04,81.0,64.292,39.0,7.783,10.391,2.609,0.391,6.0,0.408,-3.5
2011-01-05,74.0,57.0,49.0,2.125,3.708,1.583,0.25,2.4,0.304,-0.7
2011-01-06,67.0,58.083,47.0,5.292,7.5,2.208,0.125,4.3,1.908,0.3
2011-01-07,64.0,53.583,38.0,2.875,4.625,1.75,0.125,3.8,0.962,-0.5
2011-01-08,60.0,52.292,41.0,2.5,3.75,1.25,0.333,2.9,0.954,-0.2
2011-01-09,90.0,71.083,43.0,12.208,16.167,3.958,0.125,5.1,0.558,-4.1
2011-01-10,78.0,60.375,38.0,11.917,17.792,5.875,0.125,6.0,1.892,-1.6
2011-01-11,86.0,74.667,61.0,13.917,24.042,10.125,0.25,1.4,-1.071,-3.0
2011-01-12,76.0,55.542,37.0,7.75,11.208,3.458,0.25,1.1,-1.996,-5.5
2011-01-13,90.0,68.708,44.0,18.348,26.087,7.739,1.304,5.3,-0.275,-5.5
2011-01-14,78.0,63.5,40.0,4.708,6.542,1.833,0.917,2.4,-0.904,-2.5
2011-01-15,73.0,60.083,49.0,3.625,5.208,1.583,1.333,1.8,-0.121,-2.2
2011-01-16,69.0,56.292,44.0,6.292,8.25,1.958,0.083,2.7,0.154,-1.4
2011-01-17,71.0,56.75,41.0,9.708,13.292,3.583,0.083,4.4,0.354,-2.8
2011-01-18,77.0,52.042,19.0,20.875,31.167,10.292,0.458,8.8,1.038,-5.5
2011-01-19,82.0,62.208,31.0,22.083,47.042,24.958,1.208,9.3,1.796,-4.1
2011-01-20,91.0,85.833,70.0,15.417,18.833,3.417,0.292,1.6,0.6,-0.1
2011-01-21,94.0,90.708,87.0,12.792,16.125,3.333,0.083,1.4,0.225,-0.7
2011-01-22,94.0,90.0,84.0,16.625,31.625,15.0,0.25,3.6,1.375,-1.0
2011-01-23,91.0,72.583,63.0,10.333,13.208,2.875,0.0,4.3,1.65,-1.5
2011-01-24,73.0,55.875,35.0,10.15,14.7,4.55,0.333,1.7,-1.488,-4.7
2011-01-25,85.0,65.792,39.0,24.792,43.417,18.625,0.667,4.5,-2.271,-7.7
2011-01-26,86.0,64.292,39.0,14.875,22.083,7.208,0.75,-0.1,-3.6,-7.3
2011-01-27,86.0,71.25,46.0,16.167,22.042,5.875,1.667,0.7,-3.321,-8.1
2011-01-28,88.0,71.833,45.0,9.5,12.125,2.625,0.708,0.0,-2.746,-5.4
2011-01-29,64.0,51.75,37.0,1.917,3.417,1.5,0.0,-0.1,-2.367,-3.7
2011-01-30,71.0,53.208,35.0,10.333,14.5,4.167,0.375,0.6,-2.129,-5.3
2011-01-31,83.0,65.5,43.0,10.792,15.917,5.125,0.625,2.3,-2.171,-5.9
2011-02-01,85.0,69.708,37.0,16.391,26.565,10.174,0.826,3.1,-2.888,-9.2
2011-02-02,84.0,57.25,27.0,7.958,10.25,2.292,0.417,2.5,-2.4,-5.3
2011-02-03,84.0,66.75,43.0,18.917,30.958,12.042,0.458,1.0,-3.304,-6.8
2011-02-04,90.0,70.667,36.0,16.75,32.292,15.542,1.0,6.0,-1.542,-8.6
2011-02-05,85.0,60.125,41.0,10.333,16.667,6.333,0.792,4.7,0.908,-3.1
2011-02-06,92.0,78.417,45.0,23.792,45.708,21.917,1.208,8.1,1.004,-6.1
2011-02-07,93.0,79.792,67.0,14.348,21.087,6.739,0.318,6.6,4.654,2.1
2011-02-08,72.0,58.792,44.0,4.5,6.417,1.917,0.708,2.4,-0.558,-3.1
2011-02-09,86.0,68.25,43.0,8.583,10.792,2.208,0.042,0.7,-1.958,-3.6
2011-02-10,83.0,61.167,37.0,10.458,13.75,3.292,0.375,3.9,-0.129,-3.1
2011-02-11,76.0,59.375,36.0,6.75,8.208,1.458,0.125,1.7,-1.538,-4.4
2011-02-12,88.0,60.75,37.0,7.25,9.792,2.542,0.167,1.2,-1.738,-5.0
2011-02-13,62.0,47.333,29.0,12.417,15.417,3.0,0.625,6.8,2.596,-2.4
2011-02-14,90.0,68.583,55.0,18.667,25.292,6.625,0.667,5.9,2.896,0.7
2011-02-15,92.0,62.167,43.0,11.167,20.125,8.958,1.0,6.8,2.092,-1.1
2011-02-16,57.0,44.583,24.0,8.042,10.083,2.042,0.167,2.7,-0.45,-2.2
2011-02-17,85.0,56.875,30.0,14.292,17.917,3.625,0.792,4.3,-0.95,-4.5
2011-02-18,66.0,52.708,33.0,4.0,5.667,1.667,0.125,1.1,-2.329,-5.1
2011-02-19,74.0,56.042,30.0,8.792,10.625,1.833,0.208,2.9,-2.196,-7.0
2011-02-20,82.0,62.458,33.0,20.375,31.833,11.458,0.167,6.6,-0.479,-7.1
2011-02-21,80.0,61.792,42.0,11.048,13.619,2.571,1.81,8.2,1.7,-3.7
2011-02-22,61.0,40.833,15.0,8.333,10.25,1.917,3.917,10.2,3.95,-1.1
2011-02-23,92.0,80.5,59.0,18.875,25.75,6.875,0.708,9.3,4.238,1.4
2011-02-24,66.0,53.417,40.0,9.292,11.042,1.75,2.542,8.1,4.392,1.8
2011-02-25,91.0,84.417,66.0,15.042,19.083,4.042,0.292,1.7,0.679,-0.6
2011-02-26,91.0,69.125,53.0,8.375,11.708,3.333,0.0,2.9,-0.017,-2.6
2011-02-27,69.0,56.125,44.0,4.25,6.125,1.875,0.0,1.1,-1.521,-3.8
2011-02-28,69.0,53.667,32.0,12.917,16.333,3.417,0.125,3.5,-0.392,-4.2
2011-03-01,94.0,77.167,43.0,32.917,61.542,28.625,0.5,11.8,3.408,-1.4
2011-03-02,94.0,90.833,67.0,23.913,55.783,31.87,0.348,4.6,0.208,-1.7
2011-03-03,94.0,72.625,49.0,10.625,13.958,3.333,0.167,5.6,1.667,-0.5
2011-03-04,86.0,58.458,36.0,8.583,10.5,1.917,0.583,6.5,1.554,-3.5
2011-03-05,93.0,92.375,90.0,26.083,42.292,16.208,0.208,3.5,1.279,-0.5
2011-03-06,93.0,82.083,65.0,24.625,47.833,23.208,0.375,12.1,6.858,2.5
2011-03-07,83.0,60.708,49.0,7.375,9.125,1.75,0.458,9.0,6.767,5.5
2011-03-08,72.0,58.208,38.0,14.5,17.167,2.667,0.792,11.3,6.342,3.1
2011-03-09,93.0,81.875,61.0,15.261,17.783,2.522,0.545,5.6,3.308,0.5
2011-03-10,94.0,87.792,73.0,9.0,11.208,2.208,0.0,4.4,1.567,0.2
2011-03-11,92.0,73.417,44.0,7.417,9.667,2.25,0.167,8.0,3.225,-0.7
2011-03-12,89.0,72.833,53.0,6.833,8.958,2.125,0.167,4.0,0.712,-1.6
2011-03-13,70.0,55.708,33.0,4.625,6.25,1.625,0.042,7.5,2.246,-0.8
2011-03-14,81.0,55.167,29.0,13.708,16.958,3.25,0.333,8.3,2.721,-2.4
2011-03-15,79.0,56.333,33.0,11.792,14.667,2.875,0.667,6.0,2.496,-0.9
2011-03-16,66.0,44.042,20.0,6.458,8.0,1.542,0.625,10.7,4.288,0.3
2011-03-17,92.0,83.625,68.0,25.375,33.167,7.792,0.458,8.1,5.329,1.0
2011-03-18,94.0,78.542,66.0,11.042,16.417,5.375,0.083,11.8,8.633,5.1
2011-03-19,79.0,51.792,34.0,3.375,5.208,1.833,0.0,5.5,2.292,0.5
2011-03-20,70.0,49.958,28.0,4.5,5.958,1.458,0.0,9.4,2.946,-2.7
2011-03-21,62.0,47.625,32.0,2.75,4.083,1.333,0.125,5.5,2.8,-0.3
2011-03-22,76.0,48.25,20.0,6.958,8.75,1.792,1.042,14.3,7.046,1.0
2011-03-23,93.0,67.875,41.0,9.217,10.826,1.609,1.522,10.9,6.408,1.3
2011-03-24,92.0,76.625,59.0,6.583,8.333,1.75,0.0,8.6,4.171,1.6
2011-03-25,85.0,60.292,21.0,4.875,6.292,1.417,0.0,10.4,3.738,-0.3
2011-03-26,88.0,61.667,32.0,5.625,7.208,1.583,0.0,5.9,2.262,0.0
2011-03-27,89.0,51.333,23.0,7.75,9.375,1.625,0.083,10.9,5.217,0.2
2011-03-28,75.0,60.917,32.0,12.917,16.375,3.458,1.125,12.1,5.046,-0.7
2011-03-29,64.0,40.875,18.0,9.75,12.458,2.708,0.458,15.9,8.475,2.6
2011-03-30,69.0,45.75,18.0,17.417,19.917,2.5,1.458,19.1,12.379,5.8
2011-03-31,83.0,66.833,55.0,6.833,8.042,1.208,0.167,15.3,8.842,3.3
2011-04-01,87.0,52.25,17.0,12.13,17.957,5.826,0.565,15.6,7.838,-1.2
2011-04-02,80.0,54.708,41.0,7.458,8.875,1.417,0.708,10.8,6.754,3.0
2011-04-03,57.0,40.167,26.0,2.5,3.333,0.833,0.625,8.6,4.108,1.5
2011-04-04,59.0,38.708,25.0,4.75,6.167,1.417,0.417,8.5,4.4,1.6
