date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,91.0,78.125,64.0,0.875,3.5833333333333335,81.0,23.708333333333332,-27.0
2011-01-02,91.0,68.54166666666667,49.0,0.75,1.9583333333333333,86.0,37.125,-4.0
2011-01-03,67.0,48.291666666666664,33.0,0.625,0.625,77.0,39.916666666666664,11.0
2011-01-04,71.0,56.958333333333336,45.0,1.7083333333333333,1.7916666666666667,80.0,32.458333333333336,-2.0
2011-01-05,66.0,49.083333333333336,27.0,0.75,0.9166666666666666,71.0,20.875,-7.0
2011-01-06,84.0,59.958333333333336,39.0,0.9565217391304348,1.5217391304347827,86.0,27.958333333333332,-42.0
2011-01-07,74.0,49.625,31.0,1.0,1.5,66.0,24.625,-24.0
2011-01-08,85.0,63.083333333333336,37.0,0.75,1.4166666666666667,60.0,4.583333333333333,-44.0
2011-01-09,91.0,73.375,49.0,1.9166666666666667,2.3333333333333335,73.0,19.208333333333332,-17.0
2011-01-10,89.0,59.166666666666664,34.0,1.0416666666666667,2.1666666666666665,93.0,44.875,12.0
2011-01-11,83.0,66.5,45.0,1.0,3.4166666666666665,49.0,20.208333333333332,-15.0
2011-01-12,75.0,51.833333333333336,40.0,1.0833333333333333,0.375,34.0,-2.125,-37.0
2011-01-13,81.0,56.416666666666664,33.0,1.5,2.7916666666666665,100.0,27.75,-46.0
2011-01-14,69.0,45.541666666666664,29.0,1.0,2.8333333333333335,49.0,14.041666666666666,-33.0
2011-01-15,63.0,49.916666666666664,30.0,1.0833333333333333,3.4166666666666665,78.0,21.625,-12.0
2011-01-16,71.0,49.75,24.0,1.0,4.916666666666667,48.0,21.625,2.0
2011-01-17,76.0,56.958333333333336,35.0,1.0,3.2916666666666665,62.0,15.708333333333334,-18.0
2011-01-18,76.0,59.666666666666664,40.0,1.0454545454545454,7.2727272727272725,84.0,23.833333333333332,-34.0
2011-01-19,82.0,64.95833333333333,50.0,1.7916666666666667,10.083333333333334,73.0,37.833333333333336,-21.0
2011-01-20,91.0,82.41666666666667,67.0,0.75,4.0,46.0,30.041666666666668,17.0
