date,SO2_mean,SPM_mean
2011-08-01,0.25,10.167
2011-08-02,0.25,21.917
2011-08-03,0.565,30.375
2011-08-04,0.478,26.5
2011-08-05,0.5,34.5
2011-08-06,0.167,14.5
2011-08-07,0.667,25.091
2011-08-08,0.583,28.042
2011-08-09,0.792,19.75
2011-08-10,0.565,32.583
2011-08-11,0.348,33.652
2011-08-12,0.333,34.292
2011-08-13,0.125,22.13
2011-08-14,0.208,20.636
2011-08-15,0.125,27.625
2011-08-16,0.083,30.13
2011-08-17,0.0,41.81
2011-08-18,0.087,23.591
2011-08-19,0.042,5.542
2011-08-20,0.0,4.083
2011-08-21,0.0,5.292
2011-08-22,0.125,3.75
2011-08-23,0.0,8.708
2011-08-24,0.174,14.458
2011-08-25,0.043,4.542
2011-08-26,0.0,4.667
2011-08-27,0.125,5.208
2011-08-28,0.125,11.708
2011-08-29,0.125,12.083
2011-08-30,0.208,26.792
2011-08-31,0.391,33.375
2011-09-01,0.261,10.13
2011-09-02,0.375,7.545
2011-09-03,0.167,17.708
2011-09-04,0.0,6.042
2011-09-05,0.0,5.958
2011-09-06,0.125,6.083
2011-09-07,0.391,3.292
2011-09-08,0.391,14.125
2011-09-09,0.375,17.833
2011-09-10,0.125,25.042
2011-09-11,0.167,27.917
2011-09-12,0.375,16.167
2011-09-13,0.333,13.083
2011-09-14,0.591,19.522
2011-09-15,0.522,25.125
2011-09-16,0.625,12.739
2011-09-17,0.0,14.833
2011-09-18,0.0,6.083
2011-09-19,0.0,5.042
2011-09-20,0.0,2.792
2011-09-21,0.0,5.217
2011-09-22,0.0,3.125
2011-09-23,0.083,5.375
2011-09-24,0.0,3.0
2011-09-25,0.375,6.25
2011-09-26,0.095,20.429
2011-09-27,0.417,5.292
2011-09-28,0.522,15.292
2011-09-29,0.609,17.125
2011-09-30,0.083,12.167
2011-10-01,0.083,9.083
2011-10-02,0.0,2.458
2011-10-03,0.083,5.042
2011-10-04,0.083,2.292
2011-10-05,0.261,12.792
2011-10-06,0.217,4.042
2011-10-07,0.583,16.417
2011-10-08,0.458,17.542
2011-10-09,0.375,26.042
2011-10-10,1.292,32.917
2011-10-11,0.875,16.75
2011-10-12,0.522,22.917
2011-10-13,0.409,18.0
2011-10-14,0.292,13.292
2011-10-15,0.083,11.208
2011-10-16,0.625,12.333
2011-10-17,0.5,16.042
2011-10-18,0.0,9.75
2011-10-19,0.0,12.25
2011-10-20,0.522,9.625
2011-10-21,0.417,11.083
2011-10-22,0.333,11.542
2011-10-23,0.167,7.125
2011-10-24,0.125,7.208
2011-10-25,0.25,7.783
2011-10-26,0.083,6.208
2011-10-27,0.087,6.917
2011-10-28,0.417,7.917
2011-10-29,0.458,7.083
2011-10-30,0.167,23.125
2011-10-31,0.042,4.792
2011-11-01,0.458,6.5
2011-11-02,0.5,10.792
2011-11-03,0.304,15.25
2011-11-04,0.458,12.625
2011-11-05,0.292,21.958
2011-11-06,0.0,3.042
2011-11-07,0.0,5.875
2011-11-08,0.042,5.375
2011-11-09,0.208,4.042
2011-11-10,0.043,3.417
2011-11-11,0.0,4.375
2011-11-12,0.25,3.042
2011-11-13,0.042,8.875
2011-11-14,0.667,24.792
2011-11-15,0.0,6.333
2011-11-16,0.208,7.0
2011-11-17,0.609,9.667
2011-11-18,0.25,11.0
2011-11-19,0.0,6.25
2011-11-20,0.0,5.5
2011-11-21,0.0,3.625
2011-11-22,0.083,6.333
