date,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,7.208,-3.7,-5.962,-9.5
2011-01-02,3.75,-1.5,-3.562,-7.4
2011-01-03,4.042,-4.2,-7.883,-12.4
2011-01-04,4.583,-3.1,-5.908,-9.6
2011-01-05,5.522,0.5,-3.056,-5.7
2011-01-06,6.833,-1.7,-3.954,-6.9
2011-01-07,5.25,-1.0,-4.146,-11.1
2011-01-08,4.75,-7.1,-9.75,-12.7
2011-01-09,7.875,-2.9,-6.258,-9.3
2011-01-10,7.25,-4.9,-7.654,-9.7
2011-01-11,4.125,-8.9,-10.538,-14.8
2011-01-12,6.542,-7.7,-12.496,-18.1
2011-01-13,5.083,-4.5,-7.975,-9.8
2011-01-14,2.75,-8.9,-10.175,-12.2
2011-01-15,3.875,-6.3,-9.108,-14.6
2011-01-16,9.333,-6.9,-11.979,-15.4
2011-01-17,9.667,-8.0,-13.154,-17.5
2011-01-18,11.458,-3.7,-8.833,-13.5
2011-01-19,8.913,-2.8,-7.425,-13.8
2011-01-20,8.5,-7.7,-13.292,-17.8
2011-01-21,9.583,-8.7,-13.0,-17.7
2011-01-22,9.292,-1.5,-4.754,-9.8
2011-01-23,4.167,-0.1,-2.404,-6.8
2011-01-24,4.375,-5.2,-8.317,-13.3
2011-01-25,4.208,-4.7,-7.892,-13.4
2011-01-26,4.375,-5.1,-10.617,-15.3
2011-01-27,5.042,-7.1,-10.604,-15.3
2011-01-28,7.958,-9.3,-13.304,-18.2
2011-01-29,8.708,-4.4,-8.358,-11.1
2011-01-30,6.909,-4.7,-9.283,-14.1
2011-01-31,6.05,-6.3,-9.696,-14.5
2011-02-01,7.375,-8.2,-10.85,-16.0
2011-02-02,4.826,-7.2,-11.462,-16.5
2011-02-03,6.174,-6.7,-11.717,-15.8
2011-02-04,8.375,-4.6,-8.258,-12.8
2011-02-05,3.958,-3.1,-5.379,-8.2
2011-02-06,5.083,1.1,-0.962,-3.8
2011-02-07,7.417,1.2,-0.379,-2.2
2011-02-08,4.958,-2.4,-5.804,-8.3
2011-02-09,7.042,-6.9,-9.679,-15.2
