date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-01-01,,,15.25,20.167,4.917,,
2011-01-02,,,13.217,16.826,3.609,,
2011-01-03,,,6.083,8.0,1.917,,
2011-01-04,,,12.292,16.125,3.833,,
2011-01-05,,,12.542,17.542,5.0,,
2011-01-06,,,23.917,39.75,15.833,,
2011-01-07,,,38.792,115.0,76.208,,
2011-01-08,,,39.792,103.667,63.875,,
2011-01-09,,,21.792,28.667,6.875,,
2011-01-10,,,30.167,63.5,33.333,,
2011-01-11,,,19.125,28.5,9.375,,
2011-01-12,,,26.208,46.5,20.292,,
2011-01-13,,,33.083,73.875,40.792,,
2011-01-14,,,19.792,33.542,13.75,,
2011-01-15,,,15.708,20.75,5.042,,
2011-01-16,,,24.043,39.609,15.565,,
2011-01-17,,,35.958,72.458,36.5,,
2011-01-18,,,36.875,77.292,40.417,,
2011-01-19,,,48.708,140.917,92.208,,
2011-01-20,,,33.292,81.833,48.542,,
2011-01-21,,,28.917,72.125,43.208,,
2011-01-22,,,16.792,23.458,6.667,,
2011-01-23,,,12.833,16.542,3.708,,
2011-01-24,,,22.75,32.25,9.5,,
2011-01-25,,,31.667,58.458,26.792,,
2011-01-26,,,31.958,55.792,23.833,,
2011-01-27,,,28.75,53.708,24.958,,
2011-01-28,,,26.208,42.833,16.625,,
2011-01-29,,,26.167,44.917,18.75,,
2011-01-30,,,35.565,90.043,54.478,,
2011-01-31,,,32.125,68.333,36.208,,
2011-02-01,,,32.417,72.0,39.583,,
2011-02-02,,,19.375,28.667,9.292,,
2011-02-03,,,32.333,65.917,33.583,,
2011-02-04,,,22.5,34.167,11.667,,
2011-02-05,,,16.125,22.792,6.667,,
2011-02-06,,,23.182,36.818,13.636,,
2011-02-07,,,28.458,50.708,22.25,,
2011-02-08,,,15.833,21.75,5.917,,
2011-02-09,,,21.083,32.333,11.25,,
2011-02-10,,,18.792,27.583,8.792,,
2011-02-11,,,20.333,30.333,10.0,,
2011-02-12,,,15.667,22.458,6.792,,
2011-02-13,,,22.652,33.826,11.174,,
2011-02-14,,,24.0,33.75,9.75,,
2011-02-15,,,16.125,22.125,6.0,,
2011-02-16,,,22.083,32.917,10.833,,
2011-02-17,,,29.75,46.625,16.875,,
2011-02-18,,,30.333,52.625,22.292,,
2011-02-19,,,32.417,66.167,33.75,,
2011-02-20,,,21.958,32.5,10.542,,
2011-02-21,,,11.583,15.875,4.292,,
2011-02-22,,,24.583,35.542,10.958,,
2011-02-23,,,19.708,25.708,6.0,,
2011-02-24,,,17.625,23.583,5.958,,
2011-02-25,,,20.125,26.667,6.542,,
2011-02-26,,,16.125,23.0,6.875,,
2011-02-27,,,20.87,28.348,7.478,,
2011-02-28,,,29.75,43.667,13.917,,
2011-03-01,,,19.5,25.875,6.375,,
2011-03-02,,,13.25,16.917,3.667,,
2011-03-03,,,14.125,20.167,6.042,,
2011-03-04,,,18.917,32.25,13.333,,
2011-03-05,,,32.042,57.0,24.958,,
2011-03-06,,,33.083,50.917,17.833,,
2011-03-07,,,15.542,22.375,6.833,,
2011-03-08,,,17.042,22.292,5.25,,
2011-03-09,,,20.75,28.0,7.25,,
2011-03-10,,,21.833,29.417,7.583,,
2011-03-11,,,15.625,22.542,6.917,,
2011-03-12,,,14.826,18.087,3.261,,
2011-03-13,,,16.5,22.083,5.583,,
2011-03-14,,,14.792,19.625,4.833,,
2011-03-15,,,11.583,15.292,3.708,,
2011-03-16,,,16.667,22.708,6.042,,
2011-03-17,,,11.917,15.917,4.0,,
2011-03-18,,,9.0,12.5,3.5,,
2011-03-19,,,9.333,13.375,4.042,,
2011-03-20,,,15.583,21.583,6.0,,
2011-03-21,,,19.583,27.0,7.417,,
2011-03-22,,,18.625,25.375,6.75,,
2011-03-23,,,19.208,26.708,7.5,,
2011-03-24,,,15.458,20.083,4.625,,
2011-03-25,,,12.458,17.583,5.125,,
2011-03-26,,,14.435,18.087,3.652,,
2011-03-27,,,18.957,25.304,6.348,,
2011-03-28,,,22.292,32.5,10.208,,
2011-03-29,,,16.75,22.125,5.375,,
2011-03-30,,,12.208,15.542,3.333,,
2011-03-31,,,9.667,12.333,2.667,,
