date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,20.0,25.583,5.583,2.042,17.958,-3.0,-6.388,-11.5
2011-01-02,8.5,10.792,2.292,2.042,9.583,-1.6,-3.838,-7.7
2011-01-03,16.792,22.208,5.417,2.333,11.75,-3.9,-9.433,-14.5
2011-01-04,23.375,40.375,17.0,2.292,11.583,-3.3,-6.946,-10.1
2011-01-05,18.957,31.391,12.435,2.13,17.125,-0.3,-3.646,-6.4
2011-01-06,37.333,82.875,45.542,2.708,28.042,-1.2,-3.55,-6.7
2011-01-07,16.833,25.542,8.708,1.792,15.958,-1.7,-5.621,-13.1
2011-01-08,19.292,26.5,7.208,1.292,19.042,-7.9,-10.925,-16.1
2011-01-09,25.208,39.5,14.292,2.75,18.375,-3.4,-6.396,-9.1
2011-01-10,28.917,45.417,16.5,2.542,23.167,-4.4,-8.304,-11.3
2011-01-11,12.958,16.708,3.75,1.875,9.125,-9.2,-11.088,-17.4
2011-01-12,22.042,39.583,17.542,1.75,18.5,-8.6,-13.058,-19.5
2011-01-13,14.542,18.958,4.417,2.083,16.375,-5.2,-8.288,-10.1
2011-01-14,14.75,20.958,6.208,1.708,12.083,-8.9,-10.379,-12.6
2011-01-15,18.208,25.042,6.833,1.375,12.167,-6.4,-9.975,-16.8
2011-01-16,33.917,69.958,36.042,2.292,28.833,-7.0,-13.542,-18.2
2011-01-17,33.792,69.458,35.667,2.375,27.708,-7.6,-14.342,-19.0
2011-01-18,41.333,90.5,49.167,3.125,35.042,-3.6,-9.55,-15.0
2011-01-19,33.435,61.087,27.652,2.478,26.0,-1.5,-8.254,-15.9
2011-01-20,37.583,70.208,32.625,2.417,43.292,-8.7,-15.529,-20.6
2011-01-21,41.5,81.833,40.333,2.875,44.917,-7.8,-14.162,-20.1
2011-01-22,15.958,20.625,4.667,2.0,15.917,-2.0,-4.758,-9.6
2011-01-23,19.708,28.333,8.625,1.667,16.75,-0.2,-2.662,-7.0
2011-01-24,24.125,45.625,21.5,1.667,19.083,-6.2,-9.708,-16.2
2011-01-25,11.417,14.333,2.917,1.583,13.875,-5.3,-8.667,-15.2
2011-01-26,24.917,39.292,14.375,2.417,22.333,-6.0,-11.525,-19.5
2011-01-27,32.0,53.292,21.292,2.333,23.417,-5.5,-11.788,-18.6
2011-01-28,37.667,67.542,29.875,2.333,33.25,-10.3,-14.121,-20.3
2011-01-29,31.375,45.333,13.958,2.792,28.208,-4.8,-9.146,-11.9
2011-01-30,28.417,53.458,25.042,1.833,16.542,-2.7,-10.712,-17.7
2011-01-31,25.0,36.636,11.636,1.652,15.609,-5.8,-10.279,-16.9
2011-02-01,29.85,54.85,25.0,1.857,27.429,-7.5,-12.071,-18.6
2011-02-02,23.174,37.348,14.174,1.87,17.833,-7.0,-13.421,-18.3
2011-02-03,25.913,38.783,12.87,2.348,19.696,-6.2,-12.958,-18.1
2011-02-04,25.583,47.083,21.5,4.167,26.042,-4.8,-8.392,-13.8
2011-02-05,8.167,9.417,1.25,2.167,14.917,-3.4,-5.846,-9.0
2011-02-06,9.083,10.75,1.667,2.167,14.458,1.0,-1.212,-4.1
2011-02-07,25.875,43.292,17.417,3.792,30.792,2.8,-0.458,-2.7
2011-02-08,10.5,13.708,3.208,3.25,25.75,-3.2,-5.975,-8.9
2011-02-09,24.625,40.5,15.875,3.208,22.542,-6.7,-10.533,-17.5
2011-02-10,14.5,18.75,4.25,2.5,16.583,-8.6,-9.579,-10.8
2011-02-11,11.667,14.542,2.875,2.125,10.875,-6.9,-9.433,-11.1
2011-02-12,9.042,11.75,2.708,2.167,11.083,-9.2,-10.025,-11.7
2011-02-13,13.458,17.208,3.75,1.833,12.417,-3.5,-7.238,-12.0
2011-02-14,20.917,26.625,5.708,5.375,35.5,1.0,-3.079,-6.0
2011-02-15,8.375,10.917,2.542,3.542,26.0,-1.1,-5.204,-8.6
2011-02-16,23.87,35.087,11.217,1.565,17.625,-6.2,-9.383,-14.5
2011-02-17,24.833,38.0,13.167,1.875,21.583,-5.6,-9.75,-14.2
2011-02-18,25.292,38.0,12.708,1.625,19.292,-6.8,-13.762,-20.0
2011-02-19,21.417,26.792,5.375,1.875,19.333,-5.2,-12.083,-20.1
2011-02-20,20.083,27.458,7.375,2.458,20.833,-2.4,-5.758,-10.2
2011-02-21,14.583,19.25,4.667,0.375,26.542,-3.1,-7.567,-12.3
2011-02-22,27.125,41.167,14.042,1.583,20.917,-2.4,-6.629,-11.7
2011-02-23,23.833,37.125,13.292,2.542,22.25,0.2,-4.608,-10.0
2011-02-24,8.958,11.083,2.125,0.917,13.042,-2.7,-7.108,-17.0
2011-02-25,15.333,19.167,3.833,1.917,14.792,-6.4,-12.471,-18.6
2011-02-26,4.75,5.375,0.625,1.0,10.083,-5.7,-8.588,-12.2
2011-02-27,10.583,13.583,3.0,1.167,10.792,-6.1,-9.104,-18.2
2011-02-28,24.042,34.875,10.833,1.792,23.958,-2.7,-10.221,-19.2
2011-03-01,13.348,15.478,2.13,3.13,27.667,4.9,1.029,-1.4
2011-03-02,21.833,29.0,7.167,2.042,24.75,-0.4,-3.512,-8.6
2011-03-03,15.042,19.0,3.958,1.625,18.75,-3.5,-8.646,-15.2
2011-03-04,11.625,14.208,2.583,1.292,12.833,-4.7,-9.762,-14.5
2011-03-05,23.5,34.292,10.792,2.542,21.833,-1.7,-8.738,-17.9
2011-03-06,10.625,12.708,2.083,1.125,14.958,4.2,-0.317,-5.4
2011-03-07,9.792,12.583,2.792,0.583,13.417,1.0,-0.421,-1.9
2011-03-08,19.083,24.167,5.083,1.25,14.375,1.9,-0.604,-2.9
2011-03-09,19.292,26.083,6.792,1.208,16.375,1.6,-2.429,-7.5
2011-03-10,19.042,26.208,7.167,1.25,21.583,2.3,-4.762,-11.3
