date,PM25_mean,SPM_mean
2011-01-01,,5.667
2011-01-02,,6.0
2011-01-03,,2.083
2011-01-04,,3.917
2011-01-05,,1.875
2011-01-06,,4.417
2011-01-07,,7.0
2011-01-08,,9.667
2011-01-09,,6.792
2011-01-10,,9.583
2011-01-11,,3.833
2011-01-12,,6.167
2011-01-13,,9.417
2011-01-14,,8.208
2011-01-15,,7.458
2011-01-16,,5.083
2011-01-17,,9.833
2011-01-18,,7.917
2011-01-19,,9.917
2011-01-20,,5.0
2011-01-21,,10.208
2011-01-22,,15.208
2011-01-23,,14.667
2011-01-24,,8.958
2011-01-25,,17.875
2011-01-26,,10.792
2011-01-27,,8.583
2011-01-28,,4.875
2011-01-29,,2.417
2011-01-30,,3.833
2011-01-31,,4.25
2011-02-01,,6.0
2011-02-02,,4.167
2011-02-03,,8.708
2011-02-04,,13.958
2011-02-05,,11.375
2011-02-06,,11.5
2011-02-07,,14.042
2011-02-08,,15.458
2011-02-09,,9.542
2011-02-10,,8.083
2011-02-11,,6.667
2011-02-12,,6.0
2011-02-13,,11.25
2011-02-14,,18.208
2011-02-15,,17.417
2011-02-16,,4.25
2011-02-17,,6.792
2011-02-18,,6.167
2011-02-19,,4.292
2011-02-20,,7.333
2011-02-21,,9.0
2011-02-22,,12.708
2011-02-23,,13.917
2011-02-24,,5.833
2011-02-25,,7.875
2011-02-26,,7.958
2011-02-27,,9.708
2011-02-28,,6.125
2011-03-01,,18.25
2011-03-02,,14.083
2011-03-03,,10.542
2011-03-04,,6.083
2011-03-05,,9.083
2011-03-06,,9.417
2011-03-07,,4.375
2011-03-08,,9.458
2011-03-09,,5.208
2011-03-10,,6.75
2011-03-11,,6.75
2011-03-12,,8.208
2011-03-13,,6.333
2011-03-14,,10.708
2011-03-15,,19.083
2011-03-16,,14.278
2011-03-17,,11.625
2011-03-18,,11.5
2011-03-19,,7.917
2011-03-20,,5.792
2011-03-21,,8.833
2011-03-22,,20.958
2011-03-23,,14.0
2011-03-24,,11.958
2011-03-25,,8.958
2011-03-26,,7.417
2011-03-27,,11.042
2011-03-28,,13.042
2011-03-29,,20.833
2011-03-30,,29.5
2011-03-31,,16.042
2011-04-01,,20.083
2011-04-02,,9.708
2011-04-03,,7.167
2011-04-04,,8.417
2011-04-05,,18.0
2011-04-06,,21.958
2011-04-07,,19.125
2011-04-08,,9.083
2011-04-09,,9.958
2011-04-10,,10.042
2011-04-11,,16.958
2011-04-12,,17.5
2011-04-13,,19.833
2011-04-14,,19.292
2011-04-15,,30.042
2011-04-16,,22.833
2011-04-17,,3.125
2011-04-18,,2.417
2011-04-19,,6.5
2011-04-20,,12.75
2011-04-21,,9.042
2011-04-22,,8.792
2011-04-23,,5.25
2011-04-24,,3.875
2011-04-25,,7.417
2011-04-26,,12.417
2011-04-27,,14.583
2011-04-28,,3.833
2011-04-29,,4.708
2011-04-30,,13.958
2011-05-01,,10.042
2011-05-02,,3.25
2011-05-03,,2.042
2011-05-04,,2.917
2011-05-05,,5.042
2011-05-06,,10.333
2011-05-07,,3.708
2011-05-08,,2.25
2011-05-09,,2.875
2011-05-10,,4.0
2011-05-11,,5.042
2011-05-12,,7.917
2011-05-13,,4.417
