date,CO_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean
2011-01-01,3.25,11.042,15.292,4.25,2.417,9.667
2011-01-02,3.0,5.083,6.875,1.792,2.625,9.167
2011-01-03,2.458,6.792,8.875,2.083,3.292,11.5
2011-01-04,2.792,3.833,5.333,1.5,5.917,19.75
2011-01-05,2.708,12.25,18.792,6.542,2.667,6.417
2011-01-06,3.167,17.167,28.75,11.583,3.348,13.958
2011-01-07,2.625,12.167,17.708,5.542,2.208,8.042
2011-01-08,3.25,12.083,17.083,5.0,2.083,6.458
2011-01-09,3.783,15.042,21.167,6.125,3.542,16.333
2011-01-10,4.333,19.875,31.792,11.917,4.25,19.458
2011-01-11,3.174,11.565,15.957,4.391,4.591,24.182
2011-01-12,2.292,15.042,21.708,6.667,2.857,8.0
2011-01-13,2.75,14.917,20.583,5.667,4.261,14.542
2011-01-14,4.417,16.458,22.375,5.917,6.542,25.542
2011-01-15,3.042,12.083,16.292,4.208,3.333,10.417
2011-01-16,2.708,15.667,20.875,5.208,2.792,9.75
2011-01-17,2.542,14.292,22.125,7.833,2.5,10.917
2011-01-18,4.5,26.208,48.25,22.042,2.792,13.25
2011-01-19,3.458,26.0,42.417,16.417,2.391,12.5
2011-01-20,3.167,19.458,27.458,8.0,1.583,14.458
2011-01-21,3.042,18.667,25.958,7.292,2.0,13.333
2011-01-22,2.792,12.917,17.208,4.292,2.417,11.458
2011-01-23,2.458,9.667,13.042,3.375,2.5,6.0
2011-01-24,1.913,11.522,16.435,4.913,2.565,7.13
2011-01-25,2.792,10.292,14.167,3.875,4.25,14.542
2011-01-26,2.542,12.875,18.208,5.333,3.565,5.0
2011-01-27,3.583,18.292,25.292,7.0,5.125,20.25
2011-01-28,3.542,14.833,19.625,4.792,4.435,19.833
2011-01-29,2.917,11.167,15.333,4.167,2.167,9.083
2011-01-30,3.458,20.0,32.208,12.208,2.583,5.792
2011-01-31,3.0,17.667,26.667,9.0,2.625,10.0
2011-02-01,2.75,10.333,14.625,4.292,4.087,18.542
2011-02-02,2.0,6.708,9.417,2.708,2.45,8.083
2011-02-03,2.667,12.208,18.958,6.75,3.19,7.375
2011-02-04,2.708,9.667,13.0,3.333,4.957,17.125
2011-02-05,3.75,11.417,15.25,3.833,6.522,37.875
2011-02-06,3.708,17.083,24.083,7.0,3.417,24.25
2011-02-07,3.913,18.217,23.522,5.304,2.545,13.455
2011-02-08,2.208,9.167,12.625,3.458,2.75,5.833
2011-02-09,2.417,10.458,14.292,3.833,2.875,7.417
2011-02-10,2.958,16.667,23.25,6.583,3.625,11.125
2011-02-11,2.917,12.625,18.458,5.833,3.0,6.167
2011-02-12,2.708,8.833,11.875,3.042,3.0,8.042
2011-02-13,3.542,22.833,32.625,9.792,2.125,14.167
2011-02-14,4.167,27.167,41.917,14.75,2.0,15.542
2011-02-15,3.833,18.542,27.25,8.708,2.542,13.958
2011-02-16,2.958,17.417,26.542,9.125,3.833,14.708
2011-02-17,2.5,10.125,14.375,4.25,2.958,9.5
2011-02-18,2.792,9.667,14.542,4.875,2.167,2.833
2011-02-19,3.417,13.0,19.167,6.167,2.417,6.042
2011-02-20,3.5,20.083,32.417,12.333,3.125,10.792
2011-02-21,4.25,33.083,49.167,16.083,4.542,19.417
2011-02-22,4.182,21.909,31.5,9.591,3.214,17.864
2011-02-23,3.792,17.083,24.833,7.75,2.231,12.083
2011-02-24,3.458,10.167,13.333,3.167,4.056,30.955
2011-02-25,4.25,21.167,28.75,7.583,2.708,24.083
2011-02-26,2.542,6.208,8.625,2.417,1.75,10.333
2011-02-27,2.75,14.167,19.583,5.417,1.636,12.083
2011-02-28,2.792,14.875,21.667,6.792,2.182,7.625
2011-03-01,3.833,23.292,33.958,10.667,3.0,14.792
2011-03-02,3.917,24.042,36.375,12.333,2.625,20.417
2011-03-03,2.958,8.917,12.417,3.5,3.125,15.958
2011-03-04,2.917,8.542,11.708,3.167,2.208,15.208
2011-03-05,3.667,19.0,28.833,9.833,2.167,6.583
2011-03-06,4.25,20.5,31.292,10.792,3.667,12.25
2011-03-07,4.435,13.783,18.174,4.391,4.826,31.391
2011-03-08,5.083,16.667,24.083,7.417,4.375,25.667
2011-03-09,3.375,11.333,14.458,3.125,2.583,16.917
2011-03-10,2.667,8.042,10.667,2.625,2.542,14.167
2011-03-11,2.042,4.875,6.667,1.792,3.292,15.25
2011-03-12,2.208,8.042,11.0,2.958,2.792,10.417
2011-03-13,2.792,14.25,20.167,5.917,2.417,8.292
2011-03-14,2.625,14.875,24.125,9.25,3.333,5.792
2011-03-15,2.958,14.083,21.125,7.042,3.917,16.0
2011-03-16,2.917,19.0,27.5,8.5,3.318,11.125
2011-03-17,3.25,18.667,25.417,6.75,2.5,17.75
2011-03-18,4.417,14.208,19.958,5.75,3.5,25.167
2011-03-19,1.917,6.792,10.208,3.417,2.75,6.167
2011-03-20,2.0,8.333,11.583,3.25,3.375,9.5
2011-03-21,1.917,8.542,11.875,3.333,3.5,11.917
2011-03-22,3.167,19.0,27.083,8.083,5.167,16.042
2011-03-23,2.739,16.913,22.087,5.174,2.478,7.217
2011-03-24,3.25,7.958,9.875,1.917,3.375,12.083
2011-03-25,2.333,3.708,5.167,1.458,3.333,13.167
2011-03-26,2.792,13.583,19.125,5.542,2.708,9.958
2011-03-27,2.75,13.917,19.167,5.25,4.5,16.625
2011-03-28,3.25,16.625,22.0,5.375,5.25,33.5
2011-03-29,3.167,17.208,24.0,6.792,4.667,18.583
2011-03-30,2.375,13.958,20.375,6.417,3.917,14.458
2011-03-31,2.125,9.292,13.042,3.75,2.458,6.417
2011-04-01,3.667,15.833,21.417,5.583,5.292,28.667
2011-04-02,3.292,12.75,17.5,4.75,5.542,32.792
2011-04-03,2.0,4.125,5.417,1.292,2.958,10.958
2011-04-04,2.391,9.348,12.913,3.565,2.652,10.261
2011-04-05,2.833,13.208,18.5,5.292,3.542,10.292
2011-04-06,2.917,15.625,21.167,5.542,4.5,18.5
2011-04-07,2.217,11.375,15.708,4.333,3.792,14.125
