date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,202.125,6.0,21.791666666666668,26.583333333333332,40.416666666666664,13.833333333333334,31.916666666666668,223.91666666666666
2011-01-02,197.82608695652175,4.409090909090909,14.217391304347826,18.869565217391305,30.130434782608695,11.26086956521739,23.625,212.04347826086956
2011-01-03,190.625,3.2916666666666665,6.125,14.958333333333334,21.5,6.541666666666667,10.375,196.75
2011-01-04,197.65217391304347,5.173913043478261,16.91304347826087,25.869565217391305,46.17391304347826,20.304347826086957,16.347826086956523,214.56521739130434
2011-01-05,191.08333333333334,3.5,8.291666666666666,20.875,35.875,15.0,12.458333333333334,199.375
2011-01-06,197.75,6.625,27.333333333333332,39.625,91.95833333333333,52.333333333333336,20.625,225.08333333333334
2011-01-07,193.33333333333334,4.625,17.333333333333332,24.625,52.083333333333336,27.458333333333332,14.0,210.66666666666666
2011-01-08,193.83333333333334,3.9166666666666665,13.916666666666666,19.791666666666668,30.083333333333332,10.291666666666666,14.166666666666666,207.75
2011-01-09,197.3913043478261,6.409090909090909,20.565217391304348,30.695652173913043,52.608695652173914,21.91304347826087,29.916666666666668,217.95652173913044
2011-01-10,197.43478260869566,6.478260869565218,24.130434782608695,36.78260869565217,73.56521739130434,36.78260869565217,25.0,221.56521739130434
2011-01-11,192.29166666666666,4.541666666666667,15.25,26.416666666666668,55.083333333333336,28.666666666666668,16.583333333333332,207.54166666666666
2011-01-12,194.25,5.0,18.625,29.291666666666668,62.791666666666664,33.5,13.833333333333334,212.875
2011-01-13,200.0,8.25,44.541666666666664,47.25,129.125,81.875,23.166666666666668,244.54166666666666
2011-01-14,198.58333333333334,6.375,24.916666666666668,31.0,76.625,45.625,14.25,223.5
2011-01-15,202.625,6.833333333333333,25.125,30.916666666666668,57.666666666666664,26.75,19.416666666666668,227.75
2011-01-16,197.08695652173913,5.590909090909091,18.652173913043477,30.869565217391305,62.95652173913044,32.08695652173913,25.5,215.7391304347826
2011-01-17,194.34782608695653,4.434782608695652,16.391304347826086,25.73913043478261,54.21739130434783,28.47826086956522,15.76923076923077,210.7391304347826
2011-01-18,203.41666666666666,7.708333333333333,36.541666666666664,42.5,101.375,58.875,,239.95833333333334
2011-01-19,195.625,5.25,21.541666666666668,27.625,62.458333333333336,34.833333333333336,19.46153846153846,217.16666666666666
2011-01-20,189.75,3.5,8.083333333333334,17.5,28.125,10.625,17.625,197.83333333333334
2011-01-21,188.95833333333334,3.5,7.0,16.666666666666668,25.791666666666668,9.125,9.833333333333334,195.95833333333334
2011-01-22,192.91666666666666,4.333333333333333,13.583333333333334,18.833333333333332,35.416666666666664,16.583333333333332,10.5,206.5
2011-01-23,204.56521739130434,7.863636363636363,33.08695652173913,30.47826086956522,106.34782608695652,75.8695652173913,17.291666666666668,237.65217391304347
2011-01-24,196.66666666666666,5.0,17.541666666666668,33.041666666666664,65.375,32.333333333333336,12.625,214.20833333333334
2011-01-25,209.91666666666666,6.956521739130435,49.25,39.43478260869565,106.8695652173913,67.43478260869566,23.652173913043477,259.1666666666667
2011-01-26,,4.458333333333333,,29.458333333333332,55.75,26.291666666666668,17.125,
2011-01-27,194.30769230769232,5.875,14.23076923076923,34.333333333333336,87.16666666666667,52.833333333333336,20.0,208.53846153846155
2011-01-28,197.33333333333334,4.75,14.375,26.25,51.125,24.875,21.625,211.70833333333334
2011-01-29,191.5,2.2083333333333335,4.375,8.583333333333334,12.583333333333334,4.0,11.375,195.875
2011-01-30,199.4090909090909,6.666666666666667,22.90909090909091,35.80952380952381,99.19047619047619,63.38095238095238,15.173913043478262,222.3181818181818
2011-01-31,197.70833333333334,6.333333333333333,24.625,38.083333333333336,91.08333333333333,53.0,18.791666666666668,222.33333333333334
2011-02-01,195.79166666666666,4.666666666666667,18.5,27.833333333333332,54.375,26.541666666666668,20.208333333333332,214.29166666666666
2011-02-02,189.33333333333334,3.2083333333333335,10.75,18.583333333333332,33.416666666666664,14.833333333333334,12.25,200.08333333333334
2011-02-03,201.875,8.625,30.583333333333332,41.583333333333336,111.41666666666667,69.83333333333333,22.333333333333332,232.45833333333334
2011-02-04,204.25,8.583333333333334,34.041666666666664,40.416666666666664,103.875,63.458333333333336,22.833333333333332,238.29166666666666
2011-02-05,194.25,4.541666666666667,12.125,21.166666666666668,30.5,9.333333333333334,21.125,206.375
2011-02-06,198.2173913043478,7.391304347826087,28.347826086956523,43.130434782608695,93.56521739130434,50.43478260869565,42.208333333333336,226.56521739130434
2011-02-07,196.70833333333334,7.541666666666667,24.166666666666668,34.958333333333336,74.08333333333333,39.125,33.083333333333336,220.875
2011-02-08,192.04347826086956,5.304347826086956,15.521739130434783,26.652173913043477,53.0,26.347826086956523,13.608695652173912,207.56521739130434
2011-02-09,191.95833333333334,4.25,11.083333333333334,29.083333333333332,54.666666666666664,25.583333333333332,11.583333333333334,203.04166666666666
2011-02-10,196.54166666666666,5.833333333333333,19.708333333333332,38.0,88.70833333333333,50.708333333333336,20.791666666666668,216.25
2011-02-11,193.54166666666666,4.5,10.416666666666666,22.166666666666668,38.5,16.333333333333332,15.833333333333334,203.95833333333334
2011-02-12,192.75,3.9583333333333335,7.625,17.875,25.458333333333332,7.583333333333333,13.25,200.375
2011-02-13,193.47826086956522,4.695652173913044,11.869565217391305,31.0,53.69565217391305,22.695652173913043,21.916666666666668,205.34782608695653
2011-02-14,193.95454545454547,5.434782608695652,22.045454545454547,36.78260869565217,68.47826086956522,31.695652173913043,37.17391304347826,216.0
