date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2014-07-12,195.91666666666666,1.5,98.0,80.33333333333333,58.0,5.916666666666667,3.9166666666666665,3.9583333333333335,0.041666666666666664,1.4583333333333333,22.25,317.0,263.125,225.0,201.83333333333334
2014-07-13,200.29166666666666,2.2083333333333335,98.0,91.875,80.0,6.208333333333333,6.375,6.5,0.125,1.5416666666666667,32.416666666666664,276.0,251.0,212.0,206.5
2014-07-14,190.29166666666666,2.6666666666666665,98.0,90.75,82.0,7.875,9.333333333333334,9.875,0.5416666666666666,3.9583333333333335,42.25,312.0,264.625,230.0,198.16666666666666
2014-07-15,200.04166666666666,2.5,98.0,84.91666666666667,58.0,5.791666666666667,6.916666666666667,6.958333333333333,0.041666666666666664,2.875,23.666666666666668,315.0,256.5416666666667,219.0,205.83333333333334
2014-07-16,200.08333333333334,2.3333333333333335,98.0,90.125,77.0,6.833333333333333,6.208333333333333,6.375,0.16666666666666666,1.75,43.875,310.0,263.3333333333333,219.0,206.91666666666666
2014-07-17,196.0,2.2083333333333335,98.0,90.91666666666667,77.0,5.739130434782608,5.217391304347826,5.3478260869565215,0.13043478260869565,2.4782608695652173,26.041666666666668,281.0,240.25,213.0,201.7391304347826
2014-07-18,190.47826086956522,2.217391304347826,98.0,94.95833333333333,86.0,4.782608695652174,4.173913043478261,4.304347826086956,0.13043478260869565,1.7826086956521738,20.875,257.0,228.54166666666666,211.0,195.2608695652174
2014-07-19,191.83333333333334,1.9583333333333333,98.0,95.66666666666667,83.0,4.541666666666667,4.416666666666667,4.5,0.08333333333333333,1.9166666666666667,19.625,266.0,222.625,200.0,196.375
2014-07-20,195.25,1.4583333333333333,98.0,94.33333333333333,79.0,4.333333333333333,3.0833333333333335,3.0833333333333335,0.0,1.25,15.125,274.0,225.91666666666666,199.0,199.58333333333334
2014-07-21,190.95833333333334,1.125,98.0,93.5,79.0,3.5833333333333335,3.75,3.7916666666666665,0.041666666666666664,1.0833333333333333,13.625,263.0,223.20833333333334,196.0,194.54166666666666
