date,CO_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-04-29,2.958,13.083,14.958,1.875,12.875
2011-04-30,3.125,17.375,21.667,4.292,25.708
2011-05-01,2.375,9.167,10.625,1.458,23.417
2011-05-02,3.458,29.167,40.833,11.667,71.5
2011-05-03,3.261,16.174,20.522,4.348,46.208
2011-05-04,2.417,9.167,10.25,1.083,22.583
2011-05-05,3.0,9.167,10.583,1.417,20.875
2011-05-06,3.458,18.167,22.542,4.375,21.875
2011-05-07,3.208,16.375,18.542,2.167,24.208
2011-05-08,4.625,19.167,23.042,3.875,31.5
2011-05-09,3.417,25.167,38.208,13.042,26.261
2011-05-10,3.696,24.0,31.087,7.087,39.417
2011-05-11,3.0,12.167,13.25,1.083,13.0
2011-05-12,3.583,35.833,50.583,14.75,16.833
2011-05-13,3.708,21.875,29.542,7.667,28.667
2011-05-14,4.208,22.042,26.333,4.292,51.333
2011-05-15,2.667,19.5,24.375,4.875,19.958
2011-05-16,3.0,14.25,15.542,1.292,30.292
2011-05-17,2.913,21.087,25.435,4.348,28.125
2011-05-18,4.125,26.042,45.625,19.583,40.0
2011-05-19,3.25,25.042,33.792,8.75,38.583
2011-05-20,2.542,15.333,17.083,1.75,36.5
2011-05-21,1.708,10.583,12.083,1.5,25.417
2011-05-22,1.583,7.625,9.208,1.583,16.667
2011-05-23,2.375,28.333,37.583,9.25,11.0
2011-05-24,2.652,26.913,36.217,9.304,12.292
2011-05-25,3.667,24.583,55.25,30.667,22.708
2011-05-26,3.208,14.25,20.125,5.875,20.375
2011-05-27,2.792,14.875,17.375,2.5,16.917
2011-05-28,3.5,30.625,41.25,10.625,12.917
2011-05-29,2.292,10.542,12.25,1.708,3.917
2011-05-30,2.167,16.333,21.792,5.458,4.0
2011-05-31,2.0,11.87,17.087,5.217,15.042
2011-06-01,2.583,13.958,19.667,5.708,30.208
2011-06-02,3.958,27.25,56.833,29.583,38.417
2011-06-03,4.292,27.292,37.333,10.042,33.417
2011-06-04,2.333,14.5,17.5,3.0,33.542
2011-06-05,2.25,16.167,18.167,2.0,34.625
2011-06-06,3.375,22.875,26.292,3.417,35.783
2011-06-07,3.217,15.522,17.13,1.609,35.0
2011-06-08,2.458,28.75,36.042,7.292,13.583
2011-06-09,3.083,18.833,23.917,5.083,20.542
2011-06-10,1.875,14.792,16.875,2.083,15.875
2011-06-11,3.5,19.375,25.417,6.042,30.125
2011-06-12,4.0,16.292,18.167,1.875,29.708
2011-06-13,3.375,19.417,23.042,3.625,21.042
2011-06-14,3.348,15.435,18.522,3.087,19.125
2011-06-15,2.917,9.792,11.333,1.542,10.208
2011-06-16,2.958,15.5,19.458,3.958,15.083
2011-06-17,2.583,26.292,34.542,8.25,11.083
2011-06-18,3.042,14.083,17.458,3.375,17.333
2011-06-19,3.208,13.042,15.333,2.292,24.667
