date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,200.75,7.042,78.0,60.5,46.0,21.375,22.125,51.375,29.25,41.375,61.0,22.042,-5.0,222.125
2011-01-02,196.458,4.417,86.0,58.417,31.0,13.458,15.708,29.625,13.917,23.333,102.0,36.208,-12.0,209.917
2011-01-03,189.13,3.435,52.0,34.917,20.0,6.957,13.435,24.609,11.174,15.667,102.0,52.833,19.0,196.087
2011-01-04,193.0,4.708,70.0,47.875,28.0,11.826,22.875,54.542,31.667,22.167,96.0,34.333,-17.0,204.826
2011-01-05,190.292,3.625,59.0,38.375,20.0,8.125,29.739,82.174,52.435,18.167,78.0,34.25,-8.0,198.417
2011-01-06,193.0,5.167,65.0,42.75,23.0,17.0,39.792,126.583,86.792,27.125,99.0,40.625,-4.0,210.0
2011-01-07,191.708,3.292,76.0,38.833,21.0,8.458,26.542,74.333,47.792,22.458,84.0,40.125,-11.0,200.167
2011-01-08,192.458,4.125,53.0,37.917,23.0,9.542,17.0,34.583,17.583,14.25,88.0,38.167,-9.0,202.0
2011-01-09,195.917,5.583,81.0,56.5,36.0,17.708,31.208,89.333,58.125,31.917,95.0,35.625,-16.0,213.625
2011-01-10,196.435,6.0,84.0,55.083,31.0,20.261,39.087,148.478,109.391,40.875,94.0,42.958,-22.0,216.696
2011-01-11,194.042,4.333,70.0,55.625,34.0,16.708,32.458,98.083,65.625,30.417,94.0,36.583,7.0,210.75
2011-01-12,191.458,4.417,62.0,37.917,19.0,12.625,37.375,138.333,100.958,31.292,67.0,15.75,-24.0,204.083
2011-01-13,195.958,5.542,65.0,45.708,23.0,24.5,44.667,143.542,98.875,29.917,104.0,28.375,-41.0,220.458
2011-01-14,194.833,5.458,64.0,40.208,23.0,13.917,35.375,131.458,96.083,25.0,74.0,26.125,-15.0,208.75
2011-01-15,199.417,6.208,62.0,47.625,30.0,18.458,29.0,70.125,41.125,35.542,70.0,18.958,-26.0,217.875
2011-01-16,196.043,5.5,62.0,47.042,33.0,17.348,40.833,134.333,93.5,48.958,48.0,23.458,-7.0,213.391
2011-01-17,193.304,4.652,77.0,50.667,28.0,14.304,41.696,160.739,119.043,31.5,73.0,28.75,-16.0,207.609
2011-01-18,198.958,7.583,79.0,59.875,36.0,36.042,48.75,205.083,156.333,52.792,87.0,20.333,-37.0,235.0
2011-01-19,194.917,4.375,77.0,60.958,45.0,22.417,35.625,109.417,73.792,42.708,100.0,42.208,-20.0,217.333
2011-01-20,190.125,3.375,92.0,89.375,77.0,9.333,31.333,96.667,65.333,26.625,34.0,19.0,13.0,199.458
2011-01-21,189.583,3.458,93.0,87.208,76.0,9.208,28.708,78.542,49.833,17.292,31.0,23.667,14.0,198.792
2011-01-22,189.75,3.5,93.0,87.833,76.0,10.083,19.5,39.542,20.042,11.292,70.0,39.417,13.0,199.833
2011-01-23,197.292,6.0,94.0,86.167,68.0,22.75,37.917,185.083,147.167,40.333,76.0,32.417,1.0,220.042
2011-01-24,194.391,4.87,94.0,79.333,51.0,19.87,42.087,146.783,104.696,,33.0,4.708,-26.0,214.261
2011-01-25,195.333,4.917,90.0,67.417,32.0,21.708,37.458,117.125,79.667,27.357,79.0,18.833,-25.0,217.042
2011-01-26,193.667,4.875,91.0,52.875,26.0,15.833,37.667,124.0,86.333,30.833,52.0,5.625,-30.0,209.5
2011-01-27,205.3,6.8,81.0,70.7,56.0,35.8,46.7,240.8,194.1,41.3,0.0,-35.9,-52.0,241.1
2011-02-01,196.833,5.0,45.0,40.714,35.0,20.625,40.917,162.417,121.5,50.875,53.0,25.286,6.0,217.458
2011-02-02,191.583,3.583,51.0,31.667,15.0,7.75,31.542,88.375,56.833,29.542,43.0,11.125,-17.0,199.333
2011-02-03,197.292,6.042,60.0,39.458,13.0,18.458,41.5,138.0,96.5,46.292,62.0,7.5,-49.0,215.75
2011-02-04,198.333,6.083,63.0,38.792,15.0,23.583,35.833,97.625,61.792,38.25,99.0,30.792,-44.0,221.917
2011-02-05,194.625,5.083,77.0,53.083,30.0,11.75,25.833,56.292,30.458,34.625,81.0,36.667,-20.0,206.375
2011-02-06,198.917,6.333,92.0,81.708,66.0,25.542,40.917,125.458,84.542,62.333,46.0,28.0,-1.0,224.458
2011-02-07,197.435,6.652,94.0,92.667,91.0,27.13,38.478,155.348,116.87,51.0,87.0,64.125,38.0,224.565
2011-02-08,192.25,4.167,93.0,45.875,26.0,13.375,33.208,100.875,67.667,27.917,78.0,59.25,19.0,205.625
2011-02-09,191.625,3.583,60.0,35.667,21.0,15.208,33.083,104.375,71.292,29.125,73.0,30.167,-12.0,206.833
2011-02-10,195.792,4.958,81.0,51.125,22.0,20.083,38.5,125.583,87.083,40.125,89.0,30.792,-20.0,215.875
2011-02-11,194.625,5.375,85.0,49.083,19.0,16.208,29.917,88.042,58.125,39.708,84.0,28.792,-23.0,210.833
2011-02-12,194.833,4.333,64.0,39.625,20.0,11.958,19.25,46.792,27.542,44.083,81.0,24.083,-28.0,206.792
2011-02-13,196.636,5.636,64.0,48.542,30.0,18.318,49.538,210.077,160.538,64.625,80.0,31.458,-25.0,214.955
2011-02-14,195.652,5.565,93.0,73.375,52.0,24.913,,,,55.5,58.0,38.083,27.0,220.565
2011-02-15,198.042,6.542,93.0,76.083,43.0,30.208,,,,59.083,81.0,50.625,31.0,228.25
2011-02-16,192.7,4.042,92.0,61.292,38.0,8.0,,,,53.042,33.0,19.083,4.0,200.7
2011-02-17,,3.917,93.0,84.833,54.0,,,,,58.542,46.0,8.722,-5.0,
2011-02-18,,3.875,91.0,48.5,19.0,,,,,27.333,48.0,7.167,-35.0,
2011-02-19,,4.875,69.0,42.083,12.0,,,,,27.375,71.0,5.958,-59.0,
2011-02-20,,5.042,67.0,44.875,17.0,,,,,35.208,97.0,30.583,-37.0,
2011-02-21,,4.913,67.0,41.292,15.0,,,,,40.167,130.0,60.833,-18.0,
2011-02-22,,4.708,65.0,53.292,43.0,,,,,47.875,100.0,64.042,25.0,
2011-02-23,,5.333,94.0,85.417,42.0,,,,,43.542,99.0,61.5,37.0,
2011-02-24,191.458,4.667,74.0,42.542,21.0,20.417,,,,49.833,143.0,100.542,66.0,211.875
2011-02-25,193.583,4.208,93.0,87.875,76.0,18.208,,,,25.417,66.0,42.167,23.0,211.792
2011-02-26,193.792,3.958,87.0,58.25,33.0,13.958,,,,27.125,84.0,46.583,19.0,207.75
2011-02-27,192.583,3.042,52.0,30.75,18.0,7.292,34.385,80.077,45.692,21.208,79.0,35.167,-14.0,199.875
2011-02-28,192.652,3.913,63.0,46.667,27.0,9.609,41.304,130.391,89.087,34.708,64.0,21.125,-28.0,202.261
2011-03-01,191.667,4.042,93.0,78.167,60.0,15.542,39.792,114.75,74.958,51.167,115.0,71.833,17.0,207.208
2011-03-02,190.125,4.208,93.0,86.042,73.0,11.417,39.875,126.583,86.708,37.667,86.0,59.917,25.0,201.542
2011-03-03,189.542,4.042,93.0,66.333,44.0,3.958,30.125,70.5,40.375,33.208,117.0,60.083,24.0,193.5
2011-03-04,190.083,3.5,92.0,62.833,53.0,1.917,20.208,34.667,14.458,23.5,64.0,44.833,19.0,192.0
2011-03-05,194.083,4.583,95.0,94.542,93.0,15.75,38.375,112.833,74.458,29.208,72.0,41.958,12.0,209.833
2011-03-06,192.522,4.957,95.0,90.583,82.0,15.565,38.435,136.261,97.826,46.708,136.0,99.042,63.0,208.087
2011-03-07,126.875,4.5,96.0,70.292,31.0,28.0,34.083,103.917,69.833,34.0,156.0,116.75,90.0,154.875
2011-03-08,88.045,4.167,74.0,63.042,46.0,63.909,38.708,110.333,71.625,44.667,106.0,88.0,72.0,151.955
2011-03-09,196.917,4.667,93.0,91.958,81.0,8.0,38.917,126.333,87.417,38.958,80.0,61.375,40.0,204.917
2011-03-10,196.0,4.125,94.0,85.958,73.0,4.375,30.542,71.042,40.5,20.417,72.0,41.375,9.0,200.375
2011-03-11,196.417,3.708,91.0,75.042,52.0,5.083,19.583,37.708,18.125,24.375,94.0,53.833,15.0,201.5
2011-03-12,191.524,3.583,93.0,46.542,18.0,5.667,33.792,94.167,60.375,28.667,112.0,53.125,4.0,197.19
2011-03-13,190.792,3.217,67.0,39.5,15.0,6.375,33.826,80.217,46.391,22.458,98.0,52.75,18.0,197.167
2011-03-14,193.042,3.458,84.0,52.75,25.0,11.458,38.458,96.625,58.167,28.042,109.0,55.417,-4.0,204.5
2011-03-15,194.208,4.125,89.0,47.625,15.0,14.875,38.458,110.083,71.625,34.917,123.0,54.458,-6.0,209.083
2011-03-16,193.792,4.042,61.0,43.042,24.0,10.292,40.042,106.125,66.083,40.333,109.0,60.792,-10.0,204.083
2011-03-17,196.375,5.5,95.0,86.25,61.0,23.125,39.0,96.5,57.5,49.667,76.0,57.833,39.0,219.5
2011-03-18,196.167,5.542,97.0,94.583,83.0,18.708,27.25,64.167,36.917,35.0,107.0,79.708,50.0,214.875
2011-03-19,192.522,3.208,99.0,42.583,15.0,6.739,33.667,83.0,49.333,23.208,105.0,76.875,50.0,199.261
2011-03-20,194.5,3.826,84.0,46.458,24.0,9.125,30.174,60.087,29.913,29.625,124.0,71.292,26.0,203.625
2011-03-21,192.583,3.25,67.0,32.25,17.0,5.542,37.042,84.25,47.208,25.25,114.0,64.167,26.0,198.125
2011-03-22,201.917,6.708,70.0,46.667,26.0,30.333,60.083,211.0,150.917,76.625,135.0,69.167,-4.0,232.25
2011-03-23,201.125,6.708,96.0,78.833,54.0,31.292,52.667,159.292,106.625,78.875,109.0,77.833,56.0,232.417
2011-03-24,192.25,4.833,96.0,83.958,48.0,10.792,39.333,100.375,61.042,24.792,100.0,64.667,33.0,203.042
2011-03-25,196.958,4.458,92.0,45.583,15.0,12.083,25.833,66.875,41.042,22.583,135.0,73.875,13.0,209.042
2011-03-26,195.636,4.609,72.0,39.458,14.0,12.909,42.0,119.5,77.5,33.958,115.0,56.833,-3.0,208.545
2011-03-27,196.292,3.913,71.0,42.0,14.0,13.292,40.522,88.783,48.261,33.292,138.0,77.0,3.0,209.583
2011-03-28,195.625,4.375,79.0,44.917,20.0,14.0,39.125,79.875,40.75,39.625,175.0,94.917,23.0,209.625
2011-03-29,194.25,3.667,57.0,36.583,14.0,11.25,39.0,79.583,40.583,31.292,172.0,107.292,34.0,205.5
2011-03-30,195.75,4.708,70.0,52.833,33.0,21.875,38.667,120.75,82.083,50.042,192.0,132.292,71.0,217.625
2011-03-31,187.542,2.792,94.0,60.25,40.0,6.833,19.0,34.0,15.0,24.292,185.0,133.958,70.0,194.375
2011-04-01,,4.333,82.0,50.292,17.0,,43.125,112.667,69.542,27.333,162.0,97.458,12.0,
2011-04-02,,5.125,78.0,48.75,19.0,,41.833,92.875,51.042,38.75,191.0,118.917,51.0,
2011-04-03,,3.833,74.0,47.0,33.0,,22.417,43.417,21.0,17.875,87.0,68.167,36.0,
2011-04-04,,3.75,68.0,44.667,20.0,,37.333,87.833,50.5,22.542,132.0,73.917,28.0,
2011-04-05,,4.083,66.0,38.375,16.0,,46.75,146.917,100.167,26.875,165.0,84.167,-10.0,
2011-04-06,,4.739,79.0,44.958,12.0,,45.391,110.435,65.043,30.75,202.0,121.833,28.0,
2011-04-07,,4.542,85.0,53.292,26.0,,40.083,90.792,50.708,29.333,213.0,142.292,72.0,
2011-04-08,,2.792,58.0,47.5,34.0,,20.042,36.292,16.25,21.167,197.0,174.958,150.0,
