date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-06-06,188.7826086956522,95.0,66.66666666666667,33.0,13.73913043478261,11.416666666666666,12.458333333333334,1.0416666666666667,3.1666666666666665,30.583333333333332,288.0,221.54166666666666,166.0,202.52173913043478
2011-06-07,192.58333333333334,95.0,77.125,58.0,11.791666666666666,6.041666666666667,6.25,0.20833333333333334,4.166666666666667,31.0,237.0,204.70833333333334,178.0,204.375
2011-06-08,190.83333333333334,96.0,86.04166666666667,61.0,12.25,10.125,10.75,0.625,1.375,19.083333333333332,232.0,189.25,163.0,203.08333333333334
2011-06-09,191.54166666666666,97.0,78.70833333333333,44.0,12.083333333333334,6.875,7.875,1.0,1.5,20.208333333333332,276.0,202.625,156.0,203.625
2011-06-10,182.83333333333334,95.0,78.83333333333333,56.0,10.083333333333334,3.9545454545454546,4.181818181818182,0.22727272727272727,0.8636363636363636,14.608695652173912,269.0,224.875,180.0,192.91666666666666
2011-06-11,186.875,96.0,90.375,76.0,13.375,8.25,9.125,0.875,0.2916666666666667,24.708333333333332,224.0,209.25,194.0,200.25
2011-06-12,201.04347826086956,95.0,79.16666666666667,49.0,13.26086956521739,5.083333333333333,5.208333333333333,0.125,0.125,21.583333333333332,273.0,220.83333333333334,183.0,214.30434782608697
2011-06-13,190.625,96.0,89.0,76.0,12.291666666666666,7.791666666666667,8.166666666666666,0.375,0.20833333333333334,16.208333333333332,224.0,194.625,175.0,202.91666666666666
2011-06-14,193.5,96.0,83.41666666666667,63.0,13.208333333333334,6.166666666666667,6.375,0.20833333333333334,0.0,18.541666666666668,233.0,200.08333333333334,172.0,206.70833333333334
2011-06-15,191.33333333333334,88.0,71.08333333333333,50.0,11.416666666666666,6.458333333333333,6.833333333333333,0.375,0.125,13.791666666666666,227.0,197.45833333333334,178.0,202.75
2011-06-16,193.58333333333334,95.0,83.20833333333333,64.0,10.125,4.791666666666667,5.166666666666667,0.375,0.20833333333333334,12.708333333333334,236.0,200.16666666666666,167.0,203.70833333333334
2011-06-17,184.66666666666666,96.0,91.41666666666667,75.0,9.458333333333334,5.875,6.041666666666667,0.16666666666666666,0.041666666666666664,14.0,221.0,190.75,180.0,194.125
2011-06-18,190.91304347826087,96.0,87.75,69.0,10.956521739130435,5.291666666666667,5.291666666666667,0.0,0.041666666666666664,13.166666666666666,221.0,195.16666666666666,174.0,201.8695652173913
2011-06-19,190.54166666666666,96.0,86.5,70.0,11.625,3.7083333333333335,3.7083333333333335,0.0,0.041666666666666664,11.125,247.0,208.875,185.0,202.16666666666666
2011-06-20,181.375,96.0,84.125,68.0,15.958333333333334,7.625,8.375,0.75,1.5416666666666667,13.208333333333334,261.0,229.375,192.0,197.33333333333334
2011-06-21,175.54166666666666,92.0,78.16666666666667,59.0,10.916666666666666,7.916666666666667,8.708333333333334,0.7916666666666666,1.2916666666666667,7.208333333333333,289.0,249.0,222.0,186.45833333333334
2011-06-22,185.25,96.0,72.54166666666667,41.0,25.416666666666668,18.625,22.416666666666668,3.7916666666666665,3.6666666666666665,30.5,332.0,267.375,204.0,210.66666666666666
2011-06-23,174.95833333333334,87.0,76.625,59.0,11.375,6.958333333333333,8.291666666666666,1.3333333333333333,1.4166666666666667,20.916666666666668,304.0,263.9583333333333,245.0,186.33333333333334
