date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,87.0,61.083333333333336,47.0,19.375,24.791666666666668,5.416666666666667,0,5.125,33.666666666666664,83.0,39.916666666666664,9.0
2011-01-02,89.0,61.458333333333336,32.0,12.916666666666666,18.25,5.333333333333333,0,4.416666666666667,26.916666666666668,97.0,45.958333333333336,11.0
2011-01-03,52.0,37.416666666666664,24.0,7.173913043478261,7.826086956521739,0.6521739130434783,0,3.1666666666666665,10.75,93.0,52.833333333333336,24.0
2011-01-04,74.0,50.166666666666664,36.0,16.791666666666668,22.333333333333332,5.541666666666667,0,4.208333333333333,16.458333333333332,89.0,39.875,-9.0
2011-01-05,54.0,37.625,24.0,10.26086956521739,13.695652173913043,3.4347826086956523,0,3.5652173913043477,11.521739130434783,78.0,42.041666666666664,5.0
2011-01-06,69.0,50.0,35.0,23.666666666666668,43.333333333333336,19.666666666666668,0,3.7083333333333335,22.75,89.0,36.625,2.0
2011-01-07,81.0,48.125,27.0,14.333333333333334,20.958333333333332,6.625,0,2.5416666666666665,16.833333333333332,78.0,33.458333333333336,-18.0
2011-01-08,65.0,48.208333333333336,31.0,15.166666666666666,18.25,3.0833333333333335,0,2.2916666666666665,15.916666666666666,85.0,35.25,-15.0
2011-01-09,91.0,61.166666666666664,44.0,18.956521739130434,21.82608695652174,2.869565217391304,0,3.7083333333333335,31.458333333333332,96.0,45.708333333333336,6.0
2011-01-10,91.0,62.5,34.0,22.666666666666668,31.083333333333332,8.416666666666666,0,3.5,30.25,95.0,49.333333333333336,-10.0
2011-01-11,96.0,71.83333333333333,43.0,15.782608695652174,20.52173913043478,4.739130434782608,0,3.1739130434782608,23.869565217391305,96.0,39.083333333333336,8.0
2011-01-12,66.0,43.583333333333336,32.0,17.416666666666668,31.25,13.833333333333334,0,2.5,20.75,52.0,16.041666666666668,-14.0
2011-01-13,83.0,56.75,42.0,32.583333333333336,61.083333333333336,28.5,0,4.291666666666667,33.25,88.0,35.25,-20.0
2011-01-14,81.0,48.375,31.0,17.333333333333332,23.583333333333332,6.25,0,3.125,21.0,69.0,28.916666666666668,-18.0
2011-01-15,70.0,53.791666666666664,40.0,22.17391304347826,30.130434782608695,7.956521739130435,0,3.2916666666666665,28.375,59.0,21.75,-23.0
2011-01-16,67.0,54.5,44.0,13.666666666666666,15.375,1.7083333333333333,0,2.875,27.041666666666668,41.0,24.875,2.0
2011-01-17,60.0,52.857142857142854,40.0,16.434782608695652,27.043478260869566,10.608695652173912,0,3.347826086956522,20.869565217391305,66.0,32.375,2.0
