date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,65.5,45.0,16.208333333333332,18.666666666666668,2.4583333333333335,83.0,32.166666666666664,-6.0
2011-01-02,90.0,61.375,28.0,10.666666666666666,14.541666666666666,3.875,100.0,41.958333333333336,-6.0
2011-01-03,63.0,35.875,19.0,5.333333333333333,5.625,0.2916666666666667,104.0,52.125,11.0
2011-01-04,81.0,51.25,28.0,13.375,16.208333333333332,2.8333333333333335,99.0,34.291666666666664,-27.0
2011-01-05,62.0,33.875,16.0,8.958333333333334,10.125,1.1666666666666667,94.0,41.083333333333336,-3.0
2011-01-06,77.0,51.791666666666664,29.0,20.782608695652176,27.17391304347826,6.391304347826087,92.0,27.166666666666668,-21.0
2011-01-07,85.0,49.416666666666664,20.0,13.416666666666666,19.166666666666668,5.75,86.0,23.083333333333332,-34.0
2011-01-08,76.0,51.166666666666664,23.0,14.833333333333334,17.083333333333332,2.25,93.0,22.416666666666668,-32.0
2011-01-09,91.0,62.791666666666664,40.0,14.166666666666666,17.166666666666668,3.0,96.0,35.791666666666664,-15.0
2011-01-10,91.0,61.625,28.0,19.291666666666668,23.916666666666668,4.625,93.0,41.75,-21.0
2011-01-11,86.0,71.58333333333333,41.0,13.875,21.458333333333332,7.583333333333333,93.0,32.875,-8.0
2011-01-12,81.0,46.541666666666664,27.0,14.958333333333334,23.208333333333332,8.25,55.0,8.333333333333334,-40.0
2011-01-13,80.0,57.875,28.0,32.08695652173913,62.91304347826087,30.82608695652174,98.0,24.958333333333332,-47.0
2011-01-14,83.0,53.083333333333336,23.0,11.708333333333334,16.791666666666668,5.083333333333333,81.0,15.875,-37.0
2011-01-15,72.0,54.958333333333336,31.0,16.916666666666668,20.916666666666668,4.0,59.0,11.583333333333334,-32.0
2011-01-16,73.0,50.25,34.0,7.75,8.458333333333334,0.7083333333333334,44.0,22.25,-9.0
2011-01-17,83.0,52.666666666666664,31.0,11.791666666666666,15.833333333333334,4.041666666666667,66.0,28.75,-17.0
2011-01-18,88.0,66.95833333333333,37.0,22.458333333333332,34.916666666666664,12.458333333333334,91.0,21.833333333333332,-38.0
2011-01-19,84.0,64.79166666666667,50.0,16.541666666666668,27.208333333333332,10.666666666666666,98.0,43.75,-22.0
2011-01-20,94.0,87.875,62.0,5.478260869565218,5.695652173913044,0.21739130434782608,53.0,31.083333333333332,23.0
2011-01-21,95.0,88.70833333333333,79.0,7.333333333333333,8.375,1.0416666666666667,36.0,27.625,21.0
2011-01-22,96.0,94.91666666666667,94.0,8.458333333333334,9.875,1.4166666666666667,63.0,37.208333333333336,11.0
2011-01-23,97.0,90.66666666666667,68.0,13.541666666666666,32.208333333333336,18.666666666666668,73.0,30.666666666666668,-5.0
2011-01-24,96.0,77.25,44.0,15.625,17.916666666666668,2.2916666666666665,38.0,9.416666666666666,-20.0
2011-01-25,92.0,67.83333333333333,21.0,22.541666666666668,42.708333333333336,20.166666666666668,83.0,20.0,-27.0
2011-01-26,92.0,61.166666666666664,28.0,13.125,15.333333333333334,2.2083333333333335,64.0,4.333333333333333,-33.0
2011-01-27,84.0,63.166666666666664,32.0,18.0,32.30434782608695,14.304347826086957,68.0,4.291666666666667,-53.0
2011-01-28,88.0,56.5,22.0,12.833333333333334,15.416666666666666,2.5833333333333335,63.0,0.7916666666666666,-43.0
2011-01-29,61.0,37.958333333333336,22.0,4.458333333333333,4.833333333333333,0.375,63.0,14.875,-21.0
2011-01-30,74.0,41.208333333333336,20.0,13.416666666666666,16.833333333333332,3.4166666666666665,60.0,11.541666666666666,-35.0
2011-01-31,77.0,48.333333333333336,27.0,24.291666666666668,37.416666666666664,13.125,83.0,14.541666666666666,-56.0
2011-02-01,73.0,45.583333333333336,31.0,13.666666666666666,16.291666666666668,2.625,119.0,48.125,-35.0
