date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,8.333,9.583,1.25,0.417
2011-01-02,6.0,6.667,0.667,0.25
2011-01-03,10.0,11.667,1.667,1.458
2011-01-04,12.875,17.375,4.5,0.833
2011-01-05,15.75,29.042,13.292,0.083
2011-01-06,21.348,54.435,33.087,0.217
2011-01-07,17.917,45.375,27.458,0.375
2011-01-08,14.833,24.917,10.083,0.417
2011-01-09,18.167,30.333,12.167,2.375
2011-01-10,20.458,49.375,28.917,1.875
2011-01-11,19.833,51.667,31.833,0.458
2011-01-12,19.333,54.25,34.917,0.417
2011-01-13,18.87,45.087,26.217,2.043
2011-01-14,19.208,36.792,17.583,0.792
2011-01-15,18.792,32.0,13.208,0.375
2011-01-16,17.083,41.875,24.792,0.0
2011-01-17,17.875,50.625,32.75,0.042
2011-01-18,22.583,64.333,41.75,1.25
2011-01-19,21.583,52.542,30.958,0.083
2011-01-20,16.826,27.826,11.0,0.0
2011-01-21,16.375,29.75,13.375,0.0
2011-01-22,8.208,17.583,9.375,0.083
2011-01-23,12.208,18.958,6.75,0.0
2011-01-24,18.542,30.5,11.958,0.0
2011-01-25,19.375,41.167,21.792,0.458
2011-01-26,20.25,45.417,25.167,0.042
2011-01-27,22.739,46.13,23.391,1.435
2011-01-28,18.5,35.958,17.458,1.083
2011-01-29,15.75,23.042,7.292,0.208
2011-01-30,18.125,39.083,20.958,0.083
2011-01-31,21.458,43.375,21.917,0.625
2011-02-01,14.917,21.833,6.917,1.833
2011-02-02,13.792,22.458,8.667,0.0
2011-02-03,16.739,36.478,19.739,0.391
2011-02-04,18.542,34.083,15.542,1.875
2011-02-05,19.208,31.208,12.0,1.625
2011-02-06,20.875,41.75,20.875,1.125
2011-02-07,20.958,33.833,12.875,0.458
2011-02-08,13.625,22.25,8.625,0.042
2011-02-09,20.667,42.375,21.708,0.042
2011-02-10,20.13,44.217,24.087,0.435
2011-02-11,15.792,25.583,9.792,0.292
2011-02-12,16.292,23.083,6.792,0.667
2011-02-13,23.75,42.083,18.333,0.042
2011-02-14,23.583,39.25,15.667,0.0
2011-02-15,20.167,40.292,20.125,0.0
2011-02-16,18.333,35.625,17.292,0.458
2011-02-17,16.696,38.391,21.696,0.087
2011-02-18,16.625,32.125,15.5,0.083
2011-02-19,15.25,24.167,8.917,0.375
2011-02-20,19.125,32.333,13.208,0.375
2011-02-21,27.333,65.125,37.792,0.542
2011-02-22,21.917,28.417,6.5,1.042
2011-02-23,19.958,45.833,25.875,0.708
2011-02-24,20.913,35.0,14.087,1.435
2011-02-25,18.583,29.667,11.083,0.333
2011-02-26,9.958,13.5,3.542,0.042
2011-02-27,19.042,36.75,17.708,0.167
2011-02-28,20.875,39.375,18.5,1.292
2011-03-01,21.125,61.917,40.792,2.0
2011-03-02,18.435,44.261,25.826,0.304
2011-03-03,14.875,24.292,9.417,0.042
2011-03-04,15.542,19.125,3.583,0.0
2011-03-05,22.0,39.667,17.667,0.0
2011-03-06,16.25,33.708,17.458,0.125
2011-03-07,19.542,40.208,20.667,0.667
2011-03-08,21.542,48.125,26.583,1.583
2011-03-09,19.13,32.217,13.087,0.261
2011-03-10,13.167,24.125,10.958,0.0
2011-03-11,14.167,19.5,5.333,0.917
2011-03-12,16.708,28.25,11.542,0.0
2011-03-13,19.583,40.333,20.75,0.125
2011-03-14,21.375,43.625,22.25,0.75
2011-03-15,22.75,45.083,22.333,0.708
2011-03-16,27.609,44.087,16.478,1.739
2011-03-17,20.583,38.542,17.958,0.458
2011-03-18,14.667,24.208,9.542,0.167
2011-03-19,13.583,23.917,10.333,0.0
2011-03-20,18.458,28.833,10.375,0.208
2011-03-21,19.833,32.833,13.0,0.542
2011-03-22,22.875,43.375,20.5,1.333
2011-03-23,21.217,27.087,5.87,0.0
2011-03-24,9.667,12.75,3.083,0.458
2011-03-25,9.708,12.625,2.917,0.0
2011-03-26,17.042,24.5,7.458,0.0
2011-03-27,23.889,42.167,18.278,0.333
2011-03-28,13.682,21.909,8.227,0.318
2011-03-29,20.417,32.625,12.208,0.417
2011-03-30,16.478,29.217,12.739,1.043
2011-03-31,1.292,1.375,0.083,0.0
2011-04-01,27.522,36.739,9.217,2.542
2011-04-02,20.417,32.417,12.0,2.042
2011-04-03,10.25,11.667,1.417,1.042
2011-04-04,17.375,21.792,4.417,1.0
2011-04-05,25.375,32.667,7.292,2.083
2011-04-06,26.333,41.167,14.833,1.833
2011-04-07,20.75,32.083,11.333,1.208
2011-04-08,9.478,11.043,1.565,0.125
2011-04-09,13.667,15.042,1.375,0.708
2011-04-10,14.583,16.458,1.875,1.583
2011-04-11,20.583,28.042,7.458,2.0
2011-04-12,18.875,26.875,8.0,1.125
2011-04-13,22.417,33.917,11.5,1.833
2011-04-14,26.583,35.375,8.792,3.458
2011-04-15,31.522,49.522,18.0,1.917
2011-04-16,8.958,20.667,11.708,0.5
2011-04-17,14.583,17.333,2.75,1.5
2011-04-18,22.833,34.292,11.458,1.208
2011-04-19,10.25,18.958,8.708,0.083
2011-04-20,13.917,20.0,6.083,0.333
2011-04-21,18.167,35.375,17.208,1.875
2011-04-22,25.609,42.609,17.0,2.208
2011-04-23,13.292,21.458,8.167,0.25
2011-04-24,11.0,13.458,2.458,0.875
2011-04-25,18.0,27.417,9.417,1.167
2011-04-26,22.125,34.75,12.625,3.958
2011-04-27,17.167,22.083,4.917,0.917
2011-04-28,16.083,22.375,6.292,0.25
2011-04-29,13.87,22.783,8.913,1.042
2011-04-30,16.542,20.167,3.625,1.875
2011-05-01,9.958,11.042,1.083,0.583
2011-05-02,13.333,18.875,5.542,0.958
2011-05-03,17.708,21.333,3.625,2.5
2011-05-04,11.375,15.667,4.292,1.833
2011-05-05,14.0,14.708,0.708,1.958
2011-05-06,21.957,27.478,5.522,2.826
2011-05-07,14.25,19.875,5.625,1.083
2011-05-08,9.583,11.625,2.042,0.667
2011-05-09,14.542,21.958,7.417,3.917
2011-05-10,8.542,19.958,11.417,1.083
2011-05-11,7.958,14.542,6.583,0.167
2011-05-12,12.042,15.042,3.0,0.208
2011-05-13,12.696,18.391,5.696,0.739
2011-05-14,14.458,22.083,7.625,0.458
2011-05-15,17.0,21.625,4.625,2.083
2011-05-16,20.542,26.25,5.708,2.583
2011-05-17,25.208,34.083,8.875,2.125
2011-05-18,24.625,34.625,10.0,1.708
2011-05-19,23.458,33.25,9.792,1.583
2011-05-20,16.783,29.174,12.391,1.609
2011-05-21,10.667,19.292,8.625,0.75
2011-05-22,8.5,11.958,3.458,0.333
2011-05-23,11.708,15.792,4.083,0.292
2011-05-24,11.5,15.0,3.5,0.583
2011-05-25,17.0,33.125,16.125,2.125
2011-05-26,20.25,32.5,12.25,1.083
2011-05-27,16.826,26.696,9.87,0.261
2011-05-28,15.167,19.542,4.375,0.0
2011-05-29,11.458,13.625,2.167,0.042
2011-05-30,6.708,8.958,2.25,0.0
2011-05-31,15.708,26.917,11.208,1.0
2011-06-01,15.667,28.708,13.042,0.917
2011-06-02,12.625,27.0,14.375,1.625
2011-06-03,13.087,21.826,8.739,2.0
2011-06-04,10.0,19.792,9.792,1.875
2011-06-05,10.125,14.708,4.583,1.458
2011-06-06,13.417,20.167,6.75,1.083
2011-06-07,24.292,35.458,11.167,2.792
2011-06-08,12.792,17.208,4.417,0.792
2011-06-09,11.292,25.958,14.667,1.875
2011-06-10,14.957,30.0,15.043,1.087
2011-06-11,9.917,13.292,3.375,0.375
2011-06-12,10.25,13.375,3.125,0.083
2011-06-13,10.5,17.417,6.917,0.458
2011-06-14,14.125,28.083,13.958,1.0
2011-06-15,20.583,39.625,19.042,2.708
2011-06-16,16.542,23.708,7.167,0.167
2011-06-17,13.087,16.913,3.826,0.739
2011-06-18,12.417,19.917,7.5,1.083
2011-06-19,9.667,13.708,4.042,0.583
2011-06-20,12.792,18.083,5.292,0.75
2011-06-21,10.25,16.708,6.458,0.75
2011-06-22,8.208,26.958,18.75,1.208
2011-06-23,3.292,11.5,8.208,2.417
2011-06-24,2.826,7.043,4.217,3.609
2011-06-25,4.625,16.875,12.25,0.458
2011-06-26,6.0,18.0,12.0,0.625
2011-06-27,3.333,9.417,6.083,0.25
2011-06-28,5.625,23.542,17.917,2.25
2011-06-29,7.708,29.917,22.208,2.167
2011-06-30,9.053,29.947,20.895,1.182
2011-07-01,8.133,11.8,3.667,0.087
2011-07-02,5.792,7.417,1.625,0.5
2011-07-03,6.583,12.792,6.208,0.625
2011-07-04,8.696,11.739,3.043,0.417
2011-07-05,9.833,14.042,4.208,0.625
2011-07-06,14.375,24.583,10.208,0.75
2011-07-07,7.708,18.833,11.125,0.042
2011-07-08,4.783,21.217,16.435,0.304
2011-07-09,3.0,23.458,20.458,0.042
2011-07-10,4.708,19.375,14.667,0.542
2011-07-11,8.417,25.0,16.583,0.958
2011-07-12,8.667,29.333,20.667,0.708
2011-07-13,10.458,31.25,20.792,1.25
2011-07-14,7.25,29.542,22.292,0.542
2011-07-15,6.478,25.652,19.174,0.783
2011-07-16,8.417,23.5,15.083,0.833
2011-07-17,8.708,13.833,5.125,1.25
2011-07-18,4.917,10.292,5.375,0.333
2011-07-19,2.458,3.917,1.458,0.0
2011-07-20,3.333,5.917,2.583,0.0
2011-07-21,7.042,13.917,6.875,0.0
2011-07-22,8.913,18.087,9.174,0.348
2011-07-23,8.375,18.25,9.875,0.667
2011-07-24,8.917,15.958,7.042,1.0
2011-07-25,13.458,25.292,11.833,0.458
2011-07-26,10.625,29.333,18.708,0.958
2011-07-27,8.208,25.917,17.708,0.0
2011-07-28,4.667,25.208,20.542,0.042
2011-07-29,8.087,26.87,18.783,0.652
2011-07-30,6.958,21.375,14.417,0.417
2011-07-31,5.75,16.917,11.167,0.083
2011-08-01,7.667,21.792,14.125,0.833
2011-08-02,12.0,28.167,16.167,1.542
2011-08-03,10.292,23.458,13.167,0.542
2011-08-04,10.5,27.917,17.417,0.917
2011-08-05,10.261,24.478,14.217,0.652
2011-08-06,7.5,16.667,9.167,0.542
2011-08-07,8.667,19.417,10.75,1.125
2011-08-08,7.958,22.708,14.75,0.375
2011-08-09,7.333,24.875,17.542,1.042
2011-08-10,8.792,25.292,16.5,0.875
2011-08-11,9.208,24.083,14.875,0.542
2011-08-12,7.348,18.826,11.478,0.391
2011-08-13,4.292,12.917,8.625,0.583
2011-08-14,3.542,6.208,2.667,1.375
2011-08-15,4.0,4.708,0.708,0.208
2011-08-16,5.292,8.417,3.125,0.417
2011-08-17,7.458,17.25,9.792,0.167
2011-08-18,8.417,19.458,11.042,0.708
2011-08-19,8.87,17.783,8.913,0.13
2011-08-20,7.458,23.708,16.25,0.0
2011-08-21,7.208,11.958,4.75,0.042
2011-08-22,9.333,17.875,8.542,1.083
2011-08-23,13.167,26.25,13.083,0.042
2011-08-24,8.5,29.0,20.5,0.417
2011-08-25,9.083,31.708,22.625,0.917
2011-08-26,8.261,23.783,15.522,1.522
2011-08-27,8.833,20.0,11.167,0.917
2011-08-28,8.625,13.583,4.958,0.875
2011-08-29,12.042,25.25,13.208,1.375
2011-08-30,15.25,30.75,15.5,1.583
2011-08-31,14.375,25.667,11.292,0.667
2011-09-01,9.0,22.083,13.083,0.167
2011-09-02,3.478,6.609,3.13,0.0
2011-09-03,2.75,4.25,1.5,0.0
2011-09-04,6.292,13.333,7.042,0.0
2011-09-05,9.208,13.958,4.75,0.0
2011-09-06,10.5,22.583,12.083,0.042
2011-09-07,12.875,27.958,15.083,0.417
2011-09-08,14.125,28.792,14.667,1.0
2011-09-09,14.696,26.217,11.522,1.0
2011-09-10,10.333,22.625,12.292,0.958
2011-09-11,9.375,19.458,10.083,0.583
2011-09-12,10.625,27.542,16.917,1.25
2011-09-13,12.458,32.042,19.583,1.125
2011-09-14,15.542,33.083,17.542,2.25
2011-09-15,15.5,32.917,17.417,0.792
2011-09-16,10.435,27.391,16.957,0.478
2011-09-17,9.0,21.75,12.75,0.0
2011-09-18,5.542,17.542,12.0,0.167
2011-09-19,4.583,13.0,8.417,0.0
2011-09-20,11.083,17.208,6.125,0.0
2011-09-21,5.833,7.917,2.083,0.0
2011-09-22,6.667,9.708,3.042,0.0
2011-09-23,11.304,19.435,8.13,0.0
2011-09-24,12.125,18.208,6.083,0.625
2011-09-25,12.625,18.417,5.792,0.917
2011-09-26,19.556,42.222,22.667,0.0
2011-09-27,21.111,29.667,8.556,0.444
2011-09-28,16.957,35.261,18.304,1.565
2011-09-29,14.083,30.958,16.875,0.708
2011-09-30,9.565,14.13,4.565,0.13
2011-10-01,10.75,22.667,11.917,0.083
2011-10-02,8.667,15.792,7.125,0.0
2011-10-03,13.125,22.792,9.667,0.125
2011-10-04,17.667,32.333,14.667,0.75
2011-10-05,21.917,40.75,18.833,0.125
2011-10-06,17.125,28.958,11.833,0.208
2011-10-07,15.739,31.348,15.609,0.087
2011-10-08,12.917,23.875,10.958,1.208
2011-10-09,9.5,14.5,5.0,1.792
2011-10-10,10.25,18.167,7.917,1.583
2011-10-11,14.417,35.292,20.875,1.25
2011-10-12,15.875,39.083,23.208,0.708
2011-10-13,21.792,41.833,20.042,1.042
2011-10-14,16.913,33.826,16.913,0.435
2011-10-15,11.75,20.75,9.0,0.042
2011-10-16,10.167,14.042,3.875,0.792
2011-10-17,14.875,30.917,16.042,0.208
2011-10-18,15.792,35.458,19.667,0.375
2011-10-19,15.083,32.208,17.125,0.292
2011-10-20,17.917,40.875,22.958,1.583
2011-10-21,19.0,39.095,20.095,0.238
2011-10-22,10.25,14.792,4.542,0.5
2011-10-23,7.667,10.292,2.625,0.0
2011-10-24,11.958,24.875,12.917,0.458
2011-10-25,12.042,27.208,15.167,0.0
2011-10-26,14.167,32.0,17.833,0.042
2011-10-27,16.625,34.667,18.042,0.833
2011-10-28,16.739,43.739,27.0,0.913
2011-10-29,13.958,29.083,15.125,1.0
2011-10-30,13.0,23.333,10.333,0.0
2011-10-31,14.417,29.125,14.708,0.0
2011-11-01,14.042,31.375,17.333,0.792
2011-11-02,14.25,42.5,28.25,0.583
2011-11-03,13.75,39.25,25.5,1.042
2011-11-04,13.565,51.13,37.565,0.826
2011-11-05,14.042,41.833,27.792,0.0
2011-11-06,8.458,22.042,13.583,0.0
2011-11-07,12.792,29.833,17.042,0.0
2011-11-08,15.167,41.292,26.125,0.083
2011-11-09,16.25,32.333,16.083,0.042
2011-11-10,14.792,32.833,18.042,0.125
2011-11-11,15.652,38.565,22.913,0.826
2011-11-12,11.708,26.25,14.542,0.542
2011-11-13,12.458,22.208,9.75,0.292
2011-11-14,19.208,34.625,15.417,1.083
2011-11-15,19.625,38.917,19.292,0.917
2011-11-16,17.417,41.417,24.0,0.333
2011-11-17,19.583,49.792,30.208,1.125
2011-11-18,19.957,49.217,29.261,0.13
2011-11-19,16.708,49.667,32.958,0.042
2011-11-20,10.792,17.167,6.375,0.0
2011-11-21,14.125,28.583,14.458,0.0
2011-11-22,14.667,40.75,26.083,0.417
2011-11-23,13.417,34.042,20.625,0.833
2011-11-24,11.0,17.5,6.5,0.042
2011-11-25,17.696,44.565,26.87,0.13
2011-11-26,14.5,38.125,23.625,0.375
2011-11-27,13.833,33.958,20.125,1.375
2011-11-28,16.792,63.25,46.458,1.667
2011-11-29,17.625,61.25,43.625,1.042
2011-11-30,16.042,57.208,41.167,1.25
2011-12-01,9.125,11.417,2.292,0.0
2011-12-02,15.826,30.478,14.652,0.0
2011-12-03,14.292,26.125,11.833,0.0
2011-12-04,10.542,17.583,7.042,0.042
2011-12-05,14.5,39.208,24.708,0.125
