date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-04-20,10.417,13.083,2.667,,1.833,10.75,,,
2011-04-21,13.917,19.375,5.458,,4.292,28.667,,,
2011-04-22,22.042,28.0,5.958,,5.0,37.75,,,
2011-04-23,5.208,6.125,0.917,,1.25,17.053,,,
2011-04-24,5.458,6.667,1.208,,1.375,25.083,,,
2011-04-25,3.625,4.375,0.75,,1.458,22.875,,,
2011-04-26,11.042,13.5,2.458,,3.417,28.333,,,
2011-04-27,9.348,11.435,2.087,,1.696,26.545,,,
2011-04-28,2.25,3.292,1.042,,1.0,21.458,,,
2011-04-29,10.208,13.375,3.167,,2.625,21.75,,,
2011-04-30,8.042,10.625,2.583,,2.417,24.25,,,
2011-05-01,2.0,2.833,0.833,,1.042,43.917,,,
2011-05-02,9.792,12.917,3.125,,3.333,100.917,,,
2011-05-03,14.417,18.167,3.75,,5.458,93.542,,,
2011-05-04,16.917,25.708,8.792,,6.318,87.917,,,
2011-05-05,8.458,10.667,2.208,,3.261,35.583,,,
2011-05-06,11.208,14.375,3.167,,4.15,35.958,,,
2011-05-07,12.583,16.542,3.958,,3.958,36.125,,,
2011-05-08,11.25,14.542,3.292,,4.0,31.417,,,
2011-05-09,10.792,15.167,4.375,,4.75,39.708,,,
2011-05-10,14.625,32.208,17.583,,3.042,39.458,,,
2011-05-11,14.25,32.417,18.167,,1.542,14.417,,,
2011-05-12,12.0,18.609,6.609,,2.304,12.167,,,
2011-05-13,2.208,3.208,1.0,,1.375,26.208,,,
2011-05-14,1.917,2.833,0.917,,1.278,26.042,,,
2011-05-15,7.667,10.042,2.375,,4.778,33.125,,,
2011-05-16,10.083,12.833,2.75,,5.4,41.833,,,
2011-05-17,5.917,7.417,1.5,,3.35,33.958,,,
2011-05-18,15.375,20.167,4.792,,6.958,25.292,,,
2011-05-19,10.458,13.167,2.708,,4.3,33.667,,,
2011-05-20,10.909,13.909,3.0,,2.955,23.167,,,
2011-05-21,9.875,13.333,3.458,,2.917,14.042,,,
2011-05-22,6.875,8.875,2.0,,1.917,11.375,,,
2011-05-23,9.0,11.083,2.083,,2.667,10.875,,,
2011-05-24,8.435,10.043,1.609,,3.062,7.667,,,
2011-05-25,11.583,14.333,2.75,,4.462,19.458,,,
2011-05-26,18.625,22.542,3.917,,2.591,24.25,,,
2011-05-27,15.217,18.13,2.913,,1.556,22.091,,,
2011-05-28,19.625,23.958,4.333,,1.5,12.875,,,
2011-05-29,8.0,9.292,1.292,,0.75,7.208,,,
2011-05-30,2.583,3.375,0.792,,0.818,4.833,,,
2011-05-31,9.75,12.208,2.458,,,9.5,,,
2011-06-01,20.0,23.75,3.75,,,27.792,,,
2011-06-02,17.917,23.917,6.0,,2.0,35.0,,,
2011-06-03,11.583,15.417,3.833,,5.0,35.375,,,
2011-06-04,8.042,10.167,2.125,,2.947,33.458,,,
2011-06-05,14.417,17.458,3.042,,5.095,32.167,,,
2011-06-06,16.167,21.125,4.958,,6.714,36.083,,,
2011-06-07,11.333,13.292,1.958,,2.947,35.875,,,
2011-06-08,10.458,12.042,1.583,,2.294,21.375,,,
2011-06-09,11.333,14.292,2.958,,3.048,30.542,,,
2011-06-10,14.045,16.909,2.864,,3.125,41.571,,,
2011-06-11,18.625,22.542,3.917,,3.25,16.083,,,
2011-06-12,14.292,17.25,2.958,,3.478,22.917,,,
2011-06-13,7.583,9.583,2.0,,2.5,17.75,,,
2011-06-14,10.625,12.583,1.958,,2.133,49.208,,,
2011-06-15,14.333,17.292,2.958,,3.889,52.833,,,
2011-06-16,15.458,17.5,2.042,,2.0,25.167,,,
2011-06-17,11.333,14.375,3.042,,2.864,16.583,,,
2011-06-18,14.083,16.083,2.0,,3.167,39.5,,,
2011-06-19,10.667,12.958,2.292,,3.375,28.292,,,
2011-06-20,15.708,18.75,3.042,,2.792,20.917,,,
2011-06-21,13.292,17.958,4.667,,4.042,19.5,,,
2011-06-22,14.958,22.458,7.5,,4.875,31.292,,,
2011-06-23,6.083,10.792,4.708,,3.952,33.458,,,
2011-06-24,6.0,9.667,3.667,,5.0,27.042,,,
2011-06-25,8.5,14.208,5.708,,4.8,25.208,,,
2011-06-26,6.25,11.167,4.917,,3.083,18.625,,,
2011-06-27,6.292,10.125,3.833,,2.0,20.208,,,
2011-06-28,7.667,14.5,6.833,,4.417,25.833,,,
2011-06-29,9.417,13.375,3.958,,4.929,31.0,,,
2011-06-30,7.958,10.625,2.667,,4.692,29.333,,,
2011-07-01,7.333,10.125,2.792,,0.889,30.0,,,
2011-07-02,8.167,11.042,2.875,,1.25,50.458,,,
2011-07-03,11.5,14.5,3.0,,2.75,37.042,,,
2011-07-04,7.667,9.417,1.75,,1.083,21.417,,,
2011-07-05,12.375,14.583,2.208,,3.375,38.5,,,
2011-07-06,14.625,17.125,2.5,,2.75,32.333,,,
2011-07-07,9.375,13.333,3.958,,1.292,18.292,,,
2011-07-08,4.565,11.174,6.609,,1.364,17.583,,,
2011-07-09,4.458,9.292,4.833,,1.083,10.292,,,
2011-07-10,4.208,6.875,2.667,,2.208,12.417,,,
2011-07-11,9.125,12.25,3.125,,3.833,18.208,,,
2011-07-12,9.458,14.0,4.542,,4.167,20.542,,,
2011-07-13,12.25,16.375,4.125,,4.167,20.542,,,
2011-07-14,6.125,8.875,2.75,,1.667,12.917,,,
2011-07-15,8.833,13.167,4.333,,2.864,14.208,,,
2011-07-16,9.583,13.167,3.583,,4.0,18.708,,,
2011-07-17,6.292,7.917,1.625,,3.708,27.917,,,
