date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,200.625,4.167,14.208,10.958,14.417,3.458,,4.958,214.833
2011-01-02,194.875,3.667,9.5,4.708,5.75,1.042,,4.25,204.375
2011-01-03,195.917,3.958,10.042,7.042,8.792,1.75,,5.667,205.958
2011-01-04,196.565,3.957,9.0,4.565,5.478,0.913,,6.583,205.565
2011-01-05,194.375,3.458,9.375,7.5,8.958,1.458,,3.958,203.75
2011-01-06,194.458,3.167,12.125,14.583,17.792,3.208,,4.375,206.583
2011-01-07,194.667,3.583,11.542,13.125,18.542,5.417,,4.875,206.208
2011-01-08,197.625,3.083,14.042,13.375,18.292,4.917,,4.208,211.667
2011-01-09,199.542,4.583,15.083,14.167,20.25,6.083,,7.417,214.625
2011-01-10,198.917,6.083,20.375,16.833,27.375,10.542,,7.833,219.292
2011-01-11,195.217,4.174,11.217,9.217,12.957,3.739,,6.043,206.435
2011-01-12,197.333,3.875,13.625,14.958,22.667,7.708,,5.125,210.958
2011-01-13,195.684,3.737,10.105,8.053,10.895,2.842,,6.737,205.789
2011-01-14,197.125,4.125,10.083,6.542,8.458,1.917,,7.667,207.208
2011-01-15,197.458,4.417,13.417,13.708,17.417,3.708,,5.875,210.875
2011-01-16,195.545,2.609,9.5,10.696,12.913,2.217,,4.583,205.045
2011-01-17,194.167,3.375,17.625,17.75,30.5,12.75,,4.75,211.792
2011-01-18,198.458,4.5,22.125,26.958,51.583,24.625,,8.292,220.583
2011-01-19,194.375,3.458,17.708,26.292,36.625,10.333,,5.583,212.083
2011-01-20,192.208,3.083,17.0,20.5,27.958,7.458,,5.292,209.208
2011-01-21,192.0,2.792,14.917,18.208,22.917,4.708,,4.333,206.917
2011-01-22,191.917,3.542,17.208,14.125,19.292,5.167,,4.458,209.125
2011-01-23,194.045,3.043,8.727,5.783,8.0,2.217,,3.5,202.773
2011-01-24,195.958,2.667,7.333,4.5,6.167,1.667,,2.708,203.292
2011-01-25,198.417,3.667,7.75,5.875,7.958,2.083,,4.667,206.167
2011-01-26,198.292,2.75,7.375,5.0,6.625,1.625,,3.375,205.667
2011-01-27,199.208,4.333,12.042,12.5,15.25,2.75,,6.333,211.25
2011-01-28,198.917,4.375,14.458,12.5,15.292,2.792,,6.667,213.375
2011-01-29,198.042,3.833,13.583,12.0,16.125,4.125,,5.917,211.625
