date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-05-31,13.042,17.042,4.0,,
2011-06-01,23.0,28.417,5.417,,
2011-06-02,17.375,21.125,3.75,,
2011-06-03,18.25,22.792,4.542,,
2011-06-04,15.167,19.167,4.0,,
2011-06-05,15.208,18.375,3.167,,
2011-06-06,17.125,20.917,3.792,,
2011-06-07,18.217,23.478,5.261,,
2011-06-08,14.833,18.625,3.792,,
2011-06-09,20.542,27.292,6.75,,
2011-06-10,25.458,35.042,9.583,,
2011-06-11,16.792,22.125,5.333,,
2011-06-12,16.958,22.0,5.042,,
2011-06-13,11.542,15.417,3.875,,
2011-06-14,13.958,17.083,3.125,,
2011-06-15,19.042,24.292,5.25,,
2011-06-16,13.958,17.042,3.083,,
2011-06-17,13.583,16.667,3.083,,
2011-06-18,29.375,40.125,10.75,,
2011-06-19,16.458,22.0,5.542,,
2011-06-20,21.833,31.875,10.042,,
2011-06-21,20.696,33.087,12.391,,
2011-06-22,17.292,27.208,9.917,,
2011-06-23,16.667,30.333,13.667,,
2011-06-24,12.292,24.042,11.75,,
2011-06-25,16.5,32.292,15.792,,
2011-06-26,10.333,17.917,7.583,,
2011-06-27,10.667,20.042,9.375,,
2011-06-28,17.083,34.125,17.042,,
2011-06-29,11.333,17.958,6.625,,
2011-06-30,9.875,15.292,5.417,,
2011-07-01,12.167,18.792,6.625,,
2011-07-02,12.958,17.625,4.667,,
2011-07-03,12.458,16.25,3.792,,
2011-07-04,13.333,19.125,5.792,,
2011-07-05,9.905,12.619,2.714,,
2011-07-06,14.375,17.458,3.083,,
2011-07-07,15.333,24.333,9.0,,
2011-07-08,20.913,39.304,18.391,,
2011-07-09,14.565,31.478,16.913,,
2011-07-10,10.25,13.958,3.708,,
2011-07-11,13.391,21.478,8.087,,
2011-07-12,11.5,23.833,12.333,,
2011-07-13,13.333,20.0,6.667,,
2011-07-14,13.333,20.042,6.708,,
2011-07-15,14.417,20.833,6.417,,
2011-07-16,13.167,16.375,3.208,,
2011-07-17,8.261,12.435,4.174,,
2011-07-18,5.75,8.458,2.708,,
2011-07-19,3.583,4.958,1.375,,
2011-07-20,6.435,11.522,5.087,,
2011-07-21,10.083,14.208,4.125,,
2011-07-22,13.208,18.917,5.708,,
2011-07-23,11.625,14.375,2.75,,
2011-07-24,11.167,14.083,2.917,,
2011-07-25,12.125,16.458,4.333,,
2011-07-26,14.0,21.083,7.083,,
2011-07-27,15.208,21.75,6.542,,
2011-07-28,13.25,19.083,5.833,,
2011-07-29,11.458,16.917,5.458,,
2011-07-30,11.083,14.917,3.833,,
2011-07-31,11.478,15.783,4.304,,
2011-08-01,10.167,13.042,2.875,,
2011-08-02,8.25,10.958,2.708,,
2011-08-03,7.391,12.261,4.87,,
2011-08-04,9.042,12.333,3.292,,
2011-08-05,12.958,18.167,5.208,,
2011-08-06,11.792,19.917,8.125,,
2011-08-07,10.375,17.958,7.583,,
2011-08-08,11.542,17.042,5.5,,
2011-08-09,11.458,16.125,4.667,,
2011-08-10,9.917,14.667,4.75,,
2011-08-11,10.917,15.5,4.583,,
2011-08-12,11.167,14.917,3.75,,
2011-08-13,10.042,13.042,3.0,,
2011-08-14,7.083,9.083,2.0,,
2011-08-15,6.458,8.667,2.208,,
2011-08-16,7.708,10.5,2.792,,
2011-08-17,10.13,15.696,5.565,,
2011-08-18,8.75,13.958,5.208,,
2011-08-19,10.458,13.917,3.458,,
2011-08-20,10.75,13.333,2.583,,
2011-08-21,9.042,12.417,3.375,,
2011-08-22,9.917,13.625,3.708,,
2011-08-23,13.292,19.125,5.833,,
2011-08-24,14.5,25.667,11.167,,
2011-08-25,11.75,18.667,6.917,,
2011-08-26,9.292,22.333,13.042,,
2011-08-27,9.375,15.292,5.917,,
2011-08-28,8.375,10.667,2.292,,
2011-08-29,13.125,17.208,4.083,,
2011-08-30,12.333,15.792,3.458,,
2011-08-31,11.522,14.478,2.957,,
2011-09-01,11.292,17.25,5.958,,
2011-09-02,4.458,5.958,1.5,,
2011-09-03,5.792,8.625,2.833,,
2011-09-04,5.5,7.625,2.125,,
2011-09-05,7.417,9.75,2.333,,
2011-09-06,13.083,19.042,5.958,,
2011-09-07,12.375,16.25,3.875,,
2011-09-08,12.583,16.125,3.542,,
2011-09-09,11.5,16.208,4.708,,
2011-09-10,10.375,16.5,6.125,,
2011-09-11,5.708,9.833,4.125,,
2011-09-12,10.545,15.318,4.773,,
2011-09-13,12.522,19.261,6.739,,
2011-09-14,13.75,20.0,6.25,,
2011-09-15,10.125,15.917,5.792,,
2011-09-16,9.25,13.292,4.042,,
2011-09-17,10.125,16.458,6.333,,
2011-09-18,5.292,9.208,3.917,,
2011-09-19,7.125,12.042,4.917,,
2011-09-20,10.708,13.125,2.417,,
2011-09-21,7.167,9.542,2.375,,
2011-09-22,8.583,11.5,2.917,,
2011-09-23,12.375,17.917,5.542,,
2011-09-24,10.958,14.542,3.583,,
2011-09-25,11.375,14.5,3.125,,
2011-09-26,17.208,21.292,4.083,,
2011-09-27,14.304,22.348,8.043,,
2011-09-28,16.542,22.708,6.167,,
2011-09-29,15.208,19.167,3.958,,
2011-09-30,16.875,23.083,6.208,,
2011-10-01,7.208,8.75,1.542,,
2011-10-02,7.792,10.375,2.583,,
2011-10-03,5.833,7.375,1.542,,
2011-10-04,13.875,19.75,5.875,,
2011-10-05,21.083,29.125,8.042,,
2011-10-06,14.292,18.583,4.292,,
2011-10-07,15.958,19.542,3.583,,
2011-10-08,15.25,21.292,6.042,,
2011-10-09,12.042,14.75,2.708,,
2011-10-10,12.583,15.875,3.292,,
2011-10-11,23.042,32.583,9.542,,
2011-10-12,21.609,33.609,12.0,,
2011-10-13,21.417,30.417,9.0,,
2011-10-14,16.375,23.292,6.917,,
2011-10-15,17.75,26.875,9.125,,
2011-10-16,6.833,8.458,1.625,,
2011-10-17,15.917,22.75,6.833,,
2011-10-18,17.542,25.417,7.875,,
2011-10-19,16.667,25.542,8.875,,
2011-10-20,19.458,35.458,16.0,,
2011-10-21,13.25,16.375,3.125,,
2011-10-22,13.417,18.917,5.5,,
2011-10-23,13.417,18.958,5.542,,
2011-10-24,18.667,31.625,12.958,,
2011-10-25,12.739,22.913,10.174,,
2011-10-26,10.75,19.833,9.083,,
2011-10-27,18.542,33.25,14.708,,
2011-10-28,22.417,38.333,15.917,,
2011-10-29,18.333,29.0,10.667,,
2011-10-30,12.958,17.708,4.75,,
2011-10-31,13.375,20.667,7.292,,
2011-11-01,19.292,34.625,15.333,,
2011-11-02,18.583,25.333,6.75,,
2011-11-03,24.375,38.917,14.542,,
2011-11-04,22.375,39.208,16.833,,
2011-11-05,21.292,41.792,20.5,,
2011-11-06,12.208,19.917,7.708,,
2011-11-07,10.708,15.542,4.833,,
2011-11-08,11.826,21.13,9.304,,
