date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,191.833,6.042,10.0,13.917,20.417,6.5,6.0,,201.833
2011-01-02,189.364,5.583,3.045,5.292,6.875,1.583,5.083,,192.409
2011-01-03,191.667,6.75,7.833,13.042,18.125,5.083,7.375,,199.5
2011-01-04,191.391,6.458,4.174,8.0,11.217,3.217,7.583,,195.565
2011-01-05,190.292,6.375,6.583,14.333,20.25,5.917,5.917,,196.875
2011-01-06,190.45,6.417,12.65,20.917,30.333,9.417,6.87,,203.1
2011-01-07,189.042,4.792,10.0,10.833,14.0,3.167,5.292,,199.042
2011-01-08,192.292,5.75,14.625,17.875,27.625,9.75,4.667,,206.917
2011-01-09,195.682,7.083,16.773,20.208,31.083,10.875,8.583,,212.455
2011-01-10,193.583,8.667,18.583,22.458,38.917,16.458,10.333,,212.167
2011-01-11,188.13,5.875,9.783,11.25,15.125,3.875,6.958,,197.913
2011-01-12,190.792,6.667,16.833,21.792,37.542,15.75,7.167,,207.625
2011-01-13,187.792,5.875,8.5,15.292,21.792,6.5,8.292,,196.292
2011-01-14,189.583,6.375,10.5,12.917,18.0,5.083,10.5,,200.083
2011-01-15,189.042,6.375,10.125,18.917,27.958,9.042,8.25,,199.167
2011-01-16,189.619,5.917,13.952,20.826,29.913,9.087,5.348,,203.571
2011-01-17,190.625,6.875,18.833,24.5,43.458,18.958,6.083,,209.458
2011-01-18,192.625,7.958,24.042,32.5,60.75,28.25,8.917,,216.667
2011-01-19,191.125,7.208,29.625,34.458,57.292,22.833,6.0,,220.75
2011-01-20,187.417,5.958,14.583,24.417,34.375,9.958,4.792,,202.0
2011-01-21,188.609,6.042,16.826,25.0,35.542,10.542,4.417,,205.435
2011-01-22,188.208,5.792,13.292,18.125,26.5,8.375,5.583,,201.5
2011-01-23,188.818,5.375,7.273,10.458,14.875,4.417,4.833,,196.091
2011-01-24,189.304,4.833,6.826,10.042,14.25,4.208,5.333,,196.13
2011-01-25,190.833,6.083,7.5,12.208,16.75,4.542,6.458,,198.333
2011-01-26,191.167,5.5,8.542,13.208,18.25,5.042,6.417,,199.708
2011-01-27,193.0,7.25,15.625,22.083,33.042,10.958,7.833,,208.625
2011-01-28,192.667,6.833,10.458,16.417,21.083,4.667,7.958,,203.125
2011-01-29,192.625,5.875,10.625,15.333,20.708,5.375,6.75,,203.25
2011-01-30,192.19,6.333,12.048,17.217,28.565,11.348,7.708,,204.238
2011-01-31,189.667,6.083,11.667,18.083,27.208,9.125,6.958,,201.333
2011-02-01,190.208,6.167,9.208,12.208,18.0,5.792,6.333,,199.417
2011-02-02,188.958,4.917,5.458,9.125,13.25,4.125,4.917,,194.417
2011-02-03,190.708,6.542,12.083,19.042,30.667,11.625,5.542,,202.792
2011-02-04,190.125,5.417,6.167,11.5,15.958,4.458,6.958,,196.292
2011-02-05,194.458,7.583,12.75,22.667,32.625,9.958,8.708,,207.208
2011-02-06,190.714,7.625,13.857,27.625,44.875,17.25,6.455,,204.571
2011-02-07,188.292,6.958,9.833,19.958,29.042,9.083,5.625,,198.125
2011-02-08,187.0,4.833,5.042,8.958,13.167,4.208,5.083,,192.042
2011-02-09,188.458,5.125,6.0,11.958,16.458,4.5,5.875,,194.458
2011-02-10,189.25,5.917,10.458,19.167,29.25,10.083,7.833,,199.708
2011-02-11,189.25,5.417,8.167,13.417,21.458,8.042,5.0,,197.417
2011-02-12,189.792,5.792,6.625,14.083,17.958,3.875,5.917,,196.417
2011-02-13,189.667,7.167,20.952,26.739,41.174,14.435,4.917,,210.619
2011-02-14,188.208,7.208,15.5,30.625,62.125,31.5,5.75,,203.708
2011-02-15,188.458,6.708,15.917,25.375,39.875,14.5,6.292,,204.375
2011-02-16,186.292,5.542,8.167,15.208,22.667,7.458,5.958,,194.458
2011-02-17,186.75,4.875,4.458,10.458,14.0,3.542,4.792,,191.208
