date,CO_mean,NO2_mean,NOX_mean,NO_mean
2011-01-01,6.042,12.75,17.542,4.792
2011-01-02,3.652,6.167,7.333,1.167
2011-01-03,5.042,11.25,14.25,3.0
2011-01-04,5.227,7.565,9.783,2.217
2011-01-05,6.5,12.75,17.083,4.333
2011-01-06,7.167,17.375,25.25,7.875
2011-01-07,4.833,11.583,15.167,3.583
2011-01-08,5.375,12.542,17.25,4.708
2011-01-09,6.217,17.75,24.417,6.667
2011-01-10,8.292,18.083,27.667,9.583
2011-01-11,5.417,10.417,13.458,3.042
2011-01-12,5.708,17.083,25.75,8.667
2011-01-13,4.75,12.917,18.0,5.083
2011-01-14,4.875,10.292,13.458,3.167
2011-01-15,5.625,16.875,21.417,4.542
2011-01-16,4.435,11.957,15.087,3.13
2011-01-17,6.333,18.708,29.125,10.417
2011-01-18,8.375,28.583,53.542,24.958
2011-01-19,6.583,26.583,39.167,12.583
2011-01-20,7.833,23.917,36.917,13.0
2011-01-21,6.042,23.958,33.958,10.0
2011-01-22,5.667,17.75,28.292,10.542
2011-01-23,4.217,8.583,11.167,2.583
2011-01-24,4.083,9.25,12.583,3.333
2011-01-25,4.75,11.583,15.667,4.083
2011-01-26,5.083,12.167,16.708,4.542
2011-01-27,6.625,18.458,25.125,6.667
2011-01-28,6.458,17.333,22.417,5.083
2011-01-29,4.375,14.375,18.875,4.5
2011-01-30,5.043,15.696,25.435,9.739
2011-01-31,5.833,18.0,27.083,9.083
2011-02-01,4.5,10.917,14.167,3.25
2011-02-02,3.333,9.083,12.875,3.792
2011-02-03,5.083,15.167,23.167,8.0
2011-02-04,3.583,11.083,14.542,3.458
2011-02-05,6.667,16.708,21.542,4.833
2011-02-06,8.478,23.833,36.167,12.333
2011-02-07,6.375,20.583,30.042,9.458
2011-02-08,4.083,8.417,12.125,3.708
2011-02-09,4.208,11.042,15.5,4.458
2011-02-10,5.167,16.667,25.542,8.875
2011-02-11,3.5,10.833,15.542,4.708
2011-02-12,4.375,11.833,15.292,3.458
