date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,3.542,7.167,9.5,2.333,,4.75,
2011-01-02,3.5,4.292,5.667,1.375,,3.792,
2011-01-03,3.75,5.833,7.375,1.542,,5.167,
2011-01-04,3.917,4.25,6.083,1.833,,5.917,
2011-01-05,3.522,8.261,10.739,2.478,,3.583,
2011-01-06,2.75,10.375,14.458,4.083,,4.708,
2011-01-07,3.542,12.375,18.083,5.708,,4.708,
2011-01-08,2.375,8.083,10.958,2.875,,3.75,
2011-01-09,4.333,11.652,15.913,4.261,,6.833,
2011-01-10,5.13,11.565,15.435,3.87,,7.304,
2011-01-11,3.792,8.708,12.083,3.375,,5.542,
2011-01-12,3.167,11.0,15.75,4.75,,5.25,
2011-01-13,3.333,7.958,10.667,2.708,,6.625,
2011-01-14,4.167,6.75,9.167,2.417,,7.708,
2011-01-15,4.0,10.042,13.625,3.583,,5.25,
2011-01-16,2.833,8.417,11.042,2.625,,3.125,
2011-01-17,2.478,10.217,13.478,3.261,,3.792,
2011-01-18,3.125,19.667,27.833,8.167,,6.208,
2011-01-19,3.167,24.5,34.208,9.708,,4.083,
2011-01-20,2.833,15.917,20.708,4.792,,3.708,
2011-01-21,2.708,14.5,19.292,4.792,,3.125,
2011-01-22,2.458,7.417,10.0,2.583,,3.167,
2011-01-23,2.792,5.667,7.833,2.167,,3.208,
2011-01-24,2.609,4.87,8.348,3.478,,3.167,
2011-01-25,3.375,6.875,10.625,3.75,,4.583,
2011-01-26,2.667,5.708,8.667,2.958,,3.458,
2011-01-27,5.167,9.458,12.583,3.125,,5.5,
2011-01-28,5.125,11.696,15.609,3.913,,6.917,
2011-01-29,3.125,8.625,11.75,3.125,,5.25,
2011-01-30,3.708,9.125,13.417,4.292,,4.625,
2011-01-31,2.957,6.957,9.391,2.435,,4.826,
2011-02-01,3.5,4.708,6.417,1.708,,5.542,
2011-02-02,2.458,4.5,6.417,1.917,,3.458,
2011-02-03,2.958,6.125,8.625,2.5,,3.417,
2011-02-04,2.917,5.833,7.833,2.0,,4.833,
2011-02-05,3.917,8.458,11.083,2.625,,6.875,
2011-02-06,4.958,18.833,27.083,8.25,,5.25,
2011-02-07,5.0,16.304,23.304,7.0,,4.522,
2011-02-08,2.542,4.375,6.5,2.125,,3.042,
2011-02-09,3.167,6.542,9.458,2.917,,3.667,
2011-02-10,2.958,8.083,12.0,3.917,,4.167,
2011-02-11,2.667,6.167,8.75,2.583,,3.917,
2011-02-12,3.333,6.292,8.708,2.417,,3.708,
2011-02-13,3.958,16.917,23.292,6.375,,3.125,
2011-02-14,5.13,26.478,41.913,15.435,,4.625,
2011-02-15,5.917,29.333,48.542,19.208,,7.417,
2011-02-16,2.75,7.667,10.958,3.292,,4.375,
2011-02-17,2.708,6.042,8.75,2.708,,4.25,
2011-02-18,3.0,5.25,7.125,1.875,,3.292,
2011-02-19,2.625,5.042,6.5,1.458,,3.667,
2011-02-20,3.292,10.167,14.458,4.292,,5.417,
2011-02-21,3.826,23.333,34.208,10.875,,6.13,
2011-02-22,3.625,15.958,20.083,4.125,,4.042,
2011-02-23,4.409,17.043,22.739,5.696,,4.913,
2011-02-24,4.167,9.5,14.0,4.5,,6.042,
2011-02-25,4.292,13.375,18.5,5.125,,5.292,
2011-02-26,2.583,7.167,9.5,2.333,,4.083,
2011-02-27,3.083,9.167,14.792,5.625,,4.625,
2011-02-28,2.478,6.913,10.0,3.087,,2.875,
2011-03-01,3.667,22.75,35.833,13.083,,6.458,
2011-03-02,4.167,23.708,35.083,11.375,,6.042,
2011-03-03,2.917,7.292,11.5,4.208,,4.208,
2011-03-04,3.125,7.0,9.083,2.083,,2.708,
2011-03-05,4.375,19.167,30.708,11.542,,2.792,
2011-03-06,4.565,13.167,26.458,13.292,,3.75,
2011-03-07,5.333,14.208,18.333,4.125,,7.458,
2011-03-08,6.25,16.208,23.458,7.25,,7.583,
2011-03-09,5.167,12.667,15.917,3.25,,4.0,
2011-03-10,4.0,9.792,13.625,3.833,,4.875,
2011-03-11,3.292,5.667,7.625,1.958,,4.458,
2011-03-12,3.083,4.25,5.833,1.583,,3.542,
2011-03-13,3.478,8.13,11.13,3.0,,4.783,
2011-03-14,3.0,8.958,12.333,3.375,,5.833,
2011-03-15,3.625,8.5,10.958,2.458,,7.083,
2011-03-16,3.042,14.833,18.458,3.625,,4.125,
2011-03-17,3.542,16.25,20.625,4.375,,5.667,
2011-03-18,4.708,10.792,14.417,3.625,,5.125,
2011-03-19,2.958,6.625,8.458,1.833,,4.417,
2011-03-20,2.75,6.458,9.042,2.583,,4.375,
2011-03-21,3.13,5.263,8.105,2.842,,5.318,
2011-03-22,2.875,10.182,11.545,1.364,,6.5,
2011-03-23,3.542,19.042,21.083,2.042,,4.542,
2011-03-24,4.0,5.542,6.167,0.625,,4.708,
2011-03-25,2.167,4.167,4.75,0.583,,3.958,
2011-03-26,2.625,5.917,6.917,1.0,,3.792,
2011-03-27,3.696,9.391,12.522,3.13,,6.5,
2011-03-28,3.125,8.958,9.542,0.583,,7.5,
2011-03-29,3.208,11.125,12.958,1.833,,7.25,
2011-03-30,2.583,9.708,12.292,2.583,,6.75,
2011-03-31,2.417,4.417,4.958,0.542,,4.5,
2011-04-01,3.75,11.25,15.0,3.75,,8.0,
2011-04-02,3.208,7.375,9.625,2.25,,6.667,
2011-04-03,2.125,3.083,4.333,1.25,,3.875,
2011-04-04,2.13,3.783,5.304,1.522,,3.13,
2011-04-05,2.75,7.5,9.708,2.208,,5.5,
2011-04-06,2.833,8.833,11.75,2.917,,5.583,
2011-04-07,2.125,3.542,5.125,1.583,,3.958,
2011-04-08,2.667,15.583,20.375,4.792,,5.667,
2011-04-09,2.958,8.458,10.458,2.0,,4.542,
2011-04-10,3.375,4.708,6.792,2.083,,6.333,
2011-04-11,3.458,7.792,10.0,2.208,,7.417,
2011-04-12,3.217,6.292,10.292,4.0,,5.417,
2011-04-13,3.042,5.708,8.375,2.667,,6.583,
2011-04-14,4.0,7.125,9.75,2.625,,10.625,
2011-04-15,4.375,23.667,29.75,6.083,,10.833,
2011-04-16,4.375,15.417,22.25,6.833,,7.292,
2011-04-17,2.542,5.417,8.667,3.25,,4.208,
2011-04-18,3.333,14.667,19.417,4.75,,4.583,
2011-04-19,2.609,2.435,3.217,0.783,,3.208,
2011-04-20,2.375,4.375,5.667,1.292,,4.042,
2011-04-21,2.625,8.375,11.208,2.833,,6.208,
2011-04-22,3.167,16.792,22.208,5.417,,5.75,
2011-04-23,2.75,6.167,9.125,2.958,,2.875,
2011-04-24,2.917,2.0,2.625,0.625,,4.458,
2011-04-25,3.0,2.75,3.458,0.708,,5.583,
2011-04-26,2.391,5.565,7.957,2.391,,6.522,
2011-04-27,2.083,2.042,3.333,1.292,,4.625,
2011-04-28,3.0,3.5,4.625,1.125,,4.792,
2011-04-29,2.625,4.625,6.083,1.458,,5.167,
2011-04-30,2.5,5.333,7.708,2.375,,5.708,
2011-05-01,2.0,2.75,3.833,1.083,,4.75,
2011-05-02,3.0,6.417,8.292,1.875,,6.375,
2011-05-03,3.5,10.0,12.875,2.875,,5.917,
2011-05-04,3.25,8.458,11.333,2.875,,5.958,
2011-05-05,3.125,8.417,10.75,2.333,,7.792,
2011-05-06,2.667,7.208,9.292,2.083,,5.792,
2011-05-07,2.042,3.958,5.5,1.542,,4.792,
2011-05-08,2.208,3.167,4.458,1.292,,5.375,
2011-05-09,3.958,13.583,16.917,3.333,,10.81,
2011-05-10,2.435,14.826,20.913,6.087,,11.292,
2011-05-11,2.0,9.708,15.708,6.0,,5.292,
2011-05-12,2.5,12.375,21.625,9.25,,6.167,
2011-05-13,2.875,3.208,4.5,1.292,,6.5,
2011-05-14,3.0,2.75,3.75,1.0,,7.417,
2011-05-15,3.083,3.5,5.292,1.792,,9.125,
2011-05-16,3.25,5.318,7.273,1.955,,9.625,
2011-05-17,3.13,5.87,8.261,2.391,,9.625,
2011-05-18,3.333,10.083,13.417,3.333,,9.333,
2011-05-19,3.958,11.208,14.958,3.75,,11.708,
2011-05-20,2.833,10.667,13.75,3.083,,9.375,
2011-05-21,2.708,14.292,19.042,4.75,,7.958,
2011-05-22,2.25,13.625,20.25,6.625,,6.167,
2011-05-23,2.318,4.792,6.375,1.583,,3.458,
2011-05-24,2.174,4.292,5.917,1.625,,3.0,
2011-05-25,2.417,14.174,17.391,3.217,,6.708,
2011-05-26,2.375,7.958,10.167,2.208,,5.25,
2011-05-27,2.208,5.875,7.333,1.458,,3.0,
2011-05-28,2.958,14.417,18.167,3.75,,2.875,
2011-05-29,2.708,10.458,14.25,3.792,,2.583,
2011-05-30,2.125,3.042,4.208,1.167,,3.792,
2011-05-31,2.522,6.0,8.783,2.783,,4.833,
2011-06-01,3.125,18.333,24.083,5.75,,7.75,
2011-06-02,2.792,15.208,19.375,4.167,,8.583,
