date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.812,93.981,85.189,67.182,4.739,4.892,5.474,0.594,,2.51,7.359,5.573,2.782,196.348
2011-01-02,190.696,3.062,95.042,74.268,54.347,3.478,4.169,4.972,0.828,,1.248,6.151,4.217,1.869,194.174
2011-01-03,192.13,3.438,92.97,75.845,52.155,3.739,4.198,4.851,0.626,,3.387,6.413,4.429,2.401,195.87
2011-01-04,187.609,2.896,93.813,73.551,55.907,3.522,3.29,3.624,0.308,,2.946,5.322,2.905,0.89,191.13
2011-01-05,186.609,3.896,87.858,78.769,64.678,4.87,6.389,8.509,2.147,,1.416,4.988,3.25,1.597,191.478
2011-01-06,185.609,3.042,93.399,77.388,52.652,4.217,6.487,8.863,2.358,,1.27,8.494,4.218,2.151,189.826
2011-01-07,191.478,3.688,95.396,86.448,69.367,5.783,6.997,10.211,3.178,,0.411,5.589,3.239,1.277,197.261
2011-01-08,189.522,3.322,90.196,71.769,43.859,5.696,4.665,6.911,2.147,,0.466,9.731,5.147,1.282,195.217
2011-01-09,190.739,4.312,92.011,76.245,53.276,5.087,7.337,9.678,2.376,,3.789,9.277,6.168,4.392,195.826
2011-01-10,196.0,5.022,89.525,77.196,63.519,7.0,7.951,10.755,2.824,,4.276,8.455,5.789,3.811,203.0
2011-01-11,187.783,2.98,94.335,73.136,54.128,5.435,5.529,7.323,1.884,,2.271,7.033,4.263,0.626,193.217
2011-01-12,190.478,3.166,95.396,83.429,64.207,6.652,7.275,11.076,3.837,,0.743,5.976,3.219,0.433,197.13
2011-01-13,191.043,3.062,85.056,66.687,52.565,6.435,5.508,6.367,0.862,,4.277,6.58,5.365,3.84,197.478
2011-01-14,192.304,3.708,80.894,64.268,51.347,6.217,6.714,9.175,2.45,,2.51,8.001,5.741,3.626,198.522
2011-01-15,191.913,3.375,88.805,75.634,57.063,5.739,6.095,8.76,2.661,,0.873,7.625,4.966,2.844,197.652
2011-01-16,188.478,2.708,90.133,76.03,61.221,4.913,6.643,10.751,4.084,,0.547,6.606,4.917,3.134,193.391
2011-01-17,187.261,3.75,90.77,72.832,42.455,7.174,9.149,14.871,5.768,,0.55,10.009,4.66,0.515,194.435
2011-01-18,190.391,4.458,87.559,69.303,40.59,9.957,11.648,21.193,9.546,,0.967,11.651,5.579,-0.307,200.348
2011-01-19,187.0,3.166,94.251,89.909,77.217,6.957,9.65,15.179,5.529,,0.551,7.751,6.527,5.301,193.957
2011-01-20,182.913,2.12,92.976,75.943,58.964,3.652,5.073,8.064,2.995,,0.389,10.428,8.049,5.835,186.565
2011-01-21,189.609,3.146,94.65,82.712,63.311,5.609,9.168,14.592,5.473,,0.372,10.371,6.734,3.724,195.217
2011-01-22,191.435,2.729,94.537,86.456,66.19,5.043,4.952,6.681,1.76,,0.474,8.276,5.646,2.391,196.478
2011-01-23,195.522,2.803,93.581,74.273,55.72,5.13,5.47,8.834,3.377,,1.001,5.992,3.499,1.372,200.652
2011-01-24,188.217,1.958,82.501,64.408,54.082,4.174,1.744,2.004,0.268,,1.014,2.685,1.568,0.1,192.391
2011-01-25,188.957,2.812,85.257,68.072,52.12,5.043,2.45,2.782,0.353,,2.254,2.328,0.789,-0.809,194.0
2011-01-26,186.783,2.542,89.511,70.245,54.742,4.696,3.714,4.629,0.938,,2.599,3.821,1.599,-0.747,191.478
2011-01-27,189.696,4.312,87.316,69.554,43.374,5.174,6.926,9.243,2.36,,3.824,7.247,3.824,1.434,194.87
2011-01-28,188.435,3.5,87.932,69.169,51.731,4.826,5.223,6.451,1.242,,2.56,7.455,4.572,1.847,193.261
2011-01-29,191.304,2.875,94.605,87.336,72.512,5.826,3.786,4.94,1.121,,0.944,5.009,2.407,0.652,197.13
2011-01-30,194.174,3.118,96.103,78.043,52.317,5.652,4.885,7.128,2.121,,1.81,5.365,2.195,0.178,199.826
2011-01-31,192.8,3.074,74.24,56.145,42.671,4.4,5.493,7.132,1.702,,3.511,6.475,3.482,-0.074,197.2
2011-02-01,189.348,3.169,90.801,63.512,46.849,3.261,3.099,3.374,0.262,,3.923,5.912,3.046,0.316,192.609
2011-02-02,196.565,2.5,93.138,75.914,56.066,19.783,2.515,2.964,0.465,,2.227,0.888,-1.384,-3.222,216.348
2011-02-03,,2.521,90.815,78.476,58.513,,3.825,4.932,1.113,,1.205,3.458,0.755,-2.046,
2011-02-04,188.13,3.646,82.294,64.072,52.817,3.522,5.106,5.612,0.518,,4.802,5.846,3.483,1.201,191.652
2011-02-05,197.391,5.438,85.884,71.914,52.965,6.087,7.888,9.784,1.931,,3.199,8.213,3.943,0.548,203.478
2011-02-06,200.217,6.854,95.396,88.018,75.929,9.435,13.003,20.723,7.709,,1.55,7.467,3.999,0.043,209.652
2011-02-07,196.261,4.146,96.103,77.985,53.724,5.348,6.49,7.884,1.436,,2.668,8.479,5.393,2.086,201.609
2011-02-08,186.0,2.25,86.588,69.643,56.977,3.375,2.727,3.133,0.354,,1.415,1.725,0.074,-1.796,189.375
2011-02-09,185.667,2.304,80.712,62.672,53.208,2.333,2.634,3.045,0.374,,1.466,2.737,1.365,0.274,188.0
2011-02-10,186.435,2.666,85.818,66.878,50.044,3.043,4.826,6.364,1.501,,1.367,5.913,2.914,0.223,189.478
2011-02-11,186.261,2.842,85.509,68.338,49.778,3.435,4.173,5.01,0.82,,0.76,6.156,2.904,0.038,189.696
2011-02-12,186.565,3.73,83.702,65.902,43.775,5.391,5.536,7.582,2.087,,1.284,7.811,3.135,-0.466,191.957
2011-02-13,194.609,4.666,95.0,90.499,78.235,6.565,11.423,15.926,4.531,,1.04,4.365,3.082,1.414,201.174
2011-02-14,194.478,5.438,95.665,93.059,82.248,11.0,11.332,17.722,6.365,,0.795,8.262,5.096,3.254,205.478
2011-02-15,190.435,3.666,95.707,87.335,72.738,4.739,7.291,10.792,3.521,,0.899,6.984,4.432,1.217,195.174
2011-02-16,188.826,2.458,86.646,67.206,48.533,3.478,4.277,6.0,1.775,,1.245,6.405,3.515,1.034,192.304
2011-02-17,187.652,2.362,83.627,63.91,46.141,3.435,3.245,3.849,0.591,,2.37,4.696,2.066,-0.708,191.087
2011-02-18,189.087,2.587,94.169,85.034,67.39,2.826,4.149,5.459,1.311,,0.899,1.588,-0.247,-1.579,191.913
2011-02-19,187.652,2.565,94.958,87.086,74.963,2.87,3.614,4.529,0.914,,0.785,2.464,0.317,-1.569,190.522
2011-02-20,188.0,3.416,88.631,72.387,50.747,4.391,7.161,9.483,2.42,,0.854,7.846,2.921,-0.558,192.391
2011-02-21,190.696,4.312,93.24,76.519,50.962,6.565,9.712,14.054,4.353,,2.281,9.508,5.157,1.582,197.261
2011-02-22,188.826,4.208,96.643,84.313,58.565,6.217,9.178,13.073,3.885,,1.267,11.047,5.742,0.138,195.043
2011-02-23,193.957,3.479,96.103,79.226,60.709,5.522,4.924,5.884,0.851,,2.197,12.626,9.019,6.589,199.478
2011-02-24,187.652,3.604,80.373,64.178,48.914,3.391,5.957,8.138,2.225,,2.45,9.761,6.863,3.616,191.043
2011-02-25,192.87,3.058,94.128,84.747,67.797,4.087,5.091,6.047,1.004,,0.787,8.649,6.176,4.426,196.957
2011-02-26,186.391,2.521,88.806,69.453,52.191,2.348,3.229,4.439,1.261,,0.507,5.329,3.501,0.673,188.739
2011-02-27,187.739,3.688,94.019,83.113,65.321,3.957,6.737,10.235,3.555,,0.426,4.859,1.767,-0.598,191.696
2011-02-28,188.174,3.416,91.449,72.82,48.179,4.0,7.198,10.154,2.867,,0.606,6.464,2.404,-1.665,192.174
2011-03-01,186.0,3.312,91.707,80.424,61.019,5.35,8.242,12.018,3.822,,0.902,12.334,7.132,1.604,191.35
2011-03-02,185.696,2.688,93.046,85.758,73.884,3.348,6.456,8.305,1.873,,0.626,8.893,8.082,7.078,189.043
2011-03-03,185.957,3.167,84.303,69.884,50.705,3.435,5.105,6.676,1.539,,0.929,11.581,8.022,5.717,189.391
2011-03-04,190.522,2.774,92.812,79.209,62.261,5.0,4.663,5.912,1.289,,0.456,7.242,5.869,4.378,195.522
2011-03-05,197.391,3.959,93.652,91.126,85.23,6.522,9.041,11.943,2.887,,0.548,10.784,8.687,6.077,203.913
2011-03-06,191.696,3.75,93.77,83.27,69.145,5.739,5.948,7.337,1.365,,0.742,14.282,10.738,8.931,197.435
2011-03-07,193.174,8.125,85.314,67.736,52.816,8.522,10.001,12.708,2.679,,3.234,11.622,8.794,5.509,201.696
2011-03-08,191.522,7.25,90.282,70.612,45.723,7.217,9.917,13.636,3.76,,1.338,11.885,7.599,3.316,198.739
2011-03-09,189.609,5.438,83.975,70.464,60.38,4.783,8.093,10.01,1.876,,1.442,10.415,8.344,6.215,194.391
2011-03-10,187.348,3.424,89.86,79.426,54.34,3.957,5.494,7.162,1.569,,0.265,8.171,5.489,0.402,191.304
2011-03-11,189.0,3.146,90.455,67.752,41.638,4.478,3.314,4.25,0.809,,1.19,7.267,3.02,-0.309,193.478
2011-03-12,187.174,2.547,86.54,73.196,56.433,3.957,3.233,3.88,0.633,,2.406,4.884,2.501,0.83,191.13
2011-03-13,185.783,3.25,84.749,68.736,49.714,4.478,5.279,6.8,1.52,,0.696,7.004,3.518,0.49,190.261
2011-03-14,187.957,3.583,85.456,65.06,45.999,4.348,5.696,8.047,2.305,,2.313,11.487,6.134,-0.731,192.304
2011-03-15,187.13,4.188,80.353,63.881,47.119,5.609,7.897,10.025,2.216,,3.059,10.306,7.518,1.975,192.739
2011-03-16,192.783,3.666,89.701,67.385,45.87,6.174,9.136,12.525,3.442,,1.615,13.439,7.581,0.972,198.957
2011-03-17,189.043,3.583,94.381,83.415,70.167,4.783,3.965,4.588,0.579,,0.565,16.19,12.795,9.68,193.826
2011-03-18,192.826,3.458,94.178,88.843,80.808,4.783,4.769,5.479,0.702,,0.621,11.885,10.794,8.798,197.609
2011-03-19,188.826,2.958,83.177,65.389,47.737,4.087,4.938,7.049,2.109,,1.304,8.082,5.574,0.785,192.913
2011-03-20,187.652,2.652,86.098,69.392,49.011,4.696,4.376,5.496,1.129,,0.662,9.792,4.599,-0.129,192.348
2011-03-21,186.348,3.083,88.609,66.911,38.997,4.435,4.799,5.814,1.016,,1.285,11.271,6.017,1.198,190.783
2011-03-22,187.739,3.75,90.911,76.325,55.943,5.957,8.347,10.3,1.98,,1.685,12.636,7.413,1.353,193.696
2011-03-23,189.0,3.166,93.493,90.042,78.711,5.391,8.431,10.631,2.274,,0.85,10.614,9.008,7.179,194.391
2011-03-24,192.435,3.229,90.626,69.365,46.687,5.13,3.171,3.5,0.323,,1.256,10.383,8.309,6.005,197.565
2011-03-25,188.261,2.271,78.898,53.675,41.131,4.174,2.632,2.867,0.219,,0.987,9.235,6.34,2.885,192.435
2011-03-26,188.13,2.875,89.854,71.81,51.458,4.391,4.097,4.877,0.742,,1.524,8.172,4.624,1.634,192.522
2011-03-27,188.565,4.438,82.169,63.193,42.937,5.696,7.25,9.141,1.882,,2.842,14.222,8.464,1.278,194.261
2011-03-28,186.261,3.205,85.765,64.626,44.444,4.609,5.252,5.845,0.518,,3.145,14.705,11.037,4.5,190.87
2011-03-29,188.261,3.377,89.47,56.11,29.047,4.783,5.989,7.355,1.353,,1.409,18.558,10.797,1.978,193.043
2011-03-30,189.0,2.622,68.886,55.056,47.35,3.304,3.505,3.967,0.377,,3.826,20.344,16.693,13.598,192.304
2011-03-31,188.522,2.5,91.391,69.081,44.182,4.783,2.926,3.35,0.41,,0.769,14.806,9.017,4.34,193.304
2011-04-01,192.632,4.062,87.973,61.547,37.338,6.632,8.134,9.497,1.407,,0.87,18.33,10.429,2.583,199.263
2011-04-02,186.739,4.771,85.212,72.226,60.065,4.609,7.141,9.74,2.633,,0.54,12.77,9.265,6.592,191.348
2011-04-03,185.87,2.0,75.84,57.863,45.617,3.261,2.73,3.911,1.207,,0.387,10.782,7.958,4.743,189.13
2011-04-04,186.87,2.0,82.372,62.737,45.819,3.391,4.444,6.291,1.847,,0.465,11.365,7.062,2.287,190.261
2011-04-05,186.217,2.167,90.862,69.397,43.91,4.652,7.36,10.022,2.72,,0.482,14.142,7.905,0.415,190.87
2011-04-06,187.609,2.542,93.458,67.825,37.444,6.13,7.684,9.82,2.115,,1.534,19.089,11.117,2.575,193.739
2011-04-07,189.652,1.875,81.258,63.142,48.96,5.391,4.347,5.195,0.89,,0.641,20.637,16.31,9.84,195.043
2011-04-08,187.522,3.387,97.703,91.384,67.177,4.739,5.984,7.555,1.592,,0.201,17.057,13.323,11.126,192.261
2011-04-09,187.435,2.854,97.222,80.365,60.014,5.174,3.483,3.912,0.448,,0.432,16.296,12.327,7.134,192.609
2011-04-10,191.043,3.292,87.565,61.626,38.905,5.391,4.66,5.139,0.482,,1.699,18.665,11.963,4.991,196.435
2011-04-11,186.348,3.89,97.04,81.574,56.482,4.957,7.289,8.912,1.621,,1.121,13.028,8.798,3.744,191.304
2011-04-12,186.478,2.875,97.124,77.668,48.033,4.609,4.189,5.152,0.968,,0.654,14.979,8.204,2.263,191.087
2011-04-13,185.87,3.062,77.097,61.507,44.694,4.0,4.518,4.889,0.343,,2.119,16.893,12.62,7.046,189.87
2011-04-14,190.739,3.833,82.163,64.07,48.079,5.435,7.661,8.757,1.117,,2.815,18.66,13.276,7.665,196.174
2011-04-15,189.739,4.18,90.549,78.054,65.373,6.304,7.244,9.446,2.188,,1.301,18.758,15.675,12.376,196.043
2011-04-16,186.087,3.104,90.906,71.23,57.234,4.826,3.728,4.675,0.959,,0.671,17.079,11.705,5.479,190.913
2011-04-17,186.609,2.5,92.29,72.413,51.156,4.087,3.164,4.105,0.977,,0.514,14.424,8.893,2.424,190.696
2011-04-18,191.957,2.958,94.238,82.915,65.702,6.13,4.845,6.604,1.673,,0.948,15.035,10.51,6.731,198.087
2011-04-19,187.13,2.146,96.347,87.236,74.809,3.391,1.693,2.228,0.381,,0.136,10.858,8.323,6.173,190.522
2011-04-20,184.087,2.479,93.926,73.878,59.136,3.609,3.034,4.035,0.962,,0.383,13.459,9.837,5.829,187.696
2011-04-21,187.478,3.062,95.729,72.101,48.029,5.652,5.129,6.783,1.659,,0.987,17.888,12.149,4.496,193.13
