date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,199.871,4244.167,4.544,88.134,64.865,41.761,77.181,12.727,19.679,6.952,15.386,1.309,16.351,6.705,1.539,-2.234,277.052
2011-01-02,192.703,4073.75,3.751,89.302,57.589,24.479,24.213,7.84,10.587,2.747,8.424,0.752,10.729,9.218,2.975,-1.712,216.916
2011-01-03,192.352,4134.167,4.136,67.219,44.853,21.453,22.14,9.828,12.987,3.159,2.41,0.994,7.029,7.823,2.283,-2.612,214.493
2011-01-04,193.9,4102.083,3.98,72.116,49.774,29.704,9.98,11.378,16.314,4.936,5.539,1.488,9.118,7.828,2.006,-2.281,203.88
2011-01-05,193.394,4291.5,4.419,71.748,53.186,31.899,11.263,14.524,23.936,9.412,3.508,1.061,9.001,4.783,0.774,-2.732,204.656
2011-01-06,196.767,4229.583,4.685,75.249,54.44,27.882,16.143,20.956,38.427,17.471,9.837,1.498,13.787,7.288,1.364,-4.117,212.911
2011-01-07,194.671,4368.333,4.541,73.287,51.713,26.417,14.57,15.591,30.972,15.381,4.036,1.11,8.931,5.905,1.399,-2.144,209.241
2011-01-08,196.165,4354.583,4.284,72.4,52.136,26.701,12.447,12.57,19.645,7.076,6.302,1.565,10.382,6.073,0.55,-4.08,208.612
2011-01-09,194.757,4267.917,4.106,73.828,55.852,33.072,11.573,15.728,25.184,9.456,12.684,2.155,14.933,7.452,1.722,-3.129,206.331
2011-01-10,196.066,4278.75,4.673,84.705,57.532,34.514,16.082,21.272,38.786,17.514,16.628,1.998,18.317,7.283,2.792,-1.594,212.147
2011-01-11,194.092,4111.667,3.799,75.908,51.229,28.939,11.251,15.732,29.961,14.229,11.857,1.773,14.079,6.966,2.159,-1.135,205.343
2011-01-12,194.126,4195.217,4.204,63.528,41.449,22.612,13.099,19.017,33.917,14.9,5.853,1.647,10.84,4.434,-0.489,-5.066,207.225
2011-01-13,196.11,4188.75,5.172,69.018,47.901,25.887,19.836,23.767,51.21,27.444,11.845,2.043,16.263,9.29,1.515,-5.642,215.945
