date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,4.667,6.149,12.038,5.89,11.583,4.272
2011-01-02,5.167,5.912,8.178,2.266,13.208,4.256
2011-01-03,6.25,7.538,11.78,4.242,21.625,6.074
2011-01-04,5.783,7.25,10.383,3.133,22.292,6.49
2011-01-05,7.583,13.792,23.038,9.247,16.375,4.879
2011-01-06,6.125,14.554,24.41,9.857,9.833,4.649
2011-01-07,6.0,10.92,17.742,6.821,6.625,3.881
2011-01-08,6.125,9.488,13.884,4.395,7.167,4.01
2011-01-09,6.042,11.07,17.517,6.447,17.458,5.797
2011-01-10,7.708,14.278,22.254,7.977,30.5,5.913
2011-01-11,6.739,10.056,17.456,7.401,22.955,4.942
2011-01-12,7.583,12.091,20.099,8.008,6.375,4.307
2011-01-13,7.833,13.971,23.667,9.696,17.458,5.48
2011-01-14,8.542,13.971,21.659,7.688,30.958,6.581
2011-01-15,6.708,9.964,14.041,4.077,16.917,4.461
2011-01-16,6.833,9.94,17.93,7.99,7.583,3.431
2011-01-17,5.917,7.269,12.382,5.113,4.5,2.831
2011-01-18,7.739,13.237,23.157,9.92,6.542,3.582
2011-01-19,7.792,14.548,34.582,20.033,7.292,3.129
2011-01-20,6.292,7.712,15.72,8.008,1.042,2.57
2011-01-21,7.625,10.836,22.108,11.272,3.917,2.359
2011-01-22,5.667,6.51,11.876,5.367,3.708,2.623
2011-01-23,5.292,6.694,11.698,5.004,6.042,3.115
2011-01-24,5.333,9.188,15.001,5.813,7.25,4.012
2011-01-25,6.565,9.511,15.939,6.428,14.0,4.394
2011-01-26,6.625,11.661,19.235,7.574,7.458,3.86
2011-01-27,8.417,14.9,25.041,10.141,21.417,5.272
2011-01-28,8.417,12.458,20.813,8.355,32.542,5.35
2011-01-29,5.125,7.074,10.661,3.588,16.0,4.176
2011-01-30,7.167,13.964,23.074,9.11,10.417,4.611
2011-01-31,6.875,12.386,20.641,8.255,9.167,4.598
2011-02-01,6.696,11.017,19.657,8.639,17.083,5.314
2011-02-02,4.75,7.061,10.763,3.703,5.625,3.741
2011-02-03,7.167,11.883,20.399,8.516,7.875,4.381
2011-02-04,6.792,14.496,24.564,10.068,15.708,6.07
2011-02-05,7.208,11.522,18.135,6.613,29.792,4.885
2011-02-06,7.75,14.506,32.917,18.41,7.333,3.265
2011-02-07,7.833,10.824,20.962,10.138,9.083,3.214
2011-02-08,5.87,7.386,11.797,4.411,5.833,3.55
2011-02-09,7.625,10.602,19.882,9.281,8.167,3.925
2011-02-10,7.0,10.365,16.294,5.929,10.667,3.855
2011-02-11,6.333,8.302,12.82,4.519,7.5,3.773
2011-02-12,6.25,8.437,12.714,4.278,7.208,3.865
2011-02-13,6.792,15.073,27.912,12.839,6.083,2.944
2011-02-14,10.042,16.176,43.863,27.687,1.792,2.601
2011-02-15,9.696,14.835,26.646,11.811,5.542,2.603
2011-02-16,6.542,8.216,13.213,4.998,11.833,3.288
2011-02-17,5.75,8.151,14.132,5.981,8.292,3.76
2011-02-18,5.5,7.666,12.483,4.817,10.167,3.675
2011-02-19,4.917,7.083,10.816,3.733,8.375,3.852
2011-02-20,6.083,10.965,18.605,7.64,8.792,3.745
2011-02-21,7.833,14.632,25.065,10.432,14.375,5.944
2011-02-22,7.833,12.58,24.338,11.759,11.167,3.432
2011-02-23,6.125,8.983,17.883,8.9,5.375,3.065
2011-02-24,6.875,7.171,10.001,2.83,29.875,5.392
2011-02-25,8.542,12.445,20.537,8.092,22.083,2.971
2011-02-26,4.833,4.947,7.067,2.12,7.458,3.066
2011-02-27,6.5,8.914,14.267,5.352,9.625,3.687
2011-02-28,6.25,9.463,15.202,5.739,7.75,3.367
2011-03-01,8.0,12.75,23.208,10.458,5.292,3.143
2011-03-02,9.042,14.117,26.344,12.227,5.625,2.737
2011-03-03,5.375,4.254,6.891,2.637,12.0,2.906
2011-03-04,6.292,6.97,11.666,4.697,12.292,2.229
2011-03-05,9.875,16.661,29.401,12.74,2.958,2.238
2011-03-06,7.833,10.515,18.101,7.586,11.125,3.217
2011-03-07,7.708,9.486,13.417,3.931,26.5,4.096
2011-03-08,8.083,10.508,18.076,7.568,25.167,3.885
2011-03-09,9.083,9.519,16.022,6.503,9.833,2.479
2011-03-10,5.708,5.33,7.795,2.465,14.042,2.942
2011-03-11,5.542,5.101,7.607,2.506,22.5,5.159
2011-03-12,4.792,6.49,9.654,3.165,9.458,3.412
2011-03-13,6.083,9.467,14.829,5.361,9.125,3.942
2011-03-14,5.583,11.481,17.182,5.701,11.458,4.775
2011-03-15,6.391,12.375,18.638,6.262,22.0,5.784
2011-03-16,8.375,13.491,23.007,9.515,27.364,4.209
2011-03-17,8.833,15.566,28.411,12.845,6.333,2.539
2011-03-18,9.875,12.872,23.847,10.975,16.682,2.27
2011-03-19,6.458,8.419,14.29,5.871,10.125,2.779
2011-03-20,6.208,9.23,14.296,5.066,10.667,3.36
2011-03-21,6.417,10.888,17.408,6.52,12.583,4.226
2011-03-22,5.696,10.966,21.246,10.279,17.667,7.391
2011-03-23,7.083,14.896,24.79,9.894,5.333,2.895
2011-03-24,6.625,6.651,9.335,2.684,21.875,4.168
2011-03-25,4.25,4.573,6.321,1.748,12.167,3.695
2011-03-26,5.25,8.79,12.752,3.962,10.583,3.686
2011-03-27,5.667,10.558,16.976,6.418,14.375,4.238
2011-03-28,5.875,9.791,16.197,6.406,28.167,5.098
2011-03-29,5.739,10.262,14.872,4.61,17.167,4.625
2011-03-30,5.583,10.401,16.04,5.639,11.125,3.86
2011-03-31,4.958,8.203,12.517,4.314,9.042,2.767
2011-04-01,3.833,11.507,17.471,5.963,26.708,6.925
2011-04-02,2.833,9.915,14.686,4.771,24.708,6.592
2011-04-03,1.667,3.015,3.96,0.945,21.292,4.631
2011-04-04,1.458,3.088,4.627,1.539,6.5,3.465
2011-04-05,2.375,7.803,12.435,4.632,6.083,4.241
2011-04-06,2.167,8.558,13.729,5.171,8.917,4.735
2011-04-07,1.625,7.301,12.128,4.826,8.333,4.423
2011-04-08,3.125,9.104,13.688,4.584,8.083,2.662
2011-04-09,1.875,6.176,11.116,4.941,10.5,3.893
2011-04-10,2.083,5.654,7.925,2.271,20.542,5.243
2011-04-11,2.458,6.339,13.207,6.868,29.208,5.597
2011-04-12,2.5,5.994,8.468,2.474,16.708,4.296
2011-04-13,2.292,7.686,15.86,8.173,23.833,6.764
2011-04-14,2.208,8.945,16.377,7.431,23.417,5.634
2011-04-15,3.75,11.655,20.144,8.49,25.5,4.31
2011-04-16,2.708,7.576,13.879,6.304,40.5,4.479
2011-04-17,2.208,4.807,6.668,1.862,21.333,4.148
2011-04-18,3.875,11.358,20.586,9.228,15.083,2.678
2011-04-19,3.292,7.433,11.882,4.449,7.875,2.906
2011-04-20,2.542,5.823,8.453,2.63,4.083,3.203
2011-04-21,9.609,8.223,14.781,6.559,13.0,3.853
2011-04-22,17.0,12.728,20.721,7.993,17.875,2.71
2011-04-23,15.125,5.111,7.45,2.338,9.333,3.036
2011-04-24,15.167,5.31,8.212,2.901,18.417,3.721
2011-04-25,15.333,7.572,13.578,6.006,17.625,4.17
2011-04-26,14.958,8.268,13.971,5.703,21.75,5.419
2011-04-27,15.292,7.257,11.678,4.421,18.875,2.792
2011-04-28,14.792,7.7,11.797,4.098,18.792,3.541
2011-04-29,14.75,5.978,11.304,5.326,16.708,3.883
2011-04-30,15.167,7.903,16.135,8.232,16.625,3.538
2011-05-01,14.167,4.299,6.954,2.654,16.417,2.611
2011-05-02,14.458,8.802,14.978,6.175,64.5,4.211
2011-05-03,15.542,7.097,13.617,6.52,56.292,2.725
2011-05-04,14.458,5.236,9.983,4.747,32.917,2.619
2011-05-05,14.417,5.757,13.646,7.89,24.167,3.25
2011-05-06,14.667,6.079,11.33,5.251,17.583,2.639
2011-05-07,14.25,5.304,8.649,3.345,3.042,2.997
2011-05-08,13.25,3.742,6.838,3.096,14.625,2.893
2011-05-09,14.167,6.331,13.244,6.913,28.917,3.731
2011-05-10,14.292,5.479,11.353,5.874,31.708,2.554
2011-05-11,13.833,4.352,9.613,5.26,10.435,1.678
2011-05-12,14.292,5.183,13.153,7.97,0.375,2.033
2011-05-13,14.042,6.044,9.296,3.252,18.792,4.047
2011-05-14,14.25,7.032,10.573,3.541,20.875,4.645
2011-05-15,14.25,5.814,11.528,5.715,22.875,5.111
2011-05-16,13.958,6.328,8.575,2.247,30.958,4.996
2011-05-17,14.0,6.446,11.18,4.734,35.208,4.462
2011-05-18,14.25,8.296,14.865,6.569,23.333,4.999
2011-05-19,14.0,6.131,10.038,3.907,26.083,4.112
2011-05-20,13.375,4.81,8.578,3.767,16.542,3.566
2011-05-21,12.708,4.553,7.68,3.127,8.708,3.255
2011-05-22,12.458,3.45,6.065,2.615,7.708,2.977
2011-05-23,13.958,6.385,11.409,5.024,3.167,1.903
2011-05-24,14.0,6.249,9.599,3.349,1.792,2.407
2011-05-25,13.708,6.13,9.266,3.136,7.083,3.068
2011-05-26,7.522,7.606,24.229,16.623,8.792,2.616
2011-05-27,1.667,7.432,19.402,11.971,0.75,1.918
2011-05-28,1.833,9.459,21.497,12.038,-0.667,1.831
2011-05-29,0.542,5.802,13.032,7.23,-2.042,2.006
2011-05-30,0.875,3.903,7.555,3.652,2.417,3.222
2011-05-31,0.667,5.233,11.659,6.427,5.583,3.513
2011-06-01,0.917,6.72,13.185,6.465,5.458,2.695
2011-06-02,6.043,6.48,14.607,8.127,21.917,3.826
2011-06-03,13.417,6.541,12.197,5.656,31.042,2.941
2011-06-04,13.208,4.532,11.651,7.119,24.375,2.663
2011-06-05,13.417,4.291,8.259,3.968,22.292,1.865
2011-06-06,12.792,6.081,14.491,8.409,23.167,2.611
2011-06-07,13.75,6.982,12.303,5.321,18.083,1.718
2011-06-08,13.583,6.491,9.864,3.373,1.583,1.475
2011-06-09,12.708,7.376,11.9,4.524,7.25,3.079
2011-06-10,13.417,7.347,12.461,5.114,20.792,2.887
2011-06-11,13.75,8.637,16.028,7.39,2.833,2.055
2011-06-12,13.333,6.639,10.513,3.874,5.875,2.001
2011-06-13,12.625,8.159,14.303,6.143,5.708,2.732
2011-06-14,13.792,6.474,11.64,5.166,33.917,2.146
2011-06-15,14.792,8.331,13.401,5.07,32.417,4.04
2011-06-16,15.042,9.253,15.13,5.878,5.0,2.404
2011-06-17,14.583,6.827,12.368,5.54,6.417,2.773
2011-06-18,15.125,8.688,14.053,5.366,5.167,2.451
