date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,186.255,6.771,16.529,14.403,22.382,7.979,10.242,0.687,14.926,5.4,1.725,-1.7,202.783
2011-01-02,182.343,4.071,10.668,7.514,11.432,3.918,5.857,0.472,9.536,7.7,2.979,0.0,193.011
2011-01-03,180.373,3.018,5.782,5.982,8.045,2.062,1.361,0.268,6.83,4.7,1.758,-0.8,186.156
2011-01-04,182.297,3.901,9.967,10.453,14.546,4.093,6.43,0.659,9.76,2.8,-0.317,-1.7,192.264
2011-01-05,182.324,2.838,6.142,5.329,7.788,2.459,3.05,0.336,7.474,1.5,-0.104,-1.5,188.466
2011-01-06,183.156,4.929,11.461,12.63,20.119,7.489,6.08,0.501,9.324,3.4,1.117,-0.2,194.617
2011-01-07,182.07,3.271,8.564,7.915,11.489,3.574,4.472,0.367,7.904,3.5,0.975,-1.2,190.634
2011-01-08,182.15,3.504,8.001,8.138,11.079,2.94,2.912,0.312,7.381,2.8,0.838,-0.5,190.151
2011-01-09,184.769,7.433,26.83,16.666,29.6,12.934,5.98,0.541,10.009,4.8,1.071,-2.2,211.598
2011-01-10,182.732,4.652,16.205,14.781,23.009,8.229,8.304,0.88,11.685,3.9,1.608,0.3,198.936
2011-01-11,181.742,3.484,8.643,10.744,16.257,5.513,8.037,0.618,11.09,0.5,-2.2,-4.7,190.384
2011-01-12,182.548,5.024,12.702,14.854,26.682,11.828,4.549,0.573,8.23,0.6,-2.404,-4.9,195.249
2011-01-13,185.373,5.07,15.938,17.352,28.542,11.19,9.126,0.76,11.913,1.5,-1.433,-4.5,201.311
2011-01-14,187.105,4.312,12.181,7.984,14.0,6.016,9.291,0.864,9.826,0.1,-1.783,-3.4,199.286
2011-01-15,185.551,3.056,9.413,5.179,7.504,2.325,7.593,1.158,10.737,1.9,-0.708,-3.4,194.965
2011-01-16,185.715,5.005,16.363,13.619,23.484,9.864,7.886,0.63,11.264,1.6,-0.696,-2.7,202.078
2011-01-17,186.211,5.799,21.112,19.807,35.105,15.298,9.289,0.597,12.417,2.7,0.05,-1.5,207.322
2011-01-18,186.345,7.371,30.794,23.015,45.111,22.097,10.691,1.203,15.191,6.5,2.625,-1.0,217.139
2011-01-19,171.805,5.786,14.645,17.663,29.474,11.811,13.147,1.138,17.647,5.1,2.133,-0.8,186.45
2011-01-20,180.29,3.989,8.124,10.707,16.016,5.309,7.81,0.485,11.937,2.7,1.108,-0.2,188.414
2011-01-21,180.086,4.647,10.849,15.367,22.984,7.618,8.834,0.35,12.043,1.3,-0.233,-1.8,190.935
2011-01-22,179.85,4.898,14.202,13.207,22.091,8.883,2.899,0.234,7.177,4.5,2.167,0.0,194.052
2011-01-23,182.09,4.422,11.205,10.146,16.26,6.114,4.426,0.395,8.903,5.3,2.45,-1.3,193.295
2011-01-24,181.346,3.9,9.91,10.528,16.207,5.679,4.045,0.444,8.979,2.4,-0.808,-2.5,191.256
2011-01-25,182.051,4.506,10.112,14.276,20.551,6.276,9.843,0.652,11.696,0.2,-2.342,-4.9,192.162
2011-01-26,183.171,4.461,14.706,12.924,21.438,8.513,7.1,0.657,9.904,-1.0,-3.379,-5.1,197.878
2011-01-27,183.121,4.329,10.578,14.909,22.153,7.244,10.672,0.821,12.685,-2.6,-3.722,-4.8,193.699
2011-01-28,182.624,3.749,7.317,9.324,13.528,4.204,8.235,0.707,10.709,-1.4,-4.15,-6.2,189.941
2011-01-29,183.376,4.784,10.693,9.938,14.692,4.754,5.27,0.337,8.35,-0.3,-3.75,-6.6,194.069
