date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,197.606,4235.455,4.856,98.63,85.569,69.993,10.891,10.736,15.536,4.8,24.5,0.0,0.813,19.012,8.666,3.404,-1.269,208.497
2011-01-02,194.082,4107.585,3.601,99.49,71.91,42.64,7.005,6.719,9.209,2.491,15.417,0.0,0.635,13.67,10.727,4.246,-0.865,201.087
2011-01-03,190.983,4145.955,3.925,87.452,59.671,36.826,6.475,8.353,11.581,3.228,3.292,0.0,0.452,7.681,9.767,3.72,-2.235,197.459
2011-01-04,192.348,4061.218,4.05,89.265,65.136,42.898,6.945,8.758,11.972,3.213,7.25,0.0,1.213,10.636,10.113,3.914,-1.092,199.293
2011-01-05,191.538,4072.124,3.598,82.962,61.987,41.606,6.434,8.754,12.281,3.527,1.833,0.0,0.788,8.598,7.706,2.49,-1.647,197.971
2011-01-06,195.071,4206.958,5.097,90.994,70.661,44.818,13.5,19.296,33.229,13.933,12.167,0.0,1.108,14.774,9.065,2.734,-3.391,208.572
2011-01-07,192.99,4146.962,3.698,85.726,63.076,40.74,7.872,10.539,16.279,5.741,6.667,0.0,0.683,9.113,8.078,3.115,-1.319,200.862
2011-01-08,195.438,4243.478,4.411,92.287,69.978,43.029,9.694,11.584,16.277,4.693,7.333,0.0,0.758,11.424,7.849,1.87,-3.667,205.133
2011-01-09,194.361,4203.794,3.629,98.792,79.41,61.9,10.467,12.996,17.291,4.295,11.417,0.0,1.322,14.594,9.284,3.731,-1.141,204.828
2011-01-10,193.827,4184.795,4.658,99.49,72.41,44.138,12.77,17.679,30.947,13.268,14.958,0.0,1.389,15.765,9.165,4.475,-1.553,206.597
2011-01-11,191.164,4088.523,3.581,97.764,73.224,48.138,8.939,11.821,18.604,6.783,10.792,0.0,1.56,13.3,8.111,3.836,-0.325,200.104
2011-01-12,192.302,4190.04,4.923,85.434,58.991,36.076,10.462,17.599,31.588,13.989,7.667,0.0,1.114,11.505,6.043,0.59,-4.229,202.764
2011-01-13,194.239,4229.824,5.66,91.293,64.887,38.708,17.671,23.758,45.702,21.943,15.625,0.0,1.67,17.348,10.795,3.018,-4.124,211.91
2011-01-14,194.336,4164.679,5.524,85.228,59.413,38.187,10.345,14.29,25.811,11.521,8.083,0.0,1.294,12.264,7.342,2.203,-2.43,204.68
2011-01-15,195.462,4146.256,4.82,85.159,66.163,46.688,10.371,12.693,18.301,5.608,20.375,0.0,1.337,17.776,6.955,1.998,-3.108,205.834
2011-01-16,194.661,4091.676,3.895,78.219,64.065,51.489,10.844,15.022,25.081,10.059,14.75,0.0,1.137,17.405,5.73,2.905,-0.293,205.505
2011-01-17,192.024,4147.56,3.749,85.403,68.405,54.26,9.608,14.122,21.172,7.05,11.333,0.0,1.315,13.557,7.058,3.24,-0.562,201.633
2011-01-18,195.927,4235.592,5.557,91.64,72.896,48.44,17.485,23.558,47.169,23.612,25.167,0.0,1.713,23.513,8.748,2.668,-3.141,213.412
2011-01-19,194.015,4171.089,3.685,93.246,78.456,65.992,12.749,14.356,26.439,12.083,27.542,0.0,2.169,23.866,9.099,4.751,-1.351,206.764
2011-01-20,189.33,4079.981,2.498,98.543,91.466,75.194,6.423,6.864,8.688,1.824,8.958,4.5,1.19,14.394,5.426,4.044,3.189,195.754
2011-01-21,188.856,4097.366,2.619,99.349,93.294,83.762,6.293,6.432,7.945,1.513,2.292,30.0,0.64,9.57,5.792,4.006,2.641,195.15
2011-01-22,188.969,4082.329,3.342,99.349,96.311,86.62,7.641,7.564,10.499,2.935,2.5,25.5,0.378,8.267,7.39,4.972,1.853,196.61
2011-01-23,193.826,4154.471,4.405,97.336,90.235,72.646,12.682,14.589,31.669,17.08,14.625,23.0,0.706,13.9,7.256,3.249,0.081,206.508
2011-01-24,193.324,4133.51,4.489,94.099,70.251,42.041,10.585,15.889,27.251,11.362,13.167,2.0,0.824,11.801,5.266,1.565,-2.347,203.909
2011-01-25,192.638,4137.769,4.224,97.71,74.141,34.634,12.273,16.567,29.563,12.997,15.792,0.0,1.376,15.565,8.496,2.317,-1.816,204.911
2011-01-26,193.216,4121.468,3.794,92.884,59.973,34.591,8.788,13.201,19.518,6.317,8.875,0.0,1.046,11.106,5.482,0.873,-3.073,202.004
2011-01-27,196.957,4158.339,4.555,86.261,63.63,43.187,11.58,16.641,31.962,15.321,12.208,0.0,1.57,14.573,6.654,0.612,-4.961,208.538
2011-01-28,194.121,4084.335,3.974,82.972,57.638,36.605,7.97,10.858,16.908,6.05,12.417,0.0,1.607,15.517,5.191,0.822,-3.02,202.091
2011-01-29,193.093,4103.3,3.719,81.249,57.775,36.108,6.853,7.608,10.171,2.562,5.708,0.0,1.011,11.007,5.528,0.261,-4.0,199.946
2011-01-30,194.591,4236.356,5.134,90.455,62.493,36.42,11.425,16.597,30.272,13.675,8.208,0.0,0.912,11.838,5.765,0.106,-4.889,206.016
2011-01-31,195.678,4187.77,4.965,86.51,61.05,37.203,12.38,19.019,34.903,15.884,12.292,0.0,1.263,13.903,8.086,1.221,-5.215,208.058
2011-02-01,193.591,4131.924,4.425,92.596,66.178,42.175,10.411,15.049,27.948,12.898,10.375,0.0,1.564,13.9,10.688,2.564,-4.204,204.003
2011-02-02,190.384,4090.492,3.241,70.296,49.176,32.765,5.465,7.172,9.157,1.986,5.208,0.0,1.175,10.377,4.792,1.104,-2.402,195.849
2011-02-03,195.505,4311.221,5.544,89.367,61.152,34.8,12.892,19.819,36.125,16.307,11.708,0.0,1.345,13.385,6.345,0.418,-5.288,208.397
2011-02-04,196.703,4273.445,5.802,87.666,59.183,35.816,14.419,18.673,35.555,16.882,18.542,0.0,1.566,17.913,10.4,3.169,-4.027,211.121
2011-02-05,194.095,4266.112,4.367,96.827,75.745,55.105,8.063,9.809,12.136,2.327,15.667,0.0,1.726,16.441,7.621,3.857,-1.869,202.158
2011-02-06,194.508,4276.139,4.732,99.47,94.614,76.547,13.776,18.963,27.733,8.771,35.583,8.0,1.204,28.336,8.395,4.75,0.357,208.283
2011-02-07,193.906,4233.148,5.296,99.274,95.732,83.048,17.665,22.043,34.313,12.269,31.792,25.0,0.96,26.548,9.829,7.355,4.53,211.571
2011-02-08,191.024,4047.763,4.033,94.416,63.198,40.741,8.607,11.791,16.202,4.412,9.833,2.0,1.106,10.002,7.967,5.12,0.975,199.631
2011-02-09,191.677,4069.226,3.479,74.073,52.36,32.16,6.768,9.943,13.521,3.578,3.292,0.0,0.877,8.107,7.422,2.438,-1.507,198.445
2011-02-10,193.411,4119.583,4.122,92.809,67.351,35.426,11.752,16.222,28.803,12.581,11.375,0.0,1.532,12.869,9.155,3.171,-2.194,205.163
2011-02-11,192.542,4100.916,3.608,95.98,60.406,33.087,7.322,9.31,12.949,3.639,11.083,0.0,1.344,11.59,8.141,3.436,-1.799,199.864
2011-02-12,193.933,4123.274,3.457,86.24,55.505,33.523,6.82,7.831,10.518,2.687,9.667,0.0,1.0,11.31,8.046,2.757,-2.144,200.754
2011-02-13,194.824,4183.659,4.151,88.065,71.741,54.315,9.891,17.735,28.894,11.159,13.583,0.0,1.319,17.163,7.955,3.599,-2.532,204.715
2011-02-14,191.289,4175.024,3.599,99.274,92.013,83.019,11.703,17.819,24.385,6.566,28.083,12.0,1.785,25.468,7.149,5.302,3.271,202.993
2011-02-15,193.105,4142.203,5.256,99.017,76.609,49.746,16.107,19.159,35.233,16.074,49.875,0.0,1.468,35.479,9.609,5.668,2.685,209.213
