date,CH4_mean,CO2_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,192.375,4212.75,100.0,84.167,66.0,7.167,8.042,9.5,1.458,,0.375,13.0,8.4,2.721,-2.4,199.542
2011-01-02,189.458,4090.583,100.0,65.125,32.0,4.875,5.375,5.5,0.125,,0.25,9.042,10.3,3.646,-1.5,194.333
2011-01-03,194.227,4179.304,85.0,52.958,27.0,8.727,11.609,12.87,1.261,,0.348,5.083,9.6,2.925,-3.7,202.955
2011-01-04,189.409,4047.87,86.0,57.542,34.0,5.818,6.091,6.227,0.136,,0.783,5.826,9.9,3.304,-2.0,195.227
2011-01-05,191.5,4078.875,78.0,57.25,35.0,6.0,9.292,10.167,0.875,,0.458,6.542,7.4,1.854,-1.9,197.5
2011-01-06,192.333,4177.083,95.0,67.25,34.0,9.5,12.542,15.625,3.083,,0.5,10.583,8.7,1.933,-5.1,201.833
2011-01-07,191.792,4157.208,79.0,58.667,33.0,6.833,9.583,11.583,2.0,,0.0,4.542,7.7,2.425,-1.6,198.625
2011-01-08,193.417,4220.083,98.0,64.958,32.0,8.125,9.375,10.583,1.208,,0.0,4.375,7.6,0.867,-5.4,201.542
2011-01-09,190.083,4186.792,99.0,76.958,59.0,8.375,9.5,10.708,1.208,,0.375,7.792,8.3,2.471,-2.3,198.458
2011-01-10,191.273,4189.0,100.0,66.958,34.0,11.227,13.565,19.783,6.217,,0.435,10.375,8.6,3.733,-2.0,202.5
2011-01-11,189.333,4072.75,98.0,68.167,42.0,4.708,8.292,9.875,1.583,,0.792,9.542,6.7,2.433,-0.8,194.042
2011-01-12,192.667,4149.125,71.0,47.958,25.0,8.625,14.875,22.167,7.292,,0.292,7.875,5.1,0.117,-4.6,201.292
2011-01-13,190.833,4191.583,89.0,61.5,28.0,11.583,17.375,25.333,7.958,,0.542,16.917,10.7,1.929,-5.7,202.417
2011-01-14,194.458,4149.208,86.0,53.333,29.0,8.667,11.708,15.5,3.792,,0.75,6.958,6.5,1.542,-2.9,203.125
2011-01-15,193.458,4141.458,91.0,64.208,38.0,7.5,9.583,10.083,0.5,,0.583,14.958,6.6,0.862,-5.2,200.958
