date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,197.792,4300.5,5.217,,,,12.375,13.125,17.667,4.542,,0.667,26.875,,,,210.167
2011-01-02,193.292,4156.292,3.958,,,,8.708,8.792,12.0,3.208,,0.667,15.208,,,,202.0
2011-01-03,187.042,4050.417,3.083,,,,4.958,8.458,11.208,2.75,,0.583,4.875,,,,192.0
2011-01-04,192.864,4099.458,4.083,,,,7.818,11.833,17.083,5.25,,1.583,10.208,,,,200.682
2011-01-05,190.826,4052.783,3.478,,,,8.696,11.217,16.348,5.13,,0.783,6.261,,,,199.522
2011-01-06,198.25,4292.542,5.708,,,,18.125,28.792,69.583,40.792,,1.042,21.375,,,,216.375
2011-01-07,192.0,4117.609,3.375,,,,9.375,13.348,17.826,4.478,,0.13,8.208,,,,201.375
2011-01-08,197.333,4310.5,4.783,,,,15.333,15.583,24.167,8.583,,1.25,12.542,,,,212.667
2011-01-09,195.375,4252.5,3.917,,,,16.125,17.708,26.0,8.292,,1.917,15.625,,,,211.5
2011-01-10,191.875,4172.75,3.5,,,,9.958,15.75,20.375,4.625,,2.417,10.917,,,,201.833
2011-01-11,189.909,4133.708,4.5,,,,12.5,13.833,21.417,7.583,,2.667,11.917,,,,202.409
2011-01-12,193.792,4307.25,5.375,,,,11.625,24.292,52.417,28.125,,2.333,12.292,,,,205.417
2011-01-13,195.5,4339.375,5.708,,,,17.875,28.167,58.5,30.333,,1.5,21.042,,,,213.375
2011-01-14,193.375,4209.0,4.583,,,,8.292,16.304,26.87,10.565,,1.087,12.0,,,,201.667
2011-01-15,192.5,4160.0,3.783,,,,7.167,11.083,13.333,2.25,,0.917,16.75,,,,199.667
2011-01-16,189.708,4161.292,3.167,,,,11.042,14.708,17.833,3.125,,3.5,12.875,,,,200.75
2011-01-17,189.238,4182.545,4.682,,,,9.476,14.227,17.364,3.136,,5.591,12.455,,,,198.714
2011-01-18,189.636,4306.292,5.083,,,,12.682,24.917,40.875,15.958,,2.833,19.417,,,,202.318
2011-01-19,191.0,4255.375,3.125,,,,10.75,15.667,23.417,7.75,,3.208,23.292,,,,201.75
2011-01-20,186.125,4101.292,2.167,,,,6.125,5.208,6.333,1.125,,1.417,13.125,,,,192.25
2011-01-21,186.792,4099.609,3.125,,,,8.333,11.304,13.696,2.391,,1.696,13.833,,,,195.125
2011-01-22,186.083,4099.625,3.348,,,,14.667,11.792,14.042,2.25,,1.167,12.25,,,,200.75
2011-01-23,190.042,4195.333,4.083,,,,10.333,18.042,35.333,17.292,,2.125,16.083,,,,200.375
2011-01-24,189.708,4161.875,4.542,,,,7.625,18.333,30.583,12.25,,1.792,12.917,,,,197.333
2011-01-25,191.545,4143.792,4.292,,,,11.455,20.583,36.0,15.417,,1.833,18.417,,,,203.0
2011-01-26,189.667,4078.167,3.625,,,,6.958,12.333,14.875,2.542,,0.833,10.667,,,,196.625
2011-01-27,192.958,4178.167,4.5,,,,9.5,19.667,36.667,17.0,,2.542,13.042,,,,202.458
2011-01-28,190.417,4071.565,3.25,,,,7.25,8.043,9.391,1.348,,1.652,14.0,,,,197.667
2011-01-29,190.208,4057.25,2.826,,,,4.75,4.458,5.167,0.708,,0.708,8.333,,,,194.958
2011-01-30,192.333,4214.458,5.167,,,,11.333,19.5,35.708,16.208,,1.208,11.542,,,,203.667
2011-01-31,192.167,4194.833,4.417,,,,9.375,21.625,35.542,13.917,,1.208,13.583,,,,201.542
2011-02-01,189.5,4096.458,3.833,,,,6.818,14.583,21.625,7.042,,1.833,13.917,,,,196.318
2011-02-02,188.261,4050.957,3.391,,,,6.565,9.87,14.913,5.043,,0.783,8.043,,,,194.826
2011-02-03,193.708,4375.833,6.125,,,,15.125,24.708,53.667,28.958,,1.167,15.375,,,,208.833
2011-02-04,197.5,4403.87,6.042,,,,19.125,28.435,52.217,23.783,,1.435,24.625,,,,216.625
2011-02-05,189.875,4175.833,3.478,,,,10.917,10.917,12.125,1.208,,2.25,13.667,,,,200.792
2011-02-06,191.292,4262.333,4.625,,,,12.625,20.75,37.083,16.333,,0.917,30.083,,,,203.917
2011-02-07,188.375,4171.917,4.083,,,,15.208,19.833,29.042,9.208,,0.458,29.0,,,,203.583
2011-02-08,191.227,4121.208,3.917,,,,10.5,14.375,20.0,5.625,,1.292,11.5,,,,201.727
2011-02-09,191.458,4109.5,3.042,,,,5.542,13.5,18.75,5.25,,0.5,7.333,,,,197.0
2011-02-10,194.458,4210.417,4.083,,,,15.125,20.125,34.458,14.333,,0.917,14.125,,,,209.583
2011-02-11,193.375,4223.739,3.875,,,,8.917,16.0,20.217,4.217,,2.478,16.292,,,,202.292
2011-02-12,193.958,4172.042,3.174,,,,6.625,8.542,9.708,1.167,,0.917,11.208,,,,200.583
2011-02-13,193.208,4219.208,3.458,,,,7.583,14.792,18.625,3.833,,0.75,12.875,,,,200.792
2011-02-14,191.208,4217.542,3.542,,,,9.667,13.375,14.417,1.042,,1.5,16.667,,,,200.875
2011-02-15,191.045,4288.292,4.792,,,,13.591,20.292,34.625,14.333,,1.208,36.583,,,,204.636
2011-02-16,187.909,4146.5,3.591,,,,10.5,13.81,17.048,3.238,,2.591,12.182,,,,198.409
2011-02-17,188.167,4120.167,3.167,,,,8.333,12.174,14.043,1.87,,1.958,13.792,,,,196.5
2011-02-18,189.167,4084.0,3.125,,,,4.958,7.042,8.417,1.375,,0.609,10.125,,,,194.125
2011-02-19,193.667,4253.5,3.913,,,,7.625,13.875,19.042,5.167,,1.792,8.917,,,,201.292
2011-02-20,196.792,4462.042,5.417,,,,13.625,27.167,46.167,19.0,,3.083,16.625,,,,210.417
2011-02-21,194.458,4346.292,4.625,,,,13.625,24.917,38.208,13.292,,1.75,22.042,,,,208.083
2011-02-22,188.227,4237.333,3.375,,,,9.409,13.583,16.458,2.875,,6.833,21.417,,,,197.636
2011-02-23,189.542,4263.833,5.042,,,,13.75,23.25,32.708,9.458,,0.958,30.875,,,,203.292
2011-02-24,192.167,4317.167,6.458,,,,14.5,23.087,30.043,6.957,,6.417,35.5,,,,206.667
2011-02-25,188.583,4136.435,5.458,,,,9.75,17.375,19.125,1.75,,3.826,19.417,,,,198.333
2011-02-26,188.292,4081.042,5.348,,,,4.958,10.583,12.292,1.708,,4.792,12.208,,,,193.25
2011-02-27,189.0,4078.542,3.292,,,,6.125,10.292,12.5,2.208,,2.0,11.333,,,,195.125
2011-02-28,190.083,4131.417,4.5,,,,6.458,10.417,12.292,1.875,,4.25,9.208,,,,196.542
2011-03-01,185.708,4074.875,2.75,,,,9.417,10.375,11.792,1.417,,0.833,11.875,,,,195.125
2011-03-02,186.727,4158.0,3.909,,,,12.455,17.19,19.048,1.857,,2.909,16.318,,,,199.182
2011-03-03,189.583,4213.167,5.333,,,,10.167,14.125,15.875,1.75,,6.261,18.167,,,,199.75
2011-03-04,189.792,4230.792,2.826,,,,14.542,13.667,15.875,2.208,,5.542,14.75,,,,204.333
2011-03-05,187.375,4176.75,3.708,,,,10.542,17.875,28.917,11.042,,0.75,19.833,,,,197.917
2011-03-06,186.458,4175.167,3.833,,,,20.042,19.167,32.375,13.208,,0.917,20.833,,,,206.5
2011-03-07,191.348,4204.958,4.0,,,,12.739,15.833,19.458,3.625,,4.333,23.375,,,,204.087
2011-03-08,192.333,4142.0,3.625,,,,7.292,12.375,14.0,1.625,,3.042,18.333,,,,199.625
2011-03-09,193.083,4116.708,3.5,,,,8.167,12.609,13.783,1.174,,2.25,20.417,,,,201.25
2011-03-10,193.167,4253.917,7.458,,,,5.25,19.167,21.583,2.417,,6.652,16.792,,,,198.417
