date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,93.0,78.292,61.0,10.583,12.875,2.292,0.0,2.708,17.0,8.8,5.075,1.8
2011-01-02,100.0,71.042,43.0,5.792,7.125,1.333,0.0,2.417,15.917,10.3,5.5,1.9
2011-01-03,78.0,54.208,39.0,4.917,6.167,1.25,0.0,2.542,1.167,9.3,4.025,-0.7
2011-01-04,76.0,58.667,38.0,5.25,6.958,1.708,0.0,3.0,4.583,9.4,4.821,1.3
2011-01-05,70.0,52.25,33.0,5.583,7.042,1.458,0.0,2.292,1.167,7.9,3.254,-0.3
2011-01-06,78.0,59.625,42.0,17.875,22.917,5.042,0.0,2.625,11.417,8.4,3.788,0.3
2011-01-07,77.0,55.167,32.0,5.083,6.708,1.625,0.0,2.542,2.792,7.8,3.617,0.7
2011-01-08,80.0,57.292,39.0,10.5,13.417,2.917,0.0,3.083,5.583,7.1,3.146,-2.2
2011-01-09,85.0,72.25,59.0,9.125,12.042,2.917,0.0,3.958,5.458,9.1,5.808,1.0
2011-01-10,100.0,70.458,41.0,8.5,10.625,2.125,0.0,3.667,5.583,8.9,6.096,2.1
2011-01-11,95.0,73.25,46.0,4.125,5.958,1.833,0.0,2.375,7.042,9.4,5.312,-0.4
2011-01-12,62.0,50.0,36.0,19.087,23.348,4.261,0.0,6.565,5.522,4.5,1.525,-3.1
2011-01-13,93.0,58.917,37.0,25.333,34.583,9.25,0.0,4.375,15.667,10.3,4.079,-2.9
2011-01-14,75.0,49.75,33.0,10.958,13.667,2.708,0.0,3.375,7.625,6.7,3.112,-0.2
2011-01-15,73.0,57.125,40.0,6.333,7.542,1.208,0.0,3.167,6.958,6.1,3.179,0.3
2011-01-16,68.0,61.5,56.0,5.0,6.25,1.25,0.0,2.875,7.792,5.5,4.238,1.4
2011-01-17,69.0,61.375,51.0,3.875,4.625,0.75,0.0,2.833,3.625,6.7,4.417,1.2
2011-01-18,80.0,64.625,48.0,11.458,13.875,2.417,0.0,3.375,9.417,8.2,4.621,-0.4
2011-01-19,86.0,71.875,66.0,6.0,7.042,1.042,0.0,3.25,16.75,9.3,6.567,1.7
2011-01-20,97.0,86.0,72.0,0.792,0.792,0.0,3.0,1.833,14.083,7.2,5.954,5.0
2011-01-21,99.0,93.375,82.0,1.583,1.75,0.167,25.0,1.042,18.167,9.2,6.512,4.1
2011-01-22,99.0,95.083,82.0,3.958,4.417,0.458,23.0,1.208,15.333,8.5,6.975,3.3
2011-01-23,98.0,85.625,61.0,8.625,14.167,5.542,20.0,1.75,7.208,9.3,4.379,0.5
2011-01-24,96.0,59.958,37.0,13.0,15.667,2.667,1.0,3.042,3.875,4.8,2.117,-0.6
2011-01-25,93.0,69.167,34.0,14.083,20.708,6.625,0.0,2.583,12.292,8.2,3.146,-1.6
2011-01-26,94.0,54.333,28.0,7.174,8.478,1.304,0.0,2.957,5.826,5.3,1.767,-0.8
2011-01-27,85.0,59.25,40.0,10.125,14.333,4.208,0.0,3.208,6.792,6.5,1.35,-3.6
2011-01-28,65.0,47.292,30.0,3.292,4.375,1.083,0.0,3.833,8.042,5.2,1.512,-1.3
