date,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,95.0,82.417,71.0,0.5,9.1,4.929,0.7
2011-01-02,99.0,68.75,41.0,1.292,10.1,5.371,0.4
2011-01-03,81.0,48.667,30.0,0.0,9.1,4.529,-0.6
2011-01-04,79.0,58.125,39.0,1.083,10.1,4.804,1.7
2011-01-05,77.0,54.625,37.0,0.0,6.4,2.092,-2.3
2011-01-06,74.0,61.792,45.0,0.125,7.4,3.5,-1.5
2011-01-07,63.0,49.833,36.0,0.25,7.2,3.825,0.7
2011-01-08,71.0,61.583,49.0,0.083,6.0,2.083,-1.8
2011-01-09,99.0,76.25,62.0,0.292,7.7,3.85,0.5
2011-01-10,99.0,65.292,37.0,0.652,9.3,4.988,-0.2
2011-01-11,99.0,67.583,37.0,1.708,5.3,3.504,0.1
2011-01-12,82.0,50.25,28.0,0.391,6.0,0.854,-3.0
2011-01-13,74.0,47.917,29.0,0.583,11.0,5.083,-0.6
2011-01-14,58.0,46.25,33.0,0.542,5.9,2.675,-0.4
2011-01-15,69.0,54.083,40.0,1.083,6.5,2.825,-1.7
2011-01-16,66.0,55.292,46.0,0.625,5.2,2.662,0.0
2011-01-17,71.0,59.5,52.0,1.043,6.6,3.088,0.7
2011-01-18,74.0,56.792,45.0,1.167,8.0,4.188,-0.6
2011-01-19,75.0,71.833,68.0,3.25,7.4,5.288,2.3
2011-01-20,99.0,91.333,75.0,1.208,4.9,3.367,2.2
2011-01-21,99.0,91.75,79.0,0.875,6.2,3.779,2.6
2011-01-22,99.0,95.75,84.0,0.333,7.4,5.746,2.7
2011-01-23,90.0,80.25,69.0,0.458,6.9,3.988,1.1
2011-01-24,74.0,54.875,33.0,0.864,4.7,2.088,-1.9
2011-01-25,99.0,67.333,36.0,2.125,6.7,2.538,0.0
2011-01-26,67.0,48.0,27.0,1.375,4.6,0.796,-2.4
2011-01-27,59.0,45.208,39.0,2.25,5.1,1.921,-3.1
2011-01-28,64.0,43.667,29.0,1.5,4.3,1.242,-2.1
2011-01-29,62.0,46.708,29.0,0.375,4.7,0.371,-2.7
2011-01-30,78.0,50.5,29.0,0.333,4.9,0.442,-4.1
2011-01-31,72.0,48.458,32.0,0.652,7.1,1.946,-3.2
2011-02-01,80.0,53.75,37.0,1.125,10.1,3.3,-1.4
2011-02-02,62.0,42.625,24.0,1.042,4.3,1.133,-1.8
2011-02-03,66.0,49.292,32.0,1.083,5.4,1.425,-2.8
2011-02-04,57.0,43.625,32.0,1.708,9.6,5.321,2.0
2011-02-05,92.0,65.792,55.0,1.25,5.9,4.096,1.6
2011-02-06,99.0,91.958,70.0,1.375,8.2,5.854,3.3
2011-02-07,99.0,94.0,80.0,0.391,8.2,7.275,5.3
2011-02-08,84.0,53.833,35.0,1.0,7.1,4.283,1.4
2011-02-09,51.0,39.667,27.0,0.083,6.2,2.371,-0.6
2011-02-10,94.0,60.917,29.0,0.958,7.9,2.696,-0.9
2011-02-11,87.0,49.417,23.0,1.0,7.0,3.383,-1.3
2011-02-12,86.0,45.458,26.0,0.458,6.6,3.188,-0.6
2011-02-13,85.0,63.167,51.0,0.833,6.5,4.0,-1.4
2011-02-14,99.0,88.0,79.0,2.261,5.8,4.779,3.2
