date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,200.5,4.542,96.0,71.833,64.0,15.333,11.5,13.583,2.083,0.0,2.792,21.417,7.8,4.058,0.0,215.833
2011-01-02,196.208,2.783,99.0,71.0,36.0,9.167,6.167,7.167,1.0,0.0,2.583,14.833,9.9,4.908,0.9,205.375
2011-01-03,191.773,2.292,74.0,50.5,32.0,8.591,4.375,5.042,0.667,0.0,2.583,2.292,9.2,3.854,-0.3,200.364
2011-01-04,192.917,3.042,70.0,46.042,34.0,10.042,7.125,9.333,2.208,0.0,3.417,5.5,9.2,4.3,-1.1,202.958
2011-01-05,192.5,2.333,74.0,50.292,29.0,8.167,6.958,8.583,1.625,0.0,2.708,2.833,7.5,2.975,-0.9,200.667
2011-01-06,196.292,3.708,78.0,59.708,36.0,16.833,23.125,35.75,12.625,0.0,3.208,16.917,8.4,3.242,-1.7,213.125
2011-01-07,193.333,2.375,73.0,48.5,31.0,9.958,6.125,7.375,1.25,0.0,2.708,4.417,7.8,3.662,-0.3,203.292
2011-01-08,196.083,3.458,82.0,50.917,33.0,17.333,12.25,16.333,4.083,0.0,3.208,8.333,7.1,1.975,-3.1,213.417
2011-01-09,194.125,2.652,91.0,69.375,56.0,13.167,11.708,15.083,3.375,0.0,5.25,9.667,9.3,5.367,1.1,207.292
2011-01-10,191.364,2.708,99.0,66.417,33.0,8.182,12.5,15.5,3.0,0.0,6.125,5.208,9.0,6.017,1.0,199.545
2011-01-11,190.375,2.167,98.0,69.958,41.0,5.75,4.208,6.125,1.917,0.0,2.875,5.917,9.8,5.196,-0.4,196.125
2011-01-12,193.458,3.833,75.0,48.375,26.0,12.792,22.652,30.783,8.13,0.0,6.478,11.087,5.1,0.596,-3.3,206.25
2011-01-13,197.625,4.0,76.0,57.833,33.0,21.208,28.458,43.292,14.833,0.0,4.375,16.958,10.0,3.425,-3.0,218.833
2011-01-14,195.875,3.292,60.0,44.875,29.0,9.542,10.542,13.625,3.083,0.0,3.625,10.583,6.9,2.754,-1.3,205.417
2011-01-15,194.958,2.667,54.0,44.583,36.0,8.458,6.375,7.667,1.292,0.0,3.458,13.875,5.8,3.221,0.3,203.417
2011-01-16,191.542,2.261,63.0,56.875,39.0,5.833,4.375,5.125,0.75,0.0,3.0,10.125,5.6,4.233,2.0,197.375
2011-01-17,190.591,2.25,74.0,58.917,48.0,6.273,4.792,5.875,1.083,0.0,2.958,4.833,6.2,4.167,1.4,196.864
2011-01-18,192.333,3.25,86.0,61.333,42.0,11.167,17.0,22.417,5.417,0.0,5.917,12.292,8.4,4.271,-1.6,203.5
2011-01-19,193.208,2.625,72.0,66.042,59.0,9.125,8.125,11.333,3.208,0.0,3.875,16.5,9.2,6.279,0.4,202.333
2011-01-20,189.292,2.0,98.0,83.708,66.0,5.5,0.792,0.792,0.0,6.0,2.458,10.167,7.4,5.979,4.9,194.792
2011-01-21,189.042,2.0,99.0,92.542,79.0,6.0,1.5,1.542,0.042,35.0,1.875,10.75,9.3,6.554,4.1,195.042
2011-01-22,189.167,2.125,99.0,94.083,79.0,7.458,4.375,4.958,0.583,28.0,1.458,9.5,8.7,6.908,2.6,196.625
2011-01-23,194.75,2.826,99.0,88.542,56.0,12.833,11.042,19.833,8.792,26.0,2.125,7.875,9.2,3.979,0.4,207.583
2011-01-24,192.864,2.958,99.0,59.958,34.0,9.773,13.833,19.792,5.958,3.0,3.25,8.75,4.3,1.992,-0.5,202.636
2011-01-25,195.417,2.875,92.0,68.542,29.0,14.167,15.792,24.417,8.625,0.0,3.042,15.5,8.0,2.975,-1.2,209.583
2011-01-26,193.25,2.292,91.0,49.125,24.0,7.333,7.391,8.652,1.261,0.0,2.826,6.0,5.0,1.621,-1.4,200.583
2011-01-27,195.417,2.708,65.0,48.25,35.0,9.792,11.125,16.75,5.625,0.0,3.542,8.792,6.3,1.033,-3.9,205.208
2011-01-28,193.333,2.375,53.0,39.75,27.0,4.375,3.375,3.958,0.583,0.0,3.708,10.708,5.0,1.438,-1.6,197.708
2011-01-29,193.5,2.0,59.0,38.375,30.0,3.333,2.417,3.042,0.625,0.0,2.625,6.167,5.0,1.188,-1.8,196.833
2011-01-30,194.542,2.957,66.0,51.792,28.0,7.917,13.25,17.292,4.042,0.0,2.75,9.792,5.3,0.567,-2.8,202.458
2011-01-31,195.091,3.125,68.0,51.208,29.0,9.955,14.958,18.875,3.917,0.0,3.25,10.083,8.0,2.0,-3.7,205.045
2011-02-01,194.375,3.083,83.0,56.833,38.0,8.958,12.25,15.792,3.542,0.0,4.125,14.125,11.5,4.454,-1.9,203.333
2011-02-02,192.458,2.125,53.0,36.625,22.0,3.375,3.125,4.167,1.042,0.0,3.0,6.875,4.4,1.5,-1.6,195.833
2011-02-03,196.208,3.667,81.0,51.292,23.0,13.708,19.417,27.208,7.792,0.0,3.25,8.167,6.0,0.517,-4.1,209.917
2011-02-04,200.458,4.542,61.0,43.208,22.0,19.333,25.375,41.583,16.208,0.0,4.125,17.583,9.8,3.258,-3.1,219.792
2011-02-05,192.958,2.708,96.0,66.167,47.0,4.958,3.208,4.458,1.25,0.0,4.583,7.792,8.0,5.462,1.2,197.917
2011-02-06,195.0,3.652,99.0,94.917,78.0,14.75,16.542,25.125,8.583,8.0,2.125,24.333,8.0,5.604,1.6,209.75
2011-02-07,193.864,3.917,99.0,90.583,59.0,11.364,16.083,21.083,5.0,28.0,2.042,37.333,11.6,8.629,4.1,205.227
2011-02-08,192.625,3.083,91.0,62.333,34.0,5.083,8.042,9.75,1.708,2.0,3.292,6.458,8.5,5.588,2.4,197.708
2011-02-09,192.75,2.208,66.0,39.792,21.0,4.708,7.042,8.875,1.833,0.0,3.333,4.292,6.6,3.133,-0.2,197.458
