date,HUM_max,HUM_mean,HUM_min,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,65.625,54.0,15.25,18.375,90.0,46.5,23.0
2011-01-02,91.0,64.66666666666667,45.0,9.25,12.291666666666666,112.0,52.541666666666664,11.0
2011-01-03,73.0,51.291666666666664,32.0,3.9583333333333335,8.125,113.0,48.125,-9.0
2011-01-04,91.0,69.58333333333333,42.0,8.0,11.125,111.0,35.25,-16.0
2011-01-05,88.0,55.125,33.0,4.913043478260869,9.0,97.0,33.916666666666664,-32.0
2011-01-06,87.0,62.416666666666664,40.0,8.75,12.291666666666666,103.0,38.125,-13.0
2011-01-07,71.0,54.208333333333336,35.0,4.416666666666667,9.083333333333334,92.0,45.375,2.0
2011-01-08,68.0,50.875,35.0,3.4285714285714284,8.666666666666666,100.0,48.291666666666664,1.0
2011-01-09,83.0,64.0,49.0,13.916666666666666,16.958333333333332,98.0,44.0,-7.0
2011-01-10,99.0,72.79166666666667,46.0,15.875,17.416666666666668,108.0,46.625,-12.0
2011-01-11,95.0,65.20833333333333,43.0,13.75,18.0,104.0,44.958333333333336,8.0
2011-01-12,79.0,52.791666666666664,38.0,9.041666666666666,12.125,76.0,24.625,-17.0
2011-01-13,94.0,63.391304347826086,34.0,12.91304347826087,15.272727272727273,116.0,38.541666666666664,-33.0
2011-01-14,72.0,54.083333333333336,39.0,13.416666666666666,17.541666666666668,69.0,29.625,-14.0
2011-01-15,80.0,60.375,47.0,12.333333333333334,15.75,63.0,26.666666666666668,-17.0
2011-01-16,57.0,51.875,47.0,14.5,20.083333333333332,46.0,36.416666666666664,23.0
2011-01-17,78.0,55.625,40.0,19.958333333333332,23.375,78.0,35.75,-3.0
2011-01-18,82.0,65.29166666666667,47.0,24.25,25.916666666666668,87.0,33.625,-20.0
2011-01-19,98.0,69.83333333333333,53.0,19.125,21.333333333333332,97.0,53.041666666666664,1.0
2011-01-20,100.0,96.16666666666667,81.0,12.041666666666666,13.043478260869565,28.0,19.041666666666668,11.0
2011-01-21,99.0,94.08333333333333,81.0,5.375,8.5,35.0,28.541666666666668,21.0
2011-01-22,99.0,90.125,71.0,6.833333333333333,9.541666666666666,86.0,50.208333333333336,21.0
2011-01-23,100.0,95.625,78.0,8.416666666666666,12.083333333333334,69.0,37.083333333333336,6.0
2011-01-24,98.0,76.875,47.0,8.833333333333334,11.458333333333334,40.0,11.208333333333334,-13.0
2011-01-25,100.0,70.66666666666667,33.0,10.625,13.291666666666666,95.0,25.083333333333332,-29.0
2011-01-26,91.0,61.625,38.0,9.695652173913043,13.0,61.0,14.541666666666666,-19.0
2011-01-27,94.0,63.208333333333336,40.0,10.125,12.916666666666666,72.0,14.958333333333334,-41.0
2011-01-28,92.0,60.583333333333336,41.0,10.916666666666666,14.625,56.0,11.958333333333334,-24.0
