date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,4.5,74.0,60.625,49.0,19.958,25.625,5.667,15.042,14.375,87.0,45.292,15.0
2011-01-02,3.375,84.0,62.875,46.0,13.5,16.708,3.208,9.167,10.708,103.0,48.75,8.0
2011-01-03,2.625,68.0,48.292,32.0,9.875,12.25,2.375,3.773,5.792,97.0,48.375,-7.0
2011-01-04,3.833,81.0,62.292,48.0,15.958,20.792,4.833,6.208,7.208,81.0,37.833,-2.0
2011-01-05,3.333,70.0,50.583,32.0,17.292,23.667,6.375,4.391,6.522,83.0,34.75,-13.0
2011-01-06,5.391,71.0,58.0,39.0,33.217,53.957,20.739,8.25,10.208,92.0,39.208,-9.0
2011-01-07,2.875,68.0,52.583,34.0,11.875,13.292,1.417,3.818,6.583,80.0,42.208,11.0
2011-01-08,2.75,58.0,48.625,36.0,11.333,13.292,1.958,2.652,6.208,84.0,43.0,5.0
2011-01-09,5.0,73.0,60.083,47.0,24.458,37.167,12.708,14.5,14.75,93.0,44.375,9.0
2011-01-10,5.75,85.0,66.917,48.0,32.75,53.333,20.583,14.5,13.792,93.0,48.75,0.0
2011-01-11,4.25,87.0,63.75,43.0,19.75,33.708,13.958,11.875,13.958,93.0,41.083,0.0
2011-01-12,3.409,62.0,43.304,25.0,21.0,27.55,6.55,4.87,7.217,63.0,25.333,-10.0
2011-01-13,4.958,71.0,46.458,31.0,31.125,54.5,23.375,9.875,10.625,105.0,42.583,-20.0
2011-01-14,4.083,63.0,46.917,36.0,16.583,22.083,5.5,7.167,9.542,66.0,36.292,9.0
2011-01-15,4.75,69.0,54.958,45.0,20.333,28.667,8.333,10.0,11.667,55.0,29.083,-6.0
2011-01-16,3.917,54.0,49.958,45.0,21.625,27.958,6.333,13.583,15.917,42.0,32.083,21.0
2011-01-17,5.292,62.0,52.125,39.0,31.833,51.0,19.167,17.458,18.625,73.0,35.333,12.0
2011-01-18,6.091,68.0,58.458,46.0,39.591,70.136,30.545,21.217,19.739,81.0,34.917,-8.0
2011-01-19,4.125,99.0,66.417,52.0,24.583,35.583,11.0,18.958,18.167,87.0,48.75,-1.0
2011-01-20,2.875,99.0,96.375,81.0,14.542,16.292,1.75,13.458,11.917,25.0,14.167,6.0
2011-01-21,2.667,99.0,96.042,85.0,12.708,14.083,1.375,6.083,6.417,29.0,22.292,15.0
2011-01-22,3.667,99.0,89.208,71.0,15.542,23.417,7.875,9.083,8.625,75.0,49.0,30.0
2011-01-23,6.083,99.0,92.25,66.0,25.667,66.5,40.833,10.333,10.5,66.0,38.5,2.0
2011-01-24,4.087,99.0,68.583,40.0,20.739,30.652,9.913,8.208,8.875,43.0,14.375,-14.0
2011-01-25,4.917,99.0,68.542,31.0,26.542,47.5,20.958,11.167,10.208,83.0,26.25,-19.0
2011-01-26,4.609,90.0,58.583,36.0,24.565,36.217,11.652,9.292,10.348,53.0,14.333,-14.0
2011-01-27,5.208,89.0,63.5,38.0,26.75,50.833,24.083,11.292,12.083,62.0,11.375,-36.0
2011-01-28,4.167,87.0,59.375,38.0,18.5,28.458,9.958,11.792,11.208,48.0,6.833,-24.0
2011-01-29,2.583,57.0,42.375,27.0,7.792,8.458,0.667,5.792,7.125,56.0,15.167,-12.0
2011-01-30,4.348,57.0,44.083,35.0,19.87,34.043,14.174,8.0,9.875,54.0,19.75,-13.0
2011-01-31,4.083,72.0,52.833,41.0,23.917,37.083,13.167,8.542,9.833,77.0,24.583,-26.0
2011-02-01,4.5,81.0,55.042,30.0,20.583,34.375,13.792,10.875,11.833,114.0,38.708,-30.0
2011-02-02,3.174,60.0,36.522,16.0,10.565,12.043,1.478,5.391,7.783,40.0,11.042,-16.0
2011-02-03,4.667,69.0,41.583,23.0,26.0,38.792,12.792,7.792,9.875,56.0,14.125,-37.0
2011-02-04,4.875,77.0,47.333,25.0,27.792,43.125,15.333,10.875,11.833,102.0,39.833,-32.0
2011-02-05,6.13,72.0,54.083,38.0,28.652,40.391,11.739,15.458,16.167,86.0,43.125,0.0
2011-02-06,5.958,99.0,86.958,71.0,33.25,45.167,11.917,37.792,32.167,43.0,34.458,24.0
2011-02-07,6.417,99.0,96.042,88.0,32.083,50.792,18.708,28.25,27.458,93.0,67.292,40.0
2011-02-08,3.217,68.0,48.667,37.0,13.174,14.696,1.522,4.75,7.304,83.0,51.125,23.0
2011-02-09,3.25,55.0,37.792,22.0,20.833,27.042,6.208,6.0,7.375,80.0,32.958,-13.0
2011-02-10,4.833,90.0,55.625,37.0,30.625,50.0,19.375,14.458,12.458,86.0,40.583,-11.0
2011-02-11,3.217,92.0,53.792,34.0,16.217,19.217,3.0,9.417,10.542,72.0,37.833,-4.0
2011-02-12,3.0,70.0,47.125,35.0,11.458,14.75,3.292,7.875,9.667,78.0,33.125,-7.0
2011-02-13,4.0,59.0,49.292,41.0,29.25,37.833,8.583,12.708,16.0,78.0,40.417,0.0
2011-02-14,4.5,99.0,80.917,58.0,30.417,37.125,6.708,30.833,26.292,56.0,40.542,26.0
2011-02-15,4.375,99.0,68.167,40.0,20.0,30.042,10.042,20.958,31.5,113.0,60.542,33.0
2011-02-16,2.826,95.0,56.333,40.0,18.391,21.0,2.609,11.739,13.909,35.0,24.75,12.0
