date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,3.542,3.667,0.125,,0.542
2011-01-02,2.25,2.25,0.0,,0.875
2011-01-03,3.042,3.083,0.042,,1.458
2011-01-04,3.458,3.5,0.042,,3.75
2011-01-05,2.75,2.75,0.0,,0.625
2011-01-06,2.583,2.583,0.0,,0.792
2011-01-07,2.875,2.917,0.042,,0.292
2011-01-08,2.542,2.667,0.125,,0.25
2011-01-09,3.833,3.958,0.125,,3.522
2011-01-10,4.875,4.958,0.083,,3.542
2011-01-11,4.083,4.083,0.0,,2.542
2011-01-12,5.417,6.0,0.583,,0.75
2011-01-13,3.583,3.75,0.167,,1.542
2011-01-14,3.917,3.917,0.0,,3.583
2011-01-15,3.542,3.542,0.0,,2.042
2011-01-16,4.542,4.542,0.0,,1.083
2011-01-17,3.25,3.458,0.208,,0.5
2011-01-18,9.208,10.042,0.833,,1.208
2011-01-19,14.958,15.417,0.458,,0.87
2011-01-20,5.583,5.708,0.125,,0.125
2011-01-21,4.375,4.417,0.042,,0.417
2011-01-22,3.333,3.458,0.125,,0.375
2011-01-23,2.625,2.625,0.0,,0.417
2011-01-24,2.042,2.125,0.083,,0.292
2011-01-25,3.542,3.75,0.208,,1.875
2011-01-26,1.833,1.833,0.0,,0.625
2011-01-27,3.167,3.167,0.0,,2.167
2011-01-28,3.5,3.5,0.0,,2.833
2011-01-29,4.875,5.042,0.167,,1.261
2011-01-30,5.25,5.875,0.625,,2.417
2011-01-31,3.833,3.875,0.042,,1.458
2011-02-01,4.208,4.375,0.167,,2.125
2011-02-02,2.542,2.542,0.0,,0.917
2011-02-03,4.25,4.417,0.167,,1.167
2011-02-04,4.042,4.458,0.417,,2.0
2011-02-05,8.542,9.042,0.5,,5.792
2011-02-06,10.458,10.875,0.417,,1.667
2011-02-07,8.958,9.25,0.292,,0.833
2011-02-08,2.333,2.333,0.0,,0.478
2011-02-09,2.958,3.042,0.083,,0.708
2011-02-10,4.0,4.292,0.292,,1.25
2011-02-11,2.875,2.875,0.0,,1.0
2011-02-12,3.458,3.542,0.083,,1.333
2011-02-13,11.458,11.75,0.292,,1.333
2011-02-14,12.083,12.292,0.208,,0.625
2011-02-15,7.333,7.5,0.167,,0.85
2011-02-16,4.792,5.292,0.5,,1.292
2011-02-17,2.708,2.833,0.125,,0.75
2011-02-18,2.583,2.583,0.0,,0.696
2011-02-19,3.333,3.417,0.083,,0.875
2011-02-20,5.833,6.167,0.333,,1.958
2011-02-21,11.167,12.292,1.125,,3.792
2011-02-22,8.125,8.333,0.208,,1.75
2011-02-23,6.833,7.667,0.833,,0.667
2011-02-24,3.875,3.875,0.0,,2.917
2011-02-25,5.25,5.333,0.083,,1.292
2011-02-26,2.792,2.792,0.0,,0.292
2011-02-27,4.167,4.333,0.167,,0.75
2011-02-28,8.0,8.455,0.455,,0.826
2011-03-01,7.458,8.333,0.875,,0.833
2011-03-02,9.333,10.375,1.042,,0.875
2011-03-03,3.583,3.625,0.042,,0.833
2011-03-04,4.167,4.167,0.0,,0.375
2011-03-05,12.083,12.958,0.875,,0.667
2011-03-06,11.667,14.708,3.042,,1.167
2011-03-07,4.833,4.917,0.083,,1.75
2011-03-08,5.708,5.917,0.208,,2.25
2011-03-09,3.958,3.958,0.0,,0.391
2011-03-10,2.375,2.375,0.0,,0.042
2011-03-11,3.125,3.208,0.083,,1.083
2011-03-12,2.625,2.625,0.0,,0.708
2011-03-13,4.833,5.167,0.333,,1.417
2011-03-14,8.375,9.333,0.958,,2.292
2011-03-15,5.625,5.875,0.25,,2.167
2011-03-16,6.333,7.167,0.833,,1.083
2011-03-17,4.75,4.833,0.083,,1.0
2011-03-18,9.542,10.208,0.667,,0.958
2011-03-19,4.458,4.917,0.458,,0.826
2011-03-20,7.25,8.042,0.792,,1.583
2011-03-21,3.792,4.125,0.333,,1.0
2011-03-22,4.958,5.042,0.083,,1.5
2011-03-23,7.292,7.292,0.0,,0.917
2011-03-24,4.25,4.25,0.0,,0.75
2011-03-25,1.917,1.917,0.0,,0.5
2011-03-26,2.0,2.0,0.0,,0.417
2011-03-27,3.417,3.542,0.125,,1.167
2011-03-28,3.042,3.167,0.125,,1.708
2011-03-29,3.042,3.25,0.208,,0.565
2011-03-30,1.5,1.5,0.0,,0.333
2011-03-31,1.708,1.708,0.0,,0.083
2011-04-01,5.542,5.542,0.0,,1.958
2011-04-02,3.25,3.25,0.0,,1.958
2011-04-03,2.292,2.292,0.0,,0.875
2011-04-04,2.542,2.542,0.0,,0.826
2011-04-05,4.333,4.333,0.0,,1.083
2011-04-06,4.083,4.125,0.042,,1.083
2011-04-07,2.167,2.25,0.083,,0.083
2011-04-08,0.458,0.458,0.0,,0.0
2011-04-09,5.458,5.792,0.333,,1.333
2011-04-10,6.125,6.208,0.083,,2.542
2011-04-11,4.458,4.458,0.0,,2.125
2011-04-12,2.458,2.458,0.0,,0.875
2011-04-13,3.125,3.333,0.208,,1.625
2011-04-14,2.952,2.952,0.0,,1.45
2011-04-15,2.708,2.917,0.208,,1.125
2011-04-16,5.917,6.458,0.542,,2.042
2011-04-17,3.667,3.792,0.125,,1.083
2011-04-18,3.583,3.625,0.042,,0.917
2011-04-19,2.625,2.625,0.0,,0.583
2011-04-20,2.542,2.542,0.0,,0.5
