date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,11.917,13.833,1.917,,2.458,38.417
2011-01-02,12.125,15.0,2.875,,1.0,16.375
2011-01-03,14.708,19.333,4.625,,3.667,31.5
2011-01-04,8.083,9.458,1.375,,1.625,19.167
2011-01-05,19.609,25.13,5.522,,2.739,21.792
2011-01-06,23.917,34.208,10.292,,0.875,21.167
2011-01-07,22.208,35.5,13.292,,0.708,24.667
2011-01-08,13.583,15.708,2.125,,0.583,18.542
2011-01-09,20.208,24.625,4.417,,5.083,42.25
2011-01-10,23.167,30.375,7.208,,4.792,63.083
2011-01-11,15.333,21.0,5.667,,3.417,32.292
2011-01-12,17.375,21.042,3.667,,2.25,16.375
2011-01-13,17.917,20.208,2.292,,5.375,29.208
2011-01-14,22.542,33.458,10.917,,2.125,38.458
2011-01-15,13.083,14.833,1.75,,0.917,20.083
2011-01-16,14.583,16.875,2.292,,0.583,15.5
2011-01-17,15.958,19.167,3.208,,0.0,8.333
2011-01-18,24.708,38.792,14.083,,0.667,21.125
2011-01-19,24.913,41.478,16.565,,0.455,25.783
2011-01-20,13.875,16.458,2.583,,0.625,11.542
2011-01-21,16.125,18.375,2.25,,0.958,9.125
2011-01-22,9.708,11.375,1.667,,0.417,14.958
2011-01-23,9.875,11.458,1.583,,2.125,5.375
2011-01-24,9.5,10.958,1.458,,2.5,11.792
2011-01-25,11.375,12.875,1.5,,3.125,20.208
2011-01-26,12.292,14.458,2.167,,2.458,6.375
2011-01-27,26.292,35.625,9.333,,3.208,26.208
2011-01-28,15.292,18.0,2.708,,2.292,32.708
2011-01-29,10.792,12.208,1.417,,2.542,19.792
2011-01-30,19.458,24.667,5.208,,1.75,18.25
2011-01-31,22.208,31.125,8.917,,4.208,24.792
2011-02-01,14.583,20.042,5.458,,3.083,31.792
2011-02-02,7.261,8.652,1.391,,0.217,9.708
2011-02-03,16.25,19.5,3.25,,1.458,18.625
2011-02-04,18.0,22.917,4.917,,3.083,29.917
2011-02-05,11.667,13.5,1.833,,0.292,43.417
2011-02-06,20.417,26.333,5.917,,0.0,45.958
2011-02-07,9.5,10.792,1.292,,0.583,10.75
2011-02-08,6.458,7.833,1.375,,0.083,5.542
2011-02-09,14.917,18.083,3.167,,0.333,13.708
2011-02-10,16.917,23.125,6.208,,0.417,13.208
2011-02-11,17.583,22.875,5.292,,0.333,6.083
2011-02-12,12.333,14.042,1.708,,0.708,16.292
2011-02-13,21.583,26.208,4.625,,0.522,20.217
2011-02-14,23.958,35.417,11.458,,0.0,14.917
2011-02-15,26.417,30.833,4.417,,0.417,30.375
2011-02-16,18.0,24.304,6.304,,0.217,17.875
2011-02-17,8.167,9.625,1.458,,0.833,10.333
2011-02-18,7.75,9.125,1.375,,0.333,12.333
2011-02-19,11.542,12.958,1.417,,0.5,15.875
2011-02-20,18.542,24.0,5.458,,0.333,19.833
