date,CH4_mean,NMHC_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,191.75,14.333,4.833,46.167,206.083
2011-01-02,188.458,13.792,3.083,15.708,202.25
2011-01-03,190.417,11.875,5.125,31.667,202.292
2011-01-04,187.467,6.467,2.833,18.0,193.933
2011-01-05,,,2.083,19.042,
2011-01-06,191.231,20.615,2.739,17.652,211.846
2011-01-07,192.208,21.25,2.65,15.25,213.458
2011-01-08,191.417,18.167,3.25,16.125,209.583
2011-01-09,195.042,16.625,7.652,40.042,211.667
2011-01-10,197.25,20.917,6.333,66.792,218.167
2011-01-11,192.958,16.25,5.625,40.333,209.208
2011-01-12,188.391,12.13,3.25,17.708,200.522
2011-01-13,188.417,9.708,4.583,29.333,198.125
2011-01-14,192.083,20.792,4.727,44.333,212.875
2011-01-15,189.5,14.75,4.0,23.75,204.25
2011-01-16,186.083,14.75,2.818,14.958,200.833
2011-01-17,187.083,19.667,2.864,10.792,206.75
2011-01-18,189.083,25.25,2.826,22.375,214.333
2011-01-19,191.913,26.174,2.0,33.625,218.087
2011-01-20,186.208,14.75,2.429,11.542,200.958
2011-01-21,186.125,14.75,2.588,10.875,200.875
2011-01-22,188.625,13.167,2.0,20.167,201.792
2011-01-23,187.957,8.478,2.522,11.957,196.435
2011-01-24,189.208,8.417,2.958,12.042,197.625
2011-01-25,191.583,10.125,3.042,17.833,201.708
2011-01-26,190.391,9.13,2.292,8.375,199.522
2011-01-27,189.833,10.292,3.292,17.583,200.125
2011-01-28,191.792,15.208,3.864,36.542,207.0
2011-01-29,189.458,10.083,3.647,22.417,199.542
2011-01-30,191.167,15.542,2.955,17.375,206.708
2011-01-31,190.875,14.042,3.708,16.75,204.917
2011-02-01,190.522,8.0,3.217,37.087,198.522
2011-02-02,188.565,4.913,2.125,6.833,193.478
2011-02-03,190.292,6.167,2.125,18.792,196.458
2011-02-04,191.625,9.125,3.042,22.667,200.75
2011-02-05,193.125,14.292,2.45,54.0,207.417
2011-02-06,192.417,21.0,2.292,46.833,213.417
2011-02-07,187.125,6.375,2.227,17.957,193.5
2011-02-08,187.625,4.0,2.087,6.917,191.625
2011-02-09,187.261,9.13,2.739,14.833,196.391
2011-02-10,187.958,13.167,2.647,13.792,201.125
2011-02-11,189.333,16.417,2.476,12.542,205.75
2011-02-12,191.292,19.75,3.167,14.167,211.042
2011-02-13,189.625,19.0,2.667,24.208,208.625
2011-02-14,191.826,24.696,1.826,23.917,216.522
2011-02-15,191.5,17.208,2.667,34.5,208.708
