date,PM25_mean,SPM_mean
2011-01-01,,41.042
2011-01-02,,21.417
2011-01-03,,34.458
2011-01-04,,21.583
2011-01-05,,22.125
2011-01-06,,23.292
2011-01-07,,25.792
2011-01-08,,19.417
2011-01-09,,43.542
2011-01-10,,66.042
2011-01-11,,33.5
2011-01-12,,20.708
2011-01-13,,32.625
2011-01-14,,43.25
2011-01-15,,25.0
2011-01-16,,18.333
2011-01-17,,12.667
2011-01-18,,23.292
2011-01-19,,28.304
2011-01-20,,12.458
2011-01-21,,8.208
2011-01-22,,16.75
2011-01-23,,8.292
2011-01-24,,13.917
2011-01-25,,20.542
2011-01-26,,9.375
2011-01-27,,25.542
2011-01-28,,35.833
2011-01-29,,21.208
2011-01-30,,21.708
2011-01-31,,28.375
2011-02-01,,35.0
2011-02-02,,10.417
2011-02-03,,17.333
2011-02-04,,30.25
2011-02-05,,45.75
2011-02-06,,37.458
2011-02-07,,19.0
2011-02-08,,8.375
2011-02-09,,16.208
2011-02-10,,14.833
2011-02-11,,13.958
2011-02-12,,16.542
2011-02-13,,20.87
2011-02-14,,13.708
2011-02-15,,33.208
2011-02-16,,19.5
2011-02-17,,12.042
2011-02-18,,14.417
2011-02-19,,20.917
2011-02-20,,19.792
2011-02-21,,23.5
2011-02-22,,20.333
2011-02-23,,25.542
2011-02-24,,40.833
2011-02-25,,39.75
2011-02-26,,14.542
2011-02-27,,9.167
2011-02-28,,19.0
2011-03-01,,26.083
2011-03-02,,18.458
2011-03-03,,19.375
2011-03-04,,18.875
2011-03-05,,13.125
2011-03-06,,29.083
2011-03-07,,61.458
2011-03-08,,62.167
2011-03-09,,30.708
2011-03-10,,19.833
2011-03-11,,26.625
2011-03-12,,11.792
2011-03-13,,19.25
2011-03-14,,30.708
2011-03-15,,41.609
2011-03-16,,52.5
2011-03-17,,36.125
2011-03-18,,35.833
2011-03-19,,24.208
2011-03-20,,21.417
2011-03-21,,22.75
2011-03-22,,24.458
2011-03-23,,19.417
2011-03-24,,33.917
2011-03-25,,14.833
2011-03-26,,10.292
2011-03-27,,20.583
2011-03-28,,34.833
2011-03-29,,37.913
2011-03-30,,32.083
2011-03-31,,20.625
2011-04-01,,40.833
2011-04-02,,36.208
2011-04-03,,24.708
2011-04-04,,9.958
2011-04-05,,12.292
2011-04-06,,16.583
2011-04-07,,15.167
2011-04-08,,17.5
2011-04-09,,37.25
2011-04-10,,30.583
2011-04-11,,33.167
2011-04-12,,27.542
2011-04-13,,34.0
2011-04-14,,33.625
2011-04-15,,41.458
2011-04-16,,56.625
2011-04-17,,29.875
2011-04-18,,25.875
2011-04-19,,13.208
2011-04-20,,21.0
2011-04-21,,30.583
2011-04-22,,32.167
2011-04-23,,25.333
2011-04-24,,33.25
2011-04-25,,32.458
2011-04-26,,27.542
2011-04-27,,29.792
2011-04-28,,22.625
2011-04-29,,20.458
2011-04-30,,32.333
2011-05-01,,72.375
2011-05-02,,182.208
2011-05-03,,167.125
2011-05-04,,85.625
2011-05-05,,55.542
2011-05-06,,26.542
2011-05-07,,20.0
2011-05-08,,33.458
2011-05-09,,26.913
2011-05-10,,10.375
2011-05-11,,13.5
2011-05-16,,59.667
2011-05-17,,38.5
2011-05-18,,36.083
2011-05-19,,38.417
2011-05-20,,25.875
2011-05-21,,20.792
2011-05-22,,11.0
2011-05-23,,10.5
2011-05-24,,5.75
2011-05-25,,13.708
2011-05-26,,15.391
2011-05-27,,40.083
2011-05-28,,27.958
2011-05-29,,6.0
2011-05-30,,22.417
