date,SO2_mean,SPM_mean
2011-08-01,3.958,23.609
2011-08-02,4.625,28.0
2011-08-03,4.789,24.391
2011-08-04,6.417,20.304
2011-08-05,4.875,14.458
2011-08-06,4.208,17.333
2011-08-07,5.25,19.542
2011-08-08,6.0,24.87
2011-08-09,6.778,25.167
2011-08-10,5.846,34.792
2011-08-11,4.318,18.583
2011-08-12,4.944,22.708
2011-08-13,3.846,20.208
2011-08-14,6.9,28.542
2011-08-15,5.476,23.417
2011-08-16,4.292,25.5
2011-08-17,5.348,29.696
2011-08-18,4.708,25.625
2011-08-19,3.208,12.458
2011-08-20,3.417,11.708
2011-08-21,2.792,17.0
2011-08-22,2.75,13.917
2011-08-23,3.5,21.435
2011-08-24,4.833,18.409
2011-08-25,4.208,9.435
2011-08-26,5.542,17.708
2011-08-27,5.667,17.125
2011-08-28,5.417,26.583
2011-08-29,6.25,26.958
2011-08-30,5.042,25.217
2011-08-31,5.955,22.25
2011-09-01,4.5,13.208
2011-09-02,4.783,15.478
2011-09-03,2.792,24.875
2011-09-04,2.792,15.75
2011-09-05,2.042,8.696
2011-09-06,2.667,10.304
2011-09-07,3.75,15.792
2011-09-08,4.458,21.125
2011-09-09,4.75,24.833
2011-09-10,5.625,25.0
2011-09-11,5.333,15.125
2011-09-12,5.708,15.913
2011-09-13,5.625,18.875
2011-09-14,6.565,20.667
2011-09-15,5.458,16.609
2011-09-16,5.125,15.333
2011-09-17,2.875,12.958
2011-09-18,5.25,14.478
2011-09-19,4.25,11.45
2011-09-20,3.417,9.947
2011-09-21,3.625,11.609
2011-09-22,2.0,7.714
2011-09-23,2.542,9.417
2011-09-24,2.826,11.13
2011-09-25,3.875,19.391
2011-09-26,4.042,22.25
2011-09-27,4.375,22.5
2011-09-28,3.13,21.833
2011-09-29,4.792,31.542
2011-09-30,3.0,23.792
2011-10-01,2.583,12.435
2011-10-02,3.958,11.0
2011-10-03,2.696,11.522
2011-10-04,3.458,17.125
2011-10-05,2.917,19.667
2011-10-06,2.292,16.45
2011-10-07,3.083,34.875
2011-10-08,3.833,32.875
2011-10-09,3.25,42.25
2011-10-10,3.583,36.583
2011-10-11,3.625,49.696
2011-10-12,3.913,48.25
2011-10-13,4.458,46.708
2011-10-14,2.708,36.542
2011-10-15,2.25,11.458
2011-10-16,2.417,22.042
2011-10-17,3.208,29.478
2011-10-18,2.792,18.0
2011-10-19,4.625,21.0
2011-10-20,4.167,36.875
2011-10-21,4.75,33.5
2011-10-22,2.625,14.5
2011-10-23,2.917,12.667
2011-10-24,3.542,11.818
2011-10-25,4.375,18.042
2011-10-26,3.826,11.417
2011-10-27,5.0,23.333
2011-10-28,3.542,26.542
2011-10-29,4.167,31.333
2011-10-30,2.958,26.625
2011-10-31,2.636,12.273
2011-11-01,3.917,18.5
2011-11-02,4.833,24.833
2011-11-03,4.375,32.958
2011-11-04,4.458,32.292
2011-11-05,4.167,38.875
2011-11-06,2.75,9.417
2011-11-07,2.125,8.955
2011-11-08,2.375,11.792
2011-11-09,2.478,12.565
2011-11-10,4.0,14.917
2011-11-11,2.125,14.087
2011-11-12,2.25,9.167
2011-11-13,2.833,16.75
2011-11-14,3.5,36.0
2011-11-15,3.083,14.13
2011-11-16,2.375,8.696
2011-11-17,3.125,13.25
2011-11-18,5.292,31.375
2011-11-19,2.292,13.87
2011-11-20,2.042,13.0
2011-11-21,1.458,5.87
2011-11-22,2.208,9.136
2011-11-23,3.348,16.583
2011-11-24,2.0,10.913
2011-11-25,1.5,6.75
2011-11-26,2.0,6.792
2011-11-27,3.0,16.542
2011-11-28,4.75,38.609
2011-11-29,6.708,36.333
2011-11-30,4.087,27.435
2011-12-01,2.458,6.864
2011-12-02,3.792,11.136
2011-12-03,3.125,12.458
2011-12-04,3.125,6.19
2011-12-05,3.167,8.905
2011-12-06,4.167,13.174
2011-12-07,4.391,20.739
2011-12-08,3.625,18.833
2011-12-09,3.292,10.211
2011-12-10,3.042,12.667
2011-12-11,2.25,11.045
2011-12-12,2.5,14.957
2011-12-13,2.5,11.348
2011-12-14,3.417,12.652
2011-12-15,3.167,16.292
2011-12-16,1.792,8.0
2011-12-17,1.417,4.389
2011-12-18,1.958,10.833
2011-12-19,1.542,5.85
2011-12-20,2.042,6.053
2011-12-21,3.391,17.25
2011-12-22,4.417,19.458
2011-12-23,2.0,5.1
2011-12-24,2.75,6.3
2011-12-25,1.375,5.111
2011-12-26,1.583,6.0
2011-12-27,1.833,6.842
2011-12-28,2.667,9.25
2011-12-29,2.875,13.952
2011-12-30,2.375,8.583
2011-12-31,2.304,8.565
2012-01-01,1.292,7.75
2012-01-02,2.0,7.958
2012-01-03,1.0,4.917
2012-01-04,0.833,4.792
2012-01-05,1.375,4.583
2012-01-06,1.167,5.958
2012-01-07,2.042,9.583
2012-01-08,1.792,7.292
2012-01-09,1.75,7.083
2012-01-10,1.542,5.833
2012-01-11,1.875,6.833
2012-01-12,2.708,8.667
2012-01-13,3.167,10.5
2012-01-14,3.0,6.292
2012-01-15,3.167,7.0
2012-01-16,2.87,6.375
2012-01-17,2.833,4.833
2012-01-18,2.0,4.25
2012-01-19,2.167,5.875
2012-01-20,2.917,7.5
2012-01-21,2.875,8.375
2012-01-22,2.0,5.391
2012-01-23,1.875,4.917
2012-01-24,3.125,7.227
2012-01-25,2.435,5.652
2012-01-26,1.083,3.708
2012-01-27,1.375,4.375
2012-01-28,1.208,4.958
2012-01-29,1.583,5.783
2012-01-30,3.261,7.0
2012-01-31,3.783,7.87
2012-02-01,6.417,9.875
2012-02-02,3.417,7.167
2012-02-03,2.833,6.292
2012-02-04,2.042,5.583
2012-02-05,2.875,6.625
2012-02-06,1.917,5.087
2012-02-07,3.75,5.458
2012-02-08,2.0,4.667
2012-02-09,1.5,4.792
2012-02-10,2.958,7.5
2012-02-11,2.458,6.458
2012-02-12,3.292,6.435
2012-02-13,2.13,6.0
2012-02-14,2.458,5.583
2012-02-15,2.25,4.043
2012-02-16,3.375,5.211
2012-02-17,2.167,4.913
2012-02-18,1.542,6.111
2012-02-19,2.25,5.391
2012-02-20,1.542,4.217
2012-02-21,1.708,5.565
2012-02-22,2.042,5.5
2012-02-23,2.042,6.357
2012-02-24,2.292,5.529
2012-02-25,2.208,6.053
2012-02-26,2.542,6.125
2012-02-27,3.261,8.0
2012-02-28,2.5,7.4
2012-03-01,3.167,5.75
2012-03-02,2.958,9.208
2012-03-03,2.042,6.667
2012-03-04,1.917,8.13
2012-03-05,2.667,9.125
2012-03-06,3.1,7.444
2012-03-07,3.8,8.389
2012-03-08,4.5,11.958
2012-03-09,3.75,12.958
2012-03-10,1.417,7.5
2012-03-11,2.0,6.0
2012-03-12,3.292,9.929
2012-03-13,2.826,7.818
2012-03-14,1.625,5.792
2012-03-15,2.208,5.833
2012-03-16,2.417,7.783
2012-03-17,2.917,7.783
2012-03-18,1.792,6.769
2012-03-19,1.667,8.13
2012-03-20,2.292,7.217
2012-03-21,2.167,5.25
2012-03-22,2.667,4.692
2012-03-23,1.708,6.611
2012-03-24,2.917,7.348
2012-03-25,1.583,6.182
2012-03-26,1.542,4.609
2012-03-27,2.391,6.312
2012-03-28,2.417,4.556
2012-03-29,1.833,
2012-03-30,1.708,4.222
2012-03-31,2.087,4.933
2012-04-01,1.208,14.583
2012-04-02,1.708,28.696
2012-04-03,1.667,23.25
2012-04-04,1.25,13.542
2012-04-05,1.417,27.167
2012-04-06,1.542,17.167
2012-04-07,1.958,13.125
2012-04-08,1.25,19.0
2012-04-09,2.167,32.958
2012-04-10,3.458,43.167
2012-04-11,1.0,24.25
2012-04-12,1.0,20.708
2012-04-13,1.875,29.625
2012-04-14,1.0,22.417
2012-04-15,1.417,18.875
2012-04-16,2.167,25.375
2012-04-17,1.542,25.375
2012-04-18,2.458,23.167
2012-04-19,2.292,29.125
2012-04-20,1.25,23.783
2012-04-21,1.833,24.85
2012-04-22,1.0,16.545
2012-04-23,1.167,14.708
2012-04-24,2.125,71.0
2012-04-25,4.261,40.0
2012-04-26,1.583,35.417
2012-04-27,1.0,13.958
2012-04-28,3.429,24.091
2012-04-29,2.792,32.125
2012-04-30,2.458,30.458
2012-05-01,2.083,18.476
2012-05-02,1.083,11.0
2012-05-03,1.208,11.227
2012-05-04,1.0,5.304
2012-05-05,1.542,28.1
2012-05-06,1.292,33.542
2012-05-07,2.583,25.875
2012-05-08,2.167,39.176
2012-05-09,4.304,57.846
2012-05-10,1.125,26.286
2012-05-11,1.0,7.667
2012-05-12,1.5,9.952
2012-05-13,1.0,14.913
2012-05-14,2.0,21.458
2012-05-15,1.042,12.333
2012-05-16,2.583,25.364
2012-05-17,3.5,44.167
2012-05-18,1.167,30.875
2012-05-19,2.292,28.688
2012-05-20,3.167,29.958
2012-05-21,1.75,25.091
2012-05-22,1.708,29.222
