date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.583,85.0,80.417,69.0,4.739,3.208,3.208,0.0,1.958,70.0,53.25,21.0,196.348
2011-01-02,190.696,2.833,88.0,68.667,50.0,3.478,2.583,2.583,0.0,1.208,57.0,44.167,25.0,194.174
2011-01-03,192.13,3.208,85.0,74.792,48.0,3.739,2.542,2.542,0.0,2.125,59.0,41.5,23.0,195.87
2011-01-04,187.609,2.792,85.0,63.75,48.0,3.522,2.318,2.364,0.0,4.261,56.0,31.083,7.0,191.13
2011-01-05,186.609,2.875,85.0,81.375,73.0,4.87,4.125,4.125,0.0,2.292,47.0,28.25,18.0,191.478
2011-01-06,185.609,2.25,86.0,75.042,55.0,4.217,3.5,3.667,0.167,2.333,99.0,41.625,24.0,189.826
2011-01-07,191.478,2.5,89.0,82.958,74.0,5.783,7.042,7.167,0.125,0.583,47.0,28.458,10.0,197.261
2011-01-08,189.522,2.478,85.0,70.458,42.0,5.696,4.708,4.958,0.333,0.625,96.0,47.958,5.0,195.217
2011-01-09,190.739,3.333,86.0,76.792,53.0,5.087,4.625,4.625,0.0,2.667,90.0,56.208,44.0,195.826
2011-01-10,196.0,4.261,84.0,76.333,66.0,7.0,5.348,5.826,0.478,3.652,83.0,54.375,36.0,203.0
2011-01-11,187.783,2.417,86.0,70.667,53.0,5.435,3.208,3.333,0.167,4.083,64.0,41.167,8.0,193.217
2011-01-12,190.478,2.458,89.0,79.792,69.0,6.652,4.864,5.545,0.727,0.913,56.0,32.375,6.0,197.13
2011-01-13,191.043,2.917,79.0,63.375,47.0,6.435,3.708,3.917,0.167,4.292,65.0,54.083,43.0,197.478
2011-01-14,192.304,3.0,75.0,60.792,47.0,6.217,3.708,3.708,0.083,2.375,80.0,57.25,45.0,198.522
2011-01-15,191.913,2.333,86.0,72.125,55.0,5.739,2.792,2.833,0.0,0.792,76.0,49.667,33.0,197.652
2011-01-16,188.478,2.0,86.0,69.083,55.0,4.913,2.75,2.875,0.0,0.364,66.0,52.958,41.0,193.391
2011-01-17,187.261,2.5,82.0,68.292,39.0,7.174,5.818,6.091,0.273,0.792,99.0,47.958,4.0,194.435
2011-01-18,190.391,3.083,86.0,69.167,39.0,9.957,9.417,10.917,1.5,0.917,110.0,47.917,-10.0,200.348
2011-01-19,187.0,2.083,86.0,81.292,69.0,6.957,6.75,6.875,0.125,0.625,75.0,64.958,53.0,193.957
