date,HUM_max,HUM_mean,HUM_min,PM25_mean,TEMP_max,TEMP_mean,TEMP_min
2013-01-01,98.0,72.5,49.0,22.458333333333332,102.0,69.29166666666667,30.0
2013-01-02,92.0,62.25,42.0,15.083333333333334,113.0,81.66666666666667,30.0
2013-01-03,98.0,84.25,52.0,10.791666666666666,126.0,52.166666666666664,-13.0
2013-01-04,98.0,97.5,95.0,10.541666666666666,50.0,28.375,8.0
2013-01-05,99.0,79.16666666666667,46.0,6.041666666666667,79.0,39.166666666666664,-1.0
2013-01-06,98.0,87.41666666666667,60.0,6.833333333333333,82.0,31.708333333333332,-8.0
2013-01-07,98.0,79.45833333333333,45.0,9.434782608695652,132.0,45.5,-34.0
2013-01-08,98.0,95.54166666666667,83.0,18.041666666666668,82.0,50.958333333333336,33.0
2013-01-09,98.0,97.5,91.0,5.333333333333333,53.0,23.875,-1.0
2013-01-10,98.0,96.625,90.0,4.375,27.0,8.0,-4.0
2013-01-11,98.0,94.20833333333333,82.0,15.458333333333334,45.0,20.5,3.0
2013-01-12,98.0,86.54166666666667,66.0,26.25,66.0,30.083333333333332,0.0
2013-01-13,98.0,97.58333333333333,95.0,13.434782608695652,33.0,19.708333333333332,5.0
2013-01-14,99.0,96.0,85.0,4.136363636363637,62.0,25.625,2.0
2013-01-15,98.0,96.95833333333333,77.0,2.9166666666666665,63.0,32.083333333333336,12.0
2013-01-16,98.0,94.33333333333333,74.0,5.25,74.0,39.625,21.0
2013-01-17,98.0,97.5,92.0,11.0,65.0,33.208333333333336,12.0
2013-01-18,99.0,94.04166666666667,81.0,24.916666666666668,51.0,25.625,10.0
2013-01-19,98.0,88.41666666666667,74.0,13.0,35.0,11.0,-15.0
2013-01-20,98.0,97.54166666666667,93.0,13.958333333333334,48.0,17.416666666666668,-19.0
2013-01-21,99.0,97.29166666666667,86.0,22.208333333333332,41.0,13.625,4.0
2013-01-22,99.0,96.33333333333333,78.0,12.833333333333334,35.0,12.125,-2.0
2013-01-23,99.0,89.0,58.0,13.0,84.0,21.708333333333332,-21.0
2013-01-24,98.0,83.625,52.0,12.458333333333334,137.0,48.583333333333336,-20.0
2013-01-25,98.0,88.83333333333333,67.0,12.916666666666666,132.0,78.5,14.0
2013-01-26,98.0,90.125,70.0,16.083333333333332,90.0,44.75,1.0
2013-01-27,98.0,82.29166666666667,42.0,7.458333333333333,80.0,13.25,-28.0
2013-01-28,98.0,90.45833333333333,61.0,12.083333333333334,115.0,46.041666666666664,-18.0
2013-01-29,99.0,89.5,37.0,14.916666666666666,142.0,30.22222222222222,-7.0
2013-01-30,98.0,89.875,72.0,17.25,135.0,98.95833333333333,36.0
2013-01-31,98.0,77.29166666666667,38.0,17.958333333333332,116.0,62.791666666666664,3.0
2013-02-01,98.0,83.5,45.0,22.916666666666668,169.0,64.66666666666667,-18.0
2013-02-02,98.0,93.79166666666667,70.0,28.708333333333332,186.0,106.95833333333333,71.0
2013-02-03,98.0,97.625,93.0,20.791666666666668,105.0,80.33333333333333,54.0
2013-02-04,99.0,97.875,94.0,3.5,56.0,15.375,-5.0
2013-02-05,98.0,97.875,96.0,5.666666666666667,9.0,-4.666666666666667,-15.0
2013-02-06,99.0,97.83333333333333,95.0,7.541666666666667,9.0,-4.333333333333333,-16.0
2013-02-07,98.0,89.04166666666667,75.0,5.625,38.0,6.958333333333333,-25.0
2013-02-08,99.0,97.875,93.0,2.125,44.0,13.208333333333334,-1.0
2013-02-09,99.0,94.70833333333333,78.0,4.083333333333333,62.0,22.833333333333332,3.0
2013-02-10,98.0,96.58333333333333,88.0,7.2727272727272725,12.0,3.125,-11.0
2013-02-11,98.0,84.16666666666667,69.0,5.166666666666667,29.0,7.416666666666667,-16.0
2013-02-12,96.0,80.125,68.0,5.583333333333333,36.0,21.791666666666668,6.0
2013-02-13,98.0,79.75,59.0,6.208333333333333,47.0,24.25,2.0
2013-02-14,98.0,77.79166666666667,68.0,8.875,45.0,32.708333333333336,17.0
2013-02-15,98.0,78.08333333333333,58.0,8.333333333333334,68.0,42.75,26.0
2013-02-16,98.0,75.16666666666667,32.0,23.916666666666668,89.0,35.375,-7.0
2013-02-17,98.0,92.04166666666667,76.0,27.0,81.0,20.333333333333332,-28.0
2013-02-18,98.0,76.625,59.0,10.541666666666666,32.0,18.291666666666668,5.0
2013-02-19,76.0,68.83333333333333,58.0,9.75,43.0,26.041666666666668,15.0
2013-02-20,98.0,82.0,59.0,11.958333333333334,67.0,26.541666666666668,-11.0
2013-02-21,98.0,92.45833333333333,74.0,14.291666666666666,58.0,16.25,-11.0
2013-02-22,98.0,75.83333333333333,45.0,12.791666666666666,85.0,30.583333333333332,-24.0
2013-02-23,98.0,74.20833333333333,42.0,12.583333333333334,96.0,37.0,-14.0
2013-02-24,98.0,76.75,41.0,20.958333333333332,123.0,51.875,-16.0
2013-02-25,98.0,84.5,53.0,61.833333333333336,124.0,55.291666666666664,0.0
2013-02-26,98.0,90.66666666666667,68.0,55.291666666666664,114.0,54.541666666666664,-13.0
2013-02-27,99.0,97.83333333333333,94.0,13.583333333333334,113.0,90.70833333333333,63.0
2013-02-28,99.0,93.08333333333333,77.0,21.458333333333332,132.0,87.16666666666667,57.0
2013-03-01,98.0,95.16666666666667,88.0,23.625,90.0,72.79166666666667,62.0
2013-03-02,98.0,93.0,73.0,10.833333333333334,102.0,69.125,36.0
