date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2017-11-10,7.291666666666667,9.375,2.0833333333333335,9.333333333333334,14.208333333333334,153.0,85.45833333333333,16.0
2017-11-11,2.9583333333333335,2.9583333333333335,0.0,8.583333333333334,14.375,147.0,110.54166666666667,72.0
2017-11-12,1.8333333333333333,1.9583333333333333,0.125,6.583333333333333,12.166666666666666,108.0,66.125,18.0
2017-11-13,5.826086956521739,7.739130434782608,1.9130434782608696,7.782608695652174,11.565217391304348,149.0,74.79166666666667,7.0
2017-11-14,9.125,11.958333333333334,2.8333333333333335,6.083333333333333,10.958333333333334,120.0,92.875,59.0
2017-11-15,4.260869565217392,5.086956521739131,0.8260869565217391,8.791666666666666,13.875,129.0,76.125,23.0
2017-11-16,4.333333333333333,6.041666666666667,1.7083333333333333,6.833333333333333,11.041666666666666,84.0,41.708333333333336,6.0
2017-11-17,8.625,11.166666666666666,2.5416666666666665,10.583333333333334,14.25,101.0,45.541666666666664,-10.0
2017-11-18,4.041666666666667,4.791666666666667,0.75,4.416666666666667,9.791666666666666,97.0,72.41666666666667,45.0
2017-11-19,1.2083333333333333,1.3333333333333333,0.125,3.1666666666666665,9.625,72.0,41.333333333333336,5.0
2017-11-20,5.0,6.217391304347826,1.2173913043478262,4.956521739130435,9.26086956521739,65.0,34.416666666666664,-2.0
2017-11-21,3.3333333333333335,4.833333333333333,1.5,5.25,11.458333333333334,73.0,26.708333333333332,-8.0
2017-11-22,6.130434782608695,8.08695652173913,1.9565217391304348,7.083333333333333,10.833333333333334,110.0,55.791666666666664,-11.0
2017-11-23,2.4166666666666665,3.0833333333333335,0.6666666666666666,6.375,12.875,104.0,66.91666666666667,13.0
2017-11-24,5.125,7.125,2.0,5.958333333333333,10.125,75.0,31.708333333333332,-4.0
2017-11-25,6.125,8.458333333333334,2.3333333333333335,7.958333333333333,11.666666666666666,86.0,33.791666666666664,-9.0
2017-11-26,7.291666666666667,9.166666666666666,1.875,11.916666666666666,14.75,111.0,62.666666666666664,-6.0
2017-11-27,5.083333333333333,7.625,2.5416666666666665,10.583333333333334,15.25,119.0,69.20833333333333,19.0
2017-11-28,8.166666666666666,13.291666666666666,5.125,13.083333333333334,17.541666666666668,152.0,70.83333333333333,5.0
2017-11-29,8.043478260869565,10.304347826086957,2.260869565217391,12.791666666666666,18.083333333333332,140.0,108.375,64.0
2017-11-30,5.041666666666667,7.541666666666667,2.5,9.333333333333334,15.291666666666666,125.0,97.25,73.0
2017-12-01,3.5652173913043477,4.782608695652174,1.2173913043478262,3.391304347826087,9.952380952380953,81.0,53.166666666666664,23.0
2017-12-02,3.9166666666666665,5.791666666666667,1.875,5.25,10.5,78.0,28.75,-2.0
2017-12-03,4.333333333333333,5.583333333333333,1.25,8.416666666666666,13.291666666666666,116.0,46.583333333333336,2.0
2017-12-04,8.333333333333334,11.5,3.1666666666666665,9.833333333333334,14.208333333333334,90.0,35.208333333333336,-14.0
2017-12-05,3.625,4.333333333333333,0.7083333333333334,6.875,12.375,49.0,26.916666666666668,-6.0
2017-12-06,3.3043478260869565,4.391304347826087,1.0869565217391304,5.208333333333333,10.25,60.0,8.208333333333334,-25.0
2017-12-07,10.458333333333334,14.25,3.7916666666666665,10.916666666666666,14.5,80.0,15.666666666666666,-37.0
2017-12-08,5.958333333333333,8.166666666666666,2.2083333333333335,9.125,12.666666666666666,49.0,25.125,0.0
2017-12-09,5.791666666666667,7.916666666666667,2.125,4.666666666666667,9.958333333333334,53.0,10.625,-12.0
2017-12-10,4.541666666666667,5.958333333333333,1.4166666666666667,7.541666666666667,10.125,91.0,40.625,-14.0
2017-12-11,4.875,5.625,0.75,8.541666666666666,19.09090909090909,76.0,44.875,-9.0
2017-12-12,2.6666666666666665,3.4583333333333335,0.7916666666666666,4.166666666666667,,22.0,-6.5,-26.0
2017-12-13,2.409090909090909,3.1363636363636362,0.7272727272727273,3.9545454545454546,9.833333333333334,38.0,0.8333333333333334,-27.0
2017-12-14,2.0833333333333335,3.0833333333333335,1.0,3.9583333333333335,10.541666666666666,39.0,13.5,-12.0
2017-12-15,4.458333333333333,6.583333333333333,2.125,5.375,10.916666666666666,56.0,15.916666666666666,-10.0
2017-12-16,10.166666666666666,13.958333333333334,3.7916666666666665,13.041666666666666,17.958333333333332,69.0,38.166666666666664,7.0
2017-12-17,2.142857142857143,3.0,0.8571428571428571,6.523809523809524,11.095238095238095,32.0,-2.9523809523809526,-26.0
2017-12-18,4.75,6.375,1.625,8.0,11.875,49.0,1.875,-50.0
2017-12-19,7.25,10.125,2.875,9.041666666666666,13.25,62.0,14.958333333333334,-28.0
2017-12-20,7.6521739130434785,12.652173913043478,5.0,9.416666666666666,12.416666666666666,62.0,-2.5833333333333335,-45.0
2017-12-21,6.166666666666667,9.791666666666666,3.625,9.458333333333334,12.958333333333334,62.0,1.75,-40.0
2017-12-22,14.0,21.083333333333332,7.083333333333333,15.521739130434783,18.0,73.0,4.958333333333333,-45.0
2017-12-23,9.416666666666666,12.875,3.4583333333333335,20.375,26.166666666666668,86.0,16.375,-33.0
2017-12-24,4.583333333333333,6.208333333333333,1.625,16.041666666666668,18.791666666666668,104.0,54.708333333333336,-21.0
2017-12-25,3.9130434782608696,5.260869565217392,1.3478260869565217,6.086956521739131,13.130434782608695,94.0,47.791666666666664,18.0
2017-12-26,4.083333333333333,5.625,1.5416666666666667,8.375,13.125,40.0,18.208333333333332,0.0
2017-12-27,3.0,4.260869565217392,1.2608695652173914,4.958333333333333,11.416666666666666,16.0,1.375,-9.0
2017-12-28,3.3333333333333335,4.875,1.5416666666666667,3.875,10.375,27.0,4.458333333333333,-8.0
2017-12-29,2.8333333333333335,4.25,1.4166666666666667,6.833333333333333,13.5,49.0,23.541666666666668,-5.0
2017-12-30,1.375,2.0833333333333335,0.7083333333333334,6.666666666666667,13.375,54.0,22.916666666666668,-17.0
2017-12-31,4.583333333333333,5.416666666666667,0.8333333333333334,,13.833333333333334,71.0,28.958333333333332,-15.0
2018-01-01,4.958333333333333,5.833333333333333,0.875,6.666666666666667,8.166666666666666,62.0,12.166666666666666,-46.0
2018-01-02,2.0,2.0434782608695654,0.043478260869565216,4.5,5.833333333333333,44.0,16.541666666666668,-21.0
2018-01-03,2.2916666666666665,2.4166666666666665,0.125,4.0,6.125,40.0,9.541666666666666,-21.0
2018-01-04,7.318181818181818,11.136363636363637,3.8181818181818183,5.681818181818182,8.636363636363637,69.0,9.318181818181818,-41.0
2018-01-05,5.166666666666667,5.708333333333333,0.5416666666666666,13.375,15.541666666666666,82.0,53.333333333333336,38.0
2018-01-06,2.3333333333333335,2.75,0.4166666666666667,7.041666666666667,9.916666666666666,37.0,16.416666666666668,-16.0
2018-01-07,8.541666666666666,12.583333333333334,4.041666666666667,9.083333333333334,12.458333333333334,58.0,10.083333333333334,-29.0
2018-01-08,9.833333333333334,14.333333333333334,4.5,17.458333333333332,21.416666666666668,78.0,18.208333333333332,-27.0
2018-01-09,3.739130434782609,5.608695652173913,1.8695652173913044,5.25,7.916666666666667,19.0,0.4166666666666667,-31.0
2018-01-10,16.458333333333332,22.958333333333332,6.5,10.375,12.75,32.0,1.3333333333333333,-44.0
2018-01-11,7.958333333333333,10.875,2.9166666666666665,8.708333333333334,12.083333333333334,75.0,31.5,-14.0
2018-01-12,3.9583333333333335,4.916666666666667,0.9583333333333334,7.708333333333333,11.708333333333334,43.0,18.166666666666668,-12.0
2018-01-13,3.7916666666666665,4.541666666666667,0.75,5.333333333333333,8.166666666666666,75.0,21.083333333333332,-21.0
2018-01-14,4.083333333333333,5.541666666666667,1.4583333333333333,5.041666666666667,7.291666666666667,77.0,12.625,-29.0
2018-01-15,12.416666666666666,18.25,5.833333333333333,8.208333333333334,10.541666666666666,58.0,21.125,-29.0
2018-01-16,7.0,9.08695652173913,2.0869565217391304,13.958333333333334,16.5,51.0,20.0,-27.0
2018-01-17,4.909090909090909,6.318181818181818,1.4090909090909092,9.130434782608695,11.73913043478261,57.0,23.208333333333332,-36.0
2018-01-18,4.041666666666667,6.166666666666667,2.125,6.458333333333333,8.916666666666666,43.0,15.416666666666666,-19.0
2018-01-19,10.458333333333334,15.0,4.541666666666667,12.75,15.958333333333334,80.0,15.833333333333334,-31.0
2018-01-20,6.166666666666667,7.125,0.9583333333333334,9.958333333333334,12.083333333333334,74.0,41.25,1.0
2018-01-21,5.041666666666667,7.0,1.9583333333333333,6.666666666666667,9.208333333333334,60.0,26.666666666666668,5.0
2018-01-22,5.541666666666667,7.916666666666667,2.375,7.083333333333333,10.333333333333334,58.0,20.208333333333332,-24.0
2018-01-23,10.869565217391305,14.826086956521738,3.9565217391304346,17.0,21.666666666666668,84.0,22.708333333333332,-38.0
2018-01-24,3.4166666666666665,4.791666666666667,1.375,8.666666666666666,11.416666666666666,39.0,15.25,-23.0
2018-01-25,10.75,13.958333333333334,3.2083333333333335,10.5,13.208333333333334,46.0,21.458333333333332,-13.0
2018-01-26,2.2083333333333335,2.625,0.4166666666666667,4.666666666666667,6.625,20.0,-4.166666666666667,-23.0
2018-01-27,2.2916666666666665,2.9166666666666665,0.625,6.458333333333333,8.333333333333334,31.0,-1.0833333333333333,-26.0
2018-01-28,12.041666666666666,16.916666666666668,4.875,10.166666666666666,12.666666666666666,59.0,14.166666666666666,-31.0
2018-01-29,2.9166666666666665,4.541666666666667,1.625,7.833333333333333,10.916666666666666,31.0,10.916666666666666,-20.0
2018-01-30,11.08695652173913,16.304347826086957,5.217391304347826,11.583333333333334,14.708333333333334,79.0,12.375,-39.0
2018-01-31,7.782608695652174,12.695652173913043,4.913043478260869,9.478260869565217,12.652173913043478,47.0,21.25,2.0
2018-02-01,2.8333333333333335,4.5,1.6666666666666667,5.708333333333333,8.375,26.0,0.375,-20.0
2018-02-02,5.416666666666667,6.166666666666667,0.75,11.291666666666666,13.583333333333334,82.0,22.166666666666668,-17.0
2018-02-03,6.083333333333333,7.333333333333333,1.25,16.583333333333332,19.708333333333332,119.0,42.166666666666664,-25.0
2018-02-04,4.454545454545454,5.636363636363637,1.1818181818181819,12.227272727272727,17.91304347826087,127.0,74.66666666666667,30.0
2018-02-05,5.958333333333333,9.083333333333334,3.125,13.125,20.666666666666668,90.0,33.25,-7.0
2018-02-06,10.782608695652174,14.304347826086957,3.5217391304347827,11.25,14.291666666666666,91.0,55.083333333333336,23.0
2018-02-07,11.333333333333334,14.375,3.0416666666666665,18.541666666666668,20.041666666666668,97.0,69.91666666666667,28.0
2018-02-08,3.375,4.666666666666667,1.2916666666666667,3.9583333333333335,5.875,51.0,18.5,-1.0
2018-02-09,5.875,7.041666666666667,1.1666666666666667,9.5,11.625,42.0,12.958333333333334,-11.0
2018-02-10,1.875,1.875,0.0,8.125,10.583333333333334,12.0,0.5,-13.0
2018-02-11,3.875,4.25,0.375,8.75,10.958333333333334,23.0,4.75,-12.0
2018-02-12,3.4583333333333335,5.208333333333333,1.75,4.833333333333333,8.0,52.0,20.0,0.0
2018-02-13,3.869565217391304,5.782608695652174,1.9130434782608696,,,65.0,27.333333333333332,-3.0
2018-02-14,2.6956521739130435,3.652173913043478,0.9565217391304348,8.153846153846153,9.76923076923077,20.0,6.833333333333333,-19.0
2018-02-15,12.25,15.333333333333334,3.0833333333333335,8.75,11.208333333333334,43.0,6.291666666666667,-40.0
2018-02-16,8.0,9.375,1.375,14.833333333333334,16.666666666666668,81.0,39.166666666666664,12.0
2018-02-17,3.0833333333333335,3.4166666666666665,0.3333333333333333,17.333333333333332,21.083333333333332,36.0,9.75,-29.0
2018-02-18,9.666666666666666,13.333333333333334,3.6666666666666665,15.416666666666666,18.25,94.0,17.916666666666668,-48.0
2018-02-19,7.375,8.75,1.375,8.666666666666666,11.291666666666666,129.0,71.54166666666667,26.0
2018-02-20,8.391304347826088,9.91304347826087,1.5217391304347827,7.833333333333333,10.333333333333334,122.0,90.41666666666667,46.0
2018-02-21,3.3333333333333335,4.166666666666667,0.8333333333333334,19.583333333333332,23.791666666666668,51.0,41.333333333333336,30.0
2018-02-22,4.791666666666667,5.958333333333333,1.1666666666666667,25.041666666666668,29.875,105.0,50.75,8.0
2018-02-23,2.7083333333333335,2.75,0.041666666666666664,15.5,18.583333333333332,75.0,44.75,-12.0
2018-02-24,4.5,5.125,0.625,14.625,18.375,115.0,35.875,-25.0
2018-02-25,8.875,11.833333333333334,2.9583333333333335,15.166666666666666,18.791666666666668,136.0,58.916666666666664,-11.0
2018-02-26,3.2083333333333335,3.7916666666666665,0.5833333333333334,15.375,20.0,93.0,54.708333333333336,7.0
2018-02-27,6.090909090909091,7.590909090909091,1.5,10.217391304347826,13.73913043478261,100.0,44.166666666666664,-17.0
2018-02-28,3.75,4.666666666666667,0.9166666666666666,8.291666666666666,11.708333333333334,80.0,66.375,58.0
2018-03-01,3.875,4.958333333333333,1.0833333333333333,15.041666666666666,20.0,98.0,58.875,22.0
