date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2018-01-01,5.041666666666667,89.0,69.58333333333333,40.0,11.875,14.916666666666666,3.0416666666666665,12.541666666666666,98.0,49.208333333333336,-7.0
2018-01-02,3.0416666666666665,81.0,65.04166666666667,48.0,7.916666666666667,9.083333333333334,1.1666666666666667,5.833333333333333,85.0,50.041666666666664,20.0
2018-01-03,2.5833333333333335,84.0,71.16666666666667,48.0,11.125,13.0,1.875,5.416666666666667,85.0,38.0,-2.0
2018-01-04,3.3043478260869565,92.0,70.25,43.0,21.238095238095237,28.333333333333332,7.095238095238095,7.0,102.0,49.458333333333336,-8.0
2018-01-05,4.458333333333333,87.0,74.04166666666667,55.0,24.916666666666668,34.708333333333336,9.791666666666666,15.791666666666666,109.0,70.75,54.0
2018-01-06,2.4782608695652173,75.0,64.66666666666667,49.0,9.91304347826087,11.217391304347826,1.3043478260869565,8.416666666666666,80.0,54.958333333333336,34.0
2018-01-07,3.25,87.0,68.41666666666667,45.0,26.708333333333332,48.208333333333336,21.5,11.833333333333334,97.0,45.625,-3.0
2018-01-08,4.541666666666667,87.0,65.29166666666667,40.0,36.958333333333336,77.66666666666667,40.708333333333336,21.541666666666668,119.0,60.416666666666664,11.0
2018-01-09,2.2083333333333335,85.0,65.58333333333333,52.0,20.5,31.0,10.5,7.708333333333333,62.0,41.041666666666664,8.0
2018-01-10,4.125,84.0,69.625,55.0,34.833333333333336,66.45833333333333,31.625,14.0,62.0,33.125,-9.0
2018-01-11,3.0833333333333335,82.0,64.83333333333333,47.0,27.833333333333332,50.583333333333336,22.75,12.958333333333334,112.0,66.75,31.0
2018-01-12,3.6666666666666665,88.0,72.75,51.0,28.875,46.333333333333336,17.458333333333332,13.791666666666666,76.0,42.958333333333336,18.0
2018-01-13,3.0,91.0,78.29411764705883,53.0,17.130434782608695,23.73913043478261,6.608695652173913,11.25,89.0,37.294117647058826,11.0
2018-01-14,2.875,91.0,68.54166666666667,37.0,24.666666666666668,38.708333333333336,14.041666666666666,7.791666666666667,126.0,56.041666666666664,4.0
2018-01-15,4.0,95.0,82.70833333333333,56.0,34.208333333333336,63.708333333333336,29.5,12.0,76.0,47.541666666666664,10.0
2018-01-16,4.863636363636363,93.0,71.54166666666667,46.0,27.227272727272727,59.86363636363637,32.63636363636363,17.6,99.0,57.541666666666664,24.0
2018-01-17,3.4166666666666665,89.0,58.583333333333336,36.0,25.791666666666668,47.708333333333336,21.916666666666668,12.375,106.0,57.833333333333336,3.0
2018-01-18,2.4166666666666665,87.0,71.20833333333333,49.0,25.25,41.958333333333336,16.708333333333332,8.916666666666666,80.0,50.416666666666664,25.0
2018-01-19,4.25,91.0,72.54166666666667,45.0,30.75,50.083333333333336,19.333333333333332,14.5,118.0,55.0,4.0
2018-01-20,4.217391304347826,93.0,82.33333333333333,68.0,26.608695652173914,35.34782608695652,8.73913043478261,14.333333333333334,92.0,65.0,51.0
