date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,15.167,17.917,2.75,,3.0,21.417,115.0,77.667,33.0
2011-01-02,6.583,7.042,0.458,,3.917,16.917,94.0,71.625,53.0
2011-01-03,11.5,12.542,1.042,,4.375,23.208,82.0,65.458,40.0
2011-01-04,8.714,9.714,1.0,,7.217,32.652,83.0,53.792,28.0
2011-01-05,17.75,22.75,5.0,,2.25,16.333,73.0,40.542,8.0
2011-01-06,29.375,55.292,25.917,,3.375,22.375,101.0,63.667,22.0
2011-01-07,10.167,11.542,1.375,,2.0,11.583,85.0,59.917,45.0
2011-01-08,14.417,17.167,2.75,,2.208,15.25,85.0,57.625,34.0
2011-01-09,21.5,29.25,7.75,,4.083,25.5,109.0,70.583,44.0
2011-01-10,34.583,70.917,36.333,,5.375,42.583,112.0,73.0,26.0
2011-01-11,16.458,22.917,6.458,,4.667,30.542,105.0,69.292,27.0
2011-01-12,23.0,32.391,9.391,,2.783,16.043,71.0,43.125,12.0
2011-01-13,24.167,53.875,29.708,,4.25,25.375,108.0,67.625,28.0
2011-01-14,17.792,21.25,3.458,,6.292,39.667,88.0,68.458,52.0
2011-01-15,15.542,19.292,3.75,,3.167,21.083,89.0,66.875,37.0
2011-01-16,11.583,15.0,3.417,,2.542,18.708,68.0,62.167,55.0
2011-01-17,23.458,35.5,12.042,,2.5,22.25,107.0,66.458,31.0
2011-01-18,34.652,60.043,25.391,,2.875,22.0,112.0,64.292,12.0
2011-01-19,31.261,46.0,14.739,,2.261,22.348,85.0,69.458,60.0
2011-01-20,19.75,25.625,5.875,,1.375,18.333,106.0,85.958,63.0
2011-01-21,22.292,27.25,4.958,,1.25,22.833,99.0,85.458,71.0
2011-01-22,22.917,30.792,7.875,,2.75,22.708,114.0,84.458,51.0
2011-01-23,9.708,11.5,1.792,,1.75,10.5,109.0,77.167,48.0
2011-01-24,13.417,16.542,3.125,,2.0,7.417,66.0,40.583,26.0
2011-01-25,17.333,22.25,4.917,,3.458,20.5,63.0,33.375,10.0
2011-01-26,17.864,22.545,4.682,,2.136,13.826,66.0,29.083,-3.0
2011-01-27,27.917,38.042,10.125,,4.667,33.25,84.0,43.625,1.0
2011-01-28,17.625,20.792,3.167,,3.125,25.25,93.0,51.208,22.0
2011-01-29,11.125,12.917,1.792,,1.75,11.708,72.0,41.25,21.0
2011-01-30,22.5,30.458,7.958,,1.75,17.083,71.0,39.583,14.0
2011-01-31,27.0,43.0,16.0,,2.167,14.833,79.0,36.458,4.0
2011-02-01,20.87,43.696,22.826,,3.5,20.833,91.0,48.667,2.0
2011-02-02,9.524,10.952,1.429,,2.636,9.348,45.0,11.417,-11.0
2011-02-03,22.958,33.5,10.542,,3.458,15.917,61.0,19.083,-29.0
