date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,78.0,61.5,39.0,17.625,20.125,2.5,,4.708333333333333,18.916666666666668,114.0,68.66666666666667,25.0
2011-01-02,85.0,65.29166666666667,46.0,5.869565217391305,5.956521739130435,0.08695652173913043,,4.75,15.041666666666666,82.0,62.541666666666664,46.0
2011-01-03,65.0,55.5,43.0,8.083333333333334,8.375,0.2916666666666667,,5.291666666666667,19.25,79.0,60.708333333333336,35.0
2011-01-04,71.0,53.125,27.0,6.791666666666667,7.041666666666667,0.25,,8.166666666666666,25.25,72.0,50.5,27.0
2011-01-05,83.0,67.95833333333333,49.0,23.5,33.75,10.25,,4.291666666666667,12.083333333333334,72.0,40.041666666666664,17.0
2011-01-06,91.0,59.0,28.0,22.375,28.208333333333332,5.833333333333333,,5.208333333333333,16.958333333333332,91.0,56.583333333333336,14.0
2011-01-07,79.0,60.333333333333336,36.0,12.125,13.291666666666666,1.1666666666666667,,3.5416666666666665,10.0,85.0,52.5,19.0
2011-01-08,82.0,62.708333333333336,37.0,14.91304347826087,17.217391304347824,2.3043478260869565,,3.4583333333333335,11.958333333333334,74.0,45.166666666666664,18.0
2011-01-09,86.0,66.625,51.0,21.625,28.791666666666668,7.166666666666667,,5.958333333333333,21.583333333333332,108.0,62.041666666666664,34.0
2011-01-10,95.0,66.04166666666667,36.0,30.375,55.833333333333336,25.458333333333332,,7.25,33.666666666666664,110.0,65.91666666666667,18.0
2011-01-11,67.0,56.416666666666664,37.0,16.291666666666668,20.083333333333332,3.7916666666666665,,6.833333333333333,26.458333333333332,101.0,64.20833333333333,19.0
2011-01-12,82.0,57.083333333333336,38.0,17.681818181818183,21.045454545454547,3.3636363636363638,,4.086956521739131,11.08695652173913,68.0,34.083333333333336,-2.0
2011-01-13,82.0,55.791666666666664,40.0,18.125,21.208333333333332,3.0833333333333335,,6.333333333333333,19.5,94.0,63.791666666666664,37.0
2011-01-14,70.0,57.666666666666664,48.0,18.73913043478261,21.391304347826086,2.652173913043478,,8.916666666666666,38.583333333333336,82.0,64.75,50.0
2011-01-15,78.0,62.25,47.0,13.583333333333334,15.166666666666666,1.5833333333333333,,5.083333333333333,17.875,81.0,59.458333333333336,33.0
