date,PM25_mean
2017-05-20,10.833
2017-05-21,18.875
2017-05-22,22.375
2017-05-23,24.292
2017-05-24,19.25
2017-05-25,8.409
2017-05-26,5.667
2017-05-27,3.25
2017-05-28,3.708
2017-05-29,6.609
2017-05-30,20.958
2017-05-31,26.625
2017-06-01,12.042
2017-06-02,1.667
2017-06-03,0.667
2017-06-04,1.5
2017-06-05,3.333
2017-06-06,4.9
2017-06-07,11.217
2017-06-08,5.833
2017-06-09,5.75
2017-06-10,6.917
2017-06-11,3.917
2017-06-12,4.083
2017-06-13,6.042
2017-06-14,8.125
2017-06-15,6.625
2017-06-16,3.75
2017-06-17,3.917
2017-06-18,6.292
2017-06-19,7.5
2017-06-20,10.208
2017-06-21,7.917
2017-06-22,7.957
2017-06-23,13.792
2017-06-24,18.042
2017-06-25,13.958
2017-06-26,5.125
2017-06-27,6.208
2017-06-28,11.316
2017-06-29,18.071
2017-06-30,12.864
2017-07-01,5.292
2017-07-02,12.792
2017-07-03,3.458
2017-07-04,6.667
2017-07-05,5.167
2017-07-06,7.955
2017-07-07,10.583
2017-07-08,13.25
2017-07-09,15.542
2017-07-10,24.417
2017-07-11,21.333
2017-07-12,12.75
2017-07-13,8.5
2017-07-14,13.708
2017-07-15,15.833
2017-07-16,12.042
2017-07-17,8.792
2017-07-18,5.087
2017-07-19,8.333
2017-07-20,16.458
2017-07-21,16.208
2017-07-22,15.042
2017-07-23,9.583
2017-07-24,1.833
2017-07-25,4.0
2017-07-26,5.625
2017-07-27,7.375
2017-07-28,8.391
2017-07-29,1.667
2017-07-30,2.792
2017-07-31,5.958
2017-08-01,4.958
2017-08-02,3.875
2017-08-03,5.13
2017-08-04,4.792
2017-08-05,6.042
2017-08-06,7.333
2017-08-07,8.333
2017-08-08,3.167
2017-08-09,1.292
2017-08-10,2.333
2017-08-11,2.5
2017-08-12,0.542
2017-08-13,2.708
2017-08-14,1.292
2017-08-15,0.833
2017-08-16,2.5
2017-08-17,1.292
2017-08-18,1.292
2017-08-19,1.909
2017-08-20,1.667
2017-08-21,3.667
2017-08-22,7.391
2017-08-23,3.875
2017-08-24,5.958
2017-08-25,3.708
2017-08-26,6.125
2017-08-27,6.583
2017-08-28,8.217
2017-08-29,14.417
2017-08-30,3.208
2017-08-31,2.167
2017-09-01,5.333
2017-09-02,3.417
2017-09-03,4.25
2017-09-04,4.5
2017-09-05,6.667
2017-09-06,5.708
2017-09-07,2.957
2017-09-08,3.583
2017-09-09,6.375
2017-09-10,8.0
2017-09-11,9.75
2017-09-12,2.333
2017-09-13,5.333
2017-09-14,4.75
2017-09-15,2.375
2017-09-16,3.583
2017-09-17,1.833
2017-09-18,2.042
2017-09-19,4.875
2017-09-20,11.417
2017-09-21,4.609
2017-09-22,5.25
2017-09-23,3.25
2017-09-24,6.75
2017-09-25,9.167
2017-09-26,12.417
2017-09-27,13.792
2017-09-28,4.5
2017-09-29,4.043
2017-09-30,4.958
2017-10-01,10.0
2017-10-02,9.708
2017-10-03,4.417
2017-10-04,3.25
2017-10-05,3.261
2017-10-06,4.125
2017-10-07,1.708
2017-10-08,3.5
2017-10-09,7.0
2017-10-10,3.583
2017-10-11,2.417
2017-10-12,2.75
2017-10-13,1.083
2017-10-14,3.708
2017-10-15,4.292
2017-10-16,4.042
2017-10-17,4.792
2017-10-18,6.292
2017-10-19,4.583
2017-10-20,0.913
2017-10-21,1.042
2017-10-22,-0.375
2017-10-23,0.375
2017-10-24,6.292
2017-10-25,6.583
2017-10-26,7.333
2017-10-27,8.25
2017-10-28,8.708
2017-10-29,2.208
2017-10-30,3.304
2017-10-31,5.5
2017-11-01,4.458
2017-11-02,7.417
2017-11-03,10.0
2017-11-04,7.875
2017-11-05,7.583
2017-11-06,7.208
2017-11-07,7.375
2017-11-08,7.292
2017-11-09,6.391
2017-11-10,5.0
2017-11-11,5.333
2017-11-12,3.917
2017-11-13,9.042
2017-11-14,8.417
2017-11-15,5.792
2017-11-16,2.708
2017-11-17,4.833
2017-11-18,3.043
2017-11-19,1.208
2017-11-20,1.583
2017-11-21,3.174
2017-11-22,6.545
2017-11-23,2.542
2017-11-24,1.25
2017-11-25,0.708
2017-11-26,2.083
2017-11-27,5.25
2017-11-28,8.375
2017-11-29,10.958
2017-11-30,5.391
2017-12-01,1.458
2017-12-02,2.125
2017-12-03,3.25
2017-12-04,7.833
2017-12-05,2.875
2017-12-06,2.625
2017-12-07,5.522
2017-12-08,1.625
2017-12-09,2.375
2017-12-10,4.417
2017-12-11,4.174
2017-12-12,0.75
2017-12-13,2.565
2017-12-14,0.875
2017-12-15,2.75
2017-12-16,2.208
2017-12-17,1.75
2017-12-18,2.375
2017-12-19,1.542
2017-12-20,3.917
2017-12-21,3.043
2017-12-22,6.958
2017-12-23,7.5
2017-12-24,12.167
2017-12-25,8.75
2017-12-26,1.667
2017-12-27,1.783
2017-12-28,1.609
2017-12-29,2.083
2017-12-30,1.75
2017-12-31,3.208
2018-01-01,1.083
2018-01-02,2.25
2018-01-03,2.833
2018-01-04,3.833
2018-01-05,5.333
2018-01-06,3.75
2018-01-07,2.125
2018-01-08,1.667
2018-01-09,3.25
2018-01-10,1.87
2018-01-11,5.333
2018-01-12,4.875
2018-01-13,4.417
2018-01-14,5.292
2018-01-15,5.292
2018-01-16,6.792
2018-01-17,2.125
2018-01-18,4.542
2018-01-19,4.917
2018-01-20,3.667
2018-01-21,3.667
2018-01-22,4.75
2018-01-23,3.958
2018-01-24,2.87
2018-01-25,4.542
2018-01-26,3.167
2018-01-27,2.333
2018-01-28,4.957
2018-01-29,8.542
2018-01-30,10.9
2018-01-31,8.375
2018-02-01,4.0
2018-02-02,8.292
2018-02-03,11.333
2018-02-04,9.208
2018-02-05,10.826
2018-02-06,9.727
2018-02-07,5.958
2018-02-08,7.875
2018-02-09,7.167
2018-02-10,3.708
2018-02-11,7.958
2018-02-12,8.083
2018-02-13,8.583
2018-02-14,5.5
2018-02-15,5.208
2018-02-16,10.042
2018-02-17,10.042
2018-02-18,6.417
2018-02-19,8.167
2018-02-20,8.542
2018-02-21,5.0
2018-02-22,20.0
2018-02-23,16.167
2018-02-24,13.625
2018-02-25,11.792
2018-02-26,14.792
2018-02-27,18.348
2018-02-28,15.625
2018-03-01,15.083
2018-03-02,32.0
2018-03-03,19.13
2018-03-04,15.25
2018-03-05,15.176
2018-03-06,13.583
2018-03-07,9.583
2018-03-08,6.478
2018-03-09,6.375
2018-03-10,10.391
2018-03-11,4.5
2018-03-12,8.375
2018-03-13,6.875
2018-03-14,7.708
2018-03-15,6.792
2018-03-16,8.167
2018-03-17,9.583
2018-03-18,9.739
2018-03-19,8.87
2018-03-20,12.583
2018-03-21,10.083
2018-03-22,12.25
2018-03-23,5.083
2018-03-24,7.042
2018-03-25,7.5
2018-03-26,10.333
2018-03-27,11.792
2018-03-28,5.1
2018-03-29,8.75
2018-03-30,8.208
2018-03-31,3.417
2018-04-01,10.542
2018-04-02,18.208
2018-04-03,23.667
2018-04-04,17.792
2018-04-05,10.478
2018-04-06,10.167
2018-04-07,7.667
2018-04-08,5.375
2018-04-09,7.583
2018-04-10,12.083
2018-04-11,11.75
2018-04-12,10.125
2018-04-13,6.75
2018-04-14,5.25
2018-04-15,1.5
2018-04-16,1.875
2018-04-17,4.5
2018-04-18,5.625
2018-04-19,7.087
2018-04-20,18.958
2018-04-21,19.208
2018-04-22,20.75
2018-04-23,12.625
2018-04-24,3.167
2018-04-25,0.75
2018-04-26,7.583
2018-04-27,12.478
2018-04-28,19.625
2018-04-29,17.125
2018-04-30,15.042
2018-05-01,22.042
2018-05-02,27.458
2018-05-03,5.25
2018-05-04,7.083
2018-05-05,10.625
2018-05-06,12.292
2018-05-07,10.522
2018-05-08,4.5
2018-05-09,3.708
2018-05-10,3.333
2018-05-11,8.292
2018-05-12,15.75
2018-05-13,14.125
2018-05-14,6.417
2018-05-15,10.708
2018-05-16,15.958
2018-05-17,9.917
2018-05-18,2.261
2018-05-19,0.792
2018-05-20,3.292
2018-05-21,5.708
2018-05-22,7.75
2018-05-23,7.708
2018-05-24,3.739
2018-05-25,18.958
2018-05-26,15.208
2018-05-27,8.958
2018-05-28,13.261
2018-05-29,21.083
2018-05-30,18.417
2018-05-31,7.25
2018-06-01,5.083
2018-06-02,8.375
2018-06-03,12.083
2018-06-04,11.042
2018-06-05,7.556
2018-06-06,13.25
2018-06-07,15.652
2018-06-08,14.75
2018-06-09,12.875
2018-06-10,2.625
2018-06-11,0.375
2018-06-12,2.542
2018-06-13,2.25
2018-06-14,2.417
2018-06-15,2.5
2018-06-16,3.583
2018-06-17,4.208
2018-06-18,8.167
2018-06-19,5.375
2018-06-20,4.75
2018-06-21,6.13
2018-06-22,4.458
2018-06-23,11.167
2018-06-24,11.333
2018-06-25,7.958
2018-06-26,11.5
2018-06-27,12.125
2018-06-28,5.042
2018-06-29,10.217
2018-06-30,7.333
2018-07-01,10.958
2018-07-02,11.0
2018-07-03,13.375
2018-07-04,15.167
2018-07-05,2.375
2018-07-06,1.609
2018-07-07,1.417
2018-07-08,7.042
2018-07-09,10.042
2018-07-10,10.583
2018-07-11,5.833
2018-07-12,6.0
2018-07-13,7.333
2018-07-14,11.6
2018-07-15,18.353
2018-07-16,8.292
2018-07-17,12.333
2018-07-18,26.958
2018-07-19,29.522
2018-07-20,29.583
2018-07-21,22.375
2018-07-22,12.958
2018-07-23,11.208
2018-07-24,11.042
2018-07-25,14.0
2018-07-26,9.375
2018-07-27,8.083
2018-07-28,4.292
2018-07-29,5.417
2018-07-30,6.87
2018-07-31,10.25
2018-08-01,5.833
2018-08-02,7.565
2018-08-03,9.217
2018-08-04,9.917
2018-08-05,11.125
2018-08-06,0.957
2018-08-07,0.75
2018-08-08,1.042
2018-08-09,1.75
2018-08-10,3.583
2018-08-11,3.375
2018-08-12,7.958
2018-08-13,9.375
2018-08-14,11.375
2018-08-15,6.875
2018-08-16,1.917
2018-08-17,2.833
2018-08-18,4.083
2018-08-19,6.542
2018-08-20,7.043
2018-08-21,10.333
2018-08-22,9.958
2018-08-23,9.875
2018-08-24,6.042
2018-08-25,6.625
2018-08-26,5.333
2018-08-27,3.917
2018-08-28,1.292
2018-08-29,0.391
2018-08-30,3.875
2018-08-31,2.792
2018-09-01,2.0
2018-09-02,3.708
2018-09-03,5.042
2018-09-04,6.917
2018-09-05,3.292
2018-09-06,8.913
2018-09-07,9.333
2018-09-08,3.667
2018-09-09,0.792
2018-09-10,0.458
2018-09-11,1.792
2018-09-12,4.125
2018-09-13,5.292
2018-09-14,6.042
2018-09-15,7.625
2018-09-16,5.0
2018-09-17,2.708
2018-09-18,2.958
2018-09-19,3.375
2018-09-20,5.0
2018-09-21,3.083
