date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,210.375,3.0416666666666665,10.166666666666666,6.166666666666667,11.833333333333334,5.666666666666667,9.25,83.0,22.083333333333332,-14.0,220.54166666666666
2011-01-02,205.75,2.1666666666666665,8.458333333333334,3.7916666666666665,7.958333333333333,4.166666666666667,3.6666666666666665,91.0,33.208333333333336,1.0,214.20833333333334
2011-01-03,207.20833333333334,2.2916666666666665,9.25,3.9166666666666665,8.791666666666666,4.875,1.625,73.0,31.333333333333332,-2.0,216.45833333333334
2011-01-04,207.25,2.625,10.083333333333334,6.916666666666667,16.875,9.958333333333334,3.4166666666666665,70.0,16.666666666666668,-22.0,217.33333333333334
2011-01-05,209.16666666666666,2.652173913043478,8.0,11.043478260869565,30.434782608695652,19.391304347826086,3.9166666666666665,57.0,12.791666666666666,-18.0,217.16666666666666
2011-01-06,,2.875,,18.958333333333332,59.75,40.791666666666664,6.333333333333333,94.0,31.458333333333332,-32.0,
2011-01-07,,2.4583333333333335,,12.791666666666666,37.916666666666664,25.125,2.5,68.0,24.0,-4.0,
2011-01-08,,2.5416666666666665,,7.416666666666667,18.583333333333332,11.166666666666666,2.75,60.0,15.0,-33.0,
2011-01-09,,3.3333333333333335,,12.583333333333334,31.208333333333332,18.625,9.375,82.0,20.541666666666668,-29.0,
2011-01-10,192.85714285714286,3.739130434782609,31.0,20.166666666666668,58.333333333333336,38.166666666666664,12.541666666666666,98.0,36.833333333333336,-7.0,223.85714285714286
2011-01-11,191.58333333333334,2.75,13.708333333333334,14.875,43.5,28.625,12.041666666666666,73.0,14.625,-14.0,205.29166666666666
2011-01-12,189.91666666666666,2.5,9.875,14.625,42.166666666666664,27.541666666666668,4.291666666666667,48.0,3.4166666666666665,-30.0,199.79166666666666
2011-01-13,187.79166666666666,2.4583333333333335,10.125,13.833333333333334,38.875,25.041666666666668,3.2083333333333335,108.0,22.708333333333332,-44.0,197.91666666666666
2011-01-14,192.0,3.0,10.166666666666666,8.625,24.916666666666668,16.291666666666668,4.458333333333333,50.0,16.958333333333332,-5.0,202.16666666666666
2011-01-15,191.41666666666666,2.75,9.583333333333334,6.0,14.125,8.125,4.791666666666667,84.0,22.166666666666668,-28.0,201.0
2011-01-16,191.58333333333334,3.75,13.25,14.083333333333334,43.0,28.916666666666668,12.041666666666666,57.0,25.291666666666668,-3.0,204.83333333333334
2011-01-17,188.75,2.5416666666666665,8.958333333333334,15.583333333333334,45.75,30.166666666666668,9.25,73.0,27.541666666666668,-9.0,197.70833333333334
2011-01-18,190.95833333333334,3.9166666666666665,19.541666666666668,24.333333333333332,68.16666666666667,43.833333333333336,16.333333333333332,78.0,14.791666666666666,-37.0,210.5
2011-01-19,185.7,3.652173913043478,18.4,25.130434782608695,70.69565217391305,45.56521739130435,16.869565217391305,88.0,42.125,-4.0,204.1
2011-01-20,183.45,4.583333333333333,17.0,29.458333333333332,98.875,69.41666666666667,16.75,18.0,11.375,4.0,200.45
2011-01-21,189.20833333333334,3.6666666666666665,11.833333333333334,19.458333333333332,57.458333333333336,38.0,14.125,33.0,20.25,9.0,201.04166666666666
2011-01-22,186.95833333333334,2.9583333333333335,10.25,10.625,26.166666666666668,15.541666666666666,4.875,91.0,49.958333333333336,23.0,197.20833333333334
