date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,194.958,3.75,12.625,8.458,11.75,3.292,5.792,79.0,-1.833,-59.0,207.583
2011-01-02,191.375,2.958,11.375,6.958,10.333,3.375,8.75,91.0,15.292,-47.0,202.75
2011-01-03,188.167,2.708,9.083,7.75,11.458,3.708,4.417,80.0,21.083,-26.0,197.25
2011-01-04,191.5,3.565,11.409,11.043,19.043,8.0,5.167,73.0,5.25,-60.0,202.909
2011-01-05,192.458,2.75,9.583,13.25,23.833,10.583,4.5,64.0,13.958,-36.0,202.042
2011-01-06,193.958,3.542,11.625,22.5,48.542,26.042,7.375,96.0,31.167,-28.0,205.583
2011-01-07,197.583,3.292,10.917,15.0,37.542,22.542,7.25,68.0,8.167,-45.0,208.5
2011-01-08,196.125,3.083,10.208,9.542,16.75,7.208,5.167,80.0,11.708,-28.0,206.333
2011-01-09,197.208,4.167,15.25,16.5,31.125,14.625,9.792,76.0,-1.042,-61.0,212.458
2011-01-10,198.125,4.667,17.583,21.958,54.125,32.167,13.375,87.0,11.5,-51.0,215.708
2011-01-11,196.25,3.875,14.417,15.75,43.333,27.583,12.417,77.0,7.583,-40.0,210.667
2011-01-12,194.25,3.0,10.333,15.167,29.917,14.75,4.917,57.0,-7.917,-64.0,204.583
2011-01-13,194.625,3.583,13.625,18.0,41.458,23.458,4.458,113.0,12.542,-86.0,208.25
2011-01-14,196.542,3.667,10.75,13.417,26.25,12.833,4.25,66.0,8.167,-41.0,207.292
2011-01-15,195.875,3.667,12.583,12.417,20.833,8.417,6.042,67.0,8.708,-50.0,208.458
2011-01-16,196.045,4.0,14.227,23.571,50.952,27.381,10.217,50.0,11.5,-30.0,210.273
2011-01-17,191.417,3.208,13.5,18.167,40.625,22.458,7.125,70.0,12.25,-48.0,204.917
2011-01-18,193.875,3.833,15.958,22.917,56.0,33.083,13.667,70.0,-8.375,-72.0,209.833
2011-01-19,193.25,3.542,16.417,21.375,44.208,22.833,11.292,86.0,20.167,-61.0,209.667
2011-01-20,192.5,4.125,12.917,22.583,48.25,25.667,12.792,11.0,3.917,-2.0,205.417
2011-01-21,190.917,3.208,11.542,16.0,32.542,16.542,3.292,31.0,14.875,1.0,202.458
2011-01-22,189.458,3.083,11.625,11.292,22.0,10.708,4.875,92.0,43.208,6.0,201.083
2011-01-23,190.542,3.458,10.833,15.208,33.875,18.667,4.391,92.0,41.292,0.0,201.375
2011-01-24,190.708,3.208,10.833,19.0,38.875,19.875,5.083,50.0,4.833,-33.0,201.542
2011-01-25,192.417,3.792,13.875,20.542,54.0,33.458,8.625,76.0,1.583,-58.0,206.292
2011-01-26,194.333,3.625,11.708,17.125,37.292,20.167,6.417,37.0,-14.375,-62.0,206.042
2011-01-27,195.375,4.0,13.375,16.125,39.333,23.208,4.708,45.0,-20.333,-81.0,208.75
2011-01-28,194.583,3.417,12.0,14.875,28.958,14.083,5.708,42.0,-12.25,-67.0,206.583
2011-01-29,192.625,2.75,10.792,12.875,21.375,8.5,5.167,35.0,-12.333,-61.0,203.417
2011-01-30,192.417,3.042,9.792,16.042,33.25,17.208,3.208,49.0,-10.5,-58.0,202.208
2011-01-31,194.0,3.292,12.708,17.208,41.917,24.708,6.083,70.0,-7.042,-70.0,206.708
2011-02-01,192.667,3.542,12.792,18.458,42.0,23.542,3.417,84.0,-8.458,-74.0,205.458
2011-02-02,190.958,3.167,8.958,16.417,32.458,16.042,3.333,23.0,-14.583,-56.0,199.917
2011-02-03,193.318,3.478,11.455,20.043,39.522,19.478,4.833,58.0,-10.25,-67.0,204.773
2011-02-04,194.208,3.417,14.75,16.75,35.25,18.5,5.958,90.0,1.458,-85.0,208.958
2011-02-05,194.5,3.667,13.458,14.208,23.583,9.375,9.708,84.0,13.708,-54.0,207.958
2011-02-06,196.833,4.667,16.958,18.292,42.25,23.958,28.125,57.0,8.5,-53.0,213.792
2011-02-07,190.292,5.0,16.042,19.708,52.875,33.167,8.708,110.0,57.208,25.0,206.333
2011-02-08,187.542,2.375,9.042,10.125,21.042,10.917,5.167,82.0,39.458,-20.0,196.583
2011-02-09,189.667,2.417,8.917,17.25,37.292,20.042,4.292,65.0,9.083,-37.0,198.583
2011-02-10,191.0,2.875,11.708,17.833,41.458,23.625,6.417,91.0,21.667,-47.0,202.708
2011-02-11,191.417,2.833,11.333,13.167,25.25,12.083,6.208,73.0,5.5,-48.0,202.75
2011-02-12,192.75,2.542,9.542,8.667,14.958,6.292,6.542,64.0,4.292,-54.0,202.292
2011-02-13,192.417,3.292,12.625,19.0,34.625,15.625,11.208,53.0,13.958,-42.0,205.042
2011-02-14,193.667,4.792,17.458,25.083,62.083,37.0,22.042,60.0,11.5,-29.0,211.125
2011-02-15,191.333,3.833,13.208,15.708,39.333,23.625,10.708,115.0,38.375,-5.0,204.542
2011-02-16,190.417,2.75,11.917,20.0,34.167,14.167,10.083,59.0,12.125,-20.0,202.333
2011-02-17,193.652,3.391,14.435,15.304,38.304,23.0,10.917,53.0,0.833,-59.0,208.087
2011-02-18,194.042,2.583,8.542,9.833,18.375,8.542,5.042,25.0,-8.708,-50.0,202.583
2011-02-19,196.417,2.917,10.125,10.083,17.5,7.417,6.083,65.0,-9.458,-90.0,206.542
2011-02-20,198.583,3.875,15.083,20.458,40.292,19.833,6.625,89.0,3.917,-76.0,213.667
2011-02-21,194.958,3.333,15.208,17.667,36.417,18.75,5.958,119.0,32.625,-59.0,210.167
2011-02-22,193.208,3.542,12.208,19.583,32.042,12.458,22.208,104.0,57.583,-4.0,205.417
2011-02-23,191.167,4.042,14.292,20.083,42.125,22.042,20.333,128.0,71.208,32.0,205.458
2011-02-24,193.292,4.25,11.625,17.542,28.083,10.542,21.875,119.0,78.667,41.0,204.917
2011-02-25,191.542,3.708,10.333,14.75,23.917,9.167,9.625,75.0,46.417,13.0,201.875
2011-02-26,193.583,2.792,9.0,9.667,15.083,5.417,6.333,76.0,24.042,-13.0,202.583
2011-02-27,194.167,2.625,8.292,13.292,24.75,11.458,7.625,62.0,12.708,-27.0,202.458
2011-02-28,197.0,3.292,11.417,20.417,39.458,19.042,10.125,61.0,5.833,-42.0,208.417
2011-03-01,195.391,4.13,16.087,19.261,44.696,25.435,8.091,124.0,51.75,-8.0,211.478
2011-03-02,195.545,4.174,17.364,18.739,46.348,27.609,32.222,54.0,35.458,6.0,212.909
2011-03-03,191.792,3.375,11.667,10.792,18.75,7.958,13.75,104.0,53.125,16.0,203.458
2011-03-04,194.75,3.125,10.208,9.083,12.125,3.042,19.208,59.0,33.792,6.0,204.958
2011-03-05,194.167,4.375,15.125,21.083,52.667,31.583,11.458,65.0,29.333,1.0,209.292
2011-03-06,189.583,4.167,19.792,20.542,49.625,29.083,16.958,178.0,102.667,35.0,209.375
2011-03-07,189.5,4.25,13.042,16.25,29.625,13.375,16.0,138.0,101.75,69.0,202.542
2011-03-08,191.042,4.417,13.375,19.5,32.625,13.125,22.5,101.0,84.875,69.0,204.417
2011-03-09,192.583,3.875,11.833,16.833,31.125,14.292,16.958,72.0,52.417,26.0,204.417
2011-03-10,190.583,3.625,10.125,15.375,27.667,12.292,2.958,60.0,41.25,27.0,200.708
2011-03-11,190.917,3.167,10.292,10.417,15.25,4.833,5.75,66.0,41.667,12.0,201.208
2011-03-12,189.375,2.583,8.417,15.542,27.25,11.708,5.667,78.0,28.208,-23.0,197.792
2011-03-13,192.783,2.696,9.957,17.087,32.391,15.304,2.583,71.0,22.792,-22.0,202.739
2011-03-14,194.167,3.0,15.708,18.417,27.792,9.375,9.583,98.0,31.125,-35.0,209.875
2011-03-15,194.667,2.875,12.167,13.583,28.083,14.5,11.25,104.0,31.958,-30.0,206.833
2011-03-16,196.375,3.5,14.583,22.708,39.5,16.792,15.5,99.0,34.833,-37.0,210.958
2011-03-17,195.375,4.375,17.958,17.542,31.917,14.375,25.333,109.0,53.75,3.0,213.333
2011-03-18,195.708,4.625,19.375,12.5,29.292,16.792,20.458,124.0,71.958,33.0,215.083
2011-03-19,189.042,2.292,8.208,9.667,14.542,4.875,5.625,96.0,53.083,-21.0,197.25
2011-03-20,191.042,2.25,8.75,13.583,18.875,5.292,6.5,118.0,40.083,-46.0,199.792
2011-03-21,190.083,2.25,8.333,13.5,18.0,4.5,6.625,102.0,44.167,-14.0,198.417
2011-03-22,194.75,3.542,15.875,24.792,41.375,16.583,13.833,145.0,47.417,-47.0,210.625
2011-03-23,192.125,3.958,13.583,21.792,38.5,16.708,25.083,96.0,58.542,26.0,205.708
2011-03-24,190.708,3.75,13.042,14.542,25.875,11.333,9.458,143.0,72.708,11.0,203.75
2011-03-25,190.458,2.5,9.75,11.167,14.833,3.667,2.625,125.0,49.625,-10.0,200.208
2011-03-26,193.727,2.783,9.545,15.783,26.609,10.826,8.417,84.0,30.792,-35.0,203.273
2011-03-27,196.083,2.913,13.125,21.042,39.5,18.458,10.0,142.0,56.5,-38.0,209.208
2011-03-28,193.833,3.208,14.0,16.875,32.875,16.0,18.917,142.0,59.917,-15.0,207.833
2011-03-29,192.208,2.833,12.333,21.083,34.542,13.458,14.542,177.0,93.667,0.0,204.542
2011-03-30,193.833,3.739,20.333,24.958,44.208,19.25,19.625,180.0,101.75,34.0,214.167
2011-03-31,189.833,2.565,13.333,15.25,24.5,9.25,14.875,162.0,85.208,37.0,203.167
2011-04-01,,3.348,,22.304,35.348,13.043,12.696,,,,
2011-04-02,,4.583,,15.333,26.833,11.5,27.583,,,,
2011-04-03,,2.292,,7.375,10.583,3.208,10.083,,,,
2011-04-04,,2.333,,14.0,22.583,8.583,6.792,,,,
2011-04-05,,2.75,,22.75,47.188,24.438,6.062,,,,
2011-04-06,,3.273,,27.818,38.182,10.364,14.0,,,,
2011-04-07,,3.667,,28.762,42.429,13.667,22.238,,,,
2011-04-08,,3.042,,22.875,37.75,14.875,13.5,,,,
2011-04-09,,2.958,,16.5,27.0,10.5,11.208,,,,
2011-04-10,,3.208,,9.0,12.292,3.292,14.292,,,,
2011-04-11,,3.25,,15.083,25.958,10.875,21.0,,,,
2011-04-12,,2.333,,13.833,21.708,7.875,19.5,,,,
2011-04-13,,3.087,,21.522,34.826,13.304,19.0,,,,
2011-04-14,,3.5,,25.375,37.792,12.417,21.583,,,,
2011-04-15,,3.292,,22.0,30.208,8.208,21.042,,,,
2011-04-16,,2.958,,12.5,17.667,5.167,12.958,,,,
2011-04-17,,2.417,,8.208,10.333,2.125,9.833,,,,
2011-04-18,,3.083,,17.667,25.5,7.833,21.25,,,,
2011-04-19,,2.875,,18.417,30.25,11.833,11.167,,,,
2011-04-20,,2.625,,11.417,21.75,10.333,10.913,,,,
2011-04-21,,3.0,,18.25,29.875,11.625,17.417,,,,
2011-04-22,,3.696,,17.167,28.958,11.792,41.542,,,,
2011-04-23,,3.208,,14.208,23.542,9.333,31.375,,,,
2011-04-24,,2.458,,8.75,12.083,3.333,6.833,,,,
2011-04-25,,2.917,,17.458,28.833,11.375,11.292,,,,
2011-04-26,,3.091,,21.318,39.818,18.5,10.591,,,,
2011-04-27,,3.333,,17.125,32.625,15.5,21.625,,,,
2011-04-28,,2.75,,12.208,19.333,7.125,7.833,,,,
2011-04-29,,2.583,,10.917,15.875,4.958,12.458,,,,
2011-04-30,,3.375,,13.958,20.75,6.792,13.417,,,,
2011-05-01,,3.333,,11.5,15.958,4.458,22.417,,,,
