date,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,,0.4583333333333333,,28.0,-44.0,-101.0
2011-01-02,,0.20833333333333334,,15.0,-26.708333333333332,-62.0
2011-01-03,,0.08333333333333333,,-3.0,-44.958333333333336,-98.0
2011-01-04,,1.0416666666666667,,-2.0,-46.166666666666664,-87.0
2011-01-05,,0.2916666666666667,,-20.0,-46.208333333333336,-84.0
2011-01-06,,0.22727272727272727,,34.0,-27.0,-99.0
2011-01-07,,0.16666666666666666,,-9.0,-36.958333333333336,-59.0
2011-01-08,,0.041666666666666664,,-5.0,-50.041666666666664,-90.0
2011-01-09,,0.9583333333333334,,40.0,-42.416666666666664,-112.0
2011-01-10,,0.25,,44.0,-20.708333333333332,-80.0
2011-01-11,,0.625,,7.0,-47.083333333333336,-76.0
2011-01-12,,0.16666666666666666,,-12.0,-66.25,-120.0
2011-01-13,,0.7916666666666666,,34.0,-41.291666666666664,-127.0
2011-01-14,,1.0833333333333333,,-12.0,-42.708333333333336,-61.0
2011-01-15,,0.9166666666666666,,10.0,-31.333333333333332,-78.0
2011-01-16,,0.4166666666666667,,0.0,-43.458333333333336,-91.0
2011-01-17,,0.22727272727272727,,28.0,-44.333333333333336,-103.0
2011-01-18,,0.375,,30.0,-53.958333333333336,-126.0
2011-01-19,,0.6666666666666666,,47.0,-22.916666666666668,-93.0
2011-01-20,,0.875,,-15.0,-25.291666666666668,-33.0
2011-01-21,,0.16666666666666666,,-6.0,-17.666666666666668,-36.0
2011-01-22,,0.4166666666666667,,65.0,4.958333333333333,-42.0
2011-01-23,,0.16666666666666666,,21.0,-20.5,-54.0
2011-01-24,,0.2916666666666667,,-15.0,-57.458333333333336,-106.0
2011-01-25,,0.6666666666666666,,-14.0,-59.25,-119.0
2011-01-26,,0.75,,-37.0,-72.04166666666667,-121.0
2011-01-27,,1.25,,-33.0,-67.16666666666667,-126.0
2011-01-28,,1.2083333333333333,,-47.0,-62.5,-75.0
2011-01-29,,0.875,,-47.0,-65.83333333333333,-80.0
2011-01-30,,0.5833333333333334,,-26.0,-62.166666666666664,-90.0
2011-01-31,,0.375,,-12.0,-79.41666666666667,-135.0
2011-02-01,,1.4782608695652173,,-7.0,-55.333333333333336,-142.0
2011-02-02,,1.0833333333333333,,-60.0,-82.33333333333333,-108.0
2011-02-03,,0.9583333333333334,,-16.0,-80.04166666666667,-136.0
2011-02-04,,1.2916666666666667,,3.0,-51.375,-144.0
2011-02-05,,1.25,,19.0,-40.333333333333336,-104.0
2011-02-06,,1.5416666666666667,,9.0,-37.125,-112.0
2011-02-07,,0.75,,77.0,28.333333333333332,0.0
2011-02-08,,1.0,,-4.0,-34.291666666666664,-69.0
2011-02-09,,0.8333333333333334,,-15.0,-58.125,-93.0
2011-02-10,,0.8333333333333334,,16.0,-44.0,-108.0
2011-02-11,,0.9583333333333334,,-8.0,-45.708333333333336,-82.0
2011-02-12,,1.0833333333333333,,-26.0,-53.291666666666664,-105.0
2011-02-13,,0.7727272727272727,,19.0,-38.125,-111.0
2011-02-14,,1.0,,17.0,-24.791666666666668,-71.0
2011-02-15,,1.5,,24.0,-22.333333333333332,-58.0
2011-02-16,,0.7083333333333334,,15.0,-42.166666666666664,-90.0
2011-02-17,,0.9583333333333334,,-11.0,-53.291666666666664,-92.0
2011-02-18,,1.0833333333333333,,-49.0,-79.04166666666667,-130.0
2011-02-19,,0.9583333333333334,,3.0,-74.375,-142.0
2011-02-20,,1.0,,39.0,-45.291666666666664,-123.0
2011-02-21,,1.0,,64.0,-14.791666666666666,-102.0
2011-02-22,,1.9583333333333333,,49.0,-0.25,-53.0
2011-02-23,,1.3333333333333333,,98.0,25.75,-14.0
2011-02-24,,3.125,,75.0,21.625,0.0
2011-02-25,,1.2916666666666667,,23.0,-1.5416666666666667,-42.0
2011-02-26,,0.8333333333333334,,-12.0,-46.041666666666664,-73.0
2011-02-27,,1.0,,-28.0,-68.29166666666667,-121.0
2011-02-28,,0.782608695652174,,15.0,-60.25,-152.0
2011-03-01,,0.3333333333333333,,84.0,11.333333333333334,-60.0
2011-03-02,,0.0,,20.0,-3.2083333333333335,-30.0
2011-03-03,,0.4583333333333333,,36.0,2.3333333333333335,-43.0
2011-03-04,,0.16666666666666666,,14.0,-25.208333333333332,-79.0
2011-03-05,,0.041666666666666664,,28.0,-1.4166666666666667,-21.0
2011-03-06,,0.041666666666666664,,143.0,77.83333333333333,16.0
2011-03-07,,0.2916666666666667,,93.0,49.416666666666664,6.0
2011-03-08,,0.041666666666666664,,66.0,28.125,8.0
2011-03-09,,0.0,,18.0,7.208333333333333,-2.0
2011-03-10,,0.0,,0.0,-2.625,-7.0
2011-03-11,,0.8333333333333334,,,,
2011-03-12,,0.08695652173913043,,-33.0,-42.666666666666664,-54.0
2011-03-13,,0.5833333333333334,,0.0,-46.791666666666664,-101.0
2011-03-14,,0.9166666666666666,,41.0,-44.25,-129.0
2011-03-15,,1.0833333333333333,,4.0,-32.708333333333336,-74.0
2011-03-16,,0.9166666666666666,,54.0,-24.708333333333332,-112.0
2011-03-17,,0.875,,34.0,3.75,-31.0
2011-03-18,,0.5,,87.0,37.625,7.0
2011-03-19,,0.45,,17.0,-21.666666666666668,-71.0
2011-03-20,,0.625,,54.0,-17.875,-104.0
2011-03-21,,0.875,,19.0,-24.125,-62.0
2011-03-22,,0.7083333333333334,,112.0,22.666666666666668,-76.0
2011-03-23,,0.6666666666666666,,29.0,6.958333333333333,-6.0
2011-03-24,,0.5,,76.0,25.166666666666668,-7.0
2011-03-25,,0.9166666666666666,,28.0,-4.208333333333333,-44.0
2011-03-26,,0.625,,11.0,-25.791666666666668,-62.0
2011-03-27,,0.6666666666666666,,83.0,2.75,-73.0
2011-03-28,,1.4166666666666667,,64.0,5.541666666666667,-44.0
2011-03-29,,0.8260869565217391,,139.0,46.125,-41.0
2011-03-30,,1.2916666666666667,,162.0,83.83333333333333,-2.0
2011-03-31,,0.6666666666666666,,90.0,38.208333333333336,-15.0
2011-12-09,,0.25,,7.0,-22.75,-51.0
2011-12-10,,0.4166666666666667,,40.0,-11.166666666666666,-73.0
2011-12-11,,0.08333333333333333,,61.0,5.166666666666667,-36.0
2011-12-12,,0.16666666666666666,,87.0,7.958333333333333,-51.0
2011-12-13,,0.3333333333333333,,37.0,2.75,-39.0
2011-12-14,,0.625,,62.0,-14.708333333333334,-66.0
2011-12-15,,0.6666666666666666,,92.0,16.125,-39.0
2011-12-16,,0.7916666666666666,,32.0,-11.958333333333334,-48.0
2011-12-17,,0.5416666666666666,,1.0,-37.583333333333336,-89.0
2011-12-18,,0.08333333333333333,,28.0,-24.625,-90.0
2011-12-19,,0.21739130434782608,,25.0,-21.291666666666668,-73.0
2011-12-20,,0.375,,2.0,-32.25,-83.0
2011-12-21,,0.4583333333333333,,9.0,-48.041666666666664,-96.0
2011-12-22,,1.75,,48.0,-10.541666666666666,-79.0
2011-12-23,,0.25,,-15.0,-38.541666666666664,-87.0
2011-12-24,,0.5833333333333334,,19.0,-33.583333333333336,-96.0
2011-12-25,,0.5833333333333334,,-20.0,-46.166666666666664,-87.0
2011-12-26,,0.375,,-26.0,-47.583333333333336,-62.0
2011-12-27,,0.25,,-16.0,-42.541666666666664,-69.0
2011-12-28,,0.20833333333333334,,5.0,-44.625,-98.0
2011-12-29,,1.125,,53.0,-35.625,-116.0
2011-12-30,,0.7916666666666666,,-14.0,-31.791666666666668,-53.0
2011-12-31,,0.75,,15.0,-41.041666666666664,-99.0
2012-01-01,,0.4166666666666667,,11.0,-37.083333333333336,-98.0
2012-01-02,,2.125,,44.0,8.25,-20.0
2012-01-03,,0.9166666666666666,,-15.0,-50.25,-75.0
2012-01-04,,0.20833333333333334,,-51.0,-68.625,-91.0
2012-01-05,,0.3333333333333333,,-13.0,-87.45833333333333,-146.0
