date,PM25_mean,SO2_mean,SPM_mean
2013-01-01,12.833,1.292,15.833
2013-01-02,5.167,0.792,9.5
2013-01-03,10.625,1.083,13.458
2013-01-04,5.458,0.75,7.5
2013-01-05,4.042,0.583,7.0
2013-01-06,5.542,1.292,7.833
2013-01-07,9.333,0.75,11.417
2013-01-08,13.542,0.875,22.208
2013-01-09,3.542,0.0,8.417
2013-01-10,4.958,0.25,8.708
2013-01-11,5.375,0.042,7.833
2013-01-12,10.833,0.125,15.5
2013-01-13,3.792,0.25,6.75
2013-01-14,5.375,0.458,6.833
2013-01-15,12.833,0.125,16.708
2013-01-16,6.75,0.125,11.0
2013-01-17,7.909,0.083,6.667
2013-01-18,11.958,0.542,14.583
2013-01-19,3.667,0.042,8.833
2013-01-20,9.375,0.208,14.125
2013-01-21,11.583,0.5,15.417
2013-01-22,12.625,0.708,17.875
2013-01-23,7.333,0.5,11.167
2013-01-24,12.75,0.391,18.739
2013-01-25,19.583,0.417,27.25
2013-01-26,6.25,0.083,11.958
2013-01-27,7.417,0.167,9.5
2013-01-28,9.833,0.458,17.167
2013-01-29,6.583,0.167,10.542
2013-01-30,18.458,0.333,28.875
2013-01-31,4.75,0.261,10.043
2013-02-01,15.542,0.792,21.458
2013-02-02,21.292,0.792,34.583
2013-02-03,19.083,0.458,28.625
2013-02-04,9.708,0.25,18.833
2013-02-05,4.333,0.792,6.125
2013-02-06,5.875,0.292,6.458
2013-02-07,7.773,0.455,9.292
2013-02-08,8.125,0.0,13.917
2013-02-09,3.125,0.083,6.042
2013-02-10,9.792,0.458,12.208
2013-02-11,5.458,0.167,7.375
2013-02-12,10.0,0.292,14.917
2013-02-13,3.167,0.042,6.875
2013-02-14,9.917,0.0,18.708
2013-02-15,2.143,0.136,9.091
2013-02-16,10.875,0.542,16.958
2013-02-17,18.625,1.0,22.792
2013-02-18,8.792,0.375,9.417
2013-02-19,8.917,0.333,13.333
2013-02-20,18.375,0.417,23.625
2013-02-21,9.833,0.304,14.0
2013-02-22,6.5,0.458,10.125
2013-02-23,7.375,0.292,9.333
2013-02-24,13.5,0.292,19.375
2013-02-25,21.042,0.625,28.958
2013-02-26,35.125,0.667,43.542
2013-02-27,42.667,0.792,62.125
2013-02-28,17.875,0.417,30.0
2013-03-01,28.75,0.125,49.583
2013-03-02,11.083,0.0,24.75
2013-03-03,4.625,0.083,13.333
2013-03-04,15.417,0.333,21.458
2013-03-05,11.625,0.0,27.792
2013-03-06,6.458,0.042,9.083
2013-03-07,12.304,0.545,10.75
2013-03-08,7.75,0.167,9.792
2013-03-09,12.625,0.25,16.458
2013-03-10,6.333,0.0,9.167
2013-03-11,4.417,0.167,8.125
2013-03-12,36.833,1.25,47.833
2013-03-13,43.167,1.042,66.917
2013-03-14,3.167,0.348,11.0
2013-03-15,6.417,0.5,10.667
2013-03-16,15.667,0.75,22.0
2013-03-17,27.125,1.0,38.417
2013-03-18,23.542,0.917,42.792
2013-03-19,15.25,0.75,24.042
2013-03-20,12.75,0.652,25.739
2013-03-21,0.625,1.0,5.167
2013-03-22,5.958,1.083,7.708
2013-03-23,11.292,1.0,13.25
2013-03-24,17.333,1.458,22.917
2013-03-25,17.417,1.708,25.667
2013-03-26,23.792,1.375,35.583
2013-03-27,23.958,1.0,46.125
2013-03-28,23.458,1.75,33.25
2013-03-29,24.625,1.542,34.125
2013-03-30,15.375,1.0,32.708
2013-03-31,7.375,1.125,14.458
2013-08-07,,2.333,46.0
2013-08-08,,3.25,49.792
2013-08-09,,1.455,69.333
2013-08-10,,0.125,76.75
2013-08-11,,0.0,59.792
2013-08-12,,0.5,56.5
2013-08-13,,0.333,58.667
2013-08-14,,0.083,60.667
2013-08-15,,0.545,62.208
2013-08-16,,0.875,49.917
2013-08-17,,0.417,44.458
2013-08-18,,0.542,37.0
2013-08-19,,0.583,34.583
2013-08-20,,0.542,39.625
2013-08-21,,0.417,44.417
2013-08-22,,0.458,45.333
2013-08-23,,0.583,36.958
2013-08-24,,0.25,27.75
2013-08-25,,0.333,32.583
2013-08-26,,0.625,21.208
2013-08-27,5.75,0.417,21.167
2013-08-28,4.875,0.042,15.875
2013-08-29,20.458,1.167,37.125
2013-08-30,16.083,0.273,35.0
2013-08-31,16.333,0.542,36.125
2013-09-01,5.417,0.583,23.792
2013-09-02,8.375,0.333,30.958
2013-09-03,7.208,0.583,27.292
2013-09-04,6.667,0.708,26.458
2013-09-05,4.792,0.292,21.792
2013-09-06,6.455,0.478,24.043
2013-09-07,8.75,0.542,32.792
2013-09-08,4.667,0.125,21.625
2013-09-09,5.042,0.625,21.083
2013-09-10,14.292,0.833,34.667
2013-09-11,8.333,0.304,29.083
2013-09-12,14.667,0.625,32.25
