date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2017-12-18,4.541666666666667,5.083333333333333,0.5416666666666666,2.7083333333333335,1.125,4.041666666666667,66.0,-16.25,-66.0
2017-12-19,3.6363636363636362,4.363636363636363,0.7272727272727273,2.9166666666666665,0.9130434782608695,2.9583333333333335,101.0,1.625,-61.0
2017-12-20,5.25,6.0,0.75,3.7083333333333335,1.0,4.708333333333333,80.0,-7.166666666666667,-58.0
2017-12-21,4.625,5.416666666666667,0.7916666666666666,3.5416666666666665,0.9583333333333334,5.958333333333333,95.0,-1.4166666666666667,-61.0
2017-12-22,4.791666666666667,5.5,0.7083333333333334,6.125,1.0833333333333333,7.375,98.0,-2.7083333333333335,-69.0
2017-12-23,3.9166666666666665,4.375,0.4583333333333333,6.583333333333333,1.125,6.875,117.0,15.333333333333334,-49.0
2017-12-24,4.791666666666667,5.291666666666667,0.5,12.791666666666666,1.3333333333333333,12.708333333333334,94.0,16.291666666666668,-37.0
2017-12-25,4.416666666666667,5.125,0.7083333333333334,7.25,1.2083333333333333,8.416666666666666,99.0,31.833333333333332,-13.0
2017-12-26,2.5833333333333335,3.25,0.6666666666666666,0.7083333333333334,1.0416666666666667,2.875,84.0,12.041666666666666,-46.0
2017-12-27,1.375,1.4166666666666667,0.041666666666666664,-1.5416666666666667,1.0,1.75,12.0,-9.958333333333334,-27.0
2017-12-28,2.75,3.0,0.25,0.4583333333333333,0.9583333333333334,2.375,53.0,-1.2083333333333333,-43.0
2017-12-29,2.4166666666666665,2.6666666666666665,0.25,1.5833333333333333,0.9583333333333334,3.0,68.0,4.833333333333333,-49.0
2017-12-30,2.2916666666666665,2.375,0.08333333333333333,2.1666666666666665,1.0,3.3333333333333335,71.0,17.583333333333332,-30.0
2017-12-31,2.625,2.8333333333333335,0.20833333333333334,3.5416666666666665,0.9583333333333334,4.416666666666667,49.0,-8.583333333333334,-37.0
