date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,PM25_mean
2011-01-01,194.804,70.0,58.125,41.0,15.608,16.389,20.117,3.728,5.521,19.25,10.2,6.142,1.9,210.413,17.792
2011-01-02,189.938,79.0,56.708,44.0,5.48,7.07,7.681,0.611,5.396,15.195,8.2,5.746,4.1,195.416,11.25
2011-01-03,189.826,66.0,54.333,40.0,6.826,10.722,12.222,1.5,6.104,20.028,6.7,5.425,3.1,196.652,15.833
2011-01-04,191.604,72.0,53.625,34.0,6.146,8.736,9.653,0.917,8.041,24.153,6.2,4.325,2.1,197.75,20.292
2011-01-05,194.522,83.0,69.583,55.0,13.522,23.389,32.514,9.125,5.062,15.931,5.4,3.275,1.8,208.044,12.542
2011-01-06,195.812,82.0,56.5,41.0,15.938,23.903,35.444,11.542,5.938,17.986,7.3,5.371,1.9,211.75,16.0
2011-01-07,192.522,66.0,56.542,42.0,6.956,14.478,16.963,2.485,3.854,11.778,6.1,4.554,3.4,199.478,6.667
2011-01-08,195.604,72.0,58.792,45.0,13.792,19.016,24.155,5.139,4.292,14.167,6.1,3.954,1.5,209.396,9.917
2011-01-09,196.456,75.0,60.75,47.0,18.196,22.083,29.403,7.319,6.666,23.736,8.9,5.65,2.6,214.652,23.167
2011-01-10,200.384,82.0,63.792,46.0,29.642,32.583,61.329,28.746,7.458,35.755,8.7,5.671,1.8,230.027,35.792
2011-01-11,191.37,60.0,53.792,43.0,8.566,16.127,19.095,2.968,7.479,27.161,7.7,5.75,1.6,199.934,24.875
2011-01-12,193.104,63.0,51.667,42.0,12.417,23.25,30.25,7.0,4.688,13.5,5.0,3.154,1.0,205.52,10.833
2011-01-13,192.565,81.0,54.875,40.0,13.196,20.597,27.195,6.597,7.708,21.25,7.5,5.875,3.5,205.761,18.417
2011-01-14,194.02,60.0,54.917,48.0,13.604,20.808,24.934,4.127,10.25,39.68,7.3,5.954,4.8,207.625,35.958
2011-01-15,194.456,70.0,58.458,50.0,14.37,17.756,21.788,4.032,5.458,18.389,6.7,5.429,2.8,208.826,13.792
2011-01-16,191.312,82.0,56.375,45.0,10.438,18.24,22.197,3.958,4.07,16.139,5.0,4.317,2.1,201.75,12.208
2011-01-17,191.478,83.0,58.917,34.0,14.152,21.111,29.861,8.75,3.916,15.861,7.9,4.662,1.9,205.63,13.458
2011-01-18,201.301,78.0,57.25,32.0,43.114,40.333,78.114,37.781,6.586,26.996,9.3,4.875,0.1,244.415,23.5
2011-01-19,194.392,92.0,73.875,54.0,28.328,34.056,53.944,19.889,5.396,22.472,6.3,5.2,4.2,222.72,19.458
2011-01-20,188.617,90.0,79.042,71.0,12.766,21.819,27.181,5.361,4.416,12.472,8.4,6.833,4.5,201.382,8.5
2011-01-21,191.095,93.0,84.458,69.0,16.534,25.152,31.096,5.943,3.917,18.347,8.4,6.788,6.1,207.628,15.792
2011-01-22,193.778,96.0,80.875,68.0,18.454,23.482,29.847,6.365,5.25,20.931,9.3,6.725,3.4,212.232,20.333
2011-01-23,192.634,80.0,65.417,49.0,11.168,18.653,23.501,4.848,4.87,12.33,8.4,6.25,3.1,203.803,8.957
2011-01-24,191.309,65.0,53.583,40.0,6.538,14.986,18.917,3.93,5.854,13.0,4.2,2.6,1.3,197.846,11.708
