date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,CO_mean
2011-01-01,75.0,62.792,54.0,21.896,32.458,10.562,,1.208,21.562,7.3,4.112,1.0,6.0
2011-01-02,86.0,65.417,46.0,15.208,21.208,6.0,,1.042,15.208,10.2,4.512,0.5,4.208
2011-01-03,61.0,49.167,35.0,10.938,15.042,4.104,,1.0,5.834,9.4,4.883,0.5,3.333
2011-01-04,80.0,62.833,50.0,17.645,27.187,9.542,,1.292,10.021,7.6,3.575,-0.6,4.583
2011-01-05,68.0,51.125,34.0,17.688,28.688,11.0,,1.0,7.438,8.1,3.596,-1.0,4.25
2011-01-06,74.0,59.75,42.0,35.052,62.369,27.317,,1.87,14.792,9.5,3.796,-1.0,6.87
2011-01-07,69.0,54.375,37.0,14.188,21.312,7.125,,1.083,6.521,8.0,4.104,0.9,3.625
2011-01-08,61.0,50.375,39.0,11.688,17.0,5.312,,1.0,6.312,8.0,4.212,0.3,3.792
2011-01-09,73.0,62.208,51.0,26.916,50.084,23.166,,1.5,21.542,8.6,4.117,0.3,7.167
2011-01-10,87.0,67.208,49.0,35.805,73.959,38.154,,1.958,22.208,9.0,4.825,0.0,8.125
2011-01-11,87.0,64.167,44.0,22.708,45.854,23.146,,1.583,20.188,9.2,3.979,-0.1,4.917
2011-01-12,64.0,42.435,26.0,24.346,41.792,17.446,,1.1,9.726,6.2,2.3,-1.5,5.227
2011-01-13,66.0,47.125,32.0,33.062,67.479,34.416,,1.5,17.562,10.4,4.254,-2.2,6.833
2011-01-14,61.0,47.5,38.0,19.104,32.646,13.542,,1.375,11.854,6.3,3.538,0.8,6.0
2011-01-15,64.0,55.167,46.0,21.375,32.438,11.062,,1.875,16.146,5.7,2.825,-0.4,5.833
2011-01-16,55.0,51.125,46.0,26.146,45.184,19.038,,1.542,22.036,4.2,3.171,1.8,5.208
2011-01-17,62.0,53.583,42.0,35.562,69.729,34.166,,1.458,25.875,6.5,3.375,1.1,7.0
2011-01-18,65.0,58.333,49.0,42.332,85.584,43.252,,2.5,28.837,7.8,3.333,-1.0,8.13
2011-01-19,96.0,67.292,55.0,26.774,47.726,20.952,,1.792,26.37,9.0,4.55,-0.1,5.0
2011-01-20,96.0,94.25,82.0,18.649,27.604,8.956,,1.083,17.375,2.3,1.162,0.4,3.875
2011-01-21,96.0,94.208,87.0,16.084,23.667,7.584,,1.0,10.166,2.7,2.075,1.4,3.833
2011-01-22,96.0,87.792,71.0,18.25,36.812,18.562,,1.0,10.875,7.5,4.617,2.9,6.125
2011-01-23,96.0,90.458,68.0,29.258,85.691,56.434,,1.125,15.834,6.8,3.708,0.1,8.25
2011-01-24,96.0,66.833,41.0,23.415,39.486,16.072,,1.0,10.521,5.1,1.462,-1.2,4.522
2011-01-25,96.0,67.917,32.0,28.854,59.375,30.521,,1.0,15.938,8.8,2.667,-2.1,6.375
2011-01-26,94.0,58.333,39.0,28.088,53.98,25.892,,1.261,13.87,5.0,1.35,-1.3,6.696
2011-01-27,86.0,63.375,39.0,30.604,66.896,36.292,,1.5,17.979,6.1,1.042,-3.6,7.375
2011-01-28,86.0,60.042,40.0,21.166,40.188,19.021,,1.375,16.812,5.0,0.592,-2.7,5.708
2011-01-29,57.0,45.0,31.0,9.142,13.004,3.862,,1.208,8.708,5.3,1.446,-1.0,3.542
2011-01-30,53.0,44.583,37.0,22.761,44.916,22.156,,1.043,10.521,5.3,2.067,-0.9,6.13
2011-01-31,67.0,52.792,43.0,27.021,52.333,25.312,,1.25,12.0,7.8,2.362,-2.2,5.875
