date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean,RAIN_sum
2011-01-01,197.77100000000002,96.33333333333333,78.45833333333333,63.666666666666664,12.458,11.1145,14.14575,3.03125,,1.90625,19.42725,81.0,45.388666666666666,12.666666666666666,210.22899999999998,4.542,0.0
2011-01-02,193.1265,99.66666666666667,71.95833333333333,39.666666666666664,7.72,6.323,7.85425,1.53125,,1.7395,14.91675,102.66666666666667,52.347,16.0,200.8465,2.783,0.0
2011-01-03,189.6365,78.0,53.791666666666664,36.0,6.712,6.4375,8.771,2.3335,,1.76025,3.2085,94.33333333333333,40.25,-2.6666666666666665,196.3485,2.292,0.0
2011-01-04,190.25,78.0,55.542,37.666666666666664,7.875,7.47725,11.94325,4.46575,,2.3125,7.1145,93.66666666666667,45.958333333333336,2.3333333333333335,198.125,3.042,0.0
2011-01-05,190.6875,72.0,52.236333333333334,32.333333333333336,6.667,7.208,11.0,3.7915,,1.78575,3.40625,77.0,32.666666666666664,-2.0,197.3545,2.333,0.0
2011-01-06,194.1875,78.66666666666667,60.416666666666664,40.0,13.020499999999998,20.1665,32.573,12.406500000000001,,2.104,13.8125,84.0,36.528,-5.666666666666667,207.20850000000002,3.708,0.0
2011-01-07,191.91649999999998,77.0,53.986333333333334,32.666666666666664,7.5,7.729,11.249749999999999,3.52075,,1.83325,4.218999999999999,79.33333333333333,36.18066666666667,1.3333333333333333,199.417,2.375,0.0
2011-01-08,193.958,86.0,57.667,36.333333333333336,14.1665,11.354,16.59375,5.2395,,2.24975,7.6875,74.0,26.361,-23.333333333333332,208.125,3.458,0.0
2011-01-09,191.38049999999998,92.0,72.93066666666667,58.333333333333336,9.856,11.4375,16.83325,5.396,,3.448,9.85425,96.0,55.15266666666667,11.0,201.237,2.652,0.0
2011-01-10,189.364,99.66666666666667,68.736,36.666666666666664,7.1365,11.1675,17.4565,6.289000000000001,,3.3419999999999996,7.51025,90.66666666666667,60.05566666666667,13.333333333333334,196.5,2.708,0.0
2011-01-11,187.89600000000002,97.66666666666667,73.01366666666667,44.0,4.896,4.836,8.6045,3.76875,,1.70825,7.7085,95.33333333333333,52.111,-3.6666666666666665,192.79149999999998,2.167,0.0
2011-01-12,190.5625,71.66666666666667,50.541666666666664,30.666666666666668,10.042,21.55675,40.21525,18.6585,,4.3475,9.07925,52.0,11.777666666666667,-30.0,200.60399999999998,3.833,0.0
2011-01-13,194.25,89.66666666666667,60.889,36.0,16.9375,26.0415,41.646,15.604,,3.15625,16.9375,101.33333333333333,37.458333333333336,-28.0,211.1875,4.0,0.0
2011-01-14,192.27100000000002,72.66666666666667,49.416666666666664,31.666666666666668,7.542,12.08325,19.5835,7.5,,2.552,9.65625,70.0,30.694666666666667,-5.666666666666667,199.8125,3.292,0.0
2011-01-15,192.125,68.0,53.847,39.333333333333336,7.0205,7.0105,9.04175,2.03125,,2.3645,10.6875,59.0,31.389,1.3333333333333333,199.14600000000002,2.667,0.0
2011-01-16,189.77100000000002,67.0,60.514,50.666666666666664,5.371,5.854,7.46875,1.6145,,2.1145,9.844,56.333333333333336,41.52766666666667,15.333333333333334,195.142,2.261,0.0
2011-01-17,188.4205,74.0,61.94466666666667,51.333333333333336,5.5115,5.448,7.07275,1.625,,2.05175,6.479,64.0,42.37533333333334,10.333333333333334,193.93200000000002,2.25,0.0
2011-01-18,190.16649999999998,85.66666666666667,65.361,46.0,9.4375,16.32475,26.88925,10.5645,,3.35425,12.37525,83.33333333333333,43.208,-8.333333333333334,199.60399999999998,3.25,0.0
2011-01-19,191.35399999999998,86.0,71.79166666666667,64.66666666666667,7.9375,7.91675,11.4895,3.57275,,2.6807499999999997,18.73975,92.33333333333333,63.278,9.666666666666666,199.29149999999998,2.625,0.0
2011-01-20,187.70850000000002,98.0,86.26366666666667,70.0,4.604,1.19825,1.21875,0.021,,1.46875,13.46875,73.33333333333333,60.083666666666666,49.666666666666664,192.3125,2.0,4.5
2011-01-21,187.3125,99.33333333333333,94.028,82.33333333333333,4.896,1.82275,1.948,0.125,,0.97925,14.6355,91.33333333333333,64.68066666666667,38.333333333333336,192.20850000000002,2.0,30.0
2011-01-22,187.08350000000002,99.33333333333333,95.76366666666667,82.66666666666667,6.125,4.35425,5.073,0.7185,,0.9165,11.802,86.0,68.861,29.666666666666668,193.20850000000002,2.125,25.5
2011-01-23,192.19299999999998,99.0,88.26400000000001,59.666666666666664,10.371,9.7395,19.625,9.8855,,1.29175,9.427,92.33333333333333,41.93066666666667,5.333333333333333,202.564,2.826,23.0
2011-01-24,190.49450000000002,98.0,61.12466666666666,35.666666666666664,7.803,13.15625,19.896,6.739750000000001,,2.16675,7.64575,47.333333333333336,21.375333333333334,-7.0,198.297,2.958,2.0
2011-01-25,192.89600000000002,94.66666666666667,71.278,31.666666666666668,12.271,15.2105,24.281,9.07025,,1.96875,14.698,83.33333333333333,30.305333333333333,-13.333333333333334,205.16649999999998,2.875,0.0
2011-01-26,191.44299999999998,94.66666666666667,52.958333333333336,26.666666666666668,6.439,8.945500000000001,11.93475,2.989,,2.02825,7.43525,53.333333333333336,16.014,-11.0,197.8825,2.292,0.0
2011-01-27,193.20850000000002,79.66666666666667,56.94433333333333,38.0,8.896,11.90625,19.68725,7.780999999999999,,2.39575,9.71875,65.66666666666667,12.013666666666666,-35.0,202.10399999999998,2.708,0.0
2011-01-28,191.3955,62.0,45.31966666666667,29.333333333333332,4.521,4.53125,5.718500000000001,1.18725,,2.77075,10.896,52.666666666666664,14.180666666666667,-14.666666666666666,195.91649999999998,2.375,0.0
2011-01-29,191.4375,61.333333333333336,44.611,33.0,3.979,3.35425,4.354,1.0,,1.802,6.11475,54.666666666666664,11.833333333333334,-16.666666666666668,195.41649999999998,2.0,0.0
2011-01-30,191.203,72.66666666666667,53.00033333333334,30.333333333333332,8.2085,14.177,21.875,7.698,,1.9585,7.66675,55.0,10.972333333333333,-22.333333333333332,199.411,2.957,0.0
2011-01-31,192.087,71.0,53.24966666666666,31.333333333333332,8.7485,15.16675,23.86475,8.698,,2.40625,10.6455,79.33333333333333,22.264,-31.0,200.83499999999998,3.125,0.0
2011-02-01,190.58350000000002,85.0,58.958,42.0,8.229,11.21,15.021749999999999,3.81175,,2.88525,12.8855,116.33333333333333,46.083333333333336,-18.0,198.8125,3.083,0.0
2011-02-02,189.583,57.666666666666664,40.18066666666667,26.333333333333332,4.271,4.5,6.38525,1.8855,,2.102,5.8645000000000005,46.333333333333336,15.860999999999999,-16.0,193.85399999999998,2.125,0.0
